Wavelength (nm),Sum,Li I (4.0e-02),Li II (9.6e-01),Li III (5.9e-34)
610.95,4.677e+8,4.677e+8,,
611,3.962e+8,3.962e+8,,
611.05,3.312e+8,3.312e+8,,
611.1,2.732e+8,2.732e+8,,
611.15,2.223e+8,2.223e+8,,
611.2,1.785e+8,1.785e+8,,
611.25,1.414e+8,1.414e+8,,
611.3,1.106e+8,1.106e+8,,
611.35,8.527e+7,8.527e+7,,
611.4,6.489e+7,6.489e+7,,
611.45,4.873e+7,4.873e+7,,
611.5,3.610e+7,3.610e+7,,
611.55,2.639e+7,2.639e+7,,
611.6,1.903e+7,1.903e+7,,
611.65,1.354e+7,1.354e+7,,
611.7,9.509e+6,9.509e+6,,
611.75,6.587e+6,6.587e+6,,
611.8,4.503e+6,4.503e+6,,
611.85,3.037e+6,3.037e+6,,
611.9,2.021e+6,2.021e+6,,
611.95,1.327e+6,1.327e+6,,
612,8.595e+5,8.595e+5,,
612.05,5.494e+5,5.494e+5,,
612.1,3.465e+5,3.465e+5,,
612.15,2.156e+5,2.156e+5,,
612.2,1.324e+5,1.324e+5,,
612.25,8.018e+4,8.018e+4,,
612.3,4.793e+4,4.793e+4,,
612.35,2.826e+4,2.826e+4,,
612.4,1.645e+4,1.645e+4,,
612.45,9.442e+3,9.442e+3,,
612.5,5.349e+3,5.349e+3,,
612.55,2.989e+3,2.989e+3,,
612.6,1.649e+3,1.649e+3,,
612.65,8.970e+2,8.970e+2,,
612.7,4.816e+2,4.816e+2,,
612.75,2.551e+2,2.551e+2,,
612.8,1.333e+2,1.333e+2,,
612.85,6.875e+1,6.875e+1,,
612.9,3.498e+1,3.498e+1,,
612.95,1.756e+1,1.756e+1,,
613,8.698e+0,8.698e+0,,
613.05,4.251e+0,4.251e+0,,
613.1,2.050e+0,2.050e+0,,
613.15,9.754e-1,9.754e-1,,
613.2,4.579e-1,4.579e-1,,
613.25,2.121e-1,2.121e-1,,
613.3,9.692e-2,9.692e-2,,
613.35,4.371e-2,4.371e-2,,
613.4,1.945e-2,1.945e-2,,
613.45,8.536e-3,8.536e-3,,
613.5,3.697e-3,3.697e-3,,
613.55,1.580e-3,1.580e-3,,
613.6,6.662e-4,6.662e-4,,
613.65,2.772e-4,2.772e-4,,
613.7,1.138e-4,1.138e-4,,
613.75,4.608e-5,4.608e-5,,
613.8,1.842e-5,1.842e-5,,
613.85,7.261e-6,7.261e-6,,
613.9,2.825e-6,2.825e-6,,
613.95,1.084e-6,1.084e-6,,
614,4.107e-7,4.107e-7,,
614.05,1.096e-7,1.096e-7,,
621.45,1.356e-41,,1.356e-41,
621.5,3.535e-41,,3.535e-41,
621.55,9.097e-41,,9.097e-41,
621.6,2.311e-40,,2.311e-40,
621.65,5.798e-40,,5.798e-40,
621.7,1.436e-39,,1.436e-39,
621.75,3.511e-39,,3.511e-39,
621.8,8.475e-39,,8.475e-39,
621.85,2.020e-38,,2.020e-38,
621.9,4.753e-38,,4.753e-38,
621.95,1.104e-37,,1.104e-37,
622,2.533e-37,,2.533e-37,
622.05,5.735e-37,,5.735e-37,
622.1,1.282e-36,,1.282e-36,
622.15,2.830e-36,,2.830e-36,
622.2,6.168e-36,,6.168e-36,
622.25,1.327e-35,,1.327e-35,
622.3,2.819e-35,,2.819e-35,
622.35,5.911e-35,,5.911e-35,
622.4,1.224e-34,,1.224e-34,
622.45,2.502e-34,,2.502e-34,
622.5,5.050e-34,,5.050e-34,
622.55,1.006e-33,,1.006e-33,
622.6,1.979e-33,,1.979e-33,
622.65,3.845e-33,,3.845e-33,
622.7,7.372e-33,,7.372e-33,
622.75,1.396e-32,,1.396e-32,
622.8,2.609e-32,,2.609e-32,
622.85,4.814e-32,,4.814e-32,
622.9,8.771e-32,,8.771e-32,
622.95,1.578e-31,,1.578e-31,
623,2.802e-31,,2.802e-31,
623.05,4.913e-31,,4.913e-31,
623.1,8.504e-31,,8.504e-31,
623.15,1.453e-30,,1.453e-30,
623.2,2.452e-30,,2.452e-30,
623.25,4.086e-30,,4.086e-30,
623.3,6.720e-30,,6.720e-30,
623.35,1.091e-29,,1.091e-29,
623.4,1.749e-29,,1.749e-29,
623.45,2.769e-29,,2.769e-29,
623.5,4.327e-29,,4.327e-29,
623.55,6.675e-29,,6.675e-29,
623.6,1.017e-28,,1.017e-28,
623.65,1.529e-28,,1.529e-28,
623.7,2.270e-28,,2.270e-28,
623.75,3.328e-28,,3.328e-28,
623.8,4.816e-28,,4.816e-28,
623.85,6.882e-28,,6.882e-28,
623.9,9.708e-28,,9.708e-28,
623.95,1.352e-27,,1.352e-27,
624,1.859e-27,,1.859e-27,
624.05,2.524e-27,,2.524e-27,
624.1,3.383e-27,,3.383e-27,
624.15,4.477e-27,,4.477e-27,
624.2,5.849e-27,,5.849e-27,
624.25,7.544e-27,,7.544e-27,
624.3,9.607e-27,,9.607e-27,
624.35,1.208e-26,,1.208e-26,
624.4,1.499e-26,,1.499e-26,
624.45,1.838e-26,,1.838e-26,
624.5,2.223e-26,,2.223e-26,
624.55,2.656e-26,,2.656e-26,
624.6,3.132e-26,,3.132e-26,
624.65,3.647e-26,,3.647e-26,
624.7,4.193e-26,,4.193e-26,
624.75,4.759e-26,,4.759e-26,
624.8,5.333e-26,,5.333e-26,
624.85,5.900e-26,,5.900e-26,
624.9,6.445e-26,,6.445e-26,
624.95,6.950e-26,,6.950e-26,
625,7.399e-26,,7.399e-26,
625.05,7.778e-26,,7.778e-26,
625.1,8.072e-26,,8.072e-26,
625.15,8.270e-26,,8.270e-26,
625.2,8.366e-26,,8.366e-26,
625.25,8.355e-26,,8.355e-26,
625.3,8.239e-26,,8.239e-26,
625.35,8.020e-26,,8.020e-26,
625.4,7.708e-26,,7.708e-26,
625.45,7.315e-26,,7.315e-26,
625.5,6.853e-26,,6.853e-26,
625.55,6.338e-26,,6.338e-26,
625.6,5.788e-26,,5.788e-26,
625.65,5.218e-26,,5.218e-26,
625.7,4.645e-26,,4.645e-26,
625.75,4.082e-26,,4.082e-26,
625.8,3.542e-26,,3.542e-26,
625.85,3.034e-26,,3.034e-26,
625.9,2.566e-26,,2.566e-26,
625.95,2.142e-26,,2.142e-26,
626,1.766e-26,,1.766e-26,
626.05,1.437e-26,,1.437e-26,
626.1,1.155e-26,,1.155e-26,
626.15,9.163e-27,,9.163e-27,
626.2,7.177e-27,,7.177e-27,
626.25,5.550e-27,,5.550e-27,
626.3,4.237e-27,,4.237e-27,
626.35,3.194e-27,,3.194e-27,
626.4,2.377e-27,,2.377e-27,
626.45,1.746e-27,,1.746e-27,
626.5,1.267e-27,,1.267e-27,
626.55,9.072e-28,,9.072e-28,
626.6,6.414e-28,,6.414e-28,
626.65,4.478e-28,,4.478e-28,
626.7,3.086e-28,,3.086e-28,
626.75,2.100e-28,,2.100e-28,
626.8,1.411e-28,,1.411e-28,
626.85,9.357e-29,,9.357e-29,
626.9,6.127e-29,,6.127e-29,
626.95,3.961e-29,,3.961e-29,
627,2.528e-29,,2.528e-29,
627.05,1.593e-29,,1.593e-29,
627.1,9.913e-30,,9.913e-30,
627.15,6.089e-30,,6.089e-30,
627.2,3.693e-30,,3.693e-30,
627.25,2.211e-30,,2.211e-30,
627.3,1.307e-30,,1.307e-30,
627.35,7.628e-31,,7.628e-31,
627.4,4.395e-31,,4.395e-31,
627.45,2.500e-31,,2.500e-31,
627.5,1.404e-31,,1.404e-31,
627.55,7.788e-32,,7.788e-32,
627.6,4.263e-32,,4.263e-32,
627.65,2.304e-32,,2.304e-32,
627.7,1.230e-32,,1.230e-32,
627.75,6.479e-33,,6.479e-33,
627.8,3.370e-33,,3.370e-33,
627.85,1.731e-33,,1.731e-33,
627.9,8.775e-34,,8.775e-34,
627.95,4.393e-34,,4.393e-34,
628,2.171e-34,,2.171e-34,
628.05,1.059e-34,,1.059e-34,
628.1,5.103e-35,,5.103e-35,
628.15,2.427e-35,,2.427e-35,
628.2,1.140e-35,,1.140e-35,
628.25,5.283e-36,,5.283e-36,
628.3,2.418e-36,,2.418e-36,
628.35,1.093e-36,,1.093e-36,
628.4,4.875e-37,,4.875e-37,
628.45,2.147e-37,,2.147e-37,
628.5,9.339e-38,,9.339e-38,
628.55,4.010e-38,,4.010e-38,
628.6,1.700e-38,,1.700e-38,
628.65,7.113e-39,,7.113e-39,
628.7,2.939e-39,,2.939e-39,
628.75,1.199e-39,,1.199e-39,
628.8,4.829e-40,,4.829e-40,
628.85,1.920e-40,,1.920e-40,
628.9,7.538e-41,,7.538e-41,
628.95,2.921e-41,,2.921e-41,
629,1.118e-41,,1.118e-41,
650.61,1.296e-42,,1.296e-42,
650.66,1.832e-41,,1.832e-41,
650.71,6.495e-41,,6.495e-41,
650.76,1.605e-40,,1.605e-40,
650.81,3.919e-40,,3.919e-40,
650.86,9.461e-40,,9.461e-40,
650.91,2.257e-39,,2.257e-39,
650.96,5.324e-39,,5.324e-39,
651.01,1.241e-38,,1.241e-38,
651.06,2.860e-38,,2.860e-38,
651.11,6.512e-38,,6.512e-38,
651.16,1.466e-37,,1.466e-37,
651.21,3.262e-37,,3.262e-37,
651.26,7.174e-37,,7.174e-37,
651.31,1.560e-36,,1.560e-36,
651.36,3.351e-36,,3.351e-36,
651.41,7.117e-36,,7.117e-36,
651.46,1.494e-35,,1.494e-35,
651.51,3.100e-35,,3.100e-35,
651.56,6.357e-35,,6.357e-35,
651.61,1.289e-34,,1.289e-34,
651.66,2.582e-34,,2.582e-34,
651.71,5.114e-34,,5.114e-34,
651.76,1.001e-33,,1.001e-33,
651.81,1.937e-33,,1.937e-33,
651.86,3.705e-33,,3.705e-33,
651.91,7.004e-33,,7.004e-33,
651.96,1.309e-32,,1.309e-32,
652.01,2.417e-32,,2.417e-32,
652.06,4.412e-32,,4.412e-32,
652.11,7.961e-32,,7.961e-32,
652.16,1.420e-31,,1.420e-31,
652.21,2.503e-31,,2.503e-31,
652.26,4.361e-31,,4.361e-31,
652.31,7.512e-31,,7.512e-31,
652.36,1.279e-30,,1.279e-30,
652.41,2.152e-30,,2.152e-30,
652.46,3.579e-30,,3.579e-30,
652.51,5.883e-30,,5.883e-30,
