Wavelength (nm),Sum,Li I (4.0e-02),Li II (9.6e-01),Li III (5.9e-34)
666.02,1.455e-28,,1.455e-28,
666.07,1.021e-28,,1.021e-28,
666.12,7.082e-29,,7.082e-29,
666.17,4.857e-29,,4.857e-29,
666.22,3.294e-29,,3.294e-29,
666.27,2.208e-29,,2.208e-29,
666.32,1.464e-29,,1.464e-29,
666.37,9.597e-30,,9.597e-30,
666.42,6.219e-30,,6.219e-30,
666.47,3.985e-30,,3.985e-30,
666.52,2.525e-30,,2.525e-30,
666.57,1.582e-30,,1.582e-30,
666.62,9.798e-31,,9.798e-31,
666.67,6.000e-31,,6.000e-31,
666.72,3.633e-31,,3.633e-31,
666.77,9.701e-7,9.701e-7,2.175e-31,
666.82,2.354e-6,2.354e-6,1.288e-31,
666.87,5.647e-6,5.647e-6,7.537e-32,
666.92,1.340e-5,1.340e-5,4.362e-32,
666.97,3.145e-5,3.145e-5,2.496e-32,
667.02,7.298e-5,7.298e-5,1.412e-32,
667.07,1.675e-4,1.675e-4,7.898e-33,
667.12,3.801e-4,3.801e-4,4.368e-33,
667.17,8.533e-4,8.533e-4,2.389e-33,
667.22,1.894e-3,1.894e-3,1.292e-33,
667.27,4.158e-3,4.158e-3,6.905e-34,
667.32,9.028e-3,9.028e-3,3.650e-34,
667.37,1.938e-2,1.938e-2,1.908e-34,
667.42,4.116e-2,4.116e-2,9.857e-35,
667.47,8.642e-2,8.642e-2,5.036e-35,
667.52,1.795e-1,1.795e-1,2.544e-35,
667.57,3.686e-1,3.686e-1,1.271e-35,
667.62,7.486e-1,7.486e-1,6.276e-36,
667.67,1.504e+0,1.504e+0,3.065e-36,
667.72,2.987e+0,2.987e+0,1.480e-36,
667.77,5.867e+0,5.867e+0,7.063e-37,
667.82,1.140e+1,1.140e+1,3.334e-37,
667.87,2.190e+1,2.190e+1,1.556e-37,
667.92,4.161e+1,4.161e+1,7.179e-38,
667.97,7.818e+1,7.818e+1,3.275e-38,
668.02,1.453e+2,1.453e+2,1.477e-38,
668.07,2.670e+2,2.670e+2,6.590e-39,
668.12,4.852e+2,4.852e+2,2.906e-39,
668.17,8.721e+2,8.721e+2,1.267e-39,
668.22,1.550e+3,1.550e+3,5.462e-40,
668.27,2.725e+3,2.725e+3,2.328e-40,
668.32,4.737e+3,4.737e+3,9.813e-41,
668.37,8.144e+3,8.144e+3,4.089e-41,
668.42,1.385e+4,1.385e+4,1.685e-41,
668.47,2.328e+4,2.328e+4,6.864e-42,
668.52,3.871e+4,3.871e+4,,
668.57,6.367e+4,6.367e+4,,
668.62,1.035e+5,1.035e+5,,
668.67,1.665e+5,1.665e+5,,
668.72,2.649e+5,2.649e+5,,
668.77,4.166e+5,4.166e+5,,
668.82,6.481e+5,6.481e+5,,
668.87,9.971e+5,9.971e+5,,
668.92,1.517e+6,1.517e+6,,
668.97,2.282e+6,2.282e+6,,
669.02,3.396e+6,3.396e+6,,
669.07,4.998e+6,4.998e+6,,
669.12,7.273e+6,7.273e+6,,
669.17,1.047e+7,1.047e+7,,
669.22,1.490e+7,1.490e+7,,
669.27,2.097e+7,2.097e+7,,
669.32,2.919e+7,2.919e+7,,
669.37,4.018e+7,4.018e+7,,
669.42,5.471e+7,5.471e+7,,
669.47,7.365e+7,7.365e+7,,
669.52,9.807e+7,9.807e+7,,
669.57,1.291e+8,1.291e+8,,
669.62,1.682e+8,1.682e+8,,
669.67,2.166e+8,2.166e+8,,
669.72,2.758e+8,2.758e+8,,
669.77,3.474e+8,3.474e+8,,
669.82,4.327e+8,4.327e+8,,
669.87,5.331e+8,5.331e+8,,
669.92,6.494e+8,6.494e+8,,
669.97,7.824e+8,7.824e+8,,
670.02,9.322e+8,9.322e+8,,
670.07,1.098e+9,1.098e+9,,
670.12,1.280e+9,1.280e+9,,
670.17,1.475e+9,1.475e+9,,
670.22,1.681e+9,1.681e+9,,
670.27,1.895e+9,1.895e+9,,
670.32,2.112e+9,2.112e+9,,
670.37,2.328e+9,2.328e+9,,
670.42,2.538e+9,2.538e+9,,
670.47,2.736e+9,2.736e+9,,
670.52,2.917e+9,2.917e+9,,
670.57,3.076e+9,3.076e+9,,
670.62,3.207e+9,3.207e+9,,
670.67,3.307e+9,3.307e+9,,
670.72,3.373e+9,3.373e+9,,
670.77,3.402e+9,3.402e+9,,
670.82,3.393e+9,3.393e+9,,
670.87,3.347e+9,3.347e+9,,
670.92,3.265e+9,3.265e+9,,
670.97,3.149e+9,3.149e+9,,
671.02,3.005e+9,3.005e+9,,
671.07,2.835e+9,2.835e+9,,
671.12,2.645e+9,2.645e+9,,
671.17,2.441e+9,2.441e+9,,
671.22,2.228e+9,2.228e+9,,
671.27,2.010e+9,2.010e+9,,
671.32,1.794e+9,1.794e+9,,
671.37,1.584e+9,1.584e+9,,
671.42,1.383e+9,1.383e+9,,
671.47,1.193e+9,1.193e+9,,
671.52,1.019e+9,1.019e+9,,
671.57,8.602e+8,8.602e+8,,
671.62,7.183e+8,7.183e+8,,
671.67,5.931e+8,5.931e+8,,
671.72,4.843e+8,4.843e+8,,
671.77,3.911e+8,3.911e+8,,
671.82,3.124e+8,3.124e+8,,
671.87,2.467e+8,2.467e+8,,
671.92,1.927e+8,1.927e+8,,
671.97,1.489e+8,1.489e+8,,
672.02,1.137e+8,1.137e+8,,
672.07,8.592e+7,8.592e+7,,
672.12,6.420e+7,6.420e+7,,
672.17,4.744e+7,4.744e+7,,
672.22,3.466e+7,3.466e+7,,
672.27,2.505e+7,2.505e+7,,
672.32,1.790e+7,1.790e+7,,
672.37,1.265e+7,1.265e+7,,
672.42,8.844e+6,8.844e+6,,
672.47,6.113e+6,6.113e+6,,
672.52,4.179e+6,4.179e+6,,
672.57,2.825e+6,2.825e+6,,
672.62,1.889e+6,1.889e+6,,
672.67,1.249e+6,1.249e+6,,
672.72,8.166e+5,8.166e+5,,
672.77,5.281e+5,5.281e+5,,
672.82,3.377e+5,3.377e+5,,
672.87,2.136e+5,2.136e+5,,
672.92,1.336e+5,1.336e+5,,
672.97,8.263e+4,8.263e+4,,
673.02,5.055e+4,5.055e+4,,
673.07,3.058e+4,3.058e+4,,
673.12,1.829e+4,1.829e+4,,
673.17,1.082e+4,1.082e+4,,
673.22,6.334e+3,6.334e+3,,
673.27,3.665e+3,3.665e+3,,
673.32,2.097e+3,2.097e+3,,
673.37,1.187e+3,1.187e+3,,
673.42,6.643e+2,6.643e+2,,
673.47,3.677e+2,3.677e+2,,
673.52,2.013e+2,2.013e+2,,
673.57,1.090e+2,1.090e+2,,
673.62,5.833e+1,5.833e+1,,
673.67,3.088e+1,3.088e+1,,
673.72,1.617e+1,1.617e+1,,
673.77,8.373e+0,8.373e+0,,
673.82,4.288e+0,4.288e+0,,
673.87,2.171e+0,2.171e+0,,
673.92,1.087e+0,1.087e+0,,
673.97,5.386e-1,5.386e-1,,
674.02,2.638e-1,2.638e-1,,
674.07,1.278e-1,1.278e-1,,
674.12,6.122e-2,6.122e-2,,
674.17,2.901e-2,2.901e-2,,
674.22,1.359e-2,1.359e-2,,
674.27,6.297e-3,6.297e-3,,
674.32,2.885e-3,2.885e-3,,
674.37,1.308e-3,1.308e-3,,
674.42,5.860e-4,5.860e-4,,
674.47,2.597e-4,2.597e-4,,
674.52,1.138e-4,1.138e-4,,
674.57,4.935e-5,4.935e-5,,
674.62,2.115e-5,2.115e-5,,
674.67,8.968e-6,8.968e-6,,
674.72,3.760e-6,3.760e-6,,
674.77,1.559e-6,1.559e-6,,
674.82,6.392e-7,6.392e-7,,
807.76,2.892e-8,2.892e-8,,
807.81,6.024e-8,6.024e-8,,
807.86,1.246e-7,1.246e-7,,
807.91,2.556e-7,2.556e-7,,
807.96,5.205e-7,5.205e-7,,
808.01,1.052e-6,1.052e-6,,
808.06,2.111e-6,2.111e-6,,
808.11,4.202e-6,4.202e-6,,
808.16,8.302e-6,8.302e-6,,
808.21,1.628e-5,1.628e-5,,
808.26,3.168e-5,3.168e-5,,
808.31,6.119e-5,6.119e-5,,
808.36,1.173e-4,1.173e-4,,
808.41,2.232e-4,2.232e-4,,
808.46,4.213e-4,4.213e-4,,
808.51,7.895e-4,7.895e-4,,
808.56,1.468e-3,1.468e-3,,
808.61,2.710e-3,2.710e-3,,
808.66,4.964e-3,4.964e-3,,
808.71,9.025e-3,9.025e-3,,
808.76,1.628e-2,1.628e-2,,
808.81,2.916e-2,2.916e-2,,
808.86,5.182e-2,5.182e-2,,
808.91,9.140e-2,9.140e-2,,
808.96,1.600e-1,1.600e-1,,
809.01,2.779e-1,2.779e-1,,
809.06,4.792e-1,4.792e-1,,
809.11,8.200e-1,8.200e-1,,
809.16,1.393e+0,1.393e+0,,
809.21,2.347e+0,2.347e+0,,
809.26,3.926e+0,3.926e+0,,
809.31,6.518e+0,6.518e+0,,
809.36,1.074e+1,1.074e+1,,
809.41,1.756e+1,1.756e+1,,
809.46,2.850e+1,2.850e+1,,
809.51,4.590e+1,4.590e+1,,
809.56,7.337e+1,7.337e+1,,
809.61,1.164e+2,1.164e+2,,
809.66,1.832e+2,1.832e+2,,
809.71,2.863e+2,2.863e+2,,
809.76,4.441e+2,4.441e+2,,
809.81,6.834e+2,6.834e+2,,
809.86,1.044e+3,1.044e+3,,
809.91,1.583e+3,1.583e+3,,
809.96,2.381e+3,2.381e+3,,
810.01,3.556e+3,3.556e+3,,
810.06,5.269e+3,5.269e+3,,
810.11,7.750e+3,7.750e+3,,
810.16,1.131e+4,1.131e+4,,
810.21,1.639e+4,1.639e+4,,
810.26,2.356e+4,2.356e+4,,
810.31,3.362e+4,3.362e+4,,
810.36,4.761e+4,4.761e+4,,
810.41,6.691e+4,6.691e+4,,
810.46,9.333e+4,9.333e+4,,
810.51,1.292e+5,1.292e+5,,
810.56,1.775e+5,1.775e+5,,
810.61,2.421e+5,2.421e+5,,
810.66,3.276e+5,3.276e+5,,
810.71,4.399e+5,4.399e+5,,
810.76,5.864e+5,5.864e+5,,
810.81,7.758e+5,7.758e+5,,
810.86,1.018e+6,1.018e+6,,
810.91,1.327e+6,1.327e+6,,
810.96,1.716e+6,1.716e+6,,
811.01,2.203e+6,2.203e+6,,
811.06,2.806e+6,2.806e+6,,
811.11,3.547e+6,3.547e+6,,
811.16,4.450e+6,4.450e+6,,
811.21,5.541e+6,5.541e+6,,
811.26,6.847e+6,6.847e+6,,
811.31,8.397e+6,8.397e+6,,
811.36,1.022e+7,1.022e+7,,
811.41,1.235e+7,1.235e+7,,
811.46,1.480e+7,1.480e+7,,
811.51,1.761e+7,1.761e+7,,
811.56,2.080e+7,2.080e+7,,
811.61,2.438e+7,2.438e+7,,
811.66,2.835e+7,2.835e+7,,
811.71,3.273e+7,3.273e+7,,
811.76,3.750e+7,3.750e+7,,
811.81,4.264e+7,4.264e+7,,
811.86,4.812e+7,4.812e+7,,
811.91,5.389e+7,5.389e+7,,
811.96,5.990e+7,5.990e+7,,
812.01,6.608e+7,6.608e+7,,
812.06,7.234e+7,7.234e+7,,
812.11,7.860e+7,7.860e+7,,
812.16,8.476e+7,8.476e+7,,
812.21,9.071e+7,9.071e+7,,
812.26,9.635e+7,9.635e+7,,
812.31,1.016e+8,1.016e+8,,
812.36,1.063e+8,1.063e+8,,
812.41,1.103e+8,1.103e+8,,
812.46,1.137e+8,1.137e+8,,
812.51,1.163e+8,1.163e+8,,
812.56,1.180e+8,1.180e+8,,
812.61,1.189e+8,1.189e+8,,
812.66,1.189e+8,1.189e+8,,
812.71,1.179e+8,1.179e+8,,
812.76,1.161e+8,1.161e+8,,
812.81,1.135e+8,1.135e+8,,
812.86,1.101e+8,1.101e+8,,
812.91,1.060e+8,1.060e+8,,
812.96,1.012e+8,1.012e+8,,
813.01,9.599e+7,9.599e+7,,
813.06,9.033e+7,9.033e+7,,
813.11,8.436e+7,8.436e+7,,
813.16,7.819e+7,7.819e+7,,
813.21,7.192e+7,7.192e+7,,
813.26,6.566e+7,6.566e+7,,
813.31,5.949e+7,5.949e+7,,
813.36,5.350e+7,5.350e+7,,
813.41,4.774e+7,4.774e+7,,
813.46,4.229e+7,4.229e+7,,
813.51,3.717e+7,3.717e+7,,
813.56,3.243e+7,3.243e+7,,
813.61,2.808e+7,2.808e+7,,
813.66,2.413e+7,2.413e+7,,
813.71,2.058e+7,2.058e+7,,
813.76,1.741e+7,1.741e+7,,
813.81,1.463e+7,1.463e+7,,
813.86,1.220e+7,1.220e+7,,
813.91,1.009e+7,1.009e+7,,
813.96,8.286e+6,8.286e+6,,
814.01,6.752e+6,6.752e+6,,
814.06,5.461e+6,5.461e+6,,
814.11,4.384e+6,4.384e+6,,
814.16,3.492e+6,3.492e+6,,
814.21,2.761e+6,2.761e+6,,
814.26,2.167e+6,2.167e+6,,
814.31,1.687e+6,1.687e+6,,
814.36,1.304e+6,1.304e+6,,
814.41,1.000e+6,1.000e+6,,
814.46,7.616e+5,7.616e+5,,
814.51,5.754e+5,5.754e+5,,
814.56,4.315e+5,4.315e+5,,
814.61,3.211e+5,3.211e+5,,
814.66,2.372e+5,2.372e+5,,
814.71,1.738e+5,1.738e+5,,
814.76,1.265e+5,1.265e+5,,
814.81,9.130e+4,9.130e+4,,
814.86,6.542e+4,6.542e+4,,
814.91,4.653e+4,4.653e+4,,
814.96,3.284e+4,3.284e+4,,
815.01,2.300e+4,2.300e+4,,
815.06,1.599e+4,1.599e+4,,
815.11,1.103e+4,1.103e+4,,
815.16,7.554e+3,7.554e+3,,
815.21,5.134e+3,5.134e+3,,
815.26,3.462e+3,3.462e+3,,
815.31,2.318e+3,2.318e+3,,
815.36,1.540e+3,1.540e+3,,
815.41,1.015e+3,1.015e+3,,
815.46,6.642e+2,6.642e+2,,
815.51,4.313e+2,4.313e+2,,
815.56,2.780e+2,2.780e+2,,
815.61,1.778e+2,1.778e+2,,
815.66,1.129e+2,1.129e+2,,
815.71,7.112e+1,7.112e+1,,
815.76,4.447e+1,4.447e+1,,
815.81,2.760e+1,2.760e+1,,
815.86,1.700e+1,1.700e+1,,
815.91,1.039e+1,1.039e+1,,
815.96,6.302e+0,6.302e+0,,
816.01,3.794e+0,3.794e+0,,
816.06,2.267e+0,2.267e+0,,
816.11,1.344e+0,1.344e+0,,
816.16,7.912e-1,7.912e-1,,
816.21,4.622e-1,4.622e-1,,
816.26,2.679e-1,2.679e-1,,
816.31,1.541e-1,1.541e-1,,
816.36,8.801e-2,8.801e-2,,
816.41,4.987e-2,4.987e-2,,
816.46,2.805e-2,2.805e-2,,
816.51,1.566e-2,1.566e-2,,
816.56,8.673e-3,8.673e-3,,
816.61,4.768e-3,4.768e-3,,
816.66,2.602e-3,2.602e-3,,
816.71,1.409e-3,1.409e-3,,
816.76,7.572e-4,7.572e-4,,
816.81,4.039e-4,4.039e-4,,
816.86,2.138e-4,2.138e-4,,
816.91,1.123e-4,1.123e-4,,
816.96,5.856e-5,5.856e-5,,
817.01,3.031e-5,3.031e-5,,
817.06,1.556e-5,1.556e-5,,
817.11,7.933e-6,7.933e-6,,
817.16,4.013e-6,4.013e-6,,
817.21,2.015e-6,2.015e-6,,
817.26,1.004e-6,1.004e-6,,
817.31,4.964e-7,4.964e-7,,
817.36,2.436e-7,2.436e-7,,
817.41,1.187e-7,1.187e-7,,
817.46,5.736e-8,5.736e-8,,
817.51,2.752e-8,2.752e-8,,
817.66,5.460e-42,,5.460e-42,
817.71,1.127e-41,,1.127e-41,
817.76,2.310e-41,,2.310e-41,
817.81,4.699e-41,,4.699e-41,
817.86,9.489e-41,,9.489e-41,
817.91,1.902e-40,,1.902e-40,
817.96,3.784e-40,,3.784e-40,
818.01,7.473e-40,,7.473e-40,
818.06,1.465e-39,,1.465e-39,
818.11,2.851e-39,,2.851e-39,
818.17,6.277e-39,,6.277e-39,
818.22,1.202e-38,,1.202e-38,
818.27,2.284e-38,,2.284e-38,
818.32,4.309e-38,,4.309e-38,
818.37,8.069e-38,,8.069e-38,
818.42,1.500e-37,,1.500e-37,
818.47,2.768e-37,,2.768e-37,
818.52,5.069e-37,,5.069e-37,
818.57,9.216e-37,,9.216e-37,
818.62,1.663e-36,,1.663e-36,
818.67,2.980e-36,,2.980e-36,
818.72,5.298e-36,,5.298e-36,
818.77,9.352e-36,,9.352e-36,
818.82,1.639e-35,,1.639e-35,
818.87,2.850e-35,,2.850e-35,
818.92,4.920e-35,,4.920e-35,
818.97,8.432e-35,,8.432e-35,
819.02,1.434e-34,,1.434e-34,
819.07,2.422e-34,,2.422e-34,
819.12,4.060e-34,,4.060e-34,
819.17,6.755e-34,,6.755e-34,
819.22,1.116e-33,,1.116e-33,
819.27,1.829e-33,,1.829e-33,
819.32,2.977e-33,,2.977e-33,
819.37,4.808e-33,,4.808e-33,
819.42,7.710e-33,,7.710e-33,
819.47,1.227e-32,,1.227e-32,
819.52,1.939e-32,,1.939e-32,
819.57,3.041e-32,,3.041e-32,
819.62,4.734e-32,,4.734e-32,
819.67,7.315e-32,,7.315e-32,
819.72,1.122e-31,,1.122e-31,
819.77,1.709e-31,,1.709e-31,
819.82,2.582e-31,,2.582e-31,
819.87,3.874e-31,,3.874e-31,
819.92,5.770e-31,,5.770e-31,
819.97,8.530e-31,,8.530e-31,
820.02,1.252e-30,,1.252e-30,
820.07,1.823e-30,,1.823e-30,
820.12,2.636e-30,,2.636e-30,
820.17,3.784e-30,,3.784e-30,
820.22,5.390e-30,,5.390e-30,
820.27,7.623e-30,,7.623e-30,
820.32,1.070e-29,,1.070e-29,
820.37,1.491e-29,,1.491e-29,
820.42,2.062e-29,,2.062e-29,
820.47,2.832e-29,,2.832e-29,
820.52,3.859e-29,,3.859e-29,
820.57,5.221e-29,,5.221e-29,
820.62,7.012e-29,,7.012e-29,
820.67,9.347e-29,,9.347e-29,
820.72,1.237e-28,,1.237e-28,
820.77,1.624e-28,,1.624e-28,
820.82,2.118e-28,,2.118e-28,
820.87,2.741e-28,,2.741e-28,
820.92,3.521e-28,,3.521e-28,
820.97,4.490e-28,,4.490e-28,
821.02,5.684e-28,,5.684e-28,
821.07,7.142e-28,,7.142e-28,
821.12,8.908e-28,,8.908e-28,
821.17,1.103e-27,,1.103e-27,
821.22,1.355e-27,,1.355e-27,
821.27,1.653e-27,,1.653e-27,
821.32,2.002e-27,,2.002e-27,
821.37,2.407e-27,,2.407e-27,
821.42,2.871e-27,,2.871e-27,
821.47,3.401e-27,,3.401e-27,
821.52,3.998e-27,,3.998e-27,
821.57,4.666e-27,,4.666e-27,
821.62,5.405e-27,,5.405e-27,
821.67,6.215e-27,,6.215e-27,
821.72,7.094e-27,,7.094e-27,
821.77,8.037e-27,,8.037e-27,
821.82,9.039e-27,,9.039e-27,
821.87,1.009e-26,,1.009e-26,
821.92,1.118e-26,,1.118e-26,
821.97,1.230e-26,,1.230e-26,
822.02,1.343e-26,,1.343e-26,
822.07,1.456e-26,,1.456e-26,
822.12,1.566e-26,,1.566e-26,
822.17,1.673e-26,,1.673e-26,
822.22,1.773e-26,,1.773e-26,
822.27,1.866e-26,,1.866e-26,
822.32,1.949e-26,,1.949e-26,
822.37,2.021e-26,,2.021e-26,
822.42,2.080e-26,,2.080e-26,
822.47,2.125e-26,,2.125e-26,
822.52,2.155e-26,,2.155e-26,
822.57,2.170e-26,,2.170e-26,
822.62,2.168e-26,,2.168e-26,
822.67,2.151e-26,,2.151e-26,
822.72,2.118e-26,,2.118e-26,
822.77,2.070e-26,,2.070e-26,
822.82,2.008e-26,,2.008e-26,
822.87,1.934e-26,,1.934e-26,
822.92,1.848e-26,,1.848e-26,
822.97,1.754e-26,,1.754e-26,
823.02,1.652e-26,,1.652e-26,
823.07,1.545e-26,,1.545e-26,
823.12,1.433e-26,,1.433e-26,4.357e-98
823.17,1.321e-26,,1.321e-26,8.974e-98
823.22,1.208e-26,,1.208e-26,3.815e-97
823.27,1.096e-26,,1.096e-26,2.645e-96
823.32,9.878e-27,,9.878e-27,5.423e-96
823.37,8.835e-27,,8.835e-27,1.104e-95
823.42,7.844e-27,,7.844e-27,2.230e-95
823.47,6.913e-27,,6.913e-27,4.474e-95
823.52,6.047e-27,,6.047e-27,8.909e-95
823.57,5.251e-27,,5.251e-27,1.762e-94
823.62,4.527e-27,,4.527e-27,3.458e-94
823.67,3.873e-27,,3.873e-27,6.738e-94
823.72,3.290e-27,,3.290e-27,1.304e-93
823.77,2.773e-27,,2.773e-27,2.504e-93
823.82,2.321e-27,,2.321e-27,4.775e-93
823.87,1.928e-27,,1.928e-27,9.039e-93
823.92,1.590e-27,,1.590e-27,1.699e-92
823.97,1.301e-27,,1.301e-27,3.170e-92
824.02,1.057e-27,,1.057e-27,5.872e-92
824.07,8.528e-28,,8.528e-28,1.080e-91
824.12,6.827e-28,,6.827e-28,1.972e-91
824.17,5.425e-28,,5.425e-28,3.574e-91
824.22,4.280e-28,,4.280e-28,6.432e-91
824.27,3.351e-28,,3.351e-28,1.149e-90
824.32,2.605e-28,,2.605e-28,2.038e-90
824.37,2.010e-28,,2.010e-28,3.589e-90
824.42,1.539e-28,,1.539e-28,6.274e-90
824.47,1.170e-28,,1.170e-28,1.089e-89
824.52,8.830e-29,,8.830e-29,1.876e-89
824.57,6.614e-29,,6.614e-29,3.209e-89
824.62,4.918e-29,,4.918e-29,5.450e-89
824.67,3.630e-29,,3.630e-29,9.188e-89
824.72,2.659e-29,,2.659e-29,1.538e-88
824.77,1.934e-29,,1.934e-29,2.555e-88
824.82,1.396e-29,,1.396e-29,4.215e-88
824.87,1.001e-29,,1.001e-29,6.904e-88
824.92,7.117e-30,,7.117e-30,1.122e-87
824.97,5.025e-30,,5.025e-30,1.812e-87
825.02,3.522e-30,,3.522e-30,2.904e-87
825.07,2.450e-30,,2.450e-30,4.619e-87
825.12,1.692e-30,,1.692e-30,7.296e-87
825.17,1.160e-30,,1.160e-30,1.144e-86
825.22,7.893e-31,,7.893e-31,1.781e-86
825.27,5.331e-31,,5.331e-31,2.752e-86
825.32,3.575e-31,,3.575e-31,4.222e-86
825.37,2.379e-31,,2.379e-31,6.431e-86
825.42,1.572e-31,,1.572e-31,9.725e-86
825.47,1.031e-31,,1.031e-31,1.460e-85
825.52,6.709e-32,,6.709e-32,2.176e-85
825.57,4.335e-32,,4.335e-32,3.219e-85
825.62,2.781e-32,,2.781e-32,4.729e-85
825.67,1.770e-32,,1.770e-32,6.896e-85
825.72,1.119e-32,,1.119e-32,9.983e-85
825.77,7.019e-33,,7.019e-33,1.435e-84
825.82,4.371e-33,,4.371e-33,2.047e-84
825.87,2.702e-33,,2.702e-33,2.900e-84
825.92,1.658e-33,,1.658e-33,4.078e-84
825.97,1.010e-33,,1.010e-33,5.693e-84
826.02,6.105e-34,,6.105e-34,7.891e-84
826.07,3.664e-34,,3.664e-34,1.086e-83
826.12,2.183e-34,,2.183e-34,1.483e-83
826.17,1.291e-34,,1.291e-34,2.011e-83
826.22,7.576e-35,,7.576e-35,2.708e-83
826.27,4.414e-35,,4.414e-35,3.619e-83
826.32,2.553e-35,,2.553e-35,4.803e-83
826.37,1.466e-35,,1.466e-35,6.327e-83
826.42,8.353e-36,,8.353e-36,8.274e-83
826.47,4.725e-36,,4.725e-36,1.074e-82
826.52,2.653e-36,,2.653e-36,1.385e-82
826.57,1.479e-36,,1.479e-36,1.772e-82
826.62,8.182e-37,,8.182e-37,2.251e-82
826.67,4.494e-37,,4.494e-37,2.838e-82
826.72,2.450e-37,,2.450e-37,3.553e-82
826.77,1.326e-37,,1.326e-37,4.417e-82
826.82,7.122e-38,,7.122e-38,5.450e-82
826.87,3.797e-38,,3.797e-38,6.676e-82
826.92,2.010e-38,,2.010e-38,8.119e-82
826.97,1.056e-38,,1.056e-38,9.802e-82
827.02,5.507e-39,,5.507e-39,1.175e-81
827.07,2.851e-39,,2.851e-39,1.398e-81
827.12,1.465e-39,,1.465e-39,1.651e-81
827.17,7.473e-40,,7.473e-40,1.937e-81
827.22,3.784e-40,,3.784e-40,2.255e-81
827.27,1.902e-40,,1.902e-40,2.606e-81
827.32,9.489e-41,,9.489e-41,2.990e-81
827.37,4.699e-41,,4.699e-41,3.406e-81
827.42,2.310e-41,,2.310e-41,3.852e-81
827.47,1.127e-41,,1.127e-41,4.325e-81
827.52,5.460e-42,,5.460e-42,4.820e-81
827.57,5.333e-81,,,5.333e-81
827.62,5.858e-81,,,5.858e-81
827.67,6.388e-81,,,6.388e-81
827.72,6.916e-81,,,6.916e-81
827.77,7.433e-81,,,7.433e-81
827.82,7.931e-81,,,7.931e-81
827.87,8.401e-81,,,8.401e-81
827.92,8.834e-81,,,8.834e-81
827.97,9.222e-81,,,9.222e-81
828.02,9.558e-81,,,9.558e-81
828.07,9.834e-81,,,9.834e-81
828.12,1.004e-80,,,1.004e-80
828.17,1.019e-80,,,1.019e-80
828.22,1.025e-80,,,1.025e-80
828.27,1.025e-80,,,1.025e-80
828.32,1.017e-80,,,1.017e-80
828.37,1.001e-80,,,1.001e-80
828.42,9.791e-81,,,9.791e-81
828.47,9.504e-81,,,9.504e-81
828.52,9.159e-81,,,9.159e-81
828.57,8.763e-81,,,8.763e-81
828.62,8.322e-81,,,8.322e-81
828.67,7.847e-81,,,7.847e-81
828.72,7.345e-81,,,7.345e-81
828.77,6.826e-81,,,6.826e-81
828.82,6.297e-81,,,6.297e-81
828.87,5.767e-81,,,5.767e-81
828.92,5.243e-81,,,5.243e-81
828.97,4.733e-81,,,4.733e-81
829.02,4.241e-81,,,4.241e-81
829.07,3.772e-81,,,3.772e-81
829.12,3.332e-81,,,3.332e-81
829.17,2.921e-81,,,2.921e-81
829.22,2.542e-81,,,2.542e-81
829.27,2.197e-81,,,2.197e-81
829.32,1.884e-81,,,1.884e-81
829.37,1.605e-81,,,1.605e-81
829.42,1.356e-81,,,1.356e-81
829.47,1.138e-81,,,1.138e-81
829.52,9.485e-82,,,9.485e-82
829.57,7.846e-82,,,7.846e-82
829.62,6.442e-82,,,6.442e-82
829.67,5.252e-82,,,5.252e-82
829.72,4.250e-82,,,4.250e-82
829.77,3.415e-82,,,3.415e-82
829.82,2.723e-82,,,2.723e-82
829.87,2.156e-82,,,2.156e-82
829.92,1.695e-82,,,1.695e-82
829.97,1.323e-82,,,1.323e-82
830.02,1.025e-82,,,1.025e-82
830.07,7.881e-83,,,7.881e-83
830.12,6.017e-83,,,6.017e-83
830.17,4.561e-83,,,4.561e-83
830.22,3.432e-83,,,3.432e-83
830.27,2.564e-83,,,2.564e-83
830.32,1.901e-83,,,1.901e-83
830.37,1.400e-83,,,1.400e-83
830.42,1.023e-83,,,1.023e-83
830.47,7.423e-84,,,7.423e-84
830.52,5.347e-84,,,5.347e-84
830.57,3.823e-84,,,3.823e-84
830.62,2.714e-84,,,2.714e-84
830.67,1.913e-84,,,1.913e-84
830.72,1.338e-84,,,1.338e-84
830.77,9.295e-85,,,9.295e-85
830.82,6.409e-85,,,6.409e-85
830.87,4.387e-85,,,4.387e-85
830.92,2.982e-85,,,2.982e-85
830.97,2.011e-85,,,2.011e-85
831.02,1.347e-85,,,1.347e-85
831.07,8.957e-86,,,8.957e-86
831.12,5.912e-86,,,5.912e-86
831.17,3.874e-86,,,3.874e-86
831.22,2.520e-86,,,2.520e-86
831.27,1.628e-86,,,1.628e-86
831.32,1.043e-86,,,1.043e-86
831.37,6.641e-87,,,6.641e-87
831.42,4.196e-87,,,4.196e-87
831.47,2.632e-87,,,2.632e-87
831.52,1.639e-87,,,1.639e-87
831.57,1.013e-87,,,1.013e-87
831.62,6.218e-88,,,6.218e-88
831.67,3.789e-88,,,3.789e-88
831.72,2.291e-88,,,2.291e-88
831.77,1.376e-88,,,1.376e-88
831.82,8.202e-89,,,8.202e-89
831.87,4.854e-89,,,4.854e-89
831.92,2.851e-89,,,2.851e-89
831.97,1.663e-89,,,1.663e-89
