Wavelength (nm),Sum,Al I (6.4e-02),Al II (4.4e-01),Al III (1.3e-05),Cr I (4.5e-02),Cr II (4.6e-01)
207.57,1.180e+5,,1.180e+5,7.129e-6,,3.755e-2
207.62,7.499e+4,,7.499e+4,4.170e-6,,3.242e-3
207.67,4.243e+4,,4.243e+4,2.172e-6,,2.490e-4
207.72,2.137e+4,,2.137e+4,1.007e-6,,1.701e-5
207.77,9.583e+3,,9.583e+3,4.156e-7,,1.033e-6
207.82,3.826e+3,,3.826e+3,1.528e-7,,
207.87,1.360e+3,,1.360e+3,4.999e-8,,
207.92,4.302e+2,,4.302e+2,1.457e-8,,
207.97,1.212e+2,,1.212e+2,3.779e-9,,
208.02,3.038e+1,,3.038e+1,8.735e-10,,
208.07,6.783e+0,,6.783e+0,1.847e-10,,
208.12,1.348e+0,,1.348e+0,6.746e-11,,
208.17,2.385e-1,,2.385e-1,2.096e-10,,
208.22,3.758e-2,,3.758e-2,1.076e-9,,
208.27,5.270e-3,,5.270e-3,5.049e-9,,
208.32,6.580e-4,,6.580e-4,2.114e-8,,
208.37,7.397e-5,,7.389e-5,7.893e-8,,
208.42,1.574e-5,,1.548e-5,2.628e-7,,
208.47,8.012e-5,,7.934e-5,7.804e-7,,
208.52,6.735e-4,,6.715e-4,2.067e-6,,
208.57,5.123e-3,,5.118e-3,4.881e-6,,
208.62,3.488e-2,,3.486e-2,1.028e-5,,
208.67,2.123e-1,,2.123e-1,1.933e-5,,
208.72,1.156e+0,,1.156e+0,3.246e-5,,
208.77,5.626e+0,,5.626e+0,4.877e-5,,
208.82,2.449e+1,,2.449e+1,6.581e-5,,
208.87,9.541e+1,,9.541e+1,8.043e-5,,
208.92,3.326e+2,,3.326e+2,9.057e-5,,
208.97,1.038e+3,,1.038e+3,9.687e-5,,
209.02,2.899e+3,,2.899e+3,1.028e-4,,
209.07,7.252e+3,,7.252e+3,1.127e-4,,
209.12,1.626e+4,,1.626e+4,1.285e-4,,
209.17,3.265e+4,,3.265e+4,1.473e-4,,
209.22,5.878e+4,,5.878e+4,1.622e-4,,
209.27,9.488e+4,,9.488e+4,1.657e-4,,
209.32,1.373e+5,,1.373e+5,1.540e-4,,
