Wavelength (nm),Sum,Al I (6.4e-02),Al II (4.4e-01),Al III (1.3e-05),Cr I (4.5e-02),Cr II (4.6e-01)
275.74,6.359e+7,,,3.408e-6,6.359e+7,8.608e-2
275.79,6.036e+7,,,6.724e-6,6.036e+7,1.606e-2
275.84,5.598e+7,,,1.243e-5,5.598e+7,2.805e-3
275.89,5.153e+7,,,2.151e-5,5.153e+7,4.583e-4
275.94,4.815e+7,,,3.487e-5,4.815e+7,7.007e-5
275.99,4.662e+7,,,5.294e-5,4.662e+7,1.003e-5
276.04,4.719e+7,,,7.529e-5,4.719e+7,1.343e-6
276.09,4.953e+7,,,1.003e-4,4.953e+7,1.682e-7
276.14,5.299e+7,,,1.251e-4,5.299e+7,1.973e-8
276.19,5.673e+7,,,1.462e-4,5.673e+7,
276.24,5.998e+7,,,1.601e-4,5.998e+7,
276.29,6.212e+7,,,1.641e-4,6.212e+7,
276.34,6.270e+7,,,1.576e-4,6.270e+7,
276.39,6.152e+7,,,1.417e-4,6.152e+7,
276.44,5.870e+7,,,1.194e-4,5.870e+7,
276.49,5.473e+7,,,9.420e-5,5.473e+7,
276.54,5.053e+7,,,6.961e-5,5.053e+7,
276.59,4.734e+7,,,4.819e-5,4.734e+7,
276.64,4.645e+7,,,3.124e-5,4.645e+7,
276.69,4.889e+7,,,1.897e-5,4.889e+7,
276.74,5.496e+7,,,1.079e-5,5.496e+7,
276.79,6.406e+7,,,5.748e-6,6.406e+7,
276.84,7.466e+7,,,2.868e-6,7.466e+7,
276.89,8.457e+7,,,1.341e-6,8.457e+7,
276.94,9.149e+7,,,5.868e-7,9.149e+7,
276.99,9.363e+7,,,2.406e-7,9.363e+7,
277.04,9.022e+7,,,9.240e-8,9.022e+7,
277.09,8.163e+7,,,3.323e-8,8.163e+7,2.780e-8
277.14,6.929e+7,,,1.120e-8,6.929e+7,2.309e-7
277.19,5.513e+7,,,3.533e-9,5.513e+7,1.798e-6
277.24,4.112e+7,,,1.044e-9,4.112e+7,1.313e-5
277.29,2.878e+7,,,2.891e-10,2.878e+7,8.990e-5
277.34,1.897e+7,,,7.496e-11,1.897e+7,5.772e-4
277.39,1.194e+7,,,1.820e-11,1.194e+7,3.475e-3
277.44,7.585e+6,,,4.141e-12,7.585e+6,1.962e-2
277.49,5.662e+6,,,8.823e-13,5.662e+6,1.039e-1
277.54,6.093e+6,,,1.761e-13,6.093e+6,5.155e-1
277.59,9.100e+6,,,3.291e-14,9.100e+6,2.399e+0
277.64,1.524e+7,,,5.761e-15,1.524e+7,1.047e+1
277.69,2.524e+7,,,9.447e-16,2.524e+7,4.285e+1
277.74,3.977e+7,,,1.451e-16,3.977e+7,1.644e+2
277.79,5.893e+7,,,2.087e-17,5.893e+7,5.917e+2
277.84,8.193e+7,,,2.812e-18,8.192e+7,1.996e+3
277.89,1.068e+8,,,3.549e-19,1.068e+8,6.316e+3
277.94,1.305e+8,,,4.196e-20,1.305e+8,1.874e+4
277.99,1.495e+8,,,,1.495e+8,5.212e+4
278.04,1.606e+8,,,,1.605e+8,1.359e+5
278.09,1.619e+8,,,,1.615e+8,3.325e+5
278.14,1.532e+8,,,,1.524e+8,7.625e+5
278.19,1.364e+8,,,,1.348e+8,1.640e+6
278.24,1.150e+8,,,,1.117e+8,3.307e+6
278.29,9.308e+7,,,,8.683e+7,6.252e+6
278.34,7.433e+7,,,,6.325e+7,1.108e+7
278.39,6.161e+7,,,,4.319e+7,1.843e+7
278.44,5.637e+7,,,,2.764e+7,2.873e+7
278.49,5.858e+7,,,,1.659e+7,4.199e+7
278.54,6.688e+7,,,,9.328e+6,5.756e+7
278.59,7.889e+7,,,,4.918e+6,7.397e+7
278.64,9.158e+7,,,,2.430e+6,8.915e+7
278.69,1.019e+8,,,,1.126e+6,1.007e+8
278.74,1.072e+8,,,,4.889e+5,1.067e+8
278.79,1.063e+8,,,,1.990e+5,1.061e+8
278.84,9.889e+7,,,,7.593e+4,9.881e+7
278.89,8.635e+7,,,,2.716e+4,8.632e+7
278.94,7.072e+7,,,,9.104e+3,7.071e+7
278.99,5.432e+7,,,,2.861e+3,5.432e+7
279.04,3.912e+7,,,,8.429e+2,3.912e+7
279.09,2.642e+7,,,,2.328e+2,2.642e+7
279.14,1.673e+7,,,,6.026e+1,1.673e+7
279.19,9.936e+6,,,,1.462e+1,9.936e+6
279.24,5.533e+6,,,,3.326e+0,5.533e+6
279.29,2.889e+6,,,,7.091e-1,2.889e+6
279.34,1.414e+6,,,,1.417e-1,1.414e+6
279.39,6.492e+5,,,,2.655e-2,6.492e+5
279.44,2.795e+5,,,,4.662e-3,2.795e+5
279.49,1.128e+5,,,,7.675e-4,1.128e+5
279.54,4.269e+4,,,,1.184e-4,4.269e+4
279.59,1.515e+4,,,,1.713e-5,1.515e+4
279.64,5.042e+3,,,,2.323e-6,5.042e+3
279.69,1.573e+3,,,,2.952e-7,1.573e+3
279.74,4.604e+2,,,,3.517e-8,4.604e+2
279.79,1.263e+2,,,,,1.263e+2
279.84,3.250e+1,,,,,3.250e+1
279.89,7.839e+0,,,,,7.839e+0
279.94,1.773e+0,,3.989e-9,,,1.773e+0
279.99,3.761e-1,,3.215e-8,,,3.761e-1
280.04,7.480e-2,,2.433e-7,,,7.480e-2
280.09,1.395e-2,,1.728e-6,,,1.395e-2
280.14,2.451e-3,,1.153e-5,,,2.439e-3
280.19,4.722e-4,,7.219e-5,,,4.000e-4
280.24,4.860e-4,,4.245e-4,,,6.150e-5
280.29,2.352e-3,,2.343e-3,,,8.867e-6
280.34,1.215e-2,,1.215e-2,,,1.199e-6
280.39,5.911e-2,,5.911e-2,,,1.520e-7
280.44,2.701e-1,,2.701e-1,,,1.806e-8
280.49,1.159e+0,,1.159e+0,,,
280.54,4.668e+0,,4.668e+0,,,8.557e-8
280.59,1.765e+1,,1.765e+1,,,7.007e-7
280.64,6.269e+1,,6.269e+1,,,5.389e-6
280.69,2.090e+2,,2.090e+2,,,3.892e-5
280.74,6.542e+2,,6.542e+2,,,2.640e-4
280.79,1.923e+3,,1.923e+3,,,1.682e-3
280.84,5.305e+3,,5.305e+3,,,1.006e-2
280.89,1.375e+4,,1.375e+4,,,5.654e-2
280.94,3.344e+4,,3.344e+4,,,2.984e-1
280.99,7.637e+4,,7.636e+4,,,1.479e+0
281.04,1.638e+5,,1.638e+5,,,6.883e+0
281.09,3.297e+5,,3.297e+5,,,3.009e+1
281.14,6.233e+5,,6.232e+5,,,1.235e+2
281.19,1.107e+6,,1.106e+6,,,4.762e+2
281.24,1.845e+6,,1.843e+6,,,1.724e+3
281.29,2.890e+6,,2.884e+6,,,5.864e+3
281.34,4.255e+6,,4.236e+6,,,1.873e+4
281.39,5.899e+6,,5.843e+6,,,5.618e+4
281.44,7.725e+6,,7.566e+6,,,1.583e+5
281.49,9.618e+6,,9.199e+6,,,4.187e+5
281.54,1.154e+7,,1.050e+7,,,1.040e+6
281.59,1.368e+7,,1.126e+7,,,2.428e+6
281.64,1.665e+7,,1.133e+7,,,5.320e+6
281.69,2.165e+7,,1.070e+7,,,1.095e+7
281.74,3.066e+7,,9.494e+6,,,2.117e+7
281.79,4.633e+7,,7.908e+6,,,3.843e+7
281.84,7.170e+7,,6.184e+6,,,6.552e+7
281.89,1.094e+8,,4.541e+6,,,1.049e+8
281.94,1.609e+8,,3.130e+6,,,1.578e+8
281.99,2.248e+8,,2.026e+6,,,2.228e+8
282.04,2.967e+8,,1.231e+6,,,2.955e+8
282.09,3.688e+8,,7.025e+5,,,3.681e+8
282.14,4.310e+8,,3.764e+5,,,4.307e+8
282.19,4.734e+8,,1.893e+5,,,4.732e+8
282.24,4.884e+8,,8.940e+4,,,4.883e+8
282.29,4.732e+8,,3.964e+4,,,4.732e+8
282.34,4.307e+8,,1.650e+4,,,4.307e+8
282.39,3.681e+8,,6.451e+3,,,3.681e+8
282.44,2.955e+8,,2.367e+3,,,2.955e+8
282.49,2.228e+8,,8.157e+2,,,2.228e+8
282.54,1.578e+8,,2.639e+2,,,1.578e+8
282.59,1.049e+8,,8.016e+1,,,1.049e+8
282.64,6.563e+7,,2.286e+1,,,6.563e+7
282.69,3.877e+7,,6.121e+0,,,3.877e+7
282.74,2.216e+7,,1.539e+0,,,2.216e+7
282.79,1.363e+7,,3.633e-1,,,1.363e+7
282.84,1.208e+7,,8.051e-2,,,1.208e+7
282.89,1.847e+7,,1.675e-2,,,1.847e+7
282.94,3.682e+7,,3.273e-3,,,3.682e+7
282.99,7.540e+7,,6.004e-4,,,7.540e+7
283.04,1.478e+8,,1.034e-4,,,1.478e+8
283.09,2.734e+8,,1.672e-5,,,2.734e+8
283.14,4.754e+8,,2.539e-6,,,4.754e+8
283.19,7.770e+8,,3.619e-7,,,7.770e+8
283.24,1.194e+9,,4.843e-8,,,1.194e+9
283.29,1.723e+9,,6.086e-9,,,1.723e+9
283.34,2.337e+9,,,,,2.337e+9
283.39,2.981e+9,,,,,2.981e+9
283.44,3.574e+9,,,,,3.574e+9
283.49,4.030e+9,,,,,4.030e+9
283.54,4.276e+9,,,,,4.276e+9
283.59,4.274e+9,,,,,4.274e+9
283.64,4.031e+9,,,,,4.031e+9
283.69,3.601e+9,,,,,3.601e+9
283.74,3.062e+9,,,,,3.062e+9
283.79,2.505e+9,,,,,2.505e+9
283.84,2.003e+9,,,,,2.003e+9
283.89,1.607e+9,,,,,1.607e+9
283.94,1.335e+9,,,,,1.335e+9
283.99,1.183e+9,,,,,1.183e+9
284.04,1.130e+9,,,,,1.130e+9
284.09,1.149e+9,,,,,1.149e+9
284.14,1.207e+9,,,,,1.207e+9
284.19,1.275e+9,,,,,1.275e+9
284.24,1.324e+9,,,,,1.324e+9
284.29,1.334e+9,,,,,1.334e+9
284.34,1.291e+9,,,,,1.291e+9
284.39,1.198e+9,,,,,1.198e+9
284.44,1.067e+9,,,,,1.067e+9
284.49,9.217e+8,,,,,9.217e+8
284.54,7.923e+8,,,,,7.923e+8
284.59,7.065e+8,,,,,7.065e+8
284.64,6.856e+8,,,,,6.856e+8
284.69,7.395e+8,,,,,7.395e+8
284.74,8.640e+8,,,,,8.640e+8
284.79,1.041e+9,,,,,1.041e+9
284.84,1.241e+9,,,,,1.241e+9
284.89,1.429e+9,,,,,1.429e+9
284.94,1.570e+9,,,,,1.570e+9
284.99,1.636e+9,,,,,1.636e+9
285.04,1.615e+9,,,,,1.615e+9
285.09,1.509e+9,,,,,1.509e+9
285.14,1.337e+9,,,,,1.337e+9
285.19,1.126e+9,,,,,1.126e+9
285.24,9.053e+8,,,,,9.053e+8
285.29,7.020e+8,,,,,7.020e+8
285.34,5.349e+8,,,,,5.349e+8
285.39,4.137e+8,,,,,4.137e+8
285.44,3.395e+8,,,,5.355e-9,3.395e+8
285.49,3.070e+8,,,,4.182e-8,3.070e+8
285.54,3.071e+8,,,,3.074e-7,3.071e+8
285.59,3.295e+8,,,,2.127e-6,3.295e+8
285.64,3.656e+8,,,,1.385e-5,3.656e+8
285.69,4.107e+8,,,,8.488e-5,4.107e+8
285.74,4.643e+8,,,,4.896e-4,4.643e+8
285.79,5.298e+8,,,,2.658e-3,5.298e+8
285.84,6.131e+8,,,,1.358e-2,6.131e+8
285.89,7.187e+8,,,,6.530e-2,7.187e+8
285.94,8.472e+8,,,,2.955e-1,8.472e+8
285.99,9.929e+8,,,,1.259e+0,9.929e+8
286.04,1.144e+9,,,,5.046e+0,1.144e+9
286.09,1.284e+9,,,,1.904e+1,1.284e+9
286.14,1.396e+9,,,,6.761e+1,1.396e+9
286.19,1.469e+9,,,,2.260e+2,1.469e+9
286.24,1.502e+9,,,,7.107e+2,1.502e+9
286.29,1.503e+9,,,,2.104e+3,1.503e+9
286.34,1.490e+9,,,,5.863e+3,1.490e+9
286.39,1.485e+9,,,,1.537e+4,1.485e+9
286.44,1.507e+9,,,,3.794e+4,1.507e+9
286.49,1.563e+9,,,,8.814e+4,1.563e+9
286.54,1.648e+9,,,,1.927e+5,1.647e+9
286.59,1.742e+9,,,,3.965e+5,1.742e+9
286.64,1.820e+9,,,,7.678e+5,1.820e+9
286.69,1.858e+9,,,,1.399e+6,1.857e+9
286.74,1.840e+9,,,,2.400e+6,1.838e+9
286.79,1.763e+9,,,,3.876e+6,1.760e+9
286.84,1.637e+9,,,,5.889e+6,1.631e+9
286.89,1.478e+9,,,,8.422e+6,1.470e+9
286.94,1.305e+9,,,,1.134e+7,1.294e+9
286.99,1.133e+9,,,,1.436e+7,1.119e+9
287.04,9.719e+8,,,,1.712e+7,9.547e+8
287.09,8.249e+8,,,,1.922e+7,8.057e+8
287.14,6.933e+8,,,,2.030e+7,6.730e+8
287.19,5.769e+8,,,,2.020e+7,5.567e+8
287.24,4.753e+8,,,,1.895e+7,4.563e+8
287.29,3.884e+8,,,,1.681e+7,3.715e+8
287.34,3.160e+8,,,,1.419e+7,3.018e+8
287.39,2.578e+8,,,,1.158e+7,2.462e+8
287.44,2.129e+8,,,,9.461e+6,2.034e+8
287.49,1.807e+8,,,,8.216e+6,1.724e+8
287.54,1.606e+8,,,,8.114e+6,1.525e+8
287.59,1.523e+8,,,,9.271e+6,1.431e+8
287.64,1.553e+8,,,,1.164e+7,1.436e+8
287.69,1.681e+8,,,,1.498e+7,1.532e+8
287.74,1.890e+8,,,,1.888e+7,1.701e+8
287.79,2.149e+8,,,,2.279e+7,1.921e+8
287.84,2.422e+8,,,,2.607e+7,2.161e+8
287.89,2.670e+8,,,,2.815e+7,2.388e+8
287.94,2.856e+8,,,,2.866e+7,2.570e+8
287.99,2.950e+8,,,,2.751e+7,2.675e+8
288.04,2.929e+8,,,,2.492e+7,2.680e+8
288.09,2.790e+8,,,,2.138e+7,2.576e+8
288.14,2.543e+8,,,,1.752e+7,2.368e+8
288.19,2.214e+8,,,,1.403e+7,2.074e+8
288.24,1.842e+8,,,,1.149e+7,1.728e+8
288.29,1.469e+8,,,,1.041e+7,1.365e+8
288.34,1.134e+8,,,,1.118e+7,1.022e+8
288.39,8.649e+7,,,,1.412e+7,7.237e+7
288.44,6.789e+7,,,,1.948e+7,4.842e+7
288.49,5.803e+7,,,,2.745e+7,3.058e+7
288.54,5.633e+7,,,,3.812e+7,1.822e+7
288.59,6.155e+7,,,,5.132e+7,1.024e+7
288.64,7.202e+7,,,,6.660e+7,5.420e+6
288.69,8.579e+7,,,,8.309e+7,2.704e+6
288.74,1.008e+8,,,,9.953e+7,1.271e+6
288.79,1.150e+8,,,,1.144e+8,5.633e+5
288.84,1.264e+8,,,,1.262e+8,2.358e+5
288.89,1.339e+8,,,,1.338e+8,9.539e+4
288.94,1.369e+8,,,,1.369e+8,4.375e+4
288.99,1.359e+8,,,,1.359e+8,3.951e+4
289.04,1.322e+8,,,,1.321e+8,7.854e+4
289.09,1.273e+8,,,,1.271e+8,1.912e+5
289.14,1.229e+8,,,,1.224e+8,4.561e+5
289.19,1.198e+8,,,,1.188e+8,1.030e+6
289.24,1.185e+8,,,,1.163e+8,2.193e+6
289.29,1.186e+8,,,,1.142e+8,4.400e+6
289.34,1.198e+8,,,,1.115e+8,8.317e+6
289.39,1.221e+8,,,,1.073e+8,1.481e+7
289.44,1.262e+8,,,,1.013e+8,2.486e+7
289.49,1.330e+8,,,,9.369e+7,3.932e+7
289.54,1.435e+8,,,,8.492e+7,5.858e+7
289.59,1.579e+8,,,,7.570e+7,8.224e+7
289.64,1.754e+8,,,,6.663e+7,1.088e+8
289.69,1.936e+8,,,,5.807e+7,1.356e+8
289.74,2.093e+8,,,,5.012e+7,1.592e+8
289.79,2.190e+8,,,,4.280e+7,1.762e+8
289.84,2.197e+8,,,,3.605e+7,1.837e+8
289.89,2.103e+8,,,,2.986e+7,1.804e+8
289.94,1.913e+8,,,,2.431e+7,1.670e+8
289.99,1.651e+8,,,,1.951e+7,1.456e+8
290.04,1.353e+8,,,,1.562e+7,1.196e+8
290.09,1.054e+8,,,,1.281e+7,9.263e+7
290.14,7.881e+7,,,,1.123e+7,6.757e+7
290.19,5.744e+7,,,,1.099e+7,4.645e+7
290.24,4.219e+7,,,,1.211e+7,3.008e+7
290.29,3.285e+7,,,,1.450e+7,1.835e+7
290.34,2.850e+7,,,,1.794e+7,1.055e+7
290.39,2.786e+7,,,,2.214e+7,5.717e+6
290.44,2.967e+7,,,,2.675e+7,2.918e+6
290.49,3.293e+7,,,,3.152e+7,1.403e+6
290.54,3.700e+7,,,,3.637e+7,6.360e+5
290.59,4.170e+7,,,,4.143e+7,2.715e+5
290.64,4.713e+7,,,,4.702e+7,1.092e+5
290.69,5.357e+7,,,,5.353e+7,4.141e+4
290.74,6.120e+7,,,,6.118e+7,1.479e+4
290.79,6.989e+7,,,,6.989e+7,4.977e+3
290.84,7.914e+7,,,,7.914e+7,1.578e+3
290.89,8.799e+7,,,,8.799e+7,4.719e+2
290.94,9.524e+7,,,,9.524e+7,1.345e+2
290.99,9.967e+7,,,,9.967e+7,4.261e+1
291.04,1.003e+8,,,,1.003e+8,3.780e+1
291.09,9.675e+7,,,,9.675e+7,1.092e+2
291.14,8.916e+7,,,,8.916e+7,3.733e+2
291.19,7.832e+7,,,,7.832e+7,1.224e+3
291.24,6.547e+7,,,,6.547e+7,3.791e+3
291.29,5.201e+7,,,,5.200e+7,1.107e+4
291.34,3.923e+7,,,,3.920e+7,3.050e+4
291.39,2.809e+7,,,,2.801e+7,7.923e+4
291.44,1.915e+7,,,,1.896e+7,1.941e+5
291.49,1.259e+7,,,,1.214e+7,4.485e+5
291.54,8.333e+6,,,,7.355e+6,9.775e+5
291.59,6.220e+6,,,,4.211e+6,2.009e+6
291.64,6.172e+6,,,,2.278e+6,3.894e+6
291.69,8.282e+6,,,,1.164e+6,7.118e+6
291.74,1.283e+7,,,,5.612e+5,1.227e+7
291.79,2.021e+7,,,,2.555e+5,1.996e+7
291.84,3.071e+7,,,,1.097e+5,3.060e+7
291.89,4.430e+7,,,,4.447e+4,4.426e+7
291.94,6.038e+7,,,,1.700e+4,6.037e+7
291.99,7.766e+7,,,,6.131e+3,7.766e+7
292.04,9.422e+7,,,,2.085e+3,9.421e+7
292.09,1.078e+8,,,,6.690e+2,1.078e+8
292.14,1.163e+8,,,,2.024e+2,1.163e+8
292.19,1.184e+8,,,,5.773e+1,1.184e+8
292.24,1.137e+8,,,,1.553e+1,1.137e+8
292.29,1.029e+8,,,,3.939e+0,1.029e+8
292.34,8.794e+7,,,,9.420e-1,8.794e+7
292.39,7.098e+7,,,,2.124e-1,7.098e+7
292.44,5.429e+7,,,,4.517e-2,5.429e+7
292.49,3.967e+7,,,,9.055e-3,3.967e+7
292.54,2.831e+7,,,,1.712e-3,2.831e+7
292.59,2.081e+7,,,,3.051e-4,2.081e+7
292.64,1.729e+7,,,,5.126e-5,1.729e+7
292.69,1.758e+7,,,,8.119e-6,1.758e+7
292.74,2.136e+7,,,,1.213e-6,2.136e+7
292.79,2.818e+7,,,,1.708e-7,2.818e+7
292.84,3.746e+7,,,,2.268e-8,3.746e+7
292.89,4.841e+7,,,,2.012e-9,4.841e+7
292.94,6.023e+7,,,,,6.023e+7
292.99,7.217e+7,,,,,7.217e+7
293.04,8.388e+7,,,,,8.388e+7
293.09,9.552e+7,,,,,9.552e+7
293.14,1.078e+8,,,,,1.078e+8
293.19,1.217e+8,,,,,1.217e+8
293.24,1.379e+8,,,,,1.379e+8
293.3,1.600e+8,,,,,1.600e+8
293.35,1.790e+8,,,,,1.790e+8
293.4,1.956e+8,,,,,1.956e+8
293.45,2.067e+8,,,,,2.067e+8
293.5,2.095e+8,,,,,2.095e+8
293.55,2.024e+8,,,,,2.024e+8
293.6,1.858e+8,,,,,1.858e+8
293.65,1.615e+8,,,,,1.615e+8
293.7,1.329e+8,,,,,1.329e+8
293.75,1.033e+8,,,,,1.033e+8
293.8,7.582e+7,,,,,7.582e+7
293.85,5.255e+7,,,,,5.255e+7
293.9,3.438e+7,,,,,3.438e+7
293.95,2.123e+7,,,,,2.123e+7
294,1.237e+7,,,,,1.237e+7
294.05,6.805e+6,,,,,6.805e+6
294.1,3.532e+6,,,,,3.532e+6
294.15,1.730e+6,,,,,1.730e+6
294.2,7.993e+5,,,,,7.993e+5
294.25,3.486e+5,,,,,3.486e+5
294.3,1.437e+5,,,1.118e-22,,1.437e+5
294.35,5.645e+4,,,8.560e-22,,5.645e+4
294.4,2.273e+4,,,6.192e-21,,2.273e+4
294.45,1.369e+4,,,4.231e-20,,1.369e+4
294.5,2.018e+4,,,2.731e-19,,2.018e+4
294.55,4.622e+4,,,1.665e-18,,4.622e+4
294.6,1.096e+5,,,9.589e-18,,1.096e+5
294.65,2.484e+5,,,5.216e-17,,2.484e+5
294.7,5.323e+5,,,2.680e-16,,5.323e+5
294.75,1.077e+6,,,1.301e-15,,1.077e+6
294.8,2.059e+6,,,5.962e-15,,2.059e+6
294.85,3.716e+6,,,2.582e-14,,3.716e+6
294.9,6.334e+6,,,1.056e-13,,6.334e+6
294.95,1.019e+7,,,4.079e-13,,1.019e+7
295,1.549e+7,,,1.489e-12,3.872e-8,1.549e+7
295.05,2.223e+7,,,5.131e-12,2.777e-7,2.223e+7
295.1,3.012e+7,,,1.670e-11,1.881e-6,3.012e+7
295.15,3.854e+7,,,5.137e-11,1.204e-5,3.854e+7
295.2,4.656e+7,,,1.492e-10,7.284e-5,4.656e+7
295.25,5.312e+7,,,4.095e-10,4.162e-4,5.312e+7
295.3,5.723e+7,,,1.061e-9,2.247e-3,5.723e+7
295.35,5.823e+7,,,2.598e-9,1.146e-2,5.823e+7
295.4,5.594e+7,,,6.008e-9,5.524e-2,5.594e+7
295.45,5.074e+7,,,1.312e-8,2.515e-1,5.074e+7
295.5,4.347e+7,,,2.707e-8,1.082e+0,4.347e+7
295.55,3.516e+7,,,5.276e-8,4.398e+0,3.516e+7
295.6,2.686e+7,,,9.712e-8,1.689e+1,2.686e+7
295.65,1.937e+7,,,1.689e-7,6.128e+1,1.937e+7
295.7,1.320e+7,,,2.773e-7,2.101e+2,1.320e+7
295.75,8.501e+6,,,4.302e-7,6.804e+2,8.501e+6
295.8,5.196e+6,,,6.304e-7,2.082e+3,5.194e+6
295.85,3.060e+6,,,8.726e-7,6.021e+3,3.054e+6
295.9,1.841e+6,,,1.141e-6,1.645e+4,1.825e+6
295.95,1.345e+6,,,1.409e-6,4.246e+4,1.303e+6
296,1.484e+6,,,1.643e-6,1.036e+5,1.381e+6
296.05,2.313e+6,,,1.811e-6,2.387e+5,2.075e+6
296.1,4.039e+6,,,1.884e-6,5.199e+5,3.519e+6
296.15,7.007e+6,,,1.852e-6,1.070e+6,5.937e+6
296.2,1.167e+7,,,1.720e-6,2.082e+6,9.589e+6
296.25,1.851e+7,,,1.509e-6,3.831e+6,1.468e+7
296.3,2.793e+7,,,1.250e-6,6.665e+6,2.126e+7
296.35,4.011e+7,,,9.780e-7,1.097e+7,2.914e+7
296.4,5.491e+7,,,7.229e-7,1.710e+7,3.781e+7
296.45,7.183e+7,,,5.047e-7,2.527e+7,4.656e+7
296.5,9.007e+7,,,3.329e-7,3.544e+7,5.463e+7
296.55,1.088e+8,,,2.073e-7,4.727e+7,6.153e+7
296.6,1.276e+8,,,1.220e-7,6.015e+7,6.741e+7
296.65,1.466e+8,,,6.781e-8,7.328e+7,7.329e+7
296.7,1.671e+8,,,3.560e-8,8.589e+7,8.124e+7
296.75,1.915e+8,,,1.765e-8,9.742e+7,9.407e+7
296.8,2.224e+8,,,8.268e-9,1.076e+8,1.149e+8
296.85,2.623e+8,,,3.658e-9,1.163e+8,1.460e+8
296.9,3.121e+8,,,1.529e-9,1.237e+8,1.884e+8
296.95,3.699e+8,,,6.034e-10,1.296e+8,2.403e+8
297,4.312e+8,,,2.250e-10,1.337e+8,2.975e+8
297.05,4.887e+8,,,7.924e-11,1.358e+8,3.529e+8
297.1,5.344e+8,,,2.636e-11,1.356e+8,3.988e+8
297.15,5.607e+8,,,8.284e-12,1.332e+8,4.275e+8
297.2,5.635e+8,,,2.459e-12,1.293e+8,4.342e+8
297.25,5.424e+8,,,6.893e-13,1.250e+8,4.174e+8
297.3,5.014e+8,,,1.825e-13,1.212e+8,3.802e+8
297.35,4.474e+8,,,4.566e-14,1.186e+8,3.288e+8
297.4,3.889e+8,,,1.079e-14,1.172e+8,2.718e+8
297.45,3.339e+8,,,2.408e-15,1.161e+8,2.178e+8
297.5,2.886e+8,,,5.076e-16,1.143e+8,1.743e+8
297.55,2.571e+8,,,1.011e-16,1.105e+8,1.467e+8
297.6,2.416e+8,,,1.901e-17,1.040e+8,1.376e+8
297.65,2.421e+8,,,3.377e-18,9.488e+7,1.472e+8
297.7,2.571e+8,,,5.667e-19,8.405e+7,1.731e+8
297.75,2.835e+8,,3.033e-13,8.983e-20,7.278e+7,2.107e+8
297.8,3.162e+8,,2.193e-12,1.345e-20,6.243e+7,2.538e+8
297.85,3.493e+8,,1.499e-11,1.902e-21,5.402e+7,2.953e+8
297.9,3.765e+8,,9.695e-11,2.541e-22,4.794e+7,3.285e+8
297.95,3.925e+8,,5.930e-10,,4.397e+7,3.485e+8
298,3.946e+8,,3.431e-9,,4.139e+7,3.532e+8
298.05,3.837e+8,,1.877e-8,,3.933e+7,3.443e+8
298.1,3.637e+8,,9.714e-8,,3.702e+7,3.267e+8
298.15,3.413e+8,,4.755e-7,,3.399e+7,3.073e+8
298.2,3.234e+8,,2.201e-6,,3.024e+7,2.931e+8
298.25,3.158e+8,,9.638e-6,,2.613e+7,2.897e+8
298.3,3.215e+8,,3.992e-5,,2.229e+7,2.992e+8
298.35,3.399e+8,,1.564e-4,,1.951e+7,3.204e+8
298.4,3.674e+8,,5.794e-4,,1.855e+7,3.488e+8
298.45,3.987e+8,,2.031e-3,,2.005e+7,3.786e+8
298.5,4.286e+8,,6.732e-3,,2.443e+7,4.041e+8
298.55,4.533e+8,,2.111e-2,,3.181e+7,4.215e+8
298.6,4.715e+8,,6.263e-2,,4.194e+7,4.295e+8
298.65,4.834e+8,,1.758e-1,,5.415e+7,4.293e+8
298.7,4.905e+8,,4.669e-1,,6.745e+7,4.230e+8
298.75,4.936e+8,,1.173e+0,,8.066e+7,4.130e+8
298.8,4.925e+8,,2.791e+0,,9.264e+7,3.999e+8
298.85,4.858e+8,,6.286e+0,,1.026e+8,3.832e+8
298.9,4.713e+8,,1.340e+1,,1.101e+8,3.612e+8
298.95,4.478e+8,,2.708e+1,,1.154e+8,3.323e+8
299,4.154e+8,,5.186e+1,,1.192e+8,2.962e+8
299.05,3.764e+8,,9.419e+1,,1.223e+8,2.540e+8
299.1,3.342e+8,,1.624e+2,,1.257e+8,2.085e+8
299.15,2.933e+8,,2.662e+2,,1.301e+8,1.632e+8
299.2,2.576e+8,,4.151e+2,,1.362e+8,1.214e+8
299.25,2.301e+8,,6.171e+2,,1.444e+8,8.570e+7
299.3,2.120e+8,,8.761e+2,,1.546e+8,5.735e+7
299.35,2.032e+8,,1.190e+3,,1.669e+8,3.635e+7
299.4,2.022e+8,,1.552e+3,,1.804e+8,2.180e+7
299.45,2.066e+8,,1.945e+3,,1.943e+8,1.238e+7
299.5,2.137e+8,,2.349e+3,,2.070e+8,6.645e+6
299.55,2.208e+8,,2.737e+3,,2.174e+8,3.374e+6
299.6,2.261e+8,,3.079e+3,,2.245e+8,1.621e+6
299.65,2.286e+8,,3.346e+3,,2.279e+8,7.361e+5
299.7,2.286e+8,,3.507e+3,,2.283e+8,3.162e+5
299.75,2.271e+8,,3.542e+3,,2.269e+8,1.284e+5
299.8,2.254e+8,,3.439e+3,,2.253e+8,4.932e+4
299.85,2.248e+8,,3.202e+3,,2.247e+8,1.791e+4
299.9,2.255e+8,,2.854e+3,,2.255e+8,6.151e+3
299.95,2.273e+8,,2.429e+3,,2.273e+8,1.997e+3
