Wavelength (nm),Sum,Na I (4.5e-02),Na II (9.5e-01),Na III (3.4e-19)
207.97,7.424e-40,,,7.424e-40
208.02,1.373e-40,,,1.373e-40
208.07,2.261e-41,,,2.261e-41
208.12,3.313e-42,,,3.313e-42
208.17,4.322e-43,,,4.322e-43
208.22,5.018e-44,,,5.018e-44
208.27,5.187e-45,,,5.187e-45
208.32,4.776e-46,,,4.776e-46
208.37,4.408e-47,,,4.408e-47
208.42,6.219e-47,,,6.219e-47
208.47,6.278e-46,,,6.278e-46
208.52,5.923e-45,,,5.923e-45
208.57,4.987e-44,,,4.987e-44
208.62,3.747e-43,,,3.747e-43
208.67,2.513e-42,,,2.513e-42
208.72,1.503e-41,,,1.503e-41
208.77,8.025e-41,,,8.025e-41
208.82,3.823e-40,,,3.823e-40
208.87,1.625e-39,,,1.625e-39
208.92,6.163e-39,,,6.163e-39
208.97,2.086e-38,,,2.086e-38
209.02,6.299e-38,,,6.299e-38
209.07,1.697e-37,,,1.697e-37
209.12,4.082e-37,,,4.082e-37
209.17,8.757e-37,,,8.757e-37
209.22,1.677e-36,,,1.677e-36
209.27,2.865e-36,,,2.865e-36
209.32,4.368e-36,,,4.368e-36
209.37,5.947e-36,,,5.947e-36
209.42,7.237e-36,,,7.237e-36
209.47,7.900e-36,,,7.900e-36
209.52,7.815e-36,,,7.815e-36
209.57,7.210e-36,,,7.210e-36
209.62,6.643e-36,,,6.643e-36
209.67,6.849e-36,,,6.849e-36
209.72,8.489e-36,,,8.489e-36
209.77,1.191e-35,,,1.191e-35
209.82,1.698e-35,,,1.698e-35
209.87,2.318e-35,,,2.318e-35
209.92,2.987e-35,,,2.987e-35
209.97,3.685e-35,,,3.685e-35
210.02,4.457e-35,,,4.457e-35
210.07,5.382e-35,,,5.382e-35
210.12,6.477e-35,,,6.477e-35
210.17,7.610e-35,,,7.610e-35
210.22,8.488e-35,,,8.488e-35
210.27,8.776e-35,,,8.776e-35
210.32,8.280e-35,,,8.280e-35
210.37,7.060e-35,,,7.060e-35
210.42,5.413e-35,,,5.413e-35
210.47,3.723e-35,,,3.723e-35
210.52,2.294e-35,,,2.294e-35
210.57,1.267e-35,,,1.267e-35
210.62,6.289e-36,,,6.289e-36
210.67,2.825e-36,,,2.825e-36
210.72,1.178e-36,,,1.178e-36
210.77,4.983e-37,,,4.983e-37
210.82,2.634e-37,,,2.634e-37
210.87,2.067e-37,,,2.067e-37
210.92,2.128e-37,,,2.128e-37
210.97,2.432e-37,,,2.432e-37
211.02,2.953e-37,,,2.953e-37
211.07,3.833e-37,,,3.833e-37
211.12,5.368e-37,,,5.368e-37
211.17,8.269e-37,,,8.269e-37
211.22,1.433e-36,,,1.433e-36
211.27,2.750e-36,,,2.750e-36
211.32,5.477e-36,,,5.477e-36
211.37,1.058e-35,,,1.058e-35
211.42,1.900e-35,,,1.900e-35
211.47,3.103e-35,,,3.103e-35
211.52,4.563e-35,,,4.563e-35
211.57,6.020e-35,,,6.020e-35
211.62,7.111e-35,,,7.111e-35
211.67,7.516e-35,,,7.516e-35
211.72,7.108e-35,,,7.108e-35
211.77,6.014e-35,,,6.014e-35
211.82,4.552e-35,,,4.552e-35
211.87,3.085e-35,,,3.085e-35
211.92,1.875e-35,,,1.875e-35
211.97,1.025e-35,,,1.025e-35
212.02,5.095e-36,,,5.095e-36
212.07,2.381e-36,,,2.381e-36
212.12,1.177e-36,,,1.177e-36
212.17,8.538e-37,,,8.538e-37
212.22,1.165e-36,,,1.165e-36
212.27,2.218e-36,,,2.218e-36
212.32,4.415e-36,,,4.415e-36
212.37,8.333e-36,,,8.333e-36
212.42,1.448e-35,,,1.448e-35
212.47,2.290e-35,,,2.290e-35
212.52,3.278e-35,,,3.278e-35
212.57,4.234e-35,,,4.234e-35
212.62,4.927e-35,,,4.927e-35
212.67,5.162e-35,,,5.162e-35
212.72,4.866e-35,,,4.866e-35
212.77,4.130e-35,,,4.130e-35
212.82,3.158e-35,,,3.158e-35
212.87,2.176e-35,,,2.176e-35
212.92,1.353e-35,,,1.353e-35
212.97,7.593e-36,,,7.593e-36
213.02,3.853e-36,,,3.853e-36
213.07,1.769e-36,,,1.769e-36
213.12,7.353e-37,,,7.353e-37
213.17,2.770e-37,,,2.770e-37
213.22,9.485e-38,,,9.485e-38
213.27,3.107e-38,,,3.107e-38
213.32,1.806e-38,,,1.806e-38
213.37,5.010e-38,,,5.010e-38
213.42,2.104e-37,,,2.104e-37
213.47,8.228e-37,,,8.228e-37
213.52,2.892e-36,,,2.892e-36
213.57,9.119e-36,,,9.119e-36
213.62,2.578e-35,,,2.578e-35
213.67,6.539e-35,,,6.539e-35
213.72,1.487e-34,,,1.487e-34
213.77,3.034e-34,,,3.034e-34
213.82,5.553e-34,,,5.553e-34
213.87,9.120e-34,,,9.120e-34
213.92,1.344e-33,,,1.344e-33
213.97,1.781e-33,,,1.781e-33
214.02,2.125e-33,,,2.125e-33
214.07,2.295e-33,,,2.295e-33
214.12,2.268e-33,,,2.268e-33
214.17,2.094e-33,,,2.094e-33
214.22,1.875e-33,,,1.875e-33
214.27,1.709e-33,,,1.709e-33
214.32,1.640e-33,,,1.640e-33
214.37,1.641e-33,,,1.641e-33
214.42,1.641e-33,,,1.641e-33
214.47,1.566e-33,,,1.566e-33
214.52,1.384e-33,,,1.384e-33
214.57,1.117e-33,,,1.117e-33
214.62,8.202e-34,,,8.202e-34
214.67,5.505e-34,,,5.505e-34
214.72,3.442e-34,,,3.442e-34
214.77,2.086e-34,,,2.086e-34
214.82,1.308e-34,,,1.308e-34
214.87,9.030e-35,,,9.030e-35
214.92,6.963e-35,,,6.963e-35
214.97,5.804e-35,,,5.804e-35
215.02,5.057e-35,,,5.057e-35
215.07,4.532e-35,,,4.532e-35
215.12,4.120e-35,,,4.120e-35
215.17,3.707e-35,,,3.707e-35
215.22,3.203e-35,,,3.203e-35
215.27,2.590e-35,,,2.590e-35
215.32,1.925e-35,,,1.925e-35
215.37,1.301e-35,,,1.301e-35
215.42,7.948e-36,,,7.948e-36
215.47,4.379e-36,,,4.379e-36
215.52,2.183e-36,,,2.183e-36
215.57,1.007e-36,,,1.007e-36
215.62,4.740e-37,,,4.740e-37
215.67,2.977e-37,,,2.977e-37
215.72,2.999e-37,,,2.999e-37
215.77,3.821e-37,,,3.821e-37
215.82,4.917e-37,,,4.917e-37
215.87,6.056e-37,,,6.056e-37
215.92,7.323e-37,,,7.323e-37
215.97,9.189e-37,,,9.189e-37
216.02,1.246e-36,,,1.246e-36
216.07,1.797e-36,,,1.797e-36
216.12,2.607e-36,,,2.607e-36
216.17,3.608e-36,,,3.608e-36
216.22,4.615e-36,,,4.615e-36
