Wavelength (nm),Sum,Ca I (3.8e-02),Ca II (9.5e-01),Ca III (1.3e-02)
486.81,7.054e+5,7.054e+5,,1.445e-13
486.86,1.063e+6,1.063e+6,,9.807e-14
486.91,1.568e+6,1.568e+6,,6.516e-14
486.96,2.264e+6,2.264e+6,,4.239e-14
487.01,3.202e+6,3.202e+6,,2.700e-14
487.06,4.435e+6,4.435e+6,,1.684e-14
487.11,6.015e+6,6.015e+6,,1.028e-14
487.16,7.988e+6,7.988e+6,,6.146e-15
487.21,1.039e+7,1.039e+7,,3.597e-15
487.26,1.323e+7,1.323e+7,,2.063e-15
487.31,1.649e+7,1.649e+7,,1.161e-15
487.36,2.013e+7,2.013e+7,,6.443e-16
487.41,2.407e+7,2.407e+7,,3.598e-16
487.46,2.818e+7,2.818e+7,,2.149e-16
487.51,3.230e+7,3.230e+7,,1.584e-16
487.56,3.626e+7,3.626e+7,,1.671e-16
487.61,3.986e+7,3.986e+7,,2.388e-16
487.66,4.290e+7,4.290e+7,,3.897e-16
487.71,4.521e+7,4.521e+7,,6.560e-16
487.76,4.666e+7,4.666e+7,,1.098e-15
487.81,4.715e+7,4.715e+7,,1.806e-15
487.86,4.666e+7,4.666e+7,,2.915e-15
487.91,4.521e+7,4.521e+7,,4.607e-15
487.96,4.290e+7,4.290e+7,,7.132e-15
488.01,3.986e+7,3.986e+7,,1.081e-14
488.06,3.626e+7,3.626e+7,,1.605e-14
488.11,3.230e+7,3.230e+7,,2.334e-14
488.16,2.818e+7,2.818e+7,,3.324e-14
488.21,2.407e+7,2.407e+7,,4.635e-14
488.26,2.013e+7,2.013e+7,,6.330e-14
488.31,1.649e+7,1.649e+7,,8.466e-14
488.36,1.323e+7,1.323e+7,,1.109e-13
488.41,1.039e+7,1.039e+7,,1.422e-13
488.46,7.988e+6,7.988e+6,,1.787e-13
488.51,6.015e+6,6.015e+6,,2.198e-13
488.56,4.435e+6,4.435e+6,,2.649e-13
488.61,3.202e+6,3.202e+6,,3.126e-13
488.66,2.264e+6,2.264e+6,,3.615e-13
488.71,1.568e+6,1.568e+6,,4.094e-13
488.76,1.063e+6,1.063e+6,,4.545e-13
488.81,7.054e+5,7.054e+5,,4.944e-13
488.86,4.586e+5,4.586e+5,,5.275e-13
488.91,2.919e+5,2.919e+5,,5.522e-13
488.96,1.819e+5,1.819e+5,,5.677e-13
489.01,1.110e+5,1.110e+5,,5.739e-13
489.06,6.635e+4,6.635e+4,,5.717e-13
489.11,3.883e+4,3.883e+4,,5.625e-13
489.16,2.225e+4,2.225e+4,,5.485e-13
489.21,1.249e+4,1.249e+4,,5.326e-13
489.26,6.860e+3,6.860e+3,,5.177e-13
489.31,3.691e+3,3.691e+3,,5.067e-13
489.36,1.944e+3,1.944e+3,,5.021e-13
489.41,1.003e+3,1.003e+3,,5.058e-13
489.46,5.067e+2,5.067e+2,,5.190e-13
489.51,2.507e+2,2.507e+2,,5.415e-13
489.56,1.214e+2,1.214e+2,,5.724e-13
489.61,5.759e+1,5.759e+1,,6.096e-13
489.66,2.674e+1,2.674e+1,,6.504e-13
