Wavelength (nm),Sum,Ca I (3.8e-02),Ca II (9.5e-01),Ca III (1.3e-02)
200.11,4.203e-9,,,4.203e-9
200.16,4.013e-9,,,4.013e-9
200.21,3.508e-9,,,3.508e-9
200.26,2.845e-9,,,2.845e-9
200.31,2.167e-9,,,2.167e-9
200.36,1.559e-9,,,1.559e-9
200.41,1.057e-9,,,1.057e-9
200.46,6.683e-10,,,6.683e-10
200.51,3.892e-10,,,3.892e-10
200.56,2.060e-10,,,2.060e-10
200.61,9.817e-11,,,9.817e-11
200.66,4.180e-11,,,4.180e-11
200.72,1.285e-11,,,1.285e-11
200.77,4.214e-12,,,4.214e-12
200.82,1.223e-12,,,1.223e-12
200.87,3.136e-13,,,3.136e-13
200.92,7.108e-14,,,7.108e-14
200.97,1.424e-14,,,1.424e-14
201.02,2.583e-15,,,2.583e-15
201.07,9.016e-16,,,9.016e-16
201.12,3.462e-15,,,3.462e-15
201.17,2.020e-14,,,2.020e-14
201.22,1.058e-13,,,1.058e-13
201.27,4.904e-13,,,4.904e-13
201.32,2.011e-12,,,2.011e-12
201.37,7.293e-12,,,7.293e-12
201.42,2.339e-11,,,2.339e-11
201.47,6.638e-11,,,6.638e-11
201.52,1.666e-10,,,1.666e-10
201.57,3.699e-10,,,3.699e-10
201.62,7.263e-10,,,7.263e-10
201.67,1.262e-9,,,1.262e-9
201.72,1.938e-9,,,1.938e-9
201.77,2.634e-9,,,2.634e-9
201.82,3.166e-9,,,3.166e-9
201.87,3.367e-9,,,3.367e-9
201.92,3.166e-9,,,3.166e-9
201.97,2.634e-9,,,2.634e-9
202.02,1.939e-9,,,1.939e-9
202.07,1.264e-9,,,1.264e-9
202.12,7.363e-10,,,7.363e-10
202.17,4.012e-10,,,4.012e-10
202.22,2.530e-10,,,2.530e-10
202.27,2.775e-10,,,2.775e-10
202.32,4.806e-10,,,4.806e-10
202.37,8.843e-10,,,8.843e-10
202.42,1.492e-9,,,1.492e-9
202.47,2.244e-9,,,2.244e-9
202.52,2.994e-9,,,2.994e-9
202.57,3.540e-9,,,3.540e-9
202.62,3.710e-9,,,3.710e-9
202.67,3.446e-9,,,3.446e-9
202.72,2.838e-9,,,2.838e-9
202.77,2.074e-9,,,2.074e-9
202.82,1.351e-9,,,1.351e-9
202.87,8.039e-10,,,8.039e-10
202.92,4.916e-10,,,4.916e-10
202.97,4.357e-10,,,4.357e-10
203.02,6.664e-10,,,6.664e-10
203.07,1.241e-9,,,1.241e-9
203.12,2.206e-9,,,2.206e-9
203.17,3.525e-9,,,3.525e-9
203.22,5.003e-9,,,5.003e-9
203.27,6.294e-9,,,6.294e-9
203.32,7.018e-9,,,7.018e-9
203.37,6.934e-9,,,6.934e-9
203.42,6.073e-9,,,6.073e-9
203.47,4.724e-9,,,4.724e-9
203.52,3.308e-9,,,3.308e-9
203.57,2.278e-9,,,2.278e-9
203.62,2.227e-9,,,2.227e-9
203.67,4.415e-9,,,4.415e-9
203.72,1.185e-8,,,1.185e-8
203.77,3.084e-8,,,3.084e-8
203.82,7.211e-8,,,7.211e-8
203.87,1.499e-7,,,1.499e-7
203.92,2.763e-7,,,2.763e-7
203.97,4.518e-7,,,4.518e-7
204.02,6.553e-7,,,6.553e-7
204.07,8.431e-7,,,8.431e-7
204.12,9.621e-7,,,9.621e-7
204.17,9.737e-7,,,9.737e-7
204.22,8.742e-7,,,8.742e-7
204.27,6.963e-7,,,6.963e-7
204.32,4.924e-7,,,4.924e-7
204.37,3.095e-7,,,3.095e-7
204.42,1.738e-7,,,1.738e-7
204.47,8.836e-8,,,8.836e-8
204.52,4.219e-8,,,4.219e-8
204.57,2.057e-8,,,2.057e-8
204.62,1.157e-8,,,1.157e-8
204.67,7.855e-9,,,7.855e-9
204.72,5.889e-9,,,5.889e-9
204.77,4.375e-9,,,4.375e-9
204.82,3.038e-9,,,3.038e-9
204.87,1.927e-9,,,1.927e-9
204.92,1.108e-9,,,1.108e-9
204.97,5.746e-10,,,5.746e-10
205.02,2.684e-10,,,2.684e-10
205.07,1.126e-10,,,1.126e-10
205.12,4.240e-11,,,4.240e-11
205.17,1.429e-11,,,1.429e-11
205.22,4.311e-12,,,4.311e-12
205.27,1.162e-12,,,1.162e-12
205.32,2.794e-13,,,2.794e-13
205.37,5.995e-14,,,5.995e-14
205.42,1.168e-14,,,1.168e-14
205.47,3.319e-15,,,3.319e-15
205.52,7.821e-15,,,7.821e-15
205.57,3.684e-14,,,3.684e-14
205.62,1.600e-13,,,1.600e-13
205.67,6.186e-13,,,6.186e-13
205.72,2.126e-12,,,2.126e-12
205.77,6.496e-12,,,6.496e-12
205.82,1.765e-11,,,1.765e-11
205.87,4.263e-11,,,4.263e-11
205.92,9.154e-11,,,9.154e-11
205.97,1.748e-10,,,1.748e-10
206.02,2.966e-10,,,2.966e-10
206.07,4.477e-10,,,4.477e-10
206.12,6.006e-10,,,6.006e-10
206.17,7.165e-10,,,7.165e-10
206.22,7.599e-10,,,7.599e-10
206.27,7.165e-10,,,7.165e-10
206.32,6.006e-10,,,6.006e-10
206.37,4.477e-10,,,4.477e-10
206.42,2.966e-10,,,2.966e-10
206.47,1.748e-10,,,1.748e-10
206.52,9.154e-11,,,9.154e-11
206.57,4.263e-11,,,4.263e-11
206.62,1.765e-11,,,1.765e-11
206.67,6.497e-12,,,6.497e-12
206.72,2.128e-12,,,2.128e-12
206.77,6.309e-13,,,6.309e-13
206.82,2.207e-13,,,2.207e-13
206.87,3.019e-13,,,3.019e-13
206.92,1.039e-12,,,1.039e-12
206.97,3.576e-12,,,3.576e-12
207.02,1.103e-11,,,1.103e-11
207.07,3.030e-11,,,3.030e-11
207.12,7.410e-11,,,7.410e-11
207.17,1.614e-10,,,1.614e-10
207.22,3.131e-10,,,3.131e-10
207.27,5.413e-10,,,5.413e-10
207.32,8.353e-10,,,8.353e-10
207.37,1.155e-9,,,1.155e-9
207.42,1.445e-9,,,1.445e-9
207.47,1.674e-9,,,1.674e-9
207.52,1.883e-9,,,1.883e-9
207.57,2.211e-9,,,2.211e-9
207.62,2.863e-9,,,2.863e-9
207.67,4.016e-9,,,4.016e-9
207.72,5.680e-9,,,5.680e-9
207.77,7.605e-9,,,7.605e-9
207.82,9.312e-9,,,9.312e-9
207.87,1.026e-8,,,1.026e-8
207.92,1.012e-8,,,1.012e-8
207.97,8.901e-9,,,8.901e-9
208.02,6.978e-9,,,6.978e-9
208.07,4.874e-9,,,4.874e-9
208.12,3.033e-9,,,3.033e-9
208.17,1.681e-9,,,1.681e-9
208.22,8.301e-10,,,8.301e-10
208.27,3.651e-10,,,3.651e-10
208.32,1.430e-10,,,1.430e-10
208.37,4.991e-11,,,4.991e-11
208.42,1.552e-11,,,1.552e-11
208.47,4.296e-12,,,4.296e-12
208.52,1.060e-12,,,1.060e-12
208.57,2.328e-13,,,2.328e-13
208.62,4.555e-14,,,4.555e-14
208.67,7.939e-15,,,7.939e-15
208.72,1.233e-15,,,1.233e-15
208.77,1.705e-16,,,1.705e-16
208.82,2.128e-17,,,2.128e-17
208.87,4.974e-18,,,4.974e-18
208.92,2.357e-17,,,2.357e-17
208.97,1.823e-16,,,1.823e-16
209.02,1.270e-15,,,1.270e-15
209.07,1.428e-7,,1.428e-7,7.904e-15
209.12,2.276e-6,,2.276e-6,4.390e-14
209.17,3.242e-5,,3.242e-5,2.176e-13
209.22,4.124e-4,,4.124e-4,9.631e-13
209.27,4.685e-3,,4.685e-3,3.805e-12
209.32,4.754e-2,,4.754e-2,1.342e-11
209.37,4.308e-1,,4.308e-1,4.224e-11
209.42,3.486e+0,,3.486e+0,1.187e-10
209.47,2.520e+1,,2.520e+1,2.978e-10
209.52,1.627e+2,,1.627e+2,6.668e-10
209.57,9.381e+2,,9.381e+2,1.333e-9
209.62,4.831e+3,,4.831e+3,2.378e-9
209.67,2.222e+4,,2.222e+4,3.788e-9
209.72,9.127e+4,,9.127e+4,5.386e-9
209.77,3.349e+5,,3.349e+5,6.836e-9
209.82,1.097e+6,,1.097e+6,7.746e-9
209.87,3.211e+6,,3.211e+6,7.834e-9
209.92,8.392e+6,,8.392e+6,7.073e-9
209.97,1.959e+7,,1.959e+7,5.701e-9
210.02,4.084e+7,,4.084e+7,4.101e-9
210.07,7.605e+7,,7.605e+7,2.634e-9
210.12,1.265e+8,,1.265e+8,1.510e-9
210.17,1.878e+8,,1.878e+8,7.736e-10
210.22,2.492e+8,,2.492e+8,3.557e-10
210.27,2.952e+8,,2.952e+8,1.516e-10
210.32,3.124e+8,,3.124e+8,7.182e-11
210.37,2.952e+8,,2.952e+8,6.118e-11
210.42,2.492e+8,,2.492e+8,9.470e-11
210.47,1.878e+8,,1.878e+8,1.643e-10
210.52,1.265e+8,,1.265e+8,2.649e-10
210.57,7.606e+7,,7.606e+7,3.838e-10
210.62,4.088e+7,,4.088e+7,4.971e-10
210.67,1.973e+7,,1.973e+7,5.756e-10
210.72,8.905e+6,,8.905e+6,5.957e-10
210.77,4.916e+6,,4.916e+6,5.520e-10
210.82,6.169e+6,,6.169e+6,4.622e-10
210.87,1.382e+7,,1.382e+7,3.650e-10
210.92,3.218e+7,,3.218e+7,3.219e-10
210.97,6.828e+7,,6.828e+7,4.355e-10
211.02,1.299e+8,,1.299e+8,8.947e-10
211.07,2.209e+8,,2.209e+8,2.031e-9
211.12,3.361e+8,,3.361e+8,4.338e-9
211.17,4.573e+8,,4.573e+8,8.370e-9
211.22,5.565e+8,,5.565e+8,1.447e-8
211.27,6.057e+8,,6.057e+8,2.238e-8
211.32,5.896e+8,,5.896e+8,3.096e-8
211.37,5.133e+8,,5.133e+8,3.829e-8
211.42,3.997e+8,,3.997e+8,4.234e-8
211.47,2.784e+8,,2.784e+8,4.187e-8
211.52,1.735e+8,,1.735e+8,3.702e-8
211.57,9.667e+7,,9.667e+7,2.927e-8
211.62,4.819e+7,,4.819e+7,2.070e-8
211.67,2.149e+7,,2.149e+7,1.310e-8
211.72,8.572e+6,,8.572e+6,7.436e-9
211.77,3.059e+6,,3.059e+6,3.874e-9
211.82,9.767e+5,,9.767e+5,2.104e-9
211.87,2.790e+5,,2.790e+5,1.819e-9
211.92,7.129e+4,,7.129e+4,3.036e-9
211.97,1.630e+4,,1.630e+4,6.211e-9
212.02,3.335e+3,,3.335e+3,1.209e-8
212.07,6.104e+2,,6.104e+2,2.125e-8
212.12,9.997e+1,,9.997e+1,3.347e-8
212.17,1.465e+1,,1.465e+1,4.721e-8
212.22,1.921e+0,,1.921e+0,5.960e-8
212.27,2.255e-1,,2.255e-1,6.733e-8
212.32,2.368e-2,,2.368e-2,6.809e-8
212.37,2.226e-3,,2.226e-3,6.163e-8
212.42,1.873e-4,,1.872e-4,4.997e-8
212.47,1.413e-5,,1.409e-5,3.637e-8
212.52,9.735e-7,,9.496e-7,2.396e-8
212.57,7.201e-8,,5.726e-8,1.475e-8
212.62,9.380e-9,,,9.380e-9
212.67,7.508e-9,,,7.508e-9
212.72,8.294e-9,,,8.294e-9
212.77,1.070e-8,,,1.070e-8
212.82,1.360e-8,,,1.360e-8
212.87,1.592e-8,,,1.592e-8
212.92,1.687e-8,,,1.687e-8
212.97,1.619e-8,,,1.619e-8
213.02,1.428e-8,,,1.428e-8
213.07,1.207e-8,,,1.207e-8
213.12,1.060e-8,,,1.060e-8
213.17,1.066e-8,,,1.066e-8
213.22,1.241e-8,,,1.241e-8
213.27,1.533e-8,,,1.533e-8
213.32,1.838e-8,,,1.838e-8
213.37,2.038e-8,,,2.038e-8
213.42,2.048e-8,,,2.048e-8
213.47,1.853e-8,,,1.853e-8
213.52,1.508e-8,,,1.508e-8
213.57,1.112e-8,,,1.112e-8
213.62,7.649e-9,,,7.649e-9
213.67,5.421e-9,,,5.421e-9
213.72,4.865e-9,,,4.865e-9
213.77,7.582e-9,1.438e-9,,6.144e-9
213.82,3.231e-8,2.313e-8,,9.177e-9
213.87,3.475e-7,3.339e-7,,1.355e-8
213.92,4.345e-6,4.327e-6,,1.844e-8
213.97,5.034e-5,5.032e-5,,2.265e-8
214.02,5.253e-4,5.252e-4,,2.501e-8
214.07,4.921e-3,4.921e-3,,2.479e-8
214.12,4.138e-2,4.138e-2,,2.209e-8
214.17,3.123e-1,3.123e-1,,1.775e-8
214.22,2.116e+0,2.116e+0,,1.291e-8
214.27,1.286e+1,1.286e+1,,8.594e-9
214.32,7.020e+1,7.020e+1,,5.326e-9
214.37,3.439e+2,3.439e+2,,3.161e-9
214.42,1.512e+3,1.512e+3,,1.858e-9
214.47,5.966e+3,5.966e+3,,1.109e-9
214.52,2.113e+4,2.113e+4,,6.709e-10
214.57,6.716e+4,6.716e+4,,4.022e-10
214.62,1.916e+5,1.916e+5,,2.356e-10
214.67,4.908e+5,4.908e+5,,1.479e-10
214.72,1.128e+6,1.128e+6,,1.465e-10
214.77,2.327e+6,2.327e+6,,2.818e-10
214.82,4.309e+6,4.309e+6,,6.796e-10
214.87,7.162e+6,7.162e+6,,1.574e-9
214.92,1.068e+7,1.068e+7,,3.308e-9
214.97,1.430e+7,1.430e+7,,6.252e-9
215.02,1.719e+7,1.719e+7,,1.061e-8
215.07,1.854e+7,1.854e+7,,1.616e-8
215.12,1.795e+7,1.795e+7,,2.210e-8
215.17,1.560e+7,1.560e+7,,2.713e-8
215.22,1.216e+7,1.216e+7,,2.989e-8
215.27,8.514e+6,8.514e+6,,2.957e-8
215.32,5.349e+6,5.349e+6,,2.626e-8
215.37,3.016e+6,3.016e+6,,2.094e-8
215.42,1.527e+6,1.527e+6,,1.498e-8
215.47,6.935e+5,6.935e+5,,9.626e-9
215.52,2.828e+5,2.828e+5,,5.552e-9
215.57,1.035e+5,1.035e+5,,2.874e-9
215.62,3.399e+4,3.399e+4,,1.336e-9
215.67,1.002e+4,1.002e+4,,5.574e-10
215.72,2.652e+3,2.652e+3,,2.093e-10
215.77,6.299e+2,6.299e+2,,7.231e-11
215.82,1.343e+2,1.343e+2,,2.801e-11
215.87,2.569e+1,2.569e+1,,2.540e-11
215.92,4.412e+0,4.412e+0,,5.228e-11
215.97,6.801e-1,6.801e-1,,1.186e-10
216.02,9.409e-2,9.409e-2,,2.474e-10
216.07,1.168e-2,1.168e-2,,4.645e-10
216.12,1.302e-3,1.302e-3,,7.840e-10
216.17,1.303e-4,1.303e-4,,1.189e-9
216.22,1.170e-5,1.170e-5,,1.621e-9
216.27,9.445e-7,9.425e-7,,1.986e-9
216.32,7.036e-8,6.817e-8,,2.186e-9
216.37,6.589e-9,4.426e-9,,2.163e-9
216.42,1.923e-9,,,1.923e-9
216.47,1.537e-9,,,1.537e-9
216.52,1.106e-9,,,1.106e-9
216.57,7.213e-10,,,7.213e-10
216.62,4.430e-10,,,4.430e-10
216.67,3.038e-10,,,3.038e-10
216.72,3.363e-10,,,3.363e-10
216.77,6.056e-10,,,6.056e-10
216.82,1.228e-9,,,1.228e-9
216.87,2.352e-9,,,2.352e-9
216.92,4.091e-9,,,4.091e-9
216.97,6.411e-9,,,6.411e-9
217.02,9.041e-9,,,9.041e-9
217.07,1.147e-8,,,1.147e-8
217.12,1.310e-8,,,1.310e-8
217.17,1.345e-8,,,1.345e-8
217.22,1.243e-8,,,1.243e-8
217.27,1.034e-8,,,1.034e-8
217.32,7.742e-9,,,7.742e-9
217.37,5.240e-9,,,5.240e-9
217.42,3.255e-9,,,3.255e-9
217.47,1.972e-9,,,1.972e-9
217.52,1.397e-9,,,1.397e-9
217.57,1.454e-9,,,1.454e-9
217.62,2.042e-9,,,2.042e-9
217.67,3.036e-9,,,3.036e-9
217.72,4.246e-9,,,4.246e-9
217.77,5.408e-9,,,5.408e-9
217.82,6.232e-9,,,6.232e-9
217.87,6.505e-9,,,6.505e-9
217.92,6.181e-9,,,6.181e-9
217.97,5.404e-9,,,5.404e-9
218.02,4.431e-9,,,4.431e-9
218.07,3.506e-9,,,3.506e-9
218.12,2.766e-9,,,2.766e-9
218.17,2.225e-9,,,2.225e-9
218.22,1.813e-9,,,1.813e-9
218.27,1.456e-9,,,1.456e-9
218.32,1.115e-9,,,1.115e-9
218.37,7.947e-10,,,7.947e-10
218.42,5.186e-10,,,5.186e-10
218.47,2.731e-8,,2.700e-8,3.075e-10
218.52,3.863e-7,,3.862e-7,1.652e-10
218.57,4.979e-6,,4.979e-6,8.135e-11
218.62,5.789e-5,,5.789e-5,3.981e-11
218.67,6.069e-4,,6.069e-4,2.735e-11
218.72,5.736e-3,,5.736e-3,3.809e-11
218.77,4.889e-2,3.631e-8,4.889e-2,7.418e-11
218.82,3.757e-1,5.051e-7,3.757e-1,1.434e-10
218.87,2.603e+0,6.337e-6,2.603e+0,2.536e-10
218.92,1.626e+1,7.170e-5,1.626e+1,4.050e-10
218.97,9.162e+1,7.316e-4,9.162e+1,5.831e-10
219.02,4.654e+2,6.734e-3,4.654e+2,7.565e-10
219.07,2.131e+3,5.590e-2,2.131e+3,8.844e-10
219.12,8.801e+3,4.185e-1,8.801e+3,9.317e-10
219.17,3.277e+4,2.826e+0,3.277e+4,8.844e-10
219.22,1.100e+5,1.721e+1,1.100e+5,7.565e-10
219.27,3.331e+5,9.452e+1,3.330e+5,5.831e-10
219.32,9.094e+5,4.683e+2,9.089e+5,4.050e-10
219.37,2.239e+6,2.092e+3,2.237e+6,2.535e-10
219.42,4.972e+6,8.431e+3,4.964e+6,1.430e-10
219.47,9.962e+6,3.064e+4,9.931e+6,7.266e-11
219.52,1.802e+7,1.004e+5,1.792e+7,3.330e-11
219.57,2.944e+7,2.970e+5,2.914e+7,1.387e-11
219.62,4.354e+7,7.919e+5,4.274e+7,5.626e-12
219.67,5.843e+7,1.904e+6,5.653e+7,3.491e-12
219.72,7.153e+7,4.131e+6,6.740e+7,6.011e-12
219.77,8.055e+7,8.081e+6,7.247e+7,1.546e-11
219.82,8.451e+7,1.426e+7,7.025e+7,3.866e-11
219.87,8.410e+7,2.269e+7,6.141e+7,8.814e-11
219.92,8.096e+7,3.256e+7,4.840e+7,1.823e-10
219.97,7.654e+7,4.215e+7,3.439e+7,3.426e-10
220.02,7.125e+7,4.921e+7,2.204e+7,5.864e-10
220.07,6.455e+7,5.182e+7,1.273e+7,9.179e-10
220.12,5.585e+7,4.921e+7,6.634e+6,1.320e-9
220.17,4.528e+7,4.215e+7,3.124e+6,1.754e-9
220.22,3.391e+7,3.256e+7,1.352e+6,2.165e-9
220.27,2.331e+7,2.269e+7,6.183e+5,2.495e-9
220.32,1.480e+7,1.426e+7,5.379e+5,2.693e-9
220.37,9.182e+6,8.081e+6,1.101e+6,2.723e-9
220.42,6.863e+6,4.131e+6,2.732e+6,2.574e-9
220.47,8.271e+6,1.904e+6,6.366e+6,2.265e-9
220.52,1.424e+7,7.919e+5,1.345e+7,1.845e-9
220.57,2.594e+7,2.970e+5,2.565e+7,1.383e-9
220.62,4.426e+7,1.004e+5,4.416e+7,9.498e-10
220.67,6.864e+7,3.064e+4,6.861e+7,5.950e-10
220.72,9.624e+7,8.431e+3,9.623e+7,3.389e-10
220.77,1.218e+8,2.092e+3,1.218e+8,1.751e-10
220.82,1.392e+8,4.683e+2,1.392e+8,8.195e-11
220.87,1.435e+8,9.452e+1,1.435e+8,3.469e-11
220.92,1.336e+8,1.721e+1,1.336e+8,1.327e-11
220.97,1.122e+8,2.826e+0,1.122e+8,4.587e-12
221.02,8.509e+7,4.185e-1,8.509e+7,1.432e-12
221.07,5.823e+7,5.590e-2,5.823e+7,4.033e-13
221.12,3.597e+7,6.734e-3,3.597e+7,1.027e-13
221.17,2.005e+7,7.316e-4,2.005e+7,2.449e-14
221.22,1.009e+7,7.170e-5,1.009e+7,9.694e-15
221.27,4.583e+6,6.337e-6,4.583e+6,2.278e-14
221.32,1.879e+6,5.051e-7,1.879e+6,8.976e-14
221.37,6.952e+5,3.631e-8,6.952e+5,3.318e-13
221.42,2.321e+5,2.355e-9,2.321e+5,1.110e-12
221.47,6.997e+4,,6.997e+4,3.354e-12
221.52,1.904e+4,,1.904e+4,9.157e-12
221.57,4.674e+3,,4.674e+3,2.259e-11
221.62,1.036e+3,,1.036e+3,5.036e-11
221.67,2.072e+2,,2.072e+2,1.014e-10
221.72,3.741e+1,,3.741e+1,1.846e-10
221.77,6.096e+0,,6.096e+0,3.034e-10
221.82,8.967e-1,,8.967e-1,4.507e-10
221.87,1.190e-1,,1.190e-1,6.049e-10
221.92,1.426e-2,,1.426e-2,7.335e-10
221.97,1.542e-3,,1.542e-3,8.037e-10
222.02,1.505e-4,,1.505e-4,7.956e-10
222.07,1.326e-5,,1.326e-5,7.115e-10
222.12,1.055e-6,,1.055e-6,5.750e-10
222.17,7.611e-8,,7.569e-8,4.198e-10
222.22,2.769e-10,,,2.769e-10
222.27,1.651e-10,,,1.651e-10
222.32,8.889e-11,,,8.889e-11
222.37,4.325e-11,,,4.325e-11
222.42,1.901e-11,,,1.901e-11
222.47,7.552e-12,,,7.552e-12
222.52,2.710e-12,,,2.710e-12
222.57,8.787e-13,,,8.787e-13
222.62,2.574e-13,,,2.574e-13
222.67,6.813e-14,,,6.813e-14
222.72,1.629e-14,,,1.629e-14
222.77,3.521e-15,,,3.521e-15
222.82,6.873e-16,,,6.873e-16
222.87,1.212e-16,,,1.212e-16
222.92,1.932e-17,,,1.932e-17
222.97,2.782e-18,,,2.782e-18
223.02,3.619e-19,,,3.619e-19
223.07,4.254e-20,,,4.254e-20
223.12,4.518e-21,,,4.518e-21
223.17,4.335e-22,,,4.335e-22
223.22,3.759e-23,,,3.759e-23
223.27,2.944e-24,,,2.944e-24
223.32,2.084e-25,,,2.084e-25
226.17,1.257e-8,1.257e-8,,
226.22,1.721e-7,1.721e-7,,
226.27,2.140e-6,2.140e-6,,9.274e-25
226.32,2.415e-5,2.415e-5,,1.267e-23
226.37,2.476e-4,2.476e-4,,1.572e-22
226.42,2.304e-3,2.304e-3,,1.770e-21
226.47,1.947e-2,1.947e-2,,1.811e-20
226.52,1.494e-1,1.494e-1,,1.682e-19
226.57,1.040e+0,1.040e+0,,1.418e-18
226.62,6.580e+0,6.580e+0,,1.086e-17
226.67,3.778e+1,3.778e+1,,7.551e-17
226.72,1.970e+2,1.970e+2,,4.767e-16
226.77,9.326e+2,9.326e+2,,2.733e-15
226.82,4.008e+3,4.008e+3,,1.423e-14
226.87,1.564e+4,1.564e+4,,6.726e-14
226.92,5.542e+4,5.542e+4,,2.887e-13
226.97,1.783e+5,1.783e+5,,1.125e-12
227.02,5.208e+5,5.208e+5,,3.982e-12
227.07,1.381e+6,1.381e+6,,1.280e-11
227.12,3.326e+6,3.326e+6,,3.734e-11
227.17,7.271e+6,7.271e+6,,9.894e-11
227.22,1.443e+7,1.443e+7,,2.381e-10
227.27,2.601e+7,2.601e+7,,5.201e-10
227.32,4.256e+7,4.256e+7,,1.032e-9
227.37,6.324e+7,6.324e+7,,1.858e-9
227.42,8.531e+7,8.531e+7,,3.040e-9
227.47,1.045e+8,1.045e+8,,4.515e-9
227.52,1.162e+8,1.162e+8,,6.088e-9
227.57,1.173e+8,1.173e+8,,7.456e-9
227.62,1.076e+8,1.076e+8,,8.291e-9
227.67,8.953e+7,8.953e+7,,8.371e-9
227.72,6.766e+7,6.766e+7,,7.675e-9
227.77,4.643e+7,4.643e+7,,6.390e-9
227.82,2.893e+7,2.893e+7,,4.830e-9
227.87,1.636e+7,1.636e+7,,3.316e-9
227.92,8.404e+6,8.404e+6,,2.067e-9
227.97,3.919e+6,3.919e+6,,1.171e-9
228.02,1.659e+6,1.659e+6,,6.024e-10
228.07,6.379e+5,6.379e+5,,2.822e-10
228.12,2.226e+5,2.226e+5,,1.207e-10
228.17,7.055e+4,7.055e+4,,4.763e-11
228.22,2.030e+4,2.030e+4,,1.772e-11
228.27,5.304e+3,5.304e+3,,6.524e-12
228.32,1.258e+3,1.258e+3,,2.561e-12
228.37,2.709e+2,2.709e+2,,1.139e-12
228.42,5.298e+1,5.298e+1,,5.637e-13
228.47,9.406e+0,9.406e+0,,2.879e-13
228.52,1.516e+0,1.516e+0,,1.421e-13
228.57,2.219e-1,2.219e-1,,6.544e-14
228.62,2.949e-2,2.949e-2,,2.765e-14
228.67,3.558e-3,3.558e-3,,1.066e-14
228.72,3.898e-4,3.898e-4,,3.737e-15
228.77,3.877e-5,3.877e-5,,1.191e-15
228.82,3.501e-6,3.501e-6,,3.449e-16
228.87,2.871e-7,2.871e-7,,9.074e-17
228.92,2.137e-8,2.137e-8,,2.171e-17
228.97,4.842e-18,,,4.842e-18
229.02,1.580e-18,,,1.580e-18
229.07,3.043e-18,,,3.043e-18
229.12,1.159e-17,,,1.159e-17
229.17,4.231e-17,,,4.231e-17
229.22,1.408e-16,,,1.408e-16
229.27,4.261e-16,,,4.261e-16
229.32,1.173e-15,,,1.173e-15
229.37,2.938e-15,,,2.938e-15
229.42,6.694e-15,,,6.694e-15
229.47,1.388e-14,,,1.388e-14
229.52,2.616e-14,,,2.616e-14
229.57,4.487e-14,,,4.487e-14
229.62,7.002e-14,,,7.002e-14
229.67,9.938e-14,,,9.938e-14
229.72,1.283e-13,,,1.283e-13
229.77,1.507e-13,,,1.507e-13
229.82,1.610e-13,,,1.610e-13
229.87,1.565e-13,,,1.565e-13
229.92,1.384e-13,,,1.384e-13
229.97,1.113e-13,,,1.113e-13
230.02,8.147e-14,,,8.147e-14
230.07,5.425e-14,,,5.425e-14
230.12,3.300e-14,,,3.300e-14
230.17,1.920e-14,,,1.920e-14
230.22,1.594e-14,,,1.594e-14
230.27,4.316e-14,,,4.316e-14
230.32,2.057e-13,,,2.057e-13
230.37,9.813e-13,,,9.813e-13
230.42,4.331e-12,,,4.331e-12
230.47,1.754e-11,,,1.754e-11
230.52,6.513e-11,,,6.513e-11
230.57,2.213e-10,,,2.213e-10
230.62,6.877e-10,,,6.877e-10
230.67,1.953e-9,,,1.953e-9
230.72,5.064e-9,,,5.064e-9
230.77,1.198e-8,,,1.198e-8
230.82,2.587e-8,,,2.587e-8
230.87,5.095e-8,,,5.095e-8
230.92,9.147e-8,,,9.147e-8
230.97,1.497e-7,,,1.497e-7
231.02,2.232e-7,,,2.232e-7
231.07,3.033e-7,,,3.033e-7
231.12,3.755e-7,,,3.755e-7
231.17,4.236e-7,,,4.236e-7
231.22,4.352e-7,,,4.352e-7
231.27,4.073e-7,,,4.073e-7
231.32,3.472e-7,,,3.472e-7
231.37,2.696e-7,,,2.696e-7
231.42,1.907e-7,,,1.907e-7
231.47,1.228e-7,,,1.228e-7
231.52,7.204e-8,,,7.204e-8
231.58,3.357e-8,,,3.357e-8
231.63,1.603e-8,,,1.603e-8
231.68,6.974e-9,,,6.974e-9
231.73,2.762e-9,,,2.762e-9
231.78,9.966e-10,,,9.966e-10
231.83,3.275e-10,,,3.275e-10
231.88,9.810e-11,,,9.810e-11
231.93,2.691e-11,,,2.691e-11
231.98,6.928e-12,,,6.928e-12
232.03,1.892e-12,,,1.892e-12
232.08,7.867e-13,,,7.867e-13
232.13,5.994e-13,,,5.994e-13
232.18,5.860e-13,,,5.860e-13
232.23,5.800e-13,,,5.800e-13
232.28,5.499e-13,,,5.499e-13
232.33,4.941e-13,,,4.941e-13
232.38,4.189e-13,,,4.189e-13
232.43,3.334e-13,,,3.334e-13
232.48,2.478e-13,,,2.478e-13
232.53,1.710e-13,,,1.710e-13
232.58,1.090e-13,,,1.090e-13
232.63,6.403e-14,,,6.403e-14
232.68,3.452e-14,,,3.452e-14
232.73,1.705e-14,,,1.705e-14
232.78,7.707e-15,,,7.707e-15
232.83,3.208e-15,,,3.208e-15
232.88,1.300e-15,,,1.300e-15
232.93,7.247e-16,,,7.247e-16
232.98,9.955e-16,,,9.955e-16
233.03,2.225e-15,,,2.225e-15
233.08,5.050e-15,,,5.050e-15
233.13,1.060e-14,,,1.060e-14
