Wavelength (nm),Sum,Na I (4.5e-02),Na II (9.5e-01),Na III (3.4e-19)
317.05,1.379e-13,,1.379e-13,
317.1,1.489e-13,,1.489e-13,
317.15,1.787e-13,,1.787e-13,
317.2,2.259e-13,,2.259e-13,
317.25,2.871e-13,,2.871e-13,
317.3,3.575e-13,,3.575e-13,
317.35,4.309e-13,,4.309e-13,
317.4,5.001e-13,,5.001e-13,
317.45,5.590e-13,,5.590e-13,
317.5,6.028e-13,,6.028e-13,
317.55,6.297e-13,,6.297e-13,
317.6,6.406e-13,,6.406e-13,
317.65,6.382e-13,,6.382e-13,
317.7,6.260e-13,,6.260e-13,
317.75,6.069e-13,,6.069e-13,
317.8,5.823e-13,,5.823e-13,
317.85,5.521e-13,,5.521e-13,
317.9,5.155e-13,,5.155e-13,
317.95,4.723e-13,,4.723e-13,
318,4.244e-13,,4.244e-13,
318.05,3.781e-13,,3.781e-13,
318.1,3.459e-13,,3.459e-13,
318.15,3.512e-13,,3.512e-13,
318.2,4.351e-13,,4.351e-13,
318.25,6.679e-13,,6.679e-13,
318.3,1.164e-12,,1.164e-12,
318.35,2.102e-12,,2.102e-12,
318.4,3.734e-12,,3.734e-12,
318.45,6.392e-12,,6.392e-12,
318.5,1.046e-11,,1.046e-11,
318.55,1.634e-11,,1.634e-11,
318.6,2.430e-11,,2.430e-11,
318.65,3.442e-11,,3.442e-11,
318.7,4.642e-11,,4.642e-11,
318.75,5.961e-11,,5.961e-11,
318.8,7.288e-11,,7.288e-11,
318.85,8.485e-11,,8.485e-11,
318.9,9.404e-11,,9.404e-11,
318.95,9.924e-11,,9.924e-11,
319,9.971e-11,,9.971e-11,
319.05,9.538e-11,,9.538e-11,
319.1,8.687e-11,,8.687e-11,
319.15,7.532e-11,,7.532e-11,
319.2,6.218e-11,,6.218e-11,
319.25,4.887e-11,,4.887e-11,
319.3,3.656e-11,,3.656e-11,
319.35,2.605e-11,,2.605e-11,
319.4,1.767e-11,,1.767e-11,
319.45,1.141e-11,,1.141e-11,
319.5,7.013e-12,,7.013e-12,
319.55,4.104e-12,,4.104e-12,
319.6,2.287e-12,,2.287e-12,
319.65,1.213e-12,,1.213e-12,
319.7,6.128e-13,,6.128e-13,
319.75,2.946e-13,,2.946e-13,
319.8,1.349e-13,,1.349e-13,
319.85,5.879e-14,,5.879e-14,
319.9,2.440e-14,,2.440e-14,
319.95,9.651e-15,,9.651e-15,
320,3.675e-15,,3.675e-15,
320.05,1.461e-15,,1.461e-15,
320.1,9.376e-16,,9.376e-16,
320.15,1.575e-15,,1.575e-15,
320.2,3.985e-15,,3.985e-15,
320.25,1.035e-14,,1.035e-14,
320.3,2.583e-14,,2.583e-14,
320.35,6.150e-14,,6.150e-14,
320.4,1.395e-13,,1.395e-13,
320.45,3.014e-13,,3.014e-13,
320.5,6.204e-13,,6.204e-13,
320.55,1.217e-12,,1.217e-12,
320.6,2.274e-12,,2.274e-12,
320.65,4.047e-12,,4.047e-12,
320.7,6.863e-12,,6.863e-12,
320.75,1.109e-11,,1.109e-11,
320.8,1.707e-11,,1.707e-11,
320.85,2.503e-11,,2.503e-11,
320.9,3.497e-11,,3.497e-11,
320.95,4.654e-11,,4.654e-11,
321,5.902e-11,,5.902e-11,
321.05,7.130e-11,,7.130e-11,
321.1,8.206e-11,,8.206e-11,
321.15,8.999e-11,,8.999e-11,
321.2,9.401e-11,,9.401e-11,
321.25,9.358e-11,,9.358e-11,
321.3,8.876e-11,,8.876e-11,
321.35,8.022e-11,,8.022e-11,
321.4,6.909e-11,,6.909e-11,
321.45,5.671e-11,,5.671e-11,
321.5,4.438e-11,,4.438e-11,
321.55,3.311e-11,,3.311e-11,
321.6,2.357e-11,,2.357e-11,
321.65,1.602e-11,,1.602e-11,
321.7,1.040e-11,,1.040e-11,
321.75,6.462e-12,,6.462e-12,
321.8,3.849e-12,,3.849e-12,
321.85,2.204e-12,,2.204e-12,
321.9,1.219e-12,,1.219e-12,
321.95,6.556e-13,,6.556e-13,
322,3.479e-13,,3.479e-13,
322.05,1.881e-13,,1.881e-13,
322.1,1.114e-13,,1.114e-13,
322.15,8.137e-14,,8.137e-14,
322.2,7.832e-14,,7.832e-14,
322.25,9.190e-14,,9.190e-14,
322.3,1.162e-13,,1.162e-13,
