Wavelength (nm),Sum,Si I (3.4e-01),Si II (6.6e-01),Si III (3.0e-05)
764.1,4.777e-6,4.777e-6,,5.982e-13
764.15,9.261e-6,9.261e-6,,3.636e-13
764.2,1.780e-5,1.780e-5,,2.191e-13
764.25,3.393e-5,3.393e-5,,1.309e-13
764.3,6.414e-5,6.414e-5,,7.754e-14
764.35,1.202e-4,1.202e-4,,4.553e-14
764.4,2.233e-4,2.233e-4,,2.651e-14
764.45,4.115e-4,4.115e-4,,1.530e-14
764.5,7.519e-4,7.519e-4,,8.754e-15
764.55,1.362e-3,1.362e-3,,4.966e-15
764.6,2.447e-3,2.447e-3,,2.793e-15
764.65,4.358e-3,4.358e-3,,1.557e-15
764.7,7.697e-3,7.697e-3,,8.609e-16
764.75,1.348e-2,1.348e-2,,4.718e-16
764.8,2.340e-2,2.340e-2,,2.563e-16
764.85,4.030e-2,4.030e-2,,1.381e-16
764.9,6.879e-2,6.879e-2,,7.374e-17
764.95,1.165e-1,1.165e-1,,3.904e-17
765,1.955e-1,1.955e-1,,2.049e-17
765.05,3.253e-1,3.253e-1,,1.066e-17
765.1,5.369e-1,5.369e-1,,5.502e-18
765.15,8.786e-1,8.786e-1,,2.814e-18
765.2,1.426e+0,1.426e+0,,1.427e-18
765.25,2.294e+0,2.294e+0,,7.175e-19
765.3,3.659e+0,3.659e+0,,3.576e-19
765.35,5.788e+0,5.788e+0,,1.767e-19
765.4,9.078e+0,9.078e+0,,8.656e-20
765.45,1.412e+1,1.412e+1,,4.204e-20
765.5,2.177e+1,2.177e+1,,2.024e-20
765.55,3.329e+1,3.329e+1,,9.664e-21
765.6,5.047e+1,5.047e+1,,4.574e-21
765.65,7.588e+1,7.588e+1,,2.146e-21
765.7,1.131e+2,1.131e+2,,9.983e-22
765.75,1.672e+2,1.672e+2,,4.604e-22
765.8,2.451e+2,2.451e+2,,2.105e-22
765.85,3.561e+2,3.561e+2,,
765.9,5.132e+2,5.132e+2,,
765.95,7.333e+2,7.333e+2,,
766,1.039e+3,1.039e+3,,
766.05,1.459e+3,1.459e+3,,
766.1,2.033e+3,2.033e+3,,
766.15,2.808e+3,2.808e+3,,
766.2,3.846e+3,3.846e+3,,
766.25,5.222e+3,5.222e+3,,
766.3,7.032e+3,7.032e+3,,
766.35,9.389e+3,9.389e+3,,
766.4,1.243e+4,1.243e+4,,
766.45,1.632e+4,1.632e+4,,
766.5,2.124e+4,2.124e+4,,
766.55,2.741e+4,2.741e+4,,
766.6,3.508e+4,3.508e+4,,
766.65,4.451e+4,4.451e+4,,
766.7,5.601e+4,5.601e+4,,
766.75,6.988e+4,6.988e+4,,
766.8,8.644e+4,8.644e+4,,
766.85,1.060e+5,1.060e+5,,
766.9,1.290e+5,1.290e+5,,
766.95,1.555e+5,1.555e+5,,
767,1.860e+5,1.860e+5,,
767.05,2.206e+5,2.206e+5,,
767.1,2.593e+5,2.593e+5,,
767.15,3.023e+5,3.023e+5,,
