Wavelength (nm),Sum,Mg I (1.1e-01),Mg II (8.9e-01),Mg III (5.4e-04)
476.6,3.094e-9,,3.094e-9,
476.65,9.467e-10,,9.467e-10,
476.7,2.833e-10,,2.833e-10,
476.75,8.291e-11,,8.291e-11,
476.8,2.373e-11,,2.373e-11,
513.62,2.310e-8,2.310e-8,,
513.67,7.335e-8,7.335e-8,,
513.72,2.286e-7,2.286e-7,,
513.77,6.991e-7,6.991e-7,,
513.82,2.099e-6,2.099e-6,,
513.87,6.183e-6,6.183e-6,,
513.92,1.788e-5,1.788e-5,,
513.97,5.073e-5,5.073e-5,,
514.02,1.413e-4,1.413e-4,,
514.07,3.862e-4,3.862e-4,,
514.12,1.036e-3,1.036e-3,,
514.17,2.728e-3,2.728e-3,,
514.22,7.050e-3,7.050e-3,,
514.27,1.788e-2,1.788e-2,,
514.32,4.451e-2,4.451e-2,,
514.37,1.087e-1,1.087e-1,,
514.42,2.607e-1,2.607e-1,,
514.47,6.135e-1,6.135e-1,,
514.52,1.417e+0,1.417e+0,,
514.57,3.212e+0,3.212e+0,,
514.62,7.146e+0,7.146e+0,,
514.67,1.560e+1,1.560e+1,,
514.72,3.343e+1,3.343e+1,,
514.77,7.032e+1,7.032e+1,,
514.82,1.452e+2,1.452e+2,,
514.87,2.941e+2,2.941e+2,,
514.92,5.848e+2,5.848e+2,,
514.97,1.141e+3,1.141e+3,,
515.02,2.186e+3,2.186e+3,,
515.07,4.110e+3,4.110e+3,,
515.12,7.584e+3,7.584e+3,,
515.17,1.374e+4,1.374e+4,,
515.22,2.442e+4,2.442e+4,,
515.27,4.260e+4,4.260e+4,,
515.32,7.297e+4,7.297e+4,,
515.37,1.227e+5,1.227e+5,,
515.42,2.024e+5,2.024e+5,,
515.47,3.279e+5,3.279e+5,,
515.52,5.215e+5,5.215e+5,,
515.57,8.142e+5,8.142e+5,,
515.62,1.248e+6,1.248e+6,,
515.67,1.878e+6,1.878e+6,,
515.72,2.776e+6,2.776e+6,,
515.77,4.030e+6,4.030e+6,,
515.82,5.746e+6,5.746e+6,,
515.87,8.048e+6,8.048e+6,,
515.92,1.108e+7,1.108e+7,,
515.97,1.499e+7,1.499e+7,,
516.02,1.993e+7,1.993e+7,,
516.07,2.607e+7,2.607e+7,,
516.12,3.355e+7,3.355e+7,,
516.17,4.250e+7,4.250e+7,,
516.22,5.303e+7,5.303e+7,,
516.27,6.520e+7,6.520e+7,,
516.32,7.906e+7,7.906e+7,,
516.37,9.460e+7,9.460e+7,,
516.42,1.118e+8,1.118e+8,,
516.47,1.306e+8,1.306e+8,,
516.52,1.509e+8,1.509e+8,,
516.57,1.725e+8,1.725e+8,,
516.62,1.954e+8,1.954e+8,,
516.67,2.194e+8,2.194e+8,,
516.72,2.442e+8,2.442e+8,,
516.77,2.694e+8,2.694e+8,,
516.82,2.948e+8,2.948e+8,,
516.87,3.197e+8,3.197e+8,,
516.92,3.435e+8,3.435e+8,,
516.97,3.656e+8,3.656e+8,,
517.02,3.851e+8,3.851e+8,,
517.07,4.012e+8,4.012e+8,,
517.12,4.132e+8,4.132e+8,,
517.17,4.205e+8,4.205e+8,,
517.22,4.227e+8,4.227e+8,,
517.27,4.198e+8,4.198e+8,,
517.32,4.120e+8,4.120e+8,,
517.37,3.999e+8,3.999e+8,,
517.42,3.846e+8,3.846e+8,,
517.47,3.674e+8,3.674e+8,,
517.52,3.499e+8,3.499e+8,,
517.57,3.338e+8,3.338e+8,,
517.62,3.209e+8,3.209e+8,,
517.67,3.128e+8,3.128e+8,,
517.72,3.108e+8,3.108e+8,,
517.77,3.160e+8,3.160e+8,,
517.82,3.287e+8,3.287e+8,,
517.87,3.489e+8,3.489e+8,,
517.92,3.759e+8,3.759e+8,,
517.97,4.086e+8,4.086e+8,,
518.02,4.451e+8,4.451e+8,,
518.07,4.833e+8,4.833e+8,,
518.12,5.208e+8,5.208e+8,,
518.17,5.551e+8,5.551e+8,,
518.22,5.839e+8,5.839e+8,,
518.27,6.050e+8,6.050e+8,,
518.32,6.167e+8,6.167e+8,,
518.37,6.182e+8,6.182e+8,,
518.42,6.088e+8,6.088e+8,,
518.47,5.890e+8,5.890e+8,,
518.52,5.596e+8,5.596e+8,,
518.57,5.220e+8,5.220e+8,,
518.62,4.781e+8,4.781e+8,,
518.67,4.299e+8,4.299e+8,,
518.72,3.794e+8,3.794e+8,,
518.77,3.287e+8,3.287e+8,,
518.82,2.796e+8,2.796e+8,,
518.87,2.334e+8,2.334e+8,,
518.92,1.912e+8,1.912e+8,,
518.97,1.538e+8,1.538e+8,,
519.02,1.214e+8,1.214e+8,,
519.07,9.412e+7,9.412e+7,,
519.12,7.159e+7,7.159e+7,,
519.17,5.345e+7,5.345e+7,,
519.22,3.918e+7,3.918e+7,,
519.27,2.818e+7,2.818e+7,,
519.32,1.990e+7,1.990e+7,,
519.37,1.379e+7,1.379e+7,,
519.42,9.383e+6,9.383e+6,,
519.47,6.266e+6,6.266e+6,,
519.52,4.107e+6,4.107e+6,,
519.57,2.642e+6,2.642e+6,,
519.62,1.669e+6,1.669e+6,,
519.67,1.034e+6,1.034e+6,,
519.72,6.294e+5,6.294e+5,,
519.77,3.759e+5,3.759e+5,,
519.82,2.204e+5,2.204e+5,,
519.87,1.268e+5,1.268e+5,,
519.92,7.162e+4,7.162e+4,,
519.97,3.970e+4,3.970e+4,,
520.02,2.161e+4,2.161e+4,,
520.07,1.154e+4,1.154e+4,,
520.12,6.051e+3,6.051e+3,,
520.17,3.114e+3,3.114e+3,,
520.22,1.573e+3,1.573e+3,,
520.27,7.799e+2,7.799e+2,,
520.32,3.795e+2,3.795e+2,,
520.37,1.813e+2,1.813e+2,,
520.42,8.502e+1,8.502e+1,,
520.47,3.913e+1,3.913e+1,,
520.52,1.768e+1,1.768e+1,,
520.57,7.839e+0,7.839e+0,,
520.62,3.412e+0,3.412e+0,,
520.67,1.458e+0,1.458e+0,,
520.72,6.114e-1,6.114e-1,,
520.77,2.517e-1,2.517e-1,,
520.82,1.017e-1,1.017e-1,,
520.87,4.033e-2,4.033e-2,,
520.92,1.570e-2,1.570e-2,,
520.97,5.999e-3,5.999e-3,,
521.02,2.250e-3,2.250e-3,,
521.07,8.283e-4,8.283e-4,,
521.12,2.993e-4,2.993e-4,,
521.17,1.062e-4,1.062e-4,,
521.22,3.696e-5,3.696e-5,,
521.27,1.263e-5,1.263e-5,,
521.32,4.237e-6,4.237e-6,,
521.37,1.395e-6,1.395e-6,,
521.42,4.509e-7,4.509e-7,,
521.47,1.430e-7,1.430e-7,,
523.27,3.432e-11,,3.432e-11,
523.32,1.062e-10,,1.062e-10,
523.37,3.230e-10,,3.230e-10,
523.42,9.643e-10,,9.643e-10,
523.47,2.828e-9,,2.828e-9,
523.52,8.143e-9,,8.143e-9,
523.57,2.303e-8,,2.303e-8,
523.62,6.398e-8,,6.398e-8,
523.67,1.746e-7,,1.746e-7,
523.72,4.677e-7,,4.677e-7,
523.77,1.231e-6,,1.231e-6,
523.82,3.181e-6,,3.181e-6,
523.87,8.076e-6,,8.076e-6,
523.92,2.013e-5,,2.013e-5,
523.97,4.930e-5,,4.930e-5,
524.02,1.185e-4,,1.185e-4,
524.07,2.800e-4,,2.800e-4,
524.12,6.494e-4,,6.494e-4,
524.17,1.480e-3,,1.480e-3,
524.22,3.310e-3,,3.310e-3,
524.27,7.274e-3,,7.274e-3,
524.32,1.570e-2,,1.570e-2,
524.37,3.328e-2,,3.328e-2,
524.42,6.927e-2,,6.927e-2,
524.47,1.416e-1,,1.416e-1,
524.52,2.844e-1,,2.844e-1,
524.57,5.608e-1,,5.608e-1,
524.62,1.086e+0,,1.086e+0,
524.67,2.066e+0,,2.066e+0,
524.72,3.860e+0,,3.860e+0,
524.77,7.084e+0,,7.084e+0,
524.82,1.277e+1,,1.277e+1,
524.87,2.259e+1,,2.259e+1,
524.92,3.927e+1,,3.927e+1,
524.97,6.705e+1,,6.705e+1,
525.02,1.124e+2,,1.124e+2,
525.07,1.851e+2,,1.851e+2,
525.12,2.994e+2,,2.994e+2,
525.17,4.756e+2,,4.756e+2,
525.22,7.419e+2,,7.419e+2,
525.27,1.137e+3,,1.137e+3,
525.32,1.711e+3,,1.711e+3,
525.37,2.528e+3,,2.528e+3,
525.42,3.669e+3,,3.669e+3,
525.47,5.231e+3,,5.231e+3,
525.52,7.324e+3,,7.324e+3,
525.57,1.007e+4,,1.007e+4,
525.62,1.360e+4,,1.360e+4,
525.67,1.804e+4,,1.804e+4,
525.72,2.350e+4,,2.350e+4,
525.77,3.006e+4,,3.006e+4,
525.82,3.778e+4,,3.778e+4,
525.87,4.662e+4,,4.662e+4,
525.92,5.650e+4,,5.650e+4,
525.97,6.726e+4,,6.726e+4,
526.02,7.863e+4,,7.863e+4,
526.07,9.029e+4,,9.029e+4,
526.12,1.018e+5,,1.018e+5,
526.17,1.128e+5,,1.128e+5,
526.22,1.227e+5,,1.227e+5,
526.27,1.310e+5,,1.310e+5,
526.32,1.375e+5,,1.375e+5,
526.37,1.417e+5,,1.417e+5,
526.42,1.434e+5,,1.434e+5,
526.47,1.425e+5,,1.425e+5,
526.52,1.391e+5,,1.391e+5,
526.57,1.334e+5,,1.334e+5,
526.62,1.256e+5,,1.256e+5,
526.67,1.162e+5,,1.162e+5,
526.72,1.055e+5,,1.055e+5,
526.77,9.413e+4,,9.413e+4,
526.82,8.247e+4,,8.247e+4,
526.87,7.096e+4,,7.096e+4,
526.92,5.997e+4,,5.997e+4,
526.97,4.977e+4,,4.977e+4,
527.02,4.057e+4,,4.057e+4,
527.07,3.248e+4,,3.248e+4,
527.12,2.554e+4,,2.554e+4,
527.17,1.972e+4,,1.972e+4,
527.22,1.496e+4,,1.496e+4,
527.27,1.114e+4,,1.114e+4,
527.32,8.152e+3,,8.152e+3,
527.37,5.858e+3,,5.858e+3,
527.42,4.134e+3,,4.134e+3,
527.47,2.865e+3,,2.865e+3,
527.52,1.950e+3,,1.950e+3,
527.57,1.304e+3,,1.304e+3,
527.62,8.559e+2,,8.559e+2,
527.67,5.519e+2,,5.519e+2,
527.72,3.496e+2,,3.496e+2,
527.77,2.174e+2,,2.174e+2,
527.82,1.328e+2,,1.328e+2,
