Wavelength (nm),Sum,Mg I (1.1e-01),Mg II (8.9e-01),Mg III (5.4e-04)
634.21,1.564e+5,,1.564e+5,
634.26,1.748e+5,,1.748e+5,
634.31,1.928e+5,,1.928e+5,
634.36,2.102e+5,,2.102e+5,
634.41,2.263e+5,,2.263e+5,
634.46,2.406e+5,,2.406e+5,
634.51,2.527e+5,,2.527e+5,
634.56,2.621e+5,,2.621e+5,
634.61,2.685e+5,,2.685e+5,
634.66,2.716e+5,,2.716e+5,
634.71,2.715e+5,,2.715e+5,
634.76,2.679e+5,,2.679e+5,
634.81,2.612e+5,,2.612e+5,
634.86,2.515e+5,,2.515e+5,
634.91,2.392e+5,,2.392e+5,
634.96,2.246e+5,,2.246e+5,
635.01,2.084e+5,,2.084e+5,
635.06,1.909e+5,,1.909e+5,
635.11,1.728e+5,,1.728e+5,
635.16,1.545e+5,,1.545e+5,
635.21,1.364e+5,,1.364e+5,
635.26,1.189e+5,,1.189e+5,
635.31,1.024e+5,,1.024e+5,
635.36,8.709e+4,,8.709e+4,
635.41,7.316e+4,,7.316e+4,
635.46,6.071e+4,,6.071e+4,
635.51,4.975e+4,,4.975e+4,
635.56,4.027e+4,,4.027e+4,
635.61,3.219e+4,,3.219e+4,
635.66,2.542e+4,,2.542e+4,
635.71,1.982e+4,,1.982e+4,
635.76,1.527e+4,,1.527e+4,
635.81,1.162e+4,,1.162e+4,
635.86,8.728e+3,,8.728e+3,
635.91,6.477e+3,,6.477e+3,
635.96,4.748e+3,,4.748e+3,
636.01,3.437e+3,,3.437e+3,
636.06,2.458e+3,,2.458e+3,
636.11,1.736e+3,,1.736e+3,
636.16,1.211e+3,,1.211e+3,
636.21,8.341e+2,,8.341e+2,
636.26,5.675e+2,,5.675e+2,
636.31,3.814e+2,,3.814e+2,
636.36,2.532e+2,,2.532e+2,
636.41,1.660e+2,,1.660e+2,
636.46,1.075e+2,,1.075e+2,
636.51,6.873e+1,,6.873e+1,
636.56,4.342e+1,,4.342e+1,
636.61,2.709e+1,,2.709e+1,
636.66,1.669e+1,,1.669e+1,
636.71,1.016e+1,,1.016e+1,
636.76,6.106e+0,,6.106e+0,
636.81,3.625e+0,,3.625e+0,
636.86,2.125e+0,,2.125e+0,
636.91,1.231e+0,,1.231e+0,
636.96,7.041e-1,,7.041e-1,
637.01,3.978e-1,,3.978e-1,
637.06,2.220e-1,,2.220e-1,
637.11,1.223e-1,,1.223e-1,
637.16,6.659e-2,,6.659e-2,
637.21,3.580e-2,,3.580e-2,
637.26,1.901e-2,,1.901e-2,
637.31,9.970e-3,,9.970e-3,
637.36,5.165e-3,,5.165e-3,
637.41,2.642e-3,,2.642e-3,
637.46,1.335e-3,,1.335e-3,
637.51,6.664e-4,,6.664e-4,
637.56,3.285e-4,,3.285e-4,
637.61,1.599e-4,,1.599e-4,
637.66,7.690e-5,,7.690e-5,
637.71,3.652e-5,,3.652e-5,
637.76,1.713e-5,,1.713e-5,
637.81,7.938e-6,,7.938e-6,
637.86,3.632e-6,,3.632e-6,
637.91,1.642e-6,,1.642e-6,
637.96,7.328e-7,,7.328e-7,
638.01,3.231e-7,,3.231e-7,
638.06,1.407e-7,,1.407e-7,
638.11,6.051e-8,,6.051e-8,
638.16,2.570e-8,,2.570e-8,
638.21,1.078e-8,,1.078e-8,
638.26,4.469e-9,,4.469e-9,
638.31,1.829e-9,,1.829e-9,
638.36,7.394e-10,,7.394e-10,
638.41,2.952e-10,,2.952e-10,
638.46,1.164e-10,,1.164e-10,
638.51,4.534e-11,,4.534e-11,
782.95,2.085e-10,,2.085e-10,
783,4.473e-10,,4.473e-10,
783.05,9.517e-10,,9.517e-10,
783.1,2.009e-9,,2.009e-9,
783.15,4.206e-9,,4.206e-9,
783.2,8.735e-9,,8.735e-9,
783.25,1.800e-8,,1.800e-8,
783.3,3.678e-8,,3.678e-8,
783.35,7.456e-8,,7.456e-8,
783.4,1.499e-7,,1.499e-7,
783.45,2.991e-7,,2.991e-7,
783.5,5.919e-7,,5.919e-7,
783.55,1.162e-6,,1.162e-6,
783.6,2.263e-6,,2.263e-6,
783.65,4.371e-6,,4.371e-6,
783.7,8.375e-6,,8.375e-6,
783.75,1.592e-5,,1.592e-5,
783.8,3.001e-5,,3.001e-5,
783.85,5.614e-5,,5.614e-5,
783.9,1.042e-4,,1.042e-4,
783.95,1.917e-4,,1.917e-4,
784,3.500e-4,,3.500e-4,
784.05,6.338e-4,,6.338e-4,
784.1,1.139e-3,,1.139e-3,
784.15,2.029e-3,,2.029e-3,
784.2,3.587e-3,,3.587e-3,
784.25,6.290e-3,,6.290e-3,
784.3,1.094e-2,,1.094e-2,
784.35,1.888e-2,,1.888e-2,
784.4,3.232e-2,,3.232e-2,
784.45,5.487e-2,,5.487e-2,
784.5,9.242e-2,,9.242e-2,
784.55,1.544e-1,,1.544e-1,
784.6,2.559e-1,,2.559e-1,
784.65,4.208e-1,,4.208e-1,
784.7,6.863e-1,,6.863e-1,
784.75,1.110e+0,,1.110e+0,
784.8,1.782e+0,,1.782e+0,
784.85,2.837e+0,,2.837e+0,
784.9,4.479e+0,,4.479e+0,
784.95,7.017e+0,,7.017e+0,
785,1.090e+1,,1.090e+1,
785.05,1.681e+1,,1.681e+1,
785.1,2.570e+1,,2.570e+1,
785.15,3.898e+1,,3.898e+1,
785.2,5.866e+1,,5.866e+1,
785.25,8.755e+1,,8.755e+1,
785.3,1.296e+2,,1.296e+2,
785.35,1.904e+2,,1.904e+2,
785.4,2.774e+2,,2.774e+2,
785.45,4.009e+2,,4.009e+2,
785.5,5.747e+2,,5.747e+2,
785.55,8.172e+2,,8.172e+2,
785.6,1.153e+3,,1.153e+3,
785.65,1.613e+3,,1.613e+3,
785.7,2.240e+3,,2.240e+3,
785.75,3.084e+3,,3.084e+3,
785.8,4.212e+3,,4.212e+3,
785.85,5.708e+3,,5.708e+3,
785.9,7.672e+3,,7.672e+3,
785.95,1.023e+4,,1.023e+4,
786,1.353e+4,,1.353e+4,
786.05,1.775e+4,,1.775e+4,
786.1,2.310e+4,,2.310e+4,
786.15,2.983e+4,,2.983e+4,
786.2,3.820e+4,,3.820e+4,
786.25,4.853e+4,,4.853e+4,
786.3,6.115e+4,,6.115e+4,
786.35,7.645e+4,,7.645e+4,
786.4,9.480e+4,,9.480e+4,
786.45,1.166e+5,,1.166e+5,
786.5,1.423e+5,,1.423e+5,
786.55,1.722e+5,,1.722e+5,
786.6,2.068e+5,,2.068e+5,
786.65,2.463e+5,,2.463e+5,
786.7,2.910e+5,,2.910e+5,
786.75,3.411e+5,,3.411e+5,
786.8,3.966e+5,,3.966e+5,
786.85,4.574e+5,,4.574e+5,
786.9,5.233e+5,,5.233e+5,
786.95,5.939e+5,,5.939e+5,
787,6.686e+5,,6.686e+5,
787.05,7.466e+5,,7.466e+5,
787.1,8.271e+5,,8.271e+5,
787.15,9.089e+5,,9.089e+5,
787.2,9.908e+5,,9.908e+5,
787.25,1.071e+6,,1.071e+6,
787.31,1.165e+6,,1.165e+6,
787.36,1.237e+6,,1.237e+6,
787.41,1.304e+6,,1.304e+6,
787.46,1.364e+6,,1.364e+6,
787.51,1.415e+6,,1.415e+6,
787.56,1.456e+6,,1.456e+6,
787.61,1.487e+6,,1.487e+6,
787.66,1.506e+6,,1.506e+6,
787.71,1.514e+6,,1.514e+6,
787.76,1.511e+6,,1.511e+6,
787.81,1.497e+6,,1.497e+6,
787.86,1.472e+6,,1.472e+6,
787.91,1.438e+6,,1.438e+6,
787.96,1.395e+6,,1.395e+6,
788.01,1.346e+6,,1.346e+6,
788.06,1.292e+6,,1.292e+6,
788.11,1.235e+6,,1.235e+6,
788.16,1.178e+6,,1.178e+6,
788.21,1.121e+6,,1.121e+6,
788.26,1.069e+6,,1.069e+6,
788.31,1.021e+6,,1.021e+6,
788.36,9.819e+5,,9.819e+5,
788.41,9.521e+5,,9.521e+5,
788.46,9.336e+5,,9.336e+5,
788.51,9.280e+5,,9.280e+5,
788.56,9.366e+5,,9.366e+5,
788.61,9.603e+5,,9.603e+5,
788.66,9.999e+5,,9.999e+5,
788.71,1.055e+6,,1.055e+6,
788.76,1.127e+6,,1.127e+6,
788.81,1.214e+6,,1.214e+6,
788.86,1.315e+6,,1.315e+6,
788.91,1.430e+6,,1.430e+6,
788.96,1.556e+6,,1.556e+6,
789.01,1.691e+6,,1.691e+6,
789.06,1.833e+6,,1.833e+6,
789.11,1.979e+6,,1.979e+6,
789.16,2.126e+6,,2.126e+6,
789.21,2.271e+6,,2.271e+6,
789.26,2.410e+6,,2.410e+6,
789.31,2.541e+6,,2.541e+6,
789.36,2.660e+6,,2.660e+6,
789.41,2.764e+6,,2.764e+6,
789.46,2.850e+6,,2.850e+6,
789.51,2.917e+6,,2.917e+6,
789.56,2.963e+6,,2.963e+6,
789.61,2.985e+6,,2.985e+6,
789.66,2.985e+6,,2.985e+6,
789.71,2.960e+6,,2.960e+6,
789.76,2.913e+6,,2.913e+6,
789.81,2.844e+6,,2.844e+6,
789.86,2.754e+6,,2.754e+6,
789.91,2.646e+6,,2.646e+6,
789.96,2.522e+6,,2.522e+6,
790.01,2.385e+6,,2.385e+6,
790.06,2.237e+6,,2.237e+6,
790.11,2.082e+6,,2.082e+6,
790.16,1.922e+6,,1.922e+6,
790.21,1.760e+6,,1.760e+6,
790.26,1.599e+6,,1.599e+6,
790.31,1.441e+6,,1.441e+6,
790.36,1.288e+6,,1.288e+6,
790.41,1.142e+6,,1.142e+6,
790.46,1.005e+6,,1.005e+6,
790.51,8.770e+5,,8.770e+5,
790.56,7.593e+5,,7.593e+5,
790.61,6.522e+5,,6.522e+5,
790.66,5.556e+5,,5.556e+5,
790.71,4.696e+5,,4.696e+5,
790.76,3.938e+5,,3.938e+5,
790.81,3.275e+5,,3.275e+5,
790.86,2.703e+5,,2.703e+5,
790.91,2.212e+5,,2.212e+5,
790.96,1.796e+5,,1.796e+5,
791.01,1.447e+5,,1.447e+5,
791.06,1.156e+5,,1.156e+5,
791.11,9.166e+4,,9.166e+4,
791.16,7.208e+4,,7.208e+4,
791.21,5.623e+4,,5.623e+4,
791.26,4.352e+4,,4.352e+4,
791.31,3.341e+4,,3.341e+4,
791.36,2.544e+4,,2.544e+4,
791.41,1.922e+4,,1.922e+4,
791.46,1.441e+4,,1.441e+4,
791.51,1.071e+4,,1.071e+4,
791.56,7.899e+3,,7.899e+3,
791.61,5.780e+3,,5.780e+3,
791.66,4.195e+3,,4.195e+3,
791.71,3.020e+3,,3.020e+3,
791.76,2.157e+3,,2.157e+3,
791.81,1.529e+3,,1.529e+3,
791.86,1.075e+3,,1.075e+3,
791.91,7.492e+2,,7.492e+2,
791.96,5.183e+2,,5.183e+2,
792.01,3.556e+2,,3.556e+2,
792.06,2.421e+2,,2.421e+2,
792.11,1.635e+2,,1.635e+2,
792.16,1.095e+2,,1.095e+2,
792.21,7.278e+1,,7.278e+1,
792.26,4.798e+1,,4.798e+1,
792.31,3.138e+1,,3.138e+1,
792.36,2.036e+1,,2.036e+1,
792.41,1.310e+1,,1.310e+1,
792.46,8.365e+0,,8.365e+0,
792.51,5.298e+0,,5.298e+0,
792.56,3.329e+0,,3.329e+0,
792.61,2.075e+0,,2.075e+0,
792.66,1.283e+0,,1.283e+0,
792.71,7.868e-1,,7.868e-1,
792.76,4.787e-1,,4.787e-1,
792.81,2.890e-1,,2.890e-1,
792.86,1.730e-1,,1.730e-1,
792.91,1.028e-1,,1.028e-1,
792.96,6.056e-2,,6.056e-2,
793.01,3.540e-2,,3.540e-2,
793.06,2.053e-2,,2.053e-2,
793.11,1.181e-2,,1.181e-2,
793.16,6.740e-3,,6.740e-3,
793.21,3.815e-3,,3.815e-3,
793.26,2.143e-3,,2.143e-3,
793.31,1.194e-3,,1.194e-3,
793.36,6.597e-4,,6.597e-4,
793.41,3.617e-4,,3.617e-4,
793.46,1.967e-4,,1.967e-4,
793.51,1.061e-4,,1.061e-4,
793.56,5.680e-5,,5.680e-5,
793.61,3.016e-5,,3.016e-5,
793.66,1.588e-5,,1.588e-5,
793.71,8.300e-6,,8.300e-6,
793.76,4.302e-6,,4.302e-6,
793.81,2.212e-6,,2.212e-6,
793.86,1.128e-6,,1.128e-6,
793.91,5.710e-7,,5.710e-7,
793.96,2.866e-7,,2.866e-7,
794.01,1.427e-7,,1.427e-7,
794.06,7.050e-8,,7.050e-8,
794.11,3.455e-8,,3.455e-8,
794.16,1.679e-8,,1.679e-8,
794.21,8.099e-9,,8.099e-9,
794.26,3.875e-9,,3.875e-9,
794.31,1.839e-9,,1.839e-9,
794.36,8.657e-10,,8.657e-10,
816.36,7.066e-10,7.066e-10,,
816.41,1.464e-9,1.464e-9,,
816.46,3.071e-9,3.012e-9,5.886e-11,
816.51,6.271e-9,6.149e-9,1.220e-10,
816.56,1.271e-8,1.246e-8,2.508e-10,
816.61,2.558e-8,2.507e-8,5.120e-10,
816.66,5.110e-8,5.007e-8,1.038e-9,
816.71,1.013e-7,9.924e-8,2.087e-9,
816.76,1.994e-7,1.952e-7,4.167e-9,
816.81,3.896e-7,3.813e-7,8.258e-9,
816.86,7.554e-7,7.392e-7,1.624e-8,
816.91,1.454e-6,1.422e-6,3.172e-8,
816.96,2.778e-6,2.717e-6,6.148e-8,
817.01,5.269e-6,5.151e-6,1.183e-7,
817.06,9.919e-6,9.693e-6,2.259e-7,
817.11,1.853e-5,1.811e-5,4.282e-7,
817.16,3.438e-5,3.357e-5,8.057e-7,
817.21,6.330e-5,6.179e-5,1.505e-6,
817.26,1.157e-4,1.129e-4,2.790e-6,
817.31,2.098e-4,2.047e-4,5.134e-6,
817.36,3.779e-4,3.685e-4,9.378e-6,
817.41,6.754e-4,6.584e-4,1.700e-5,
817.46,1.198e-3,1.168e-3,3.061e-5,
817.51,2.110e-3,2.056e-3,5.468e-5,
817.56,3.689e-3,3.592e-3,9.696e-5,
817.61,6.402e-3,6.231e-3,1.707e-4,
817.66,1.103e-2,1.073e-2,2.982e-4,
817.71,1.885e-2,1.833e-2,5.172e-4,
817.76,3.199e-2,3.110e-2,8.903e-4,
817.81,5.389e-2,5.237e-2,1.521e-3,
817.86,9.012e-2,8.754e-2,2.581e-3,
817.91,1.496e-1,1.452e-1,4.345e-3,
817.96,2.464e-1,2.392e-1,7.261e-3,
818.01,4.030e-1,3.910e-1,1.205e-2,
818.06,6.542e-1,6.344e-1,1.983e-2,
818.11,1.054e+0,1.022e+0,3.242e-2,
818.17,1.851e+0,1.793e+0,5.789e-2,
818.22,2.934e+0,2.841e+0,9.309e-2,
818.27,4.616e+0,4.468e+0,1.486e-1,
818.32,7.211e+0,6.975e+0,2.354e-1,
818.37,1.118e+1,1.081e+1,3.703e-1,
818.42,1.721e+1,1.663e+1,5.780e-1,
818.47,2.629e+1,2.539e+1,8.957e-1,
818.52,3.986e+1,3.848e+1,1.378e+0,
818.57,6.000e+1,5.790e+1,2.103e+0,
818.62,8.965e+1,8.646e+1,3.188e+0,
818.67,1.330e+2,1.282e+2,4.795e+0,
818.72,1.957e+2,1.886e+2,7.160e+0,
818.77,2.860e+2,2.754e+2,1.061e+1,
818.82,4.149e+2,3.993e+2,1.561e+1,
818.87,5.973e+2,5.745e+2,2.280e+1,
818.92,8.537e+2,8.206e+2,3.305e+1,
818.97,1.211e+3,1.164e+3,4.756e+1,
819.02,1.705e+3,1.638e+3,6.793e+1,
819.07,2.384e+3,2.288e+3,9.630e+1,
819.12,3.308e+3,3.172e+3,1.355e+2,
819.17,4.555e+3,4.366e+3,1.893e+2,
819.22,6.227e+3,5.965e+3,2.625e+2,
819.27,8.451e+3,8.089e+3,3.613e+2,
819.32,1.138e+4,1.089e+4,4.935e+2,
819.37,1.522e+4,1.455e+4,6.693e+2,
819.42,2.020e+4,1.930e+4,9.008e+2,
819.47,2.661e+4,2.541e+4,1.204e+3,
819.52,3.480e+4,3.320e+4,1.596e+3,
819.57,4.517e+4,4.307e+4,2.101e+3,
819.62,5.820e+4,5.546e+4,2.746e+3,
819.67,7.444e+4,7.088e+4,3.562e+3,
819.72,9.450e+4,8.992e+4,4.586e+3,
819.77,1.191e+5,1.132e+5,5.861e+3,
819.82,1.490e+5,1.415e+5,7.435e+3,
819.87,1.850e+5,1.756e+5,9.362e+3,
819.92,2.280e+5,2.163e+5,1.170e+4,
819.97,2.789e+5,2.644e+5,1.452e+4,
820.02,3.387e+5,3.208e+5,1.788e+4,
820.07,4.083e+5,3.864e+5,2.185e+4,
820.12,4.885e+5,4.620e+5,2.652e+4,
820.17,5.802e+5,5.483e+5,3.194e+4,
820.22,6.840e+5,6.459e+5,3.819e+4,
820.27,8.005e+5,7.552e+5,4.532e+4,
820.32,9.299e+5,8.765e+5,5.338e+4,
820.37,1.072e+6,1.010e+6,6.241e+4,
820.42,1.227e+6,1.155e+6,7.244e+4,
820.47,1.394e+6,1.311e+6,8.345e+4,
820.52,1.572e+6,1.477e+6,9.543e+4,
820.57,1.760e+6,1.652e+6,1.083e+5,
820.62,1.956e+6,1.834e+6,1.221e+5,
820.67,2.158e+6,2.021e+6,1.365e+5,
820.72,2.362e+6,2.211e+6,1.515e+5,
820.77,2.567e+6,2.400e+6,1.670e+5,
820.82,2.770e+6,2.587e+6,1.827e+5,
820.87,2.966e+6,2.767e+6,1.983e+5,
820.92,3.152e+6,2.939e+6,2.138e+5,
820.97,3.326e+6,3.097e+6,2.287e+5,
821.02,3.484e+6,3.241e+6,2.429e+5,
821.07,3.622e+6,3.366e+6,2.560e+5,
821.12,3.737e+6,3.469e+6,2.679e+5,
821.17,3.828e+6,3.550e+6,2.783e+5,
821.22,3.893e+6,3.606e+6,2.870e+5,
821.27,3.929e+6,3.635e+6,2.938e+5,
821.32,3.936e+6,3.638e+6,2.986e+5,
821.37,3.915e+6,3.614e+6,3.013e+5,
821.42,3.865e+6,3.563e+6,3.018e+5,
821.47,3.788e+6,3.487e+6,3.003e+5,
821.52,3.685e+6,3.388e+6,2.967e+5,
821.57,3.558e+6,3.267e+6,2.912e+5,
821.62,3.411e+6,3.127e+6,2.840e+5,
821.67,3.247e+6,2.971e+6,2.752e+5,
821.72,3.068e+6,2.802e+6,2.653e+5,
821.77,2.878e+6,2.624e+6,2.543e+5,
821.82,2.681e+6,2.438e+6,2.429e+5,
821.87,2.480e+6,2.249e+6,2.311e+5,
821.92,2.278e+6,2.059e+6,2.195e+5,
821.97,2.079e+6,1.871e+6,2.084e+5,
822.02,1.886e+6,1.688e+6,1.982e+5,
822.07,1.701e+6,1.511e+6,1.892e+5,
822.12,1.525e+6,1.343e+6,1.818e+5,
822.17,1.361e+6,1.185e+6,1.762e+5,
822.22,1.211e+6,1.038e+6,1.729e+5,
822.27,1.074e+6,9.022e+5,1.719e+5,
822.32,9.521e+5,7.785e+5,1.736e+5,
822.37,8.449e+5,6.668e+5,1.781e+5,
822.42,7.524e+5,5.669e+5,1.855e+5,
822.47,6.742e+5,4.784e+5,1.959e+5,
822.52,6.098e+5,4.007e+5,2.091e+5,
822.57,5.584e+5,3.332e+5,2.253e+5,
822.62,5.191e+5,2.750e+5,2.441e+5,
822.67,4.908e+5,2.253e+5,2.655e+5,
822.72,4.723e+5,1.832e+5,2.891e+5,
822.77,4.625e+5,1.479e+5,3.146e+5,
822.82,4.601e+5,1.185e+5,3.416e+5,
822.87,4.639e+5,9.421e+4,3.697e+5,
822.92,4.727e+5,7.437e+4,3.983e+5,
822.97,4.853e+5,5.828e+4,4.270e+5,
823.02,5.004e+5,4.533e+4,4.551e+5,
823.07,5.171e+5,3.500e+4,4.821e+5,
823.12,5.343e+5,2.682e+4,5.074e+5,
823.17,5.509e+5,2.040e+4,5.305e+5,
823.22,5.663e+5,1.541e+4,5.509e+5,
823.27,5.796e+5,1.155e+4,5.680e+5,
823.32,5.902e+5,8.590e+3,5.816e+5,
823.37,5.975e+5,6.344e+3,5.912e+5,
823.42,6.013e+5,4.650e+3,5.966e+5,
823.47,6.011e+5,3.383e+3,5.977e+5,
823.52,5.970e+5,2.444e+3,5.945e+5,
823.57,5.888e+5,1.752e+3,5.870e+5,
823.62,5.766e+5,1.247e+3,5.754e+5,
823.67,5.607e+5,8.805e+2,5.598e+5,
823.72,5.414e+5,6.174e+2,5.407e+5,
823.77,5.189e+5,4.297e+2,5.185e+5,
823.82,4.937e+5,2.968e+2,4.934e+5,
823.87,4.664e+5,2.035e+2,4.662e+5,
823.92,4.374e+5,1.385e+2,4.372e+5,
823.97,4.071e+5,9.360e+1,4.070e+5,
824.02,3.762e+5,6.277e+1,3.762e+5,
824.07,3.451e+5,4.178e+1,3.451e+5,
824.12,3.142e+5,2.761e+1,3.142e+5,
824.17,2.840e+5,1.811e+1,2.840e+5,
824.22,2.549e+5,1.179e+1,2.548e+5,
824.27,2.270e+5,7.619e+0,2.270e+5,
824.32,2.007e+5,4.887e+0,2.007e+5,
824.37,1.761e+5,3.112e+0,1.761e+5,
824.42,1.534e+5,1.967e+0,1.534e+5,
824.47,1.327e+5,1.234e+0,1.327e+5,
824.52,1.139e+5,7.683e-1,1.139e+5,
824.57,9.707e+4,4.749e-1,9.707e+4,
824.62,8.211e+4,2.914e-1,8.211e+4,
824.67,6.894e+4,1.775e-1,6.894e+4,
824.72,5.746e+4,1.073e-1,5.746e+4,
824.77,4.754e+4,6.438e-2,4.754e+4,
824.82,3.905e+4,3.834e-2,3.905e+4,
824.87,3.183e+4,2.267e-2,3.183e+4,
824.92,2.576e+4,1.330e-2,2.576e+4,
824.97,2.070e+4,7.750e-3,2.070e+4,
825.02,1.650e+4,4.482e-3,1.650e+4,
825.07,1.306e+4,2.572e-3,1.306e+4,
825.12,1.026e+4,1.465e-3,1.026e+4,
825.17,8.006e+3,8.287e-4,8.006e+3,
825.22,6.199e+3,4.652e-4,6.199e+3,
825.27,4.764e+3,2.592e-4,4.764e+3,
825.32,3.634e+3,1.434e-4,3.634e+3,
825.37,2.752e+3,7.871e-5,2.752e+3,
825.42,2.069e+3,4.289e-5,2.069e+3,
825.47,1.544e+3,2.320e-5,1.544e+3,
825.52,1.144e+3,1.246e-5,1.144e+3,
825.57,8.410e+2,6.639e-6,8.410e+2,
825.62,6.138e+2,3.512e-6,6.138e+2,
825.67,4.447e+2,1.844e-6,4.447e+2,
825.72,3.199e+2,9.613e-7,3.199e+2,
825.77,2.284e+2,4.973e-7,2.284e+2,
825.82,1.618e+2,2.554e-7,1.618e+2,
825.87,1.138e+2,1.302e-7,1.138e+2,
825.92,7.950e+1,6.588e-8,7.950e+1,
825.97,5.511e+1,3.309e-8,5.511e+1,
826.02,3.792e+1,1.650e-8,3.792e+1,
826.07,2.590e+1,8.165e-9,2.590e+1,
826.12,1.756e+1,4.011e-9,1.756e+1,
826.17,1.182e+1,1.956e-9,1.182e+1,
826.22,7.896e+0,9.465e-10,7.896e+0,
826.27,5.236e+0,,5.236e+0,
826.32,3.447e+0,,3.447e+0,
826.37,2.253e+0,,2.253e+0,
826.42,1.461e+0,,1.461e+0,
826.47,9.408e-1,,9.408e-1,
826.52,6.014e-1,,6.014e-1,
826.57,3.816e-1,,3.816e-1,
826.62,2.403e-1,,2.403e-1,
826.67,1.502e-1,,1.502e-1,
826.72,9.324e-2,,9.324e-2,
826.77,5.744e-2,,5.744e-2,
826.82,3.512e-2,,3.512e-2,
826.87,2.132e-2,,2.132e-2,
826.92,1.285e-2,,1.285e-2,
826.97,7.684e-3,,7.684e-3,
827.02,4.562e-3,,4.562e-3,
827.07,2.689e-3,,2.689e-3,
827.12,1.573e-3,,1.573e-3,
827.17,9.136e-4,,9.136e-4,
827.22,5.267e-4,,5.267e-4,
827.27,3.014e-4,,3.014e-4,
827.32,1.712e-4,,1.712e-4,
827.37,9.654e-5,,9.654e-5,
827.42,5.404e-5,,5.404e-5,
827.47,3.002e-5,,3.002e-5,
827.52,1.656e-5,,1.656e-5,
827.57,9.066e-6,,9.066e-6,
827.62,4.927e-6,,4.927e-6,
827.67,2.658e-6,,2.658e-6,
827.72,1.423e-6,,1.423e-6,
827.77,7.566e-7,,7.566e-7,
827.82,3.992e-7,,3.992e-7,
827.87,2.091e-7,,2.091e-7,
827.92,1.087e-7,,1.087e-7,
827.97,5.611e-8,,5.611e-8,
828.02,2.875e-8,,2.875e-8,
828.07,1.462e-8,,1.462e-8,
828.12,7.381e-9,,7.381e-9,
828.17,3.699e-9,,3.699e-9,
828.22,1.840e-9,,1.840e-9,
828.27,9.085e-10,,9.085e-10,
828.32,4.453e-10,,4.453e-10,
828.37,2.167e-10,,2.167e-10,
828.42,1.046e-10,,1.046e-10,
869.33,4.814e-12,,4.814e-12,
869.38,9.520e-12,,9.520e-12,
869.43,1.870e-11,,1.870e-11,
869.48,3.650e-11,,3.650e-11,
869.53,7.078e-11,,7.078e-11,
869.58,1.364e-10,,1.364e-10,
869.63,2.610e-10,,2.610e-10,
869.68,4.962e-10,,4.962e-10,
869.73,9.374e-10,,9.374e-10,
869.78,1.759e-9,,1.759e-9,
869.83,3.280e-9,,3.280e-9,
869.88,6.076e-9,,6.076e-9,
869.93,1.118e-8,,1.118e-8,
869.98,2.044e-8,,2.044e-8,
870.03,3.713e-8,,3.713e-8,
870.08,6.700e-8,,6.700e-8,
870.13,1.201e-7,,1.201e-7,
870.18,2.139e-7,,2.139e-7,
870.23,3.786e-7,,3.786e-7,
870.28,6.655e-7,,6.655e-7,
870.33,1.162e-6,,1.162e-6,
870.38,2.017e-6,,2.017e-6,
870.43,3.476e-6,,3.476e-6,
870.48,5.954e-6,,5.954e-6,
870.53,1.013e-5,,1.013e-5,
870.58,1.712e-5,,1.712e-5,
870.63,2.875e-5,,2.875e-5,
870.68,4.797e-5,,4.797e-5,
870.73,7.952e-5,,7.952e-5,
870.78,1.309e-4,,1.309e-4,
870.83,2.142e-4,,2.142e-4,
870.88,3.482e-4,,3.482e-4,
870.93,5.622e-4,,5.622e-4,
870.98,9.019e-4,,9.019e-4,
871.03,1.437e-3,,1.437e-3,
871.08,2.276e-3,,2.276e-3,
871.13,3.580e-3,,3.580e-3,
871.18,5.595e-3,,5.595e-3,
871.23,8.687e-3,,8.687e-3,
871.28,1.340e-2,,1.340e-2,
871.33,2.053e-2,,2.053e-2,
871.38,3.126e-2,,3.126e-2,
871.43,4.729e-2,,4.729e-2,
871.48,7.106e-2,,7.106e-2,
871.53,1.061e-1,,1.061e-1,
871.58,1.573e-1,,1.573e-1,
871.63,2.318e-1,,2.318e-1,
871.68,3.394e-1,,3.394e-1,
871.73,4.936e-1,,4.936e-1,
871.78,7.132e-1,,7.132e-1,
871.83,1.024e+0,,1.024e+0,
871.88,1.460e+0,,1.460e+0,
871.93,2.069e+0,,2.069e+0,
871.98,2.912e+0,,2.912e+0,
872.03,4.072e+0,,4.072e+0,
872.08,5.658e+0,,5.658e+0,
872.13,7.809e+0,,7.809e+0,
872.18,1.071e+1,,1.071e+1,
872.23,1.459e+1,,1.459e+1,
872.28,1.974e+1,,1.974e+1,
872.33,2.655e+1,,2.655e+1,
872.38,3.547e+1,,3.547e+1,
872.43,4.707e+1,,4.707e+1,
872.48,6.206e+1,,6.206e+1,
872.53,8.130e+1,,8.130e+1,
872.58,1.058e+2,,1.058e+2,
872.63,1.368e+2,,1.368e+2,
872.68,1.757e+2,,1.757e+2,
872.73,2.242e+2,,2.242e+2,
872.78,2.843e+2,,2.843e+2,
872.83,3.581e+2,,3.581e+2,
872.88,4.481e+2,,4.481e+2,
872.93,5.571e+2,,5.571e+2,
872.98,6.880e+2,,6.880e+2,
873.03,8.442e+2,,8.442e+2,
873.08,1.029e+3,,1.029e+3,
873.13,1.246e+3,,1.246e+3,
873.18,1.500e+3,,1.500e+3,
873.23,1.793e+3,,1.793e+3,
873.28,2.129e+3,,2.129e+3,
873.33,2.512e+3,,2.512e+3,
