Wavelength (nm),Sum,K I (3.1e-02),K II (9.7e-01),K III (2.7e-11)
886.29,1.243e-2,1.243e-2,,
886.34,2.039e-2,2.039e-2,,
886.39,3.324e-2,3.324e-2,,
886.44,5.386e-2,5.386e-2,,
886.49,8.672e-2,8.672e-2,,
886.54,1.388e-1,1.388e-1,,
886.59,2.206e-1,2.206e-1,,
886.64,3.486e-1,3.486e-1,,
886.69,5.474e-1,5.474e-1,,
886.74,8.542e-1,8.542e-1,,
886.79,1.325e+0,1.325e+0,,
886.84,2.042e+0,2.042e+0,,
886.89,3.127e+0,3.127e+0,,
886.94,4.758e+0,4.758e+0,,
886.99,7.197e+0,7.197e+0,,
887.04,1.082e+1,1.082e+1,,
887.09,1.616e+1,1.616e+1,,
887.14,2.398e+1,2.398e+1,,
887.19,3.538e+1,3.538e+1,,
887.24,5.186e+1,5.186e+1,,
887.29,7.556e+1,7.556e+1,,
887.34,1.094e+2,1.094e+2,,
887.39,1.574e+2,1.574e+2,,
887.44,2.250e+2,2.250e+2,,
887.49,3.197e+2,3.197e+2,,
887.54,4.515e+2,4.515e+2,,
887.59,6.336e+2,6.336e+2,,
887.64,8.835e+2,8.835e+2,,
887.69,1.224e+3,1.224e+3,,
887.74,1.686e+3,1.686e+3,,
887.79,2.308e+3,2.308e+3,,
887.84,3.140e+3,3.140e+3,,
887.89,4.244e+3,4.244e+3,,
887.94,5.701e+3,5.701e+3,,
887.99,7.611e+3,7.611e+3,,
888.04,1.010e+4,1.010e+4,,
888.09,1.331e+4,1.331e+4,,
888.14,1.745e+4,1.745e+4,,
888.19,2.272e+4,2.272e+4,,
888.24,2.940e+4,2.940e+4,,
888.29,3.781e+4,3.781e+4,,
888.34,4.832e+4,4.832e+4,,
888.39,6.138e+4,6.138e+4,,
888.44,7.748e+4,7.748e+4,,
888.49,9.719e+4,9.719e+4,,
888.54,1.212e+5,1.212e+5,,
888.59,1.501e+5,1.501e+5,,
888.64,1.849e+5,1.849e+5,,
888.69,2.262e+5,2.262e+5,,
888.74,2.751e+5,2.751e+5,,
888.79,3.324e+5,3.324e+5,,
888.84,3.993e+5,3.993e+5,,
888.89,4.766e+5,4.766e+5,,
888.94,5.654e+5,5.654e+5,,
888.99,6.665e+5,6.665e+5,,
889.04,7.809e+5,7.809e+5,,
889.09,9.093e+5,9.093e+5,,
889.14,1.052e+6,1.052e+6,,
889.19,1.210e+6,1.210e+6,,
