Wavelength (nm),Sum,K I (3.1e-02),K II (9.7e-01),K III (2.7e-11)
202.22,1.006e-17,,1.006e-17,
202.27,1.939e-16,,1.939e-16,
202.32,4.495e-15,,4.495e-15,
202.37,7.131e-14,,7.131e-14,
202.42,1.009e-12,,1.009e-12,
202.47,1.272e-11,,1.272e-11,
202.52,1.431e-10,,1.431e-10,
202.57,1.437e-9,,1.437e-9,
202.62,1.287e-8,,1.287e-8,
202.67,1.029e-7,,1.029e-7,
202.72,7.344e-7,,7.344e-7,
202.77,4.678e-6,,4.678e-6,
202.82,2.658e-5,,2.658e-5,
202.87,1.347e-4,,1.347e-4,
202.92,6.090e-4,,6.090e-4,
202.97,2.454e-3,,2.454e-3,
203.02,8.814e-3,,8.814e-3,
203.07,2.820e-2,,2.820e-2,
203.12,8.039e-2,,8.039e-2,
203.17,2.041e-1,,2.041e-1,
203.22,4.617e-1,,4.617e-1,
203.27,9.307e-1,,9.307e-1,
203.32,1.673e+0,,1.673e+0,
203.37,2.687e+0,,2.687e+0,
203.42,3.862e+0,,3.862e+0,
203.47,4.981e+0,,4.981e+0,
203.52,5.786e+0,,5.786e+0,
203.57,6.084e+0,,6.084e+0,
203.62,5.819e+0,,5.819e+0,
203.67,5.092e+0,,5.092e+0,
203.72,4.092e+0,,4.092e+0,
203.77,3.028e+0,,3.028e+0,
203.82,2.062e+0,,2.062e+0,
203.87,1.289e+0,,1.289e+0,
203.92,7.372e-1,,7.372e-1,
203.97,3.872e-1,,3.872e-1,
204.02,1.990e-1,,1.990e-1,
204.07,1.396e-1,,1.396e-1,
204.12,2.088e-1,,2.088e-1,
204.17,4.591e-1,,4.591e-1,
204.22,9.975e-1,,9.975e-1,
204.27,1.955e+0,,1.955e+0,
204.32,3.409e+0,,3.409e+0,
204.37,5.281e+0,,5.281e+0,
204.42,7.264e+0,,7.264e+0,
204.47,8.870e+0,,8.870e+0,
204.52,9.615e+0,,9.615e+0,
204.57,9.253e+0,,9.253e+0,
204.62,7.904e+0,,7.904e+0,
204.67,5.993e+0,,5.993e+0,
204.72,4.034e+0,,4.034e+0,
204.77,2.410e+0,,2.410e+0,
204.82,1.278e+0,,1.278e+0,
204.87,6.013e-1,,6.013e-1,
204.92,2.511e-1,,2.511e-1,
204.97,9.309e-2,,9.309e-2,
205.02,3.063e-2,,3.063e-2,
205.07,8.941e-3,,8.941e-3,
205.12,2.317e-3,,2.317e-3,
205.17,5.327e-4,,5.327e-4,
205.22,1.087e-4,,1.087e-4,
205.27,1.969e-5,,1.969e-5,
205.32,3.164e-6,,3.164e-6,
205.37,4.512e-7,,4.512e-7,
205.42,5.710e-8,,5.710e-8,
205.47,6.413e-9,,6.413e-9,
205.52,6.391e-10,,6.391e-10,
205.57,5.652e-11,,5.652e-11,
205.62,4.436e-12,,4.436e-12,
205.67,3.089e-13,,3.089e-13,
205.72,1.909e-14,,1.909e-14,
205.77,1.046e-15,,1.046e-15,
206.42,5.097e-16,,5.097e-16,
206.47,8.930e-15,,8.930e-15,
206.52,1.393e-13,,1.393e-13,
206.57,1.936e-12,,1.936e-12,
206.62,2.396e-11,,2.396e-11,
206.67,2.640e-10,,2.640e-10,
206.72,2.591e-9,,2.591e-9,
206.77,2.265e-8,,2.265e-8,
206.82,1.763e-7,,1.763e-7,
206.87,1.222e-6,,1.222e-6,
206.92,7.547e-6,,7.547e-6,
206.97,4.151e-5,,4.151e-5,
207.02,2.034e-4,,2.034e-4,
207.07,8.883e-4,,8.883e-4,
207.12,3.458e-3,,3.458e-3,
207.17,1.200e-2,,1.200e-2,
207.22,3.720e-2,,3.720e-2,
207.27,1.030e-1,,1.030e-1,
207.32,2.554e-1,,2.554e-1,
207.37,5.684e-1,,5.684e-1,
207.42,1.140e+0,,1.140e+0,
207.47,2.071e+0,,2.071e+0,
207.52,3.432e+0,,3.432e+0,
207.57,5.226e+0,,5.226e+0,
207.62,7.372e+0,,7.372e+0,
207.67,9.692e+0,,9.692e+0,
207.72,1.191e+1,,1.191e+1,
207.77,1.365e+1,,1.365e+1,
207.82,1.453e+1,,1.453e+1,
207.87,1.425e+1,,1.425e+1,
207.92,1.282e+1,,1.282e+1,
207.97,1.054e+1,,1.054e+1,
208.02,7.949e+0,,7.949e+0,
208.07,5.574e+0,,5.574e+0,
208.12,3.752e+0,,3.752e+0,
208.17,2.566e+0,,2.566e+0,
208.22,1.924e+0,,1.924e+0,
208.27,1.676e+0,,1.676e+0,
208.32,1.679e+0,,1.679e+0,
208.37,1.813e+0,,1.813e+0,
208.42,1.964e+0,,1.964e+0,
208.47,2.031e+0,,2.031e+0,
208.52,1.952e+0,,1.952e+0,
208.57,1.734e+0,,1.734e+0,
208.62,1.463e+0,,1.463e+0,
208.67,1.269e+0,,1.269e+0,
208.72,1.281e+0,,1.281e+0,
208.77,1.571e+0,,1.571e+0,
208.82,2.122e+0,,2.122e+0,
208.87,2.811e+0,,2.811e+0,
208.92,3.435e+0,,3.435e+0,
208.97,3.788e+0,,3.788e+0,
209.02,3.738e+0,,3.738e+0,
209.07,3.294e+0,,3.294e+0,
209.12,2.590e+0,,2.590e+0,
209.17,1.816e+0,,1.816e+0,
209.22,1.136e+0,,1.136e+0,
209.27,6.334e-1,,6.334e-1,
209.32,3.151e-1,,3.151e-1,
209.37,1.398e-1,,1.398e-1,
209.42,5.530e-2,,5.530e-2,
209.47,1.951e-2,,1.951e-2,
209.52,6.139e-3,,6.139e-3,
209.57,1.723e-3,,1.723e-3,
209.62,4.311e-4,,4.311e-4,
209.67,9.623e-5,,9.623e-5,
209.72,1.916e-5,,1.916e-5,
209.77,3.400e-6,,3.400e-6,
209.82,5.384e-7,,5.384e-7,
209.87,7.601e-8,,7.601e-8,
209.92,9.571e-9,,9.571e-9,
209.97,1.075e-9,,1.075e-9,
210.02,1.076e-10,,1.076e-10,
210.07,9.615e-12,,9.615e-12,
210.12,7.659e-13,,7.659e-13,
210.17,5.441e-14,,5.441e-14,
210.22,3.447e-15,,3.447e-15,
210.27,1.948e-16,,1.948e-16,
211.62,1.466e-16,,1.466e-16,
211.67,2.441e-15,,2.441e-15,
211.72,3.640e-14,,3.640e-14,
211.77,4.862e-13,,4.862e-13,
211.82,5.816e-12,,5.816e-12,
211.87,6.230e-11,,6.230e-11,
211.92,5.976e-10,,5.976e-10,
211.97,5.135e-9,,5.135e-9,
212.02,3.952e-8,,3.952e-8,
212.07,2.724e-7,,2.724e-7,
212.12,1.682e-6,,1.682e-6,
212.17,9.300e-6,,9.300e-6,
212.22,4.608e-5,,4.608e-5,
212.27,2.045e-4,,2.045e-4,
212.32,8.135e-4,,8.135e-4,
212.37,2.900e-3,,2.900e-3,
212.42,9.268e-3,,9.268e-3,
212.47,2.657e-2,,2.657e-2,
212.52,6.834e-2,,6.834e-2,
212.57,1.579e-1,,1.579e-1,
212.62,3.279e-1,,3.279e-1,
212.67,6.131e-1,,6.131e-1,
212.72,1.034e+0,,1.034e+0,
212.77,1.576e+0,,1.576e+0,
212.82,2.179e+0,,2.179e+0,
212.87,2.742e+0,,2.742e+0,
212.92,3.156e+0,,3.156e+0,
212.97,3.345e+0,,3.345e+0,
213.02,3.291e+0,,3.291e+0,
213.07,3.038e+0,,3.038e+0,
213.12,2.669e+0,,2.669e+0,
213.17,2.266e+0,,2.266e+0,
213.22,1.887e+0,,1.887e+0,
213.27,1.552e+0,,1.552e+0,
213.32,1.253e+0,,1.253e+0,
213.37,9.785e-1,,9.785e-1,
213.42,7.255e-1,,7.255e-1,
213.47,5.048e-1,,5.048e-1,
213.52,3.330e-1,,3.330e-1,
213.57,2.239e-1,,2.239e-1,
213.62,1.843e-1,,1.843e-1,
213.67,2.138e-1,,2.138e-1,
213.72,3.048e-1,,3.048e-1,
213.77,4.403e-1,,4.403e-1,
213.82,5.912e-1,,5.912e-1,
213.87,7.203e-1,,7.203e-1,
213.92,7.945e-1,,7.945e-1,
213.97,8.011e-1,,8.011e-1,
214.02,7.603e-1,,7.603e-1,
214.07,7.263e-1,,7.263e-1,
214.12,7.761e-1,,7.761e-1,
214.17,9.903e-1,,9.903e-1,
214.22,1.426e+0,,1.426e+0,
214.27,2.087e+0,,2.087e+0,
214.32,2.897e+0,,2.897e+0,
214.37,3.696e+0,,3.696e+0,
214.42,4.278e+0,,4.278e+0,
214.47,4.469e+0,,4.469e+0,
214.52,4.203e+0,,4.203e+0,
214.57,3.554e+0,,3.554e+0,
214.62,2.700e+0,,2.700e+0,
214.67,1.842e+0,,1.842e+0,
214.72,1.128e+0,,1.128e+0,
214.77,6.196e-1,,6.196e-1,
214.82,3.055e-1,,3.055e-1,
214.87,1.351e-1,,1.351e-1,
214.92,5.362e-2,,5.362e-2,
214.97,1.909e-2,,1.909e-2,
215.02,6.095e-3,,6.095e-3,
215.07,1.746e-3,,1.746e-3,
215.12,4.487e-4,,4.487e-4,
215.17,1.034e-4,,1.034e-4,
215.22,2.138e-5,,2.138e-5,
215.27,3.966e-6,,3.966e-6,
215.32,6.597e-7,,6.597e-7,
215.37,9.845e-8,,9.845e-8,
215.42,1.318e-8,,1.318e-8,
215.47,1.582e-9,,1.582e-9,
215.52,1.704e-10,,1.704e-10,
215.57,1.646e-11,,1.646e-11,
215.62,1.427e-12,,1.427e-12,
215.67,1.109e-13,,1.109e-13,
215.72,7.732e-15,,7.732e-15,
215.77,4.836e-16,,4.836e-16,
253.48,3.679e-29,,,3.679e-29
253.53,3.666e-28,,,3.666e-28
253.58,3.383e-27,,,3.383e-27
253.63,2.891e-26,,,2.891e-26
253.68,2.287e-25,,,2.287e-25
253.73,1.676e-24,,,1.676e-24
253.78,1.137e-23,,,1.137e-23
253.83,7.143e-23,,,7.143e-23
253.88,4.155e-22,,,4.155e-22
253.93,2.238e-21,,,2.238e-21
253.98,1.117e-20,,,1.117e-20
254.03,5.157e-20,,,5.157e-20
254.08,2.206e-19,,,2.206e-19
254.13,8.736e-19,,,8.736e-19
254.18,3.204e-18,,,3.204e-18
254.23,1.088e-17,,,1.088e-17
254.28,3.421e-17,,,3.421e-17
254.33,9.963e-17,,,9.963e-17
254.38,2.686e-16,,,2.686e-16
254.43,6.708e-16,,,6.708e-16
254.48,1.551e-15,,,1.551e-15
254.53,3.320e-15,,,3.320e-15
254.58,6.582e-15,,,6.582e-15
254.63,1.208e-14,,,1.208e-14
254.68,2.054e-14,,,2.054e-14
254.73,3.233e-14,,,3.233e-14
254.78,4.713e-14,,,4.713e-14
254.83,6.361e-14,,,6.361e-14
254.88,7.950e-14,,,7.950e-14
254.93,9.200e-14,,,9.200e-14
254.98,9.859e-14,,,9.859e-14
255.03,9.784e-14,,,9.784e-14
255.08,8.990e-14,,,8.990e-14
255.13,7.650e-14,,,7.650e-14
255.18,6.027e-14,,,6.027e-14
255.23,4.398e-14,,,4.398e-14
255.28,2.971e-14,,,2.971e-14
255.33,1.859e-14,,,1.859e-14
255.38,1.077e-14,,,1.077e-14
255.43,5.776e-15,,,5.776e-15
255.48,2.869e-15,,,2.869e-15
255.53,1.320e-15,,,1.320e-15
255.58,5.620e-16,,,5.620e-16
255.63,2.217e-16,,,2.217e-16
255.68,8.095e-17,,,8.095e-17
255.73,2.738e-17,,,2.738e-17
255.78,8.573e-18,,,8.573e-18
255.83,2.486e-18,,,2.486e-18
255.88,6.675e-19,,,6.675e-19
255.93,1.660e-19,,,1.660e-19
255.98,3.821e-20,,,3.821e-20
256.03,8.146e-21,,,8.146e-21
256.08,1.608e-21,,,1.608e-21
256.13,2.940e-22,,,2.940e-22
256.18,4.976e-23,,,4.976e-23
256.23,7.800e-24,,,7.800e-24
256.28,1.132e-24,,,1.132e-24
256.33,1.522e-25,,,1.522e-25
256.38,1.894e-26,,,1.894e-26
256.43,2.183e-27,,,2.183e-27
256.48,2.329e-28,,,2.329e-28
256.53,2.302e-29,,,2.302e-29
261.93,1.847e-29,,,1.847e-29
261.98,1.734e-28,,,1.734e-28
262.03,1.514e-27,,,1.514e-27
262.08,1.231e-26,,,1.231e-26
262.13,9.312e-26,,,9.312e-26
262.18,6.554e-25,,,6.554e-25
262.23,4.292e-24,,,4.292e-24
262.28,2.616e-23,,,2.616e-23
262.33,1.484e-22,,,1.484e-22
262.38,7.828e-22,,,7.828e-22
262.44,5.239e-21,,,5.239e-21
262.49,2.360e-20,,,2.360e-20
262.54,9.889e-20,,,9.889e-20
262.59,3.857e-19,,,3.857e-19
262.64,1.399e-18,,,1.399e-18
262.69,4.726e-18,,,4.726e-18
262.74,1.485e-17,,,1.485e-17
262.79,4.342e-17,,,4.342e-17
262.84,1.181e-16,,,1.181e-16
262.89,2.990e-16,,,2.990e-16
262.94,7.045e-16,,,7.045e-16
262.99,1.544e-15,,,1.544e-15
263.04,3.150e-15,,,3.150e-15
263.09,5.979e-15,,,5.979e-15
263.14,1.056e-14,,,1.056e-14
263.19,1.736e-14,,,1.736e-14
263.24,2.655e-14,,,2.655e-14
263.29,3.778e-14,,,3.778e-14
263.34,5.002e-14,,,5.002e-14
263.39,6.164e-14,,,6.164e-14
263.44,7.068e-14,,,7.068e-14
263.49,7.541e-14,,,7.541e-14
263.54,7.487e-14,,,7.487e-14
263.59,6.917e-14,,,6.917e-14
263.64,5.946e-14,,,5.946e-14
263.69,4.757e-14,,,4.757e-14
263.74,3.541e-14,,,3.541e-14
263.79,2.452e-14,,,2.452e-14
263.84,1.581e-14,,,1.581e-14
263.89,9.480e-15,,,9.480e-15
263.94,5.290e-15,,,5.290e-15
263.99,2.747e-15,,,2.747e-15
264.04,1.328e-15,,,1.328e-15
264.09,5.970e-16,,,5.970e-16
264.14,2.498e-16,,,2.498e-16
264.19,9.725e-17,,,9.725e-17
264.24,3.523e-17,,,3.523e-17
264.29,1.188e-17,,,1.188e-17
264.34,3.726e-18,,,3.726e-18
264.39,1.088e-18,,,1.088e-18
264.44,2.955e-19,,,2.955e-19
264.49,7.468e-20,,,7.468e-20
264.54,1.756e-20,,,1.756e-20
264.59,3.844e-21,,,3.844e-21
264.64,7.828e-22,,,7.828e-22
264.69,1.484e-22,,,1.484e-22
264.74,2.616e-23,,,2.616e-23
264.79,4.292e-24,,,4.292e-24
264.84,6.554e-25,,,6.554e-25
264.89,9.312e-26,,,9.312e-26
264.94,1.231e-26,,,1.231e-26
264.99,1.514e-27,,,1.514e-27
265.04,1.734e-28,,,1.734e-28
265.09,1.847e-29,,,1.847e-29
267.39,1.169e-29,,,1.169e-29
267.44,1.045e-28,,,1.045e-28
267.49,8.716e-28,,,8.716e-28
267.54,6.786e-27,,,6.786e-27
267.59,4.930e-26,,,4.930e-26
267.64,3.343e-25,,,3.343e-25
267.69,2.115e-24,,,2.115e-24
267.74,1.249e-23,,,1.249e-23
267.79,6.885e-23,,,6.885e-23
267.84,3.541e-22,,,3.541e-22
267.89,1.700e-21,,,1.700e-21
267.94,7.613e-21,,,7.613e-21
267.99,3.182e-20,,,3.182e-20
268.04,1.242e-19,,,1.242e-19
268.09,4.520e-19,,,4.520e-19
268.14,1.536e-18,,,1.536e-18
268.19,4.869e-18,,,4.869e-18
268.24,1.441e-17,,,1.441e-17
268.29,3.979e-17,,,3.979e-17
268.34,1.025e-16,,,1.025e-16
268.39,2.466e-16,,,2.466e-16
268.44,5.535e-16,,,5.535e-16
268.49,1.159e-15,,,1.159e-15
268.54,2.266e-15,,,2.266e-15
268.59,4.135e-15,,,4.135e-15
268.64,7.039e-15,,,7.039e-15
268.69,1.118e-14,,,1.118e-14
268.74,1.658e-14,,,1.658e-14
268.79,2.294e-14,,,2.294e-14
268.84,2.963e-14,,,2.963e-14
268.89,3.571e-14,,,3.571e-14
268.94,4.016e-14,,,4.016e-14
268.99,4.215e-14,,,4.215e-14
269.04,4.128e-14,,,4.128e-14
269.09,3.773e-14,,,3.773e-14
269.14,3.219e-14,,,3.219e-14
269.19,2.563e-14,,,2.563e-14
269.24,1.904e-14,,,1.904e-14
269.29,1.320e-14,,,1.320e-14
269.34,8.541e-15,,,8.541e-15
269.39,5.158e-15,,,5.158e-15
269.44,2.907e-15,,,2.907e-15
269.49,1.529e-15,,,1.529e-15
269.54,7.502e-16,,,7.502e-16
269.59,3.436e-16,,,3.436e-16
269.64,1.469e-16,,,1.469e-16
269.69,5.859e-17,,,5.859e-17
269.74,2.181e-17,,,2.181e-17
269.79,7.578e-18,,,7.578e-18
269.84,2.457e-18,,,2.457e-18
269.89,7.434e-19,,,7.434e-19
269.94,2.099e-19,,,2.099e-19
269.99,5.531e-20,,,5.531e-20
270.04,1.360e-20,,,1.360e-20
270.09,3.122e-21,,,3.122e-21
270.14,6.687e-22,,,6.687e-22
270.19,1.337e-22,,,1.337e-22
270.24,2.493e-23,,,2.493e-23
270.29,4.340e-24,,,4.340e-24
270.34,7.051e-25,,,7.051e-25
270.39,1.069e-25,,,1.069e-25
270.44,1.513e-26,,,1.513e-26
270.49,1.997e-27,,,1.997e-27
270.54,2.461e-28,,,2.461e-28
270.59,2.830e-29,,,2.830e-29
278.34,6.367e-31,,,6.367e-31
278.39,5.389e-30,,,5.389e-30
278.44,4.280e-29,,,4.280e-29
278.49,3.189e-28,,,3.189e-28
278.54,2.229e-27,,,2.229e-27
278.59,1.462e-26,,,1.462e-26
278.64,8.998e-26,,,8.998e-26
278.69,5.195e-25,,,5.195e-25
278.74,2.814e-24,,,2.814e-24
278.79,1.430e-23,,,1.430e-23
278.84,6.821e-23,,,6.821e-23
278.89,3.052e-22,,,3.052e-22
278.94,1.281e-21,,,1.281e-21
278.99,5.045e-21,,,5.045e-21
279.04,1.864e-20,,,1.864e-20
279.09,6.463e-20,,,6.463e-20
279.14,2.102e-19,,,2.102e-19
279.19,6.416e-19,,,6.416e-19
279.24,1.837e-18,,,1.837e-18
279.29,4.936e-18,,,4.936e-18
279.34,1.244e-17,,,1.244e-17
279.39,2.942e-17,,,2.942e-17
279.44,6.528e-17,,,6.528e-17
279.49,1.359e-16,,,1.359e-16
279.54,2.654e-16,,,2.654e-16
279.59,4.864e-16,,,4.864e-16
279.64,8.363e-16,,,8.363e-16
279.69,1.349e-15,,,1.349e-15
279.74,2.042e-15,,,2.042e-15
279.79,2.899e-15,,,2.899e-15
279.84,3.863e-15,,,3.863e-15
279.89,4.828e-15,,,4.828e-15
279.94,5.663e-15,,,5.663e-15
279.99,6.231e-15,,,6.231e-15
280.04,6.433e-15,,,6.433e-15
280.09,6.231e-15,,,6.231e-15
280.14,5.663e-15,,,5.663e-15
280.19,4.828e-15,,,4.828e-15
280.24,3.863e-15,,,3.863e-15
280.29,2.899e-15,,,2.899e-15
280.34,2.042e-15,,,2.042e-15
280.39,1.349e-15,,,1.349e-15
280.44,8.363e-16,,,8.363e-16
280.49,4.864e-16,,,4.864e-16
280.54,2.654e-16,,,2.654e-16
280.59,1.359e-16,,,1.359e-16
280.64,6.528e-17,,,6.528e-17
280.69,2.942e-17,,,2.942e-17
280.74,1.244e-17,,,1.244e-17
280.79,4.936e-18,,,4.936e-18
280.84,1.837e-18,,,1.837e-18
280.89,6.416e-19,,,6.416e-19
280.94,2.102e-19,,,2.102e-19
280.99,6.463e-20,,,6.463e-20
281.04,1.864e-20,,,1.864e-20
281.09,5.045e-21,,,5.045e-21
281.14,1.281e-21,,,1.281e-21
281.19,3.052e-22,,,3.052e-22
281.24,6.821e-23,,,6.821e-23
281.29,1.430e-23,,,1.430e-23
281.34,2.814e-24,,,2.814e-24
281.39,5.195e-25,,,5.195e-25
281.44,8.998e-26,,,8.998e-26
281.49,1.462e-26,,,1.462e-26
281.54,2.229e-27,,,2.229e-27
281.59,3.189e-28,,,3.189e-28
281.64,4.280e-29,,,4.280e-29
281.69,5.389e-30,,,5.389e-30
281.74,6.367e-31,,,6.367e-31
288.59,2.669e-30,,,2.669e-30
288.64,2.066e-29,,,2.066e-29
288.69,1.507e-28,,,1.507e-28
288.74,1.036e-27,,,1.036e-27
288.79,6.709e-27,,,6.709e-27
288.84,4.096e-26,,,4.096e-26
288.89,2.357e-25,,,2.357e-25
288.94,1.278e-24,,,1.278e-24
288.99,6.529e-24,,,6.529e-24
289.04,3.144e-23,,,3.144e-23
289.09,1.427e-22,,,1.427e-22
289.14,6.103e-22,,,6.103e-22
289.19,2.460e-21,,,2.460e-21
289.24,9.344e-21,,,9.344e-21
289.29,3.345e-20,,,3.345e-20
289.34,1.128e-19,,,1.128e-19
289.39,3.587e-19,,,3.587e-19
289.44,1.075e-18,,,1.075e-18
289.49,3.035e-18,,,3.035e-18
289.54,8.076e-18,,,8.076e-18
289.59,2.025e-17,,,2.025e-17
289.64,4.787e-17,,,4.787e-17
289.69,1.066e-16,,,1.066e-16
289.74,2.238e-16,,,2.238e-16
289.79,4.426e-16,,,4.426e-16
289.84,8.251e-16,,,8.251e-16
289.89,1.450e-15,,,1.450e-15
289.94,2.400e-15,,,2.400e-15
289.99,3.745e-15,,,3.745e-15
290.04,5.506e-15,,,5.506e-15
290.09,7.630e-15,,,7.630e-15
290.14,9.965e-15,,,9.965e-15
290.19,1.226e-14,,,1.226e-14
290.24,1.422e-14,,,1.422e-14
290.29,1.555e-14,,,1.555e-14
290.34,1.602e-14,,,1.602e-14
290.39,1.555e-14,,,1.555e-14
290.44,1.422e-14,,,1.422e-14
290.49,1.226e-14,,,1.226e-14
290.54,9.965e-15,,,9.965e-15
290.59,7.630e-15,,,7.630e-15
290.64,5.506e-15,,,5.506e-15
290.69,3.745e-15,,,3.745e-15
290.74,2.400e-15,,,2.400e-15
290.79,1.450e-15,,,1.450e-15
290.84,8.251e-16,,,8.251e-16
290.89,4.426e-16,,,4.426e-16
290.94,2.238e-16,,,2.238e-16
290.99,1.066e-16,,,1.066e-16
291.04,4.787e-17,,,4.787e-17
291.09,2.025e-17,,,2.025e-17
291.14,8.076e-18,,,8.076e-18
291.19,3.035e-18,,,3.035e-18
291.24,1.075e-18,,,1.075e-18
291.29,3.587e-19,,,3.587e-19
291.34,1.128e-19,,,1.128e-19
291.39,3.345e-20,,,3.345e-20
291.44,9.344e-21,,,9.344e-21
291.49,2.460e-21,,,2.460e-21
291.54,6.103e-22,,,6.103e-22
291.59,1.427e-22,,,1.427e-22
291.64,3.144e-23,,,3.144e-23
291.69,6.529e-24,,,6.529e-24
291.74,1.278e-24,,,1.278e-24
291.79,2.357e-25,,,2.357e-25
291.84,4.096e-26,,,4.096e-26
291.89,6.709e-27,,,6.709e-27
291.94,1.036e-27,,,1.036e-27
291.99,1.507e-28,,,1.507e-28
292.04,2.066e-29,,,2.066e-29
292.09,1.936e-29,,,1.936e-29
292.14,1.245e-28,,,1.245e-28
292.19,8.762e-28,,,8.762e-28
292.24,5.821e-27,,,5.821e-27
292.29,3.649e-26,,,3.649e-26
292.34,2.159e-25,,,2.159e-25
292.39,1.206e-24,,,1.206e-24
292.44,6.353e-24,,,6.353e-24
292.49,3.159e-23,,,3.159e-23
292.54,1.483e-22,,,1.483e-22
292.59,6.567e-22,,,6.567e-22
292.64,2.745e-21,,,2.745e-21
292.69,1.083e-20,,,1.083e-20
292.74,4.031e-20,,,4.031e-20
292.79,1.416e-19,,,1.416e-19
292.84,4.696e-19,,,4.696e-19
292.89,1.470e-18,,,1.470e-18
292.94,4.340e-18,,,4.340e-18
292.99,1.210e-17,,,1.210e-17
293.04,3.181e-17,,,3.181e-17
293.09,7.896e-17,,,7.896e-17
293.14,1.850e-16,,,1.850e-16
293.19,4.089e-16,,,4.089e-16
293.24,8.532e-16,,,8.532e-16
293.3,1.910e-15,,,1.910e-15
293.35,3.509e-15,,,3.509e-15
293.4,6.083e-15,,,6.083e-15
293.45,9.951e-15,,,9.951e-15
293.5,1.536e-14,,,1.536e-14
293.55,2.238e-14,,,2.238e-14
293.6,3.078e-14,,,3.078e-14
293.65,3.994e-14,,,3.994e-14
293.7,4.892e-14,,,4.892e-14
293.75,5.654e-14,,,5.654e-14
293.8,6.167e-14,,,6.167e-14
293.85,6.348e-14,,,6.348e-14
293.9,6.167e-14,,,6.167e-14
293.95,5.654e-14,,,5.654e-14
294,4.892e-14,,,4.892e-14
294.05,3.994e-14,,,3.994e-14
294.1,3.078e-14,,,3.078e-14
294.15,2.238e-14,,,2.238e-14
294.2,1.536e-14,,,1.536e-14
294.25,9.951e-15,,,9.951e-15
294.3,6.083e-15,,,6.083e-15
294.35,3.509e-15,,,3.509e-15
294.4,1.910e-15,,,1.910e-15
294.45,9.818e-16,,,9.818e-16
294.5,4.766e-16,,,4.766e-16
294.55,2.196e-16,,,2.196e-16
294.6,9.879e-17,,,9.879e-17
294.65,5.023e-17,,,5.023e-17
294.7,4.300e-17,,,4.300e-17
294.75,6.873e-17,,,6.873e-17
294.8,1.361e-16,,,1.361e-16
294.85,2.691e-16,,,2.691e-16
294.9,5.072e-16,,,5.072e-16
294.95,9.044e-16,,,9.044e-16
295,1.523e-15,,,1.523e-15
295.05,2.422e-15,,,2.422e-15
295.1,3.638e-15,,,3.638e-15
295.15,5.160e-15,,,5.160e-15
295.2,6.911e-15,,,6.911e-15
295.25,8.741e-15,,,8.741e-15
295.3,1.044e-14,,,1.044e-14
295.35,1.177e-14,,,1.177e-14
295.4,1.254e-14,,,1.254e-14
295.45,1.261e-14,,,1.261e-14
295.5,1.198e-14,,,1.198e-14
295.55,1.074e-14,,,1.074e-14
295.6,9.098e-15,,,9.098e-15
295.65,7.277e-15,,,7.277e-15
295.7,5.496e-15,,,5.496e-15
295.75,3.920e-15,,,3.920e-15
295.8,2.640e-15,,,2.640e-15
295.85,1.679e-15,,,1.679e-15
295.9,1.008e-15,,,1.008e-15
295.95,5.719e-16,,,5.719e-16
296,3.063e-16,,,3.063e-16
296.05,1.549e-16,,,1.549e-16
296.1,7.398e-17,,,7.398e-17
296.15,3.336e-17,,,3.336e-17
296.2,1.421e-17,,,1.421e-17
296.25,5.715e-18,,,5.715e-18
296.3,2.170e-18,,,2.170e-18
296.35,7.784e-19,,,7.784e-19
296.4,2.636e-19,,,2.636e-19
296.45,8.431e-20,,,8.431e-20
296.5,2.546e-20,,,2.546e-20
296.55,7.262e-21,,,7.262e-21
296.6,1.956e-21,,,1.956e-21
296.65,4.974e-22,,,4.974e-22
296.7,1.194e-22,,,1.194e-22
296.75,2.709e-23,,,2.709e-23
296.8,5.802e-24,,,5.802e-24
296.85,1.173e-24,,,1.173e-24
296.9,2.245e-25,,,2.245e-25
296.95,4.310e-26,,,4.310e-26
297,2.389e-26,,,2.389e-26
297.05,1.028e-25,,,1.028e-25
297.1,5.754e-25,,,5.754e-25
297.15,3.076e-24,,,3.076e-24
297.2,1.555e-23,,,1.555e-23
297.25,7.431e-23,,,7.431e-23
297.3,3.358e-22,,,3.358e-22
297.35,1.435e-21,,,1.435e-21
297.4,5.796e-21,,,5.796e-21
297.45,2.214e-20,,,2.214e-20
297.5,7.993e-20,,,7.993e-20
297.55,2.729e-19,,,2.729e-19
297.6,8.809e-19,,,8.809e-19
297.65,2.689e-18,,,2.689e-18
297.7,7.758e-18,,,7.758e-18
297.75,2.117e-17,,,2.117e-17
297.8,5.460e-17,,,5.460e-17
297.85,1.331e-16,,,1.331e-16
297.9,3.070e-16,,,3.070e-16
297.95,6.693e-16,,,6.693e-16
298,1.380e-15,,,1.380e-15
298.05,2.689e-15,,,2.689e-15
298.1,4.954e-15,,,4.954e-15
298.15,8.631e-15,,,8.631e-15
298.2,1.422e-14,,,1.422e-14
298.25,2.215e-14,,,2.215e-14
298.3,3.262e-14,,,3.262e-14
298.35,4.545e-14,,,4.545e-14
298.4,5.992e-14,,,5.992e-14
298.45,7.482e-14,,,7.482e-14
298.5,8.861e-14,,,8.861e-14
298.55,9.986e-14,,,9.986e-14
298.6,1.078e-13,,,1.078e-13
298.65,1.126e-13,,,1.126e-13
298.7,1.160e-13,,,1.160e-13
298.75,1.212e-13,,,1.212e-13
