Wavelength (nm),Sum(calc),Cr I (8.9e-2),Cr II (9.1e-1)
206.570,1.146e+10,,1.146e+10
206.575,6.766e+9,,6.766e+9
206.580,3.551e+9,,3.551e+9
206.585,1.658e+9,,1.658e+9
206.590,6.883e+8,,6.883e+8
206.595,2.542e+8,,2.542e+8
206.600,8.349e+7,,8.349e+7
206.605,2.439e+7,,2.439e+7
206.610,6.337e+6,,6.337e+6
206.615,1.464e+6,,1.464e+6
206.621,2.163e+5,,2.163e+5
206.626,3.862e+4,,3.862e+4
206.631,6.133e+3,,6.133e+3
206.636,8.663e+2,,8.663e+2
206.641,1.088e+2,,1.088e+2
206.646,1.216e+1,,1.216e+1
206.651,1.209e+0,,1.209e+0
206.656,1.068e-1,,1.068e-1
206.661,8.399e-3,,8.399e-3
206.666,5.873e-4,,5.873e-4
206.671,3.652e-5,,3.652e-5
206.677,1.116e-6,,1.116e-6
206.682,5.365e-8,,5.365e-8
206.687,2.293e-9,,2.293e-9
206.692,8.716e-11,,8.716e-11
206.697,2.947e-12,,2.947e-12
206.702,8.862e-14,,8.862e-14
206.707,2.370e-15,,2.370e-15
206.712,5.638e-17,,5.638e-17
235.249,1.512e-18,1.512e-18,6.989e-16
235.255,7.287e-17,7.287e-17,6.991e-16
235.260,1.667e-15,1.667e-15,6.992e-16
235.265,3.485e-14,3.485e-14,6.993e-16
235.270,6.657e-13,6.657e-13,6.994e-16
235.275,1.162e-11,1.162e-11,6.995e-16
235.280,1.853e-10,1.853e-10,6.996e-16
235.285,2.701e-9,2.701e-9,6.997e-16
235.290,3.596e-8,3.596e-8,6.998e-16
235.295,4.376e-7,4.376e-7,7.000e-16
235.300,4.865e-6,4.865e-6,7.001e-16
235.306,7.772e-5,7.772e-5,7.002e-16
235.311,7.086e-4,7.086e-4,7.003e-16
235.316,5.903e-3,5.903e-3,7.004e-16
235.321,4.493e-2,4.493e-2,7.005e-16
235.326,3.125e-1,3.125e-1,7.007e-16
235.331,1.986e+0,1.986e+0,7.008e-16
235.336,1.153e+1,1.153e+1,7.009e-16
235.341,6.118e+1,6.118e+1,7.010e-16
235.346,2.966e+2,2.966e+2,7.011e-16
235.351,1.314e+3,1.314e+3,7.012e-16
235.356,5.320e+3,5.320e+3,7.013e-16
235.362,2.528e+4,2.528e+4,7.015e-16
235.367,8.393e+4,8.393e+4,7.016e-16
235.372,2.546e+5,2.546e+5,7.017e-16
235.377,7.055e+5,7.055e+5,7.018e-16
235.382,1.786e+6,1.786e+6,7.019e-16
235.387,4.134e+6,4.134e+6,7.020e-16
235.392,8.740e+6,8.740e+6,7.021e-16
235.397,1.688e+7,1.688e+7,7.023e-16
235.402,2.981e+7,2.981e+7,7.024e-16
235.407,4.808e+7,4.808e+7,7.025e-16
235.413,7.575e+7,7.575e+7,7.026e-16
235.418,1.002e+8,1.002e+8,7.027e-16
235.423,1.211e+8,1.211e+8,7.028e-16
235.428,1.337e+8,1.337e+8,7.030e-16
235.433,1.349e+8,1.349e+8,7.031e-16
235.438,1.244e+8,1.244e+8,7.032e-16
235.443,1.048e+8,1.048e+8,7.033e-16
235.448,8.069e+7,8.069e+7,7.034e-16
235.453,5.676e+7,5.676e+7,7.035e-16
235.458,3.648e+7,3.648e+7,7.036e-16
235.464,1.905e+7,1.905e+7,7.038e-16
235.469,1.004e+7,1.004e+7,7.039e-16
235.474,4.836e+6,4.836e+6,7.040e-16
235.479,2.128e+6,2.128e+6,7.041e-16
235.484,8.557e+5,8.557e+5,7.042e-16
235.489,3.144e+5,3.144e+5,7.043e-16
235.494,1.055e+5,1.055e+5,7.044e-16
235.499,3.237e+4,3.237e+4,7.046e-16
235.504,9.074e+3,9.074e+3,7.047e-16
235.509,2.324e+3,2.324e+3,7.048e-16
235.514,5.439e+2,5.439e+2,7.049e-16
235.520,8.451e+1,8.451e+1,7.050e-16
235.525,1.622e+1,1.622e+1,7.051e-16
235.530,2.843e+0,2.843e+0,7.052e-16
235.535,4.556e-1,4.556e-1,7.054e-16
235.540,6.670e-2,6.670e-2,7.055e-16
235.545,8.922e-3,8.922e-3,7.056e-16
235.550,1.091e-3,1.091e-3,7.057e-16
235.555,1.218e-4,1.218e-4,7.058e-16
235.560,1.243e-5,1.243e-5,7.059e-16
235.565,1.159e-6,1.159e-6,7.060e-16
235.571,5.971e-8,5.971e-8,7.062e-16
235.576,4.565e-9,4.565e-9,7.063e-16
235.581,3.190e-10,3.190e-10,7.064e-16
235.586,2.036e-11,2.036e-11,7.065e-16
235.591,1.188e-12,1.188e-12,7.066e-16
235.596,6.333e-14,6.333e-14,7.067e-16
235.601,3.084e-15,3.084e-15,7.068e-16
235.606,1.373e-16,1.373e-16,7.070e-16
235.611,5.582e-18,5.582e-18,7.071e-16
236.289,1.478e-18,1.478e-18,7.223e-16
236.294,3.797e-17,3.797e-17,7.225e-16
236.299,8.916e-16,8.916e-16,7.226e-16
236.304,1.915e-14,1.915e-14,7.227e-16
236.310,6.748e-13,6.748e-13,7.228e-16
236.315,1.190e-11,1.190e-11,7.229e-16
236.320,1.920e-10,1.920e-10,7.230e-16
236.325,2.833e-9,2.833e-9,7.231e-16
236.330,3.821e-8,3.821e-8,7.233e-16
236.335,4.714e-7,4.714e-7,7.234e-16
236.340,5.318e-6,5.318e-6,7.235e-16
236.345,5.486e-5,5.486e-5,7.236e-16
236.350,5.176e-4,5.176e-4,7.237e-16
236.355,4.465e-3,4.465e-3,7.238e-16
236.361,5.267e-2,5.267e-2,7.240e-16
236.366,3.733e-1,3.733e-1,7.241e-16
236.371,2.419e+0,2.419e+0,7.242e-16
236.376,1.433e+1,1.433e+1,7.243e-16
236.381,7.767e+1,7.767e+1,7.244e-16
236.386,3.849e+2,3.849e+2,7.245e-16
236.391,1.744e+3,1.744e+3,7.246e-16
236.396,7.229e+3,7.229e+3,7.247e-16
236.401,2.739e+4,2.739e+4,7.249e-16
236.406,9.494e+4,9.494e+4,7.250e-16
236.412,3.749e+5,3.749e+5,7.251e-16
236.417,1.067e+6,1.067e+6,7.252e-16
236.422,2.778e+6,2.778e+6,7.253e-16
236.427,6.613e+6,6.613e+6,7.254e-16
236.432,1.440e+7,1.440e+7,7.256e-16
236.437,2.866e+7,2.866e+7,7.257e-16
236.442,5.217e+7,5.217e+7,7.258e-16
236.447,8.685e+7,8.685e+7,7.259e-16
236.452,1.322e+8,1.322e+8,7.260e-16
236.457,1.841e+8,1.841e+8,7.261e-16
236.462,2.343e+8,2.343e+8,7.262e-16
236.468,2.782e+8,2.782e+8,7.264e-16
236.473,2.909e+8,2.909e+8,7.265e-16
236.478,2.782e+8,2.782e+8,7.266e-16
236.483,2.433e+8,2.433e+8,7.267e-16
236.488,1.946e+8,1.946e+8,7.268e-16
236.493,1.423e+8,1.423e+8,7.269e-16
236.498,9.514e+7,9.514e+7,7.270e-16
236.503,5.818e+7,5.818e+7,7.272e-16
236.508,3.254e+7,3.254e+7,7.273e-16
236.513,1.664e+7,1.664e+7,7.274e-16
236.519,6.630e+6,6.630e+6,7.275e-16
236.524,2.839e+6,2.839e+6,7.276e-16
236.529,1.263e+6,1.263e+6,7.277e-16
236.534,9.525e+5,9.525e+5,7.279e-16
236.539,1.677e+6,1.677e+6,7.280e-16
236.544,3.873e+6,3.873e+6,7.281e-16
236.549,8.660e+6,8.660e+6,7.282e-16
236.554,1.784e+7,1.784e+7,7.283e-16
236.559,3.363e+7,3.363e+7,7.284e-16
236.564,5.799e+7,5.799e+7,7.285e-16
236.570,9.910e+7,9.910e+7,7.287e-16
236.575,1.404e+8,1.404e+8,7.288e-16
236.580,1.819e+8,1.819e+8,7.289e-16
236.585,2.156e+8,2.156e+8,7.290e-16
236.590,2.336e+8,2.336e+8,7.291e-16
236.595,2.315e+8,2.315e+8,7.292e-16
236.600,2.099e+8,2.099e+8,7.293e-16
236.605,1.740e+8,1.740e+8,7.295e-16
236.610,1.319e+8,1.319e+8,7.296e-16
236.615,9.152e+7,9.152e+7,7.297e-16
236.620,5.821e+7,5.821e+7,7.298e-16
236.626,3.062e+7,3.062e+7,7.299e-16
236.631,1.758e+7,1.758e+7,7.300e-16
236.636,1.224e+7,1.224e+7,7.302e-16
236.641,1.373e+7,1.373e+7,7.303e-16
236.646,2.217e+7,2.217e+7,7.304e-16
236.651,3.845e+7,3.845e+7,7.305e-16
236.656,6.333e+7,6.333e+7,7.306e-16
236.661,9.615e+7,9.615e+7,7.307e-16
236.666,1.337e+8,1.337e+8,7.308e-16
236.671,1.702e+8,1.702e+8,7.309e-16
236.677,2.020e+8,2.020e+8,7.311e-16
236.682,2.112e+8,2.112e+8,7.312e-16
236.687,2.020e+8,2.020e+8,7.313e-16
236.692,1.767e+8,1.767e+8,7.314e-16
236.697,1.413e+8,1.413e+8,7.315e-16
236.702,1.034e+8,1.034e+8,7.316e-16
236.707,6.920e+7,6.920e+7,7.317e-16
236.712,4.235e+7,4.235e+7,7.319e-16
236.717,2.371e+7,2.371e+7,7.320e-16
236.722,1.214e+7,1.214e+7,7.321e-16
236.728,4.832e+6,4.832e+6,7.322e-16
236.733,2.033e+6,2.033e+6,7.323e-16
236.738,7.823e+5,7.823e+5,7.324e-16
236.743,2.753e+5,2.753e+5,7.326e-16
236.748,8.862e+4,8.862e+4,7.327e-16
236.753,2.609e+4,2.609e+4,7.328e-16
236.758,7.025e+3,7.025e+3,7.329e-16
236.763,1.730e+3,1.730e+3,7.330e-16
236.768,3.897e+2,3.897e+2,7.331e-16
236.773,8.028e+1,8.028e+1,7.332e-16
236.778,1.513e+1,1.513e+1,7.333e-16
236.784,1.814e+0,1.814e+0,7.335e-16
236.789,2.809e-1,2.809e-1,7.336e-16
236.794,3.977e-2,3.977e-2,7.337e-16
236.799,5.151e-3,5.151e-3,7.338e-16
236.804,6.102e-4,6.102e-4,7.339e-16
236.809,6.611e-5,6.611e-5,7.340e-16
236.814,6.550e-6,6.550e-6,7.342e-16
236.819,5.936e-7,5.936e-7,7.343e-16
236.824,4.921e-8,4.921e-8,7.344e-16
236.829,3.730e-9,3.730e-9,7.345e-16
236.835,1.501e-10,1.501e-10,7.346e-16
236.840,9.347e-12,9.347e-12,7.347e-16
236.845,5.326e-13,5.326e-13,7.349e-16
236.850,2.775e-14,2.775e-14,7.350e-16
236.855,1.323e-15,1.323e-15,7.351e-16
236.860,5.766e-17,5.766e-17,7.352e-16
237.324,3.176e-18,3.176e-18,7.456e-16
237.329,7.655e-17,7.655e-17,7.458e-16
237.334,1.688e-15,1.688e-15,7.459e-16
237.339,3.407e-14,3.407e-14,7.460e-16
237.344,6.293e-13,6.293e-13,7.461e-16
237.349,1.064e-11,1.064e-11,7.462e-16
237.354,1.646e-10,1.646e-10,7.463e-16
237.360,3.917e-9,3.917e-9,7.465e-16
237.365,4.986e-8,4.986e-8,7.466e-16
237.370,5.809e-7,5.809e-7,7.467e-16
237.375,6.193e-6,6.193e-6,7.468e-16
237.380,6.043e-5,6.043e-5,7.469e-16
237.385,5.396e-4,5.396e-4,7.470e-16
237.390,4.410e-3,4.410e-3,7.471e-16
237.395,3.298e-2,3.298e-2,7.472e-16
237.400,2.257e-1,2.257e-1,7.474e-16
237.405,1.414e+0,1.414e+0,7.475e-16
237.410,8.106e+0,8.106e+0,7.476e-16
237.416,5.861e+1,5.861e+1,7.477e-16
237.421,2.765e+2,2.765e+2,7.478e-16
237.426,1.194e+3,1.194e+3,7.479e-16
237.431,4.715e+3,4.715e+3,7.481e-16
237.436,1.705e+4,1.705e+4,7.482e-16
237.441,5.641e+4,5.641e+4,7.483e-16
237.446,1.708e+5,1.708e+5,7.484e-16
237.451,4.734e+5,4.734e+5,7.485e-16
237.456,1.201e+6,1.201e+6,7.486e-16
237.461,2.787e+6,2.787e+6,7.487e-16
237.467,6.811e+6,6.811e+6,7.489e-16
237.472,1.301e+7,1.301e+7,7.490e-16
237.477,2.274e+7,2.274e+7,7.491e-16
237.482,3.637e+7,3.637e+7,7.492e-16
237.487,5.324e+7,5.324e+7,7.493e-16
237.492,7.134e+7,7.134e+7,7.494e-16
237.497,8.747e+7,8.747e+7,7.495e-16
237.502,9.815e+7,9.815e+7,7.496e-16
237.507,1.008e+8,1.008e+8,7.498e-16
237.512,9.473e+7,9.473e+7,7.499e-16
237.518,7.822e+7,7.822e+7,7.500e-16
237.523,6.049e+7,6.049e+7,7.501e-16
237.528,4.281e+7,4.281e+7,7.502e-16
237.533,2.773e+7,2.773e+7,7.503e-16
237.538,1.644e+7,1.644e+7,7.505e-16
237.543,8.917e+6,8.917e+6,7.506e-16
237.548,4.427e+6,4.427e+6,7.507e-16
237.553,2.011e+6,2.011e+6,7.508e-16
237.558,8.364e+5,8.364e+5,7.509e-16
237.563,3.183e+5,3.183e+5,7.510e-16
237.569,8.881e+4,8.881e+4,7.512e-16
237.574,2.781e+4,2.781e+4,7.513e-16
237.579,7.969e+3,7.969e+3,7.514e-16
237.584,2.090e+3,2.090e+3,7.515e-16
237.589,5.016e+2,5.016e+2,7.516e-16
237.594,1.102e+2,1.102e+2,7.517e-16
237.599,2.215e+1,2.215e+1,7.518e-16
237.604,4.074e+0,4.074e+0,7.519e-16
237.609,6.860e-1,6.860e-1,7.521e-16
237.614,1.057e-1,1.057e-1,7.522e-16
237.619,1.490e-2,1.490e-2,7.523e-16
237.625,1.264e-3,1.264e-3,7.524e-16
237.630,1.466e-4,1.466e-4,7.525e-16
237.635,1.557e-5,1.557e-5,7.526e-16
237.640,1.513e-6,1.513e-6,7.528e-16
237.645,1.346e-7,1.346e-7,7.529e-16
237.650,1.095e-8,1.095e-8,7.530e-16
237.655,8.158e-10,8.158e-10,7.531e-16
237.660,5.561e-11,5.561e-11,7.532e-16
237.665,3.470e-12,3.470e-12,7.533e-16
237.670,1.981e-13,1.981e-13,7.534e-16
237.676,5.676e-15,5.676e-15,7.536e-16
237.681,2.666e-16,2.666e-16,7.537e-16
237.686,1.146e-17,1.146e-17,7.538e-16
238.150,7.667e-17,7.667e-17,7.642e-16
238.155,1.776e-15,1.776e-15,7.644e-16
238.160,3.767e-14,3.767e-14,7.645e-16
238.165,7.316e-13,7.316e-13,7.646e-16
238.170,1.301e-11,1.301e-11,7.647e-16
238.175,2.120e-10,2.120e-10,7.648e-16
238.180,3.161e-9,3.161e-9,7.649e-16
238.185,4.318e-8,4.318e-8,7.650e-16
238.190,5.401e-7,5.401e-7,7.651e-16
238.195,6.186e-6,6.186e-6,7.653e-16
238.201,1.027e-4,1.027e-4,7.654e-16
238.206,9.694e-4,9.694e-4,7.655e-16
238.211,8.378e-3,8.378e-3,7.656e-16
238.216,6.630e-2,6.630e-2,7.657e-16
238.221,4.805e-1,4.805e-1,7.658e-16
238.226,3.189e+0,3.189e+0,7.660e-16
238.231,1.938e+1,1.938e+1,7.661e-16
238.236,1.078e+2,1.078e+2,7.662e-16
238.241,5.495e+2,5.495e+2,7.663e-16
238.246,2.565e+3,2.565e+3,7.664e-16
238.251,1.096e+4,1.096e+4,7.665e-16
238.257,5.575e+4,5.575e+4,7.666e-16
238.262,1.963e+5,1.963e+5,7.668e-16
238.267,6.330e+5,6.330e+5,7.669e-16
238.272,1.869e+6,1.869e+6,7.670e-16
238.277,5.054e+6,5.054e+6,7.671e-16
238.282,1.251e+7,1.251e+7,7.672e-16
238.287,2.837e+7,2.837e+7,7.673e-16
238.292,5.891e+7,5.891e+7,7.674e-16
238.297,1.120e+8,1.120e+8,7.676e-16
238.302,1.950e+8,1.950e+8,7.677e-16
238.308,3.378e+8,3.378e+8,7.678e-16
238.313,4.846e+8,4.846e+8,7.679e-16
238.318,6.367e+8,6.367e+8,7.680e-16
238.323,7.659e+8,7.659e+8,7.681e-16
238.328,8.438e+8,8.438e+8,7.682e-16
238.333,8.513e+8,8.513e+8,7.684e-16
238.338,7.864e+8,7.864e+8,7.685e-16
238.343,6.653e+8,6.653e+8,7.686e-16
238.348,5.154e+8,5.154e+8,7.687e-16
238.353,3.656e+8,3.656e+8,7.688e-16
238.359,2.156e+8,2.156e+8,7.689e-16
238.364,1.260e+8,1.260e+8,7.691e-16
238.369,6.746e+7,6.746e+7,7.692e-16
238.374,3.307e+7,3.307e+7,7.693e-16
238.379,1.484e+7,1.484e+7,7.694e-16
238.384,6.101e+6,6.101e+6,7.695e-16
238.389,2.296e+6,2.296e+6,7.696e-16
238.394,7.916e+5,7.916e+5,7.697e-16
238.399,2.499e+5,2.499e+5,7.698e-16
238.404,7.222e+4,7.222e+4,7.700e-16
238.409,1.912e+4,1.912e+4,7.701e-16
238.415,3.453e+3,3.453e+3,7.702e-16
238.420,7.531e+2,7.531e+2,7.703e-16
238.425,1.504e+2,1.504e+2,7.704e-16
238.430,2.751e+1,2.751e+1,7.705e-16
238.435,4.607e+0,4.607e+0,7.707e-16
238.440,7.065e-1,7.065e-1,7.708e-16
238.445,9.931e-2,9.931e-2,7.709e-16
238.450,1.360e-2,1.360e-2,7.710e-16
238.455,8.437e-3,8.437e-3,7.711e-16
238.460,5.292e-2,5.292e-2,7.712e-16
238.466,5.364e-1,5.364e-1,7.714e-16
238.471,3.364e+0,3.364e+0,7.715e-16
238.476,1.932e+1,1.932e+1,7.716e-16
238.481,1.017e+2,1.017e+2,7.717e-16
238.486,4.898e+2,4.898e+2,7.718e-16
238.491,2.162e+3,2.162e+3,7.719e-16
238.496,8.738e+3,8.738e+3,7.720e-16
238.501,3.235e+4,3.235e+4,7.721e-16
238.506,1.097e+5,1.097e+5,7.723e-16
238.511,3.407e+5,3.407e+5,7.724e-16
238.517,1.182e+6,1.182e+6,7.725e-16
238.522,3.025e+6,3.025e+6,7.726e-16
238.527,7.093e+6,7.093e+6,7.727e-16
238.532,1.523e+7,1.523e+7,7.728e-16
238.537,2.996e+7,2.996e+7,7.730e-16
238.542,5.397e+7,5.397e+7,7.731e-16
238.547,8.905e+7,8.905e+7,7.732e-16
238.552,1.346e+8,1.346e+8,7.733e-16
238.557,1.862e+8,1.862e+8,7.734e-16
238.562,2.361e+8,2.361e+8,7.735e-16
238.567,2.741e+8,2.741e+8,7.736e-16
238.573,2.920e+8,2.920e+8,7.738e-16
238.578,2.795e+8,2.795e+8,7.739e-16
238.583,2.450e+8,2.450e+8,7.740e-16
238.588,1.967e+8,1.967e+8,7.741e-16
238.593,1.446e+8,1.446e+8,7.742e-16
238.598,9.739e+7,9.739e+7,7.743e-16
238.603,6.007e+7,6.007e+7,7.744e-16
238.608,3.394e+7,3.394e+7,7.746e-16
238.613,1.756e+7,1.756e+7,7.747e-16
238.618,8.323e+6,8.323e+6,7.748e-16
238.624,3.025e+6,3.025e+6,7.749e-16
238.629,1.182e+6,1.182e+6,7.750e-16
238.634,4.228e+5,4.228e+5,7.751e-16
238.639,1.386e+5,1.386e+5,7.753e-16
238.644,4.159e+4,4.159e+4,7.754e-16
238.649,1.143e+4,1.143e+4,7.755e-16
238.654,2.879e+3,2.879e+3,7.756e-16
238.659,6.638e+2,6.638e+2,7.757e-16
238.664,1.402e+2,1.402e+2,7.758e-16
238.669,2.712e+1,2.712e+1,7.759e-16
238.675,3.364e+0,3.364e+0,7.761e-16
238.680,5.364e-1,5.364e-1,7.762e-16
238.685,7.834e-2,7.834e-2,7.763e-16
238.690,1.048e-2,1.048e-2,7.764e-16
238.695,1.284e-3,1.284e-3,7.765e-16
238.700,1.440e-4,1.440e-4,7.766e-16
238.705,1.480e-5,1.480e-5,7.767e-16
238.710,1.393e-6,1.393e-6,7.768e-16
238.715,1.201e-7,1.201e-7,7.770e-16
238.720,9.486e-9,9.486e-9,7.771e-16
238.725,6.860e-10,6.860e-10,7.772e-16
238.731,2.613e-11,2.613e-11,7.773e-16
238.736,1.558e-12,1.558e-12,7.774e-16
238.741,8.507e-14,8.507e-14,7.775e-16
238.746,4.896e-15,4.896e-15,7.777e-16
238.751,1.364e-14,1.364e-14,7.778e-16
238.756,2.573e-13,2.573e-13,7.779e-16
238.761,4.511e-12,4.511e-12,7.780e-16
238.766,7.247e-11,7.247e-11,7.781e-16
238.771,1.067e-9,1.067e-9,7.782e-16
238.776,1.438e-8,1.438e-8,7.783e-16
238.782,2.906e-7,2.906e-7,7.785e-16
238.787,3.232e-6,3.232e-6,7.786e-16
238.792,3.292e-5,3.292e-5,7.787e-16
238.797,3.073e-4,3.073e-4,7.788e-16
238.802,2.627e-3,2.627e-3,7.789e-16
238.807,2.058e-2,2.058e-2,7.790e-16
238.812,1.477e-1,1.477e-1,7.791e-16
238.817,9.710e-1,9.710e-1,7.793e-16
238.822,5.849e+0,5.849e+0,7.794e-16
238.827,3.227e+1,3.227e+1,7.795e-16
238.833,2.232e+2,2.232e+2,7.796e-16
238.838,1.016e+3,1.016e+3,7.797e-16
238.843,4.236e+3,4.236e+3,7.798e-16
238.848,1.618e+4,1.618e+4,7.800e-16
238.853,5.661e+4,5.661e+4,7.801e-16
238.858,1.815e+5,1.815e+5,7.802e-16
238.863,5.330e+5,5.330e+5,7.803e-16
238.868,1.434e+6,1.434e+6,7.804e-16
238.873,3.535e+6,3.535e+6,7.805e-16
238.878,7.983e+6,7.983e+6,7.806e-16
238.883,1.652e+7,1.652e+7,7.807e-16
238.889,3.520e+7,3.520e+7,7.809e-16
238.894,6.007e+7,6.007e+7,7.810e-16
238.899,9.389e+7,9.389e+7,7.811e-16
238.904,1.345e+8,1.345e+8,7.812e-16
238.909,1.764e+8,1.764e+8,7.813e-16
238.914,2.120e+8,2.120e+8,7.814e-16
