Wavelength (nm),Sum(calc),Cr I (8.9e-2),Cr II (9.1e-1)
285.494,7.913e-9,1.679e-15,7.913e-9
285.499,7.138e-8,1.678e-15,7.138e-8
285.504,6.056e-7,1.678e-15,6.056e-7
285.509,4.833e-6,1.677e-15,4.833e-6
285.514,3.627e-5,1.676e-15,3.627e-5
285.520,3.758e-4,1.675e-15,3.758e-4
285.525,2.465e-3,1.674e-15,2.465e-3
285.530,1.521e-2,1.674e-15,1.521e-2
285.535,8.824e-2,1.673e-15,8.824e-2
285.540,4.816e-1,1.672e-15,4.816e-1
285.545,2.472e+0,1.671e-15,2.472e+0
285.550,1.194e+1,1.671e-15,1.194e+1
285.555,5.422e+1,1.670e-15,5.422e+1
285.560,2.316e+2,1.669e-15,2.316e+2
285.565,9.305e+2,1.668e-15,9.305e+2
285.570,3.517e+3,1.668e-15,3.517e+3
285.576,1.599e+4,1.667e-15,1.599e+4
285.581,5.281e+4,1.666e-15,5.281e+4
285.586,1.640e+5,1.665e-15,1.640e+5
285.591,4.793e+5,1.664e-15,4.793e+5
285.596,1.317e+6,1.664e-15,1.317e+6
285.601,3.404e+6,1.663e-15,3.404e+6
285.606,8.276e+6,1.662e-15,8.276e+6
285.611,1.892e+7,1.661e-15,1.892e+7
285.616,4.070e+7,1.660e-15,4.070e+7
285.621,8.234e+7,1.660e-15,8.234e+7
285.627,1.769e+8,1.659e-15,1.769e+8
285.632,3.127e+8,1.658e-15,3.127e+8
285.637,5.200e+8,1.657e-15,5.200e+8
285.642,8.132e+8,1.656e-15,8.132e+8
285.647,1.196e+9,1.656e-15,1.196e+9
285.652,1.655e+9,1.655e-15,1.655e+9
285.657,2.155e+9,1.654e-15,2.155e+9
285.662,2.638e+9,1.653e-15,2.638e+9
285.667,3.040e+9,1.653e-15,3.040e+9
285.672,3.297e+9,1.652e-15,3.297e+9
285.678,3.362e+9,1.651e-15,3.362e+9
285.683,3.210e+9,1.650e-15,3.210e+9
285.688,2.914e+9,1.649e-15,2.914e+9
285.693,2.543e+9,1.649e-15,2.543e+9
285.698,2.181e+9,1.648e-15,2.181e+9
285.703,1.904e+9,1.647e-15,1.904e+9
285.708,1.767e+9,1.646e-15,1.767e+9
285.713,1.791e+9,1.646e-15,1.791e+9
285.718,1.958e+9,1.645e-15,1.958e+9
285.723,2.220e+9,1.644e-15,2.220e+9
285.728,2.506e+9,1.643e-15,2.506e+9
285.734,2.775e+9,1.642e-15,2.775e+9
285.739,2.866e+9,1.642e-15,2.866e+9
285.744,2.800e+9,1.641e-15,2.800e+9
285.749,2.580e+9,1.640e-15,2.580e+9
285.754,2.239e+9,1.639e-15,2.239e+9
285.759,1.828e+9,1.639e-15,1.828e+9
285.764,1.405e+9,1.638e-15,1.405e+9
285.769,1.015e+9,1.637e-15,1.015e+9
285.774,6.902e+8,1.636e-15,6.902e+8
285.779,4.414e+8,1.636e-15,4.414e+8
285.785,2.381e+8,1.635e-15,2.381e+8
285.790,1.331e+8,1.634e-15,1.331e+8
285.795,6.996e+7,1.633e-15,6.996e+7
285.800,3.459e+7,1.632e-15,3.459e+7
285.805,1.609e+7,1.632e-15,1.609e+7
285.810,7.039e+6,1.631e-15,7.039e+6
285.815,2.896e+6,1.630e-15,2.896e+6
285.820,1.121e+6,1.629e-15,1.121e+6
285.825,4.081e+5,1.628e-15,4.081e+5
285.830,1.398e+5,1.628e-15,1.398e+5
285.836,3.562e+4,1.627e-15,3.562e+4
285.841,1.066e+4,1.626e-15,1.066e+4
285.846,3.001e+3,1.625e-15,3.001e+3
285.851,7.946e+2,1.624e-15,7.946e+2
285.856,1.979e+2,1.624e-15,1.979e+2
285.861,4.635e+1,1.623e-15,4.635e+1
285.866,1.021e+1,1.622e-15,1.021e+1
285.871,2.117e+0,1.621e-15,2.117e+0
285.876,4.126e-1,1.621e-15,4.126e-1
285.881,7.566e-2,1.620e-15,7.566e-2
285.886,1.305e-2,1.619e-15,1.305e-2
285.892,1.460e-3,1.618e-15,1.460e-3
285.897,2.201e-4,1.617e-15,2.201e-4
285.902,3.121e-5,1.617e-15,3.121e-5
285.907,4.167e-6,1.616e-15,4.167e-6
285.912,5.671e-7,1.615e-15,5.671e-7
285.917,4.605e-7,1.614e-15,4.605e-7
285.922,3.329e-6,1.614e-15,3.329e-6
285.927,2.603e-5,1.613e-15,2.603e-5
285.932,1.919e-4,1.612e-15,1.919e-4
285.937,1.331e-3,1.611e-15,1.331e-3
285.943,1.254e-2,1.610e-15,1.254e-2
285.948,7.601e-2,1.610e-15,7.601e-2
285.953,4.335e-1,1.609e-15,4.335e-1
285.958,2.326e+0,1.608e-15,2.326e+0
285.963,1.174e+1,1.607e-15,1.174e+1
285.968,5.573e+1,1.607e-15,5.573e+1
285.973,2.489e+2,1.606e-15,2.489e+2
285.978,1.046e+3,1.605e-15,1.046e+3
285.983,4.135e+3,1.604e-15,4.135e+3
285.988,1.538e+4,1.603e-15,1.538e+4
285.994,6.860e+4,1.603e-15,6.860e+4
285.999,2.230e+5,1.602e-15,2.230e+5
286.004,6.822e+5,1.601e-15,6.822e+5
286.009,1.963e+6,1.600e-15,1.963e+6
286.014,5.313e+6,1.600e-15,5.313e+6
286.019,1.353e+7,1.599e-15,1.353e+7
286.024,3.240e+7,1.598e-15,3.240e+7
286.029,7.302e+7,1.597e-15,7.302e+7
286.034,1.548e+8,1.596e-15,1.548e+8
286.039,3.087e+8,1.596e-15,3.087e+8
286.044,5.792e+8,1.595e-15,5.792e+8
286.050,1.137e+9,1.594e-15,1.137e+9
286.055,1.865e+9,1.593e-15,1.865e+9
286.060,2.877e+9,1.592e-15,2.877e+9
286.065,4.176e+9,1.592e-15,4.176e+9
286.070,5.703e+9,1.591e-15,5.703e+9
286.075,7.326e+9,1.590e-15,7.326e+9
286.080,8.854e+9,1.589e-15,8.854e+9
286.085,1.007e+10,1.589e-15,1.007e+10
286.090,1.077e+10,1.588e-15,1.077e+10
286.095,1.083e+10,1.587e-15,1.083e+10
286.101,1.007e+10,1.586e-15,1.007e+10
286.106,8.854e+9,1.585e-15,8.854e+9
286.111,7.326e+9,1.585e-15,7.326e+9
286.116,5.703e+9,1.584e-15,5.703e+9
286.121,4.176e+9,1.583e-15,4.176e+9
286.126,2.877e+9,1.582e-15,2.877e+9
286.131,1.865e+9,1.582e-15,1.865e+9
286.136,1.137e+9,1.581e-15,1.137e+9
286.141,6.521e+8,1.580e-15,6.521e+8
286.146,3.518e+8,1.579e-15,3.518e+8
286.152,1.548e+8,1.578e-15,1.548e+8
286.157,7.312e+7,1.578e-15,7.312e+7
286.162,3.272e+7,1.577e-15,3.272e+7
286.167,1.449e+7,1.576e-15,1.449e+7
286.172,8.121e+6,1.575e-15,8.121e+6
286.177,9.648e+6,1.575e-15,9.648e+6
286.182,2.047e+7,1.574e-15,2.047e+7
286.187,4.816e+7,1.573e-15,4.816e+7
286.192,1.093e+8,1.572e-15,1.093e+8
286.197,2.343e+8,1.571e-15,2.343e+8
286.202,4.725e+8,1.571e-15,4.725e+8
286.208,1.012e+9,1.570e-15,1.012e+9
286.213,1.785e+9,1.569e-15,1.785e+9
286.218,2.962e+9,1.568e-15,2.962e+9
286.223,4.624e+9,1.568e-15,4.624e+9
286.228,6.791e+9,1.567e-15,6.791e+9
286.233,9.384e+9,1.566e-15,9.384e+9
286.238,1.220e+10,1.565e-15,1.220e+10
286.243,1.492e+10,1.564e-15,1.492e+10
286.248,1.717e+10,1.564e-15,1.717e+10
286.253,1.859e+10,1.563e-15,1.859e+10
286.259,1.886e+10,1.562e-15,1.886e+10
286.264,1.785e+10,1.561e-15,1.785e+10
286.269,1.590e+10,1.560e-15,1.590e+10
286.274,1.332e+10,1.560e-15,1.332e+10
286.279,1.050e+10,1.559e-15,1.050e+10
286.284,7.785e+9,1.558e-15,7.785e+9
286.289,5.432e+9,1.557e-15,5.432e+9
286.294,3.565e+9,1.557e-15,3.565e+9
286.299,2.202e+9,1.556e-15,2.202e+9
286.304,1.279e+9,1.555e-15,1.279e+9
286.310,6.150e+8,1.554e-15,6.150e+8
286.315,3.124e+8,1.553e-15,3.124e+8
286.320,1.493e+8,1.553e-15,1.493e+8
286.325,6.713e+7,1.552e-15,6.713e+7
286.330,2.840e+7,1.551e-15,2.840e+7
286.335,1.130e+7,1.550e-15,1.130e+7
286.340,4.232e+6,1.550e-15,4.232e+6
286.345,1.491e+6,1.549e-15,1.491e+6
286.350,4.940e+5,1.548e-15,4.940e+5
286.355,1.540e+5,1.547e-15,1.540e+5
286.360,4.518e+4,1.547e-15,4.518e+4
286.366,9.567e+3,1.546e-15,9.567e+3
286.371,2.454e+3,1.545e-15,2.454e+3
286.376,5.921e+2,1.544e-15,5.921e+2
286.381,1.344e+2,1.543e-15,1.344e+2
286.386,2.871e+1,1.543e-15,2.871e+1
286.391,5.768e+0,1.542e-15,5.768e+0
286.396,1.090e+0,1.541e-15,1.090e+0
286.401,1.939e-1,1.540e-15,1.939e-1
286.406,3.245e-2,1.539e-15,3.245e-2
286.411,5.108e-3,1.539e-15,5.108e-3
286.417,5.126e-4,1.538e-15,5.126e-4
286.422,7.055e-5,1.537e-15,7.055e-5
286.427,9.136e-6,1.536e-15,9.136e-6
286.432,1.113e-6,1.535e-15,1.113e-6
286.437,1.276e-7,1.535e-15,1.276e-7
286.442,1.376e-8,1.534e-15,1.376e-8
286.447,1.396e-9,1.533e-15,1.396e-9
286.452,1.332e-10,1.532e-15,1.332e-10
286.457,1.196e-11,1.532e-15,1.196e-11
286.462,1.044e-12,1.531e-15,1.044e-12
286.468,7.558e-13,1.530e-15,7.558e-13
286.473,8.419e-12,1.529e-15,8.419e-12
286.478,9.424e-11,1.528e-15,9.424e-11
286.483,9.927e-10,1.528e-15,9.927e-10
286.488,9.839e-9,1.527e-15,9.839e-9
286.493,9.176e-8,1.526e-15,9.176e-8
286.498,8.053e-7,1.525e-15,8.053e-7
286.503,6.650e-6,1.525e-15,6.650e-6
286.508,5.167e-5,1.524e-15,5.167e-5
286.513,3.778e-4,1.523e-15,3.778e-4
286.518,2.599e-3,1.522e-15,2.599e-3
286.524,2.427e-2,1.521e-15,2.427e-2
286.529,1.461e-1,1.521e-15,1.461e-1
286.534,8.273e-1,1.520e-15,8.273e-1
286.539,4.408e+0,1.519e-15,4.408e+0
286.544,2.210e+1,1.518e-15,2.210e+1
286.549,1.043e+2,1.518e-15,1.043e+2
286.554,4.630e+2,1.517e-15,4.630e+2
286.559,1.934e+3,1.516e-15,1.934e+3
286.564,7.604e+3,1.515e-15,7.604e+3
286.569,2.813e+4,1.515e-15,2.813e+4
286.575,1.247e+5,1.514e-15,1.247e+5
286.580,4.036e+5,1.513e-15,4.036e+5
286.585,1.229e+6,1.512e-15,1.229e+6
286.590,3.521e+6,1.511e-15,3.521e+6
286.595,9.491e+6,1.511e-15,9.491e+6
286.600,2.408e+7,1.510e-15,2.408e+7
286.605,5.747e+7,1.509e-15,5.747e+7
286.610,1.291e+8,1.508e-15,1.291e+8
286.615,2.729e+8,1.507e-15,2.729e+8
286.620,5.429e+8,1.507e-15,5.429e+8
286.626,1.144e+9,1.506e-15,1.144e+9
286.631,1.991e+9,1.505e-15,1.991e+9
286.636,3.262e+9,1.504e-15,3.262e+9
286.641,5.031e+9,1.503e-15,5.031e+9
286.646,7.308e+9,1.503e-15,7.308e+9
286.651,1.000e+10,1.502e-15,1.000e+10
286.656,1.290e+10,1.501e-15,1.290e+10
286.661,1.570e+10,1.500e-15,1.570e+10
286.666,1.805e+10,1.500e-15,1.805e+10
286.671,1.964e+10,1.499e-15,1.964e+10
286.676,2.030e+10,1.498e-15,2.030e+10
286.682,1.982e+10,1.497e-15,1.982e+10
286.687,1.856e+10,1.496e-15,1.856e+10
286.692,1.679e+10,1.496e-15,1.679e+10
286.697,1.479e+10,1.495e-15,1.479e+10
286.702,1.278e+10,1.494e-15,1.278e+10
286.707,1.091e+10,1.493e-15,1.091e+10
286.712,9.258e+9,1.493e-15,9.258e+9
286.717,7.865e+9,1.492e-15,7.865e+9
286.722,6.771e+9,1.491e-15,6.771e+9
286.727,6.025e+9,1.490e-15,6.025e+9
286.733,5.657e+9,1.489e-15,5.657e+9
286.738,5.808e+9,1.489e-15,5.808e+9
286.743,6.324e+9,1.488e-15,6.324e+9
286.748,7.081e+9,1.487e-15,7.081e+9
286.753,7.892e+9,1.486e-15,7.892e+9
286.758,8.547e+9,1.486e-15,8.547e+9
286.763,8.863e+9,1.485e-15,8.863e+9
286.768,8.727e+9,1.484e-15,8.727e+9
286.773,8.123e+9,1.483e-15,8.123e+9
286.778,7.132e+9,1.483e-15,7.132e+9
286.784,5.639e+9,1.482e-15,5.639e+9
286.789,4.339e+9,1.481e-15,4.339e+9
286.794,3.143e+9,1.480e-15,3.143e+9
286.799,2.143e+9,1.479e-15,2.143e+9
286.804,1.375e+9,1.479e-15,1.375e+9
286.809,8.298e+8,1.478e-15,8.298e+8
286.814,4.714e+8,1.477e-15,4.714e+8
286.819,2.520e+8,1.476e-15,2.520e+8
286.824,1.268e+8,1.475e-15,1.268e+8
286.829,6.001e+7,1.475e-15,6.001e+7
286.834,2.673e+7,1.474e-15,2.673e+7
286.840,9.348e+6,1.473e-15,9.348e+6
286.845,3.643e+6,1.472e-15,3.643e+6
286.850,1.336e+6,1.471e-15,1.336e+6
286.855,4.609e+5,1.471e-15,4.609e+5
286.860,1.497e+5,1.470e-15,1.497e+5
286.865,4.573e+4,1.469e-15,4.573e+4
286.870,1.315e+4,1.468e-15,1.315e+4
286.875,3.557e+3,1.468e-15,3.557e+3
286.880,9.057e+2,1.467e-15,9.057e+2
286.885,2.170e+2,1.466e-15,2.170e+2
286.891,3.606e+1,1.465e-15,3.606e+1
286.896,7.597e+0,1.464e-15,7.597e+0
286.901,1.727e+0,1.464e-15,1.727e+0
286.906,1.561e+0,1.463e-15,1.561e+0
286.911,6.619e+0,1.462e-15,6.619e+0
286.916,3.164e+1,1.461e-15,3.164e+1
286.921,1.434e+2,1.461e-15,1.434e+2
286.926,6.114e+2,1.460e-15,6.114e+2
286.931,2.454e+3,1.459e-15,2.454e+3
286.936,9.268e+3,1.458e-15,9.268e+3
286.942,4.215e+4,1.457e-15,4.215e+4
286.947,1.393e+5,1.457e-15,1.393e+5
286.952,4.333e+5,1.456e-15,4.333e+5
286.957,1.269e+6,1.825e-14,1.269e+6
286.962,3.495e+6,2.152e-13,3.495e+6
286.967,9.062e+6,2.390e-12,9.062e+6
286.972,2.211e+7,2.497e-11,2.211e+7
286.977,5.078e+7,2.456e-10,5.078e+7
286.982,1.097e+8,2.273e-9,1.097e+8
286.987,2.232e+8,1.980e-8,2.232e+8
286.992,4.273e+8,1.623e-7,4.273e+8
286.998,8.597e+8,1.871e-6,8.597e+8
287.003,1.440e+9,1.343e-5,1.440e+9
287.008,2.270e+9,9.067e-5,2.270e+9
287.013,3.368e+9,5.762e-4,3.368e+9
287.018,4.702e+9,3.447e-3,4.702e+9
287.023,6.178e+9,1.940e-2,6.178e+9
287.028,7.640e+9,1.028e-1,7.640e+9
287.033,8.892e+9,5.127e-1,8.892e+9
287.038,9.739e+9,2.406e+0,9.739e+9
287.043,1.004e+10,1.063e+1,1.004e+10
287.049,9.610e+9,5.834e+1,9.610e+9
287.054,8.668e+9,2.255e+2,8.668e+9
287.059,7.358e+9,8.204e+2,7.358e+9
287.064,5.878e+9,2.809e+3,5.878e+9
287.069,4.420e+9,9.054e+3,4.420e+9
287.074,3.127e+9,2.746e+4,3.127e+9
287.079,2.083e+9,7.839e+4,2.083e+9
287.084,1.305e+9,2.106e+5,1.305e+9
287.089,7.703e+8,5.326e+5,7.698e+8
287.094,4.286e+8,1.267e+6,4.273e+8
287.100,1.979e+8,3.312e+6,1.946e+8
287.105,1.014e+8,6.897e+6,9.453e+7
287.110,5.673e+7,1.352e+7,4.321e+7
287.115,4.353e+7,2.494e+7,1.859e+7
287.120,5.083e+7,4.331e+7,7.526e+6
287.125,7.364e+7,7.077e+7,2.868e+6
287.130,1.099e+8,1.088e+8,1.028e+6
287.135,1.579e+8,1.576e+8,3.470e+5
287.140,2.148e+8,2.147e+8,1.102e+5
287.145,2.753e+8,2.752e+8,3.295e+4
287.150,3.322e+8,3.322e+8,9.268e+3
287.156,3.842e+8,3.842e+8,1.867e+3
287.161,4.057e+8,4.057e+8,4.596e+2
287.166,4.033e+8,4.033e+8,1.065e+2
287.171,3.773e+8,3.773e+8,2.322e+1
287.176,3.322e+8,3.322e+8,4.763e+0
287.181,2.752e+8,2.752e+8,9.198e-1
287.186,2.147e+8,2.147e+8,1.672e-1
287.191,1.576e+8,1.576e+8,2.859e-2
287.196,1.088e+8,1.088e+8,4.602e-3
287.201,7.077e+7,7.077e+7,6.971e-4
287.207,3.897e+7,3.897e+7,6.710e-5
287.212,2.217e+7,2.217e+7,1.109e-5
287.217,1.187e+7,1.187e+7,1.784e-5
287.222,5.985e+6,5.985e+6,1.184e-4
287.227,2.839e+6,2.839e+6,7.869e-4
287.232,1.267e+6,1.267e+6,4.927e-3
287.237,5.326e+5,5.326e+5,2.904e-2
287.242,2.106e+5,2.106e+5,1.611e-1
287.247,7.839e+4,7.839e+4,8.411e-1
287.252,2.746e+4,2.746e+4,4.134e+0
287.258,7.225e+3,7.199e+3,2.579e+1
287.263,2.318e+3,2.207e+3,1.109e+2
287.268,1.086e+3,6.368e+2,4.492e+2
287.273,1.885e+3,1.729e+2,1.712e+3
287.278,6.186e+3,4.419e+1,6.142e+3
287.283,2.075e+4,1.063e+1,2.074e+4
287.288,6.592e+4,2.406e+0,6.591e+4
287.293,1.972e+5,5.127e-1,1.972e+5
287.298,5.552e+5,1.028e-1,5.552e+5
287.303,1.472e+6,1.940e-2,1.472e+6
287.308,3.671e+6,3.447e-3,3.671e+6
287.314,1.015e+7,4.000e-4,1.015e+7
287.319,2.217e+7,6.218e-5,2.217e+7
287.324,4.556e+7,9.097e-6,4.556e+7
287.329,8.814e+7,1.253e-6,8.814e+7
287.334,1.605e+8,1.623e-7,1.605e+8
287.339,2.751e+8,1.980e-8,2.751e+8
287.344,4.438e+8,2.273e-9,4.438e+8
287.349,6.740e+8,2.456e-10,6.740e+8
287.354,9.633e+8,2.497e-11,9.633e+8
287.359,1.296e+9,2.390e-12,1.296e+9
287.365,1.708e+9,1.320e-13,1.708e+9
287.370,2.011e+9,1.106e-14,2.011e+9
287.375,2.229e+9,8.716e-16,2.229e+9
287.380,2.326e+9,8.988e-16,2.326e+9
287.385,2.284e+9,9.260e-16,2.284e+9
287.390,2.111e+9,9.531e-16,2.111e+9
287.395,1.837e+9,9.803e-16,1.837e+9
287.400,1.504e+9,1.007e-15,1.504e+9
287.405,1.159e+9,1.035e-15,1.159e+9
287.410,8.411e+8,1.062e-15,8.411e+8
287.416,5.284e+8,1.094e-15,5.284e+8
287.421,3.355e+8,1.122e-15,3.355e+8
287.426,2.006e+8,1.149e-15,2.006e+8
287.431,1.128e+8,1.176e-15,1.128e+8
287.436,5.976e+7,1.203e-15,5.976e+7
287.441,2.979e+7,1.230e-15,2.979e+7
287.446,1.398e+7,1.257e-15,1.398e+7
287.451,6.172e+6,1.285e-15,6.172e+6
287.456,2.565e+6,1.312e-15,2.565e+6
287.461,1.004e+6,1.339e-15,1.004e+6
287.467,3.005e+5,1.371e-15,3.005e+5
287.472,1.029e+5,1.399e-15,1.029e+5
287.477,3.318e+4,1.426e-15,3.318e+4
287.482,1.007e+4,1.453e-15,1.007e+4
287.487,2.875e+3,1.480e-15,2.875e+3
287.492,7.727e+2,1.507e-15,7.727e+2
287.497,1.955e+2,1.534e-15,1.955e+2
287.502,4.656e+1,1.562e-15,4.656e+1
287.507,1.044e+1,1.589e-15,1.044e+1
287.512,2.202e+0,1.616e-15,2.202e+0
287.517,4.374e-1,1.643e-15,4.374e-1
287.523,5.804e-2,1.676e-15,5.804e-2
287.528,1.009e-2,1.703e-15,1.009e-2
287.533,1.651e-3,1.730e-15,1.651e-3
287.538,2.543e-4,1.757e-15,2.543e-4
287.543,3.686e-5,1.784e-15,3.686e-5
287.548,5.029e-6,1.812e-15,5.029e-6
287.553,6.459e-7,1.839e-15,6.459e-7
287.558,7.808e-8,1.866e-15,7.808e-8
287.563,8.885e-9,1.893e-15,8.885e-9
287.568,9.516e-10,1.920e-15,9.516e-10
287.574,6.019e-11,1.953e-15,6.019e-11
287.579,5.642e-12,1.980e-15,5.642e-12
287.584,4.979e-13,2.007e-15,4.979e-13
287.589,4.135e-14,2.034e-15,4.135e-14
287.594,3.233e-15,2.061e-15,3.233e-15
287.630,1.298e-15,2.257e-15,1.298e-15
287.635,1.687e-14,2.284e-15,1.687e-14
287.640,2.064e-13,2.311e-15,2.064e-13
287.645,2.378e-12,2.339e-15,2.378e-12
287.650,2.579e-11,2.366e-15,2.579e-11
287.655,2.633e-10,2.393e-15,2.633e-10
287.660,2.530e-9,2.420e-15,2.530e-9
287.665,2.290e-8,2.447e-15,2.290e-8
287.670,1.951e-7,2.474e-15,1.951e-7
287.675,1.565e-6,2.502e-15,1.565e-6
287.681,1.757e-5,2.534e-15,1.757e-5
287.686,1.234e-4,2.561e-15,1.234e-4
287.691,8.159e-4,2.588e-15,8.159e-4
287.696,5.079e-3,2.616e-15,5.079e-3
287.701,2.976e-2,2.643e-15,2.976e-2
287.706,1.642e-1,2.670e-15,1.642e-1
287.711,8.528e-1,2.697e-15,8.528e-1
287.716,4.170e+0,2.724e-15,4.170e+0
287.721,1.919e+1,3.369e-14,1.919e+1
287.726,8.318e+1,3.923e-13,8.318e+1
287.732,4.464e+2,6.891e-12,4.464e+2
287.737,1.694e+3,7.026e-11,1.694e+3
287.742,6.052e+3,6.745e-10,6.052e+3
287.747,2.035e+4,6.096e-9,2.035e+4
287.752,6.445e+4,5.186e-8,6.445e+4
287.757,1.921e+5,4.155e-7,1.921e+5
287.762,5.392e+5,3.133e-6,5.392e+5
287.767,1.425e+6,2.225e-5,1.425e+6
287.772,3.544e+6,1.487e-4,3.544e+6
287.777,8.298e+6,9.360e-4,8.298e+6
287.783,2.127e+7,7.859e-3,2.127e+7
287.788,4.362e+7,4.331e-2,4.362e+7
287.793,8.422e+7,2.248e-1,8.422e+7
287.798,1.531e+8,1.098e+0,1.531e+8
287.803,2.619e+8,5.050e+0,2.619e+8
287.808,4.218e+8,2.187e+1,4.218e+8
287.813,6.397e+8,8.914e+1,6.397e+8
287.818,9.133e+8,3.421e+2,9.133e+8
287.823,1.228e+9,1.236e+3,1.228e+9
287.828,1.553e+9,4.206e+3,1.553e+9
287.833,1.850e+9,1.347e+4,1.850e+9
287.839,2.108e+9,5.028e+4,2.108e+9
287.844,2.199e+9,1.410e+5,2.199e+9
287.849,2.160e+9,3.724e+5,2.159e+9
287.854,1.997e+9,9.259e+5,1.997e+9
287.859,1.740e+9,2.167e+6,1.738e+9
287.864,1.429e+9,4.775e+6,1.424e+9
287.869,1.108e+9,9.907e+6,1.099e+9
287.874,8.172e+8,1.935e+7,7.978e+8
287.879,5.811e+8,3.558e+7,5.455e+8
287.884,4.127e+8,6.160e+7,3.511e+8
287.890,3.010e+8,1.099e+8,1.911e+8
287.895,2.744e+8,1.666e+8,1.077e+8
287.900,2.950e+8,2.379e+8,5.717e+7
287.905,3.482e+8,3.196e+8,2.856e+7
287.910,4.178e+8,4.044e+8,1.343e+7
287.915,4.877e+8,4.817e+8,5.947e+6
287.920,5.427e+8,5.402e+8,2.479e+6
287.925,5.713e+8,5.703e+8,9.729e+5
287.930,5.673e+8,5.669e+8,3.595e+5
287.935,5.306e+8,5.305e+8,1.250e+5
287.941,4.525e+8,4.524e+8,3.251e+4
287.946,3.708e+8,3.708e+8,9.902e+3
287.951,2.861e+8,2.861e+8,2.841e+3
287.956,2.078e+8,2.078e+8,7.724e+2
287.961,1.421e+8,1.421e+8,2.222e+2
287.966,9.150e+7,9.150e+7,1.665e+2
287.971,5.547e+7,5.547e+7,5.043e+2
287.976,3.166e+7,3.165e+7,1.918e+3
287.981,1.701e+7,1.701e+7,6.996e+3
287.986,8.627e+6,8.603e+6,2.405e+4
287.991,4.175e+6,4.097e+6,7.787e+4
287.997,1.848e+6,1.553e+6,2.945e+5
288.002,1.483e+6,6.479e+5,8.351e+5
288.007,2.484e+6,2.544e+5,2.230e+6
288.012,5.698e+6,9.404e+4,5.604e+6
288.017,1.330e+7,3.273e+4,1.326e+7
288.022,2.957e+7,1.072e+4,2.956e+7
288.027,6.202e+7,3.308e+3,6.201e+7
288.032,1.225e+8,9.608e+2,1.225e+8
288.037,2.278e+8,2.627e+2,2.278e+8
288.042,3.990e+8,6.763e+1,3.990e+8
288.048,7.218e+8,1.226e+1,7.218e+8
288.053,1.107e+9,2.763e+0,1.107e+9
288.058,1.599e+9,5.864e-1,1.599e+9
288.063,2.174e+9,1.172e-1,2.174e+9
288.068,2.783e+9,2.204e-2,2.783e+9
288.073,3.354e+9,3.904e-3,3.354e+9
288.078,3.807e+9,6.510e-4,3.807e+9
288.083,4.068e+9,1.022e-4,4.068e+9
288.088,4.092e+9,1.511e-5,4.092e+9
288.093,3.876e+9,2.102e-6,3.876e+9
288.099,3.354e+9,1.821e-7,3.354e+9
288.104,2.783e+9,2.219e-8,2.783e+9
288.109,2.174e+9,2.545e-9,2.174e+9
288.114,1.599e+9,2.749e-10,1.599e+9
288.119,1.107e+9,2.796e-11,1.107e+9
288.124,7.218e+8,2.676e-12,7.218e+8
288.129,4.431e+8,2.412e-13,4.431e+8
288.134,2.561e+8,2.047e-14,2.561e+8
288.139,1.394e+8,1.636e-15,1.394e+8
288.144,7.140e+7,1.630e-15,7.140e+7
288.149,3.444e+7,1.624e-15,3.444e+7
288.155,1.326e+7,1.617e-15,1.326e+7
288.160,5.604e+6,1.611e-15,5.604e+6
288.165,2.230e+6,1.606e-15,2.230e+6
288.170,8.351e+5,1.600e-15,8.351e+5
288.175,2.945e+5,1.594e-15,2.945e+5
288.180,9.779e+4,1.588e-15,9.779e+4
288.185,3.057e+4,1.582e-15,3.057e+4
288.190,8.999e+3,1.577e-15,8.999e+3
288.195,2.494e+3,1.571e-15,2.494e+3
288.200,6.508e+2,1.565e-15,6.508e+2
288.206,1.199e+2,1.558e-15,1.199e+2
288.211,2.740e+1,1.552e-15,2.740e+1
288.216,5.895e+0,1.547e-15,5.895e+0
288.221,1.194e+0,1.541e-15,1.194e+0
288.226,2.278e-1,1.535e-15,2.278e-1
288.231,4.092e-2,1.529e-15,4.092e-2
288.236,6.920e-3,1.524e-15,6.920e-3
288.241,1.102e-3,1.518e-15,1.102e-3
288.246,1.652e-4,1.512e-15,1.652e-4
288.251,2.331e-5,1.506e-15,2.331e-5
288.257,2.054e-6,1.499e-15,2.054e-6
288.262,2.540e-7,1.494e-15,2.540e-7
288.267,2.956e-8,1.488e-15,2.956e-8
288.272,3.239e-9,1.482e-15,3.239e-9
288.277,3.342e-10,1.476e-15,3.342e-10
288.282,3.247e-11,1.471e-15,3.247e-11
288.287,2.970e-12,1.465e-15,2.970e-12
288.292,2.558e-13,1.459e-15,2.558e-13
288.297,2.074e-14,1.453e-15,2.074e-14
288.486,1.235e-15,1.235e-15,1.848e-14
288.491,1.544e-14,1.544e-14,1.842e-14
288.496,1.817e-13,1.817e-13,1.836e-14
288.501,2.014e-12,2.014e-12,1.830e-14
288.506,2.103e-11,2.103e-11,1.824e-14
288.511,2.068e-10,2.068e-10,1.818e-14
288.516,1.914e-9,1.914e-9,1.812e-14
288.522,2.556e-8,2.556e-8,1.805e-14
288.527,2.074e-7,2.074e-7,1.799e-14
288.532,1.585e-6,1.585e-6,1.793e-14
288.537,1.141e-5,1.141e-5,1.787e-14
288.542,7.731e-5,7.731e-5,1.781e-14
288.547,4.935e-4,4.935e-4,1.775e-14
