Wavelength (nm),Sum,Fe I (1.5e-01),Fe II (8.5e-01),Fe III (1.1e-04)
431.2,5.919e+7,5.919e+7,,3.881e-5
431.4,5.992e+7,5.992e+7,,3.475e-5
431.6,6.019e+7,6.019e+7,,3.026e-5
431.7,6.016e+7,6.016e+7,,2.794e-5
431.9,5.973e+7,5.973e+7,,2.331e-5
432.1,5.877e+7,5.877e+7,,1.889e-5
432.3,5.717e+7,5.717e+7,,1.486e-5
432.5,5.483e+7,5.483e+7,,1.134e-5
432.6,5.336e+7,5.336e+7,,9.798e-6
432.8,4.983e+7,4.983e+7,,7.151e-6
433,4.554e+7,4.554e+7,,5.074e-6
433.2,4.063e+7,4.063e+7,,3.518e-6
433.4,3.532e+7,3.532e+7,,2.420e-6
433.5,3.260e+7,3.260e+7,,2.021e-6
433.7,2.717e+7,2.717e+7,,1.491e-6
433.9,2.199e+7,2.199e+7,,1.287e-6
434.1,1.728e+7,1.728e+7,,1.398e-6
434.2,1.515e+7,1.515e+7,,1.576e-6
434.4,1.140e+7,1.140e+7,,2.210e-6
434.6,8.393e+6,8.393e+6,,3.272e-6
434.8,6.128e+6,6.128e+6,,4.855e-6
435,4.588e+6,4.588e+6,,7.062e-6
435.1,4.081e+6,4.081e+6,,8.430e-6
435.3,3.585e+6,3.585e+6,,1.174e-5
435.5,3.791e+6,3.791e+6,,1.584e-5
435.7,4.742e+6,4.742e+6,,2.068e-5
435.9,6.522e+6,6.522e+6,,2.615e-5
436,7.758e+6,7.758e+6,,2.904e-5
436.2,1.099e+7,1.099e+7,,3.495e-5
436.4,1.534e+7,1.534e+7,,4.071e-5
436.6,2.085e+7,2.085e+7,,4.589e-5
436.7,2.405e+7,2.405e+7,,4.812e-5
436.9,3.126e+7,3.126e+7,,5.164e-5
437.1,3.937e+7,3.937e+7,,5.364e-5
437.3,4.806e+7,4.806e+7,,5.392e-5
437.5,5.685e+7,5.685e+7,,5.245e-5
437.6,6.112e+7,6.112e+7,,5.110e-5
437.8,6.906e+7,6.906e+7,,4.732e-5
438,7.574e+7,7.574e+7,,4.242e-5
438.2,8.072e+7,8.072e+7,,3.679e-5
438.4,8.375e+7,8.375e+7,,3.089e-5
438.5,8.449e+7,8.449e+7,,2.796e-5
438.7,8.451e+7,8.451e+7,,2.234e-5
438.9,8.278e+7,8.278e+7,,1.728e-5
439.1,7.972e+7,7.972e+7,,1.294e-5
439.2,7.782e+7,7.782e+7,,1.106e-5
439.4,7.363e+7,7.363e+7,,7.881e-6
439.6,6.922e+7,6.922e+7,,5.436e-6
439.8,6.493e+7,6.493e+7,,3.628e-6
440,6.092e+7,6.092e+7,,2.344e-6
440.1,5.904e+7,5.904e+7,,1.861e-6
440.3,5.549e+7,5.549e+7,,1.145e-6
440.5,5.211e+7,5.211e+7,,6.814e-7
440.7,4.875e+7,4.875e+7,,3.925e-7
440.9,4.527e+7,4.527e+7,,2.188e-7
441,4.345e+7,4.345e+7,,1.614e-7
441.2,3.963e+7,3.963e+7,,8.568e-8
441.4,3.558e+7,3.558e+7,,4.401e-8
441.6,3.138e+7,3.138e+7,,2.188e-8
441.8,2.714e+7,2.714e+7,,1.053e-8
441.9,2.505e+7,2.505e+7,,7.214e-9
442.1,2.100e+7,2.100e+7,,3.304e-9
442.3,1.725e+7,1.725e+7,,1.465e-9
442.5,1.389e+7,1.389e+7,,6.285e-10
442.6,1.237e+7,1.237e+7,,4.067e-10
442.8,9.675e+6,9.675e+6,,1.661e-10
443,7.443e+6,7.443e+6,,6.568e-11
443.2,5.646e+6,5.646e+6,,2.513e-11
443.4,4.240e+6,4.240e+6,,9.304e-12
443.5,3.668e+6,3.668e+6,,5.593e-12
443.7,2.750e+6,2.750e+6,,1.972e-12
443.9,2.090e+6,2.090e+6,,6.727e-13
444.1,1.642e+6,1.642e+6,,2.221e-13
444.3,1.369e+6,1.369e+6,,7.098e-14
444.4,1.289e+6,1.289e+6,,3.963e-14
444.6,1.226e+6,1.226e+6,,1.206e-14
444.8,1.280e+6,1.280e+6,,3.551e-15
445,1.434e+6,1.434e+6,,1.012e-15
445.1,1.544e+6,1.544e+6,,5.335e-16
445.3,1.820e+6,1.820e+6,,1.448e-16
445.5,2.153e+6,2.153e+6,,3.801e-17
445.7,2.518e+6,2.518e+6,,9.658e-18
445.9,2.886e+6,2.886e+6,,2.375e-18
446,3.062e+6,3.062e+6,,1.164e-18
446.2,3.378e+6,3.378e+6,,2.724e-19
446.4,3.621e+6,3.621e+6,,6.174e-20
446.6,3.768e+6,3.768e+6,,1.354e-20
446.8,3.803e+6,3.803e+6,,
446.9,3.777e+6,3.777e+6,,
447.1,3.641e+6,3.641e+6,,
447.3,3.402e+6,3.402e+6,,
447.5,3.082e+6,3.082e+6,,
447.6,2.899e+6,2.899e+6,,
447.8,2.507e+6,2.507e+6,,
448,2.101e+6,2.101e+6,,
448.2,1.707e+6,1.707e+6,,
448.4,1.345e+6,1.345e+6,,
448.5,1.180e+6,1.180e+6,,
448.7,8.890e+5,8.890e+5,,
448.9,6.518e+5,6.518e+5,,
449.1,4.680e+5,4.680e+5,,
449.3,3.341e+5,3.341e+5,,
449.4,2.843e+5,2.843e+5,,
449.6,2.162e+5,2.162e+5,,
449.8,1.867e+5,1.867e+5,,
450,1.934e+5,1.934e+5,,
450.1,2.102e+5,2.102e+5,,
450.3,2.713e+5,2.713e+5,,
450.5,3.713e+5,3.713e+5,,
450.7,5.134e+5,5.134e+5,,
450.9,7.000e+5,7.000e+5,,
451,8.104e+5,8.104e+5,,
451.2,1.064e+6,1.064e+6,,
451.4,1.358e+6,1.358e+6,,
451.6,1.681e+6,1.681e+6,,
451.8,2.020e+6,2.020e+6,,
451.9,2.189e+6,2.189e+6,,
452.1,2.511e+6,2.511e+6,,
452.3,2.795e+6,2.795e+6,,
452.5,3.017e+6,3.017e+6,,
452.6,3.099e+6,3.099e+6,,
452.8,3.195e+6,3.195e+6,,
453,3.195e+6,3.195e+6,,
453.2,3.099e+6,3.099e+6,,
453.4,2.915e+6,2.915e+6,,
453.5,2.795e+6,2.795e+6,,
453.7,2.511e+6,2.511e+6,,
453.9,2.188e+6,2.188e+6,,
454.1,1.850e+6,1.850e+6,,
454.3,1.516e+6,1.516e+6,,
454.4,1.357e+6,1.357e+6,,
454.6,1.063e+6,1.063e+6,,
454.8,8.069e+5,8.069e+5,,
455,5.943e+5,5.943e+5,,
455.1,5.042e+5,5.042e+5,,
455.3,3.547e+5,3.547e+5,,
455.5,2.420e+5,2.420e+5,,
455.7,1.602e+5,1.602e+5,,
455.9,1.028e+5,1.028e+5,,
456,8.141e+4,8.141e+4,,
456.2,4.991e+4,4.991e+4,,
456.4,2.967e+4,2.967e+4,,
456.6,1.711e+4,1.711e+4,,
456.8,9.571e+3,9.571e+3,,
456.9,7.076e+3,7.076e+3,,
457.1,3.780e+3,3.780e+3,,
457.3,1.959e+3,1.959e+3,,
457.5,9.843e+2,9.843e+2,,
457.6,6.898e+2,6.898e+2,,
457.8,3.311e+2,3.311e+2,,
458,1.541e+2,1.541e+2,,
458.2,6.959e+1,6.959e+1,,
458.4,3.048e+1,3.048e+1,,
458.5,1.994e+1,1.994e+1,,
458.7,8.339e+0,8.339e+0,,
458.9,3.383e+0,3.383e+0,,
459.1,1.331e+0,1.331e+0,,
459.3,5.080e-1,5.080e-1,,
459.4,3.102e-1,3.102e-1,,
459.6,1.131e-1,1.131e-1,,
459.8,3.997e-2,3.997e-2,,
460,1.371e-2,1.371e-2,,
460.1,7.934e-3,7.934e-3,,
460.3,2.598e-3,2.598e-3,,
460.5,8.254e-4,8.254e-4,,
460.7,2.543e-4,2.543e-4,,
460.9,7.597e-5,7.597e-5,,
461,4.105e-5,4.105e-5,,
461.2,1.172e-5,1.172e-5,,
461.4,3.243e-6,3.243e-6,,
461.6,8.706e-7,8.706e-7,,
461.8,2.267e-7,2.267e-7,,
461.9,1.144e-7,1.144e-7,,
462.1,2.844e-8,2.844e-8,,
462.3,6.860e-9,6.860e-9,,
462.5,1.605e-9,1.605e-9,,
462.6,7.674e-10,7.674e-10,,
476.6,5.877e-10,5.877e-10,,
476.8,3.050e-9,3.050e-9,,
476.9,6.013e-9,6.013e-9,,
477.1,2.291e-8,2.291e-8,,
477.3,8.505e-8,8.505e-8,,
477.5,3.074e-7,3.074e-7,,
477.7,1.082e-6,1.082e-6,,
477.8,2.011e-6,2.011e-6,,
478,6.805e-6,6.805e-6,,
478.2,2.243e-5,2.243e-5,,
478.4,7.199e-5,7.199e-5,,
478.5,1.277e-4,1.277e-4,,
478.7,3.940e-4,3.940e-4,,
478.9,1.184e-3,1.184e-3,,
479.1,3.465e-3,3.465e-3,,
479.3,9.877e-3,9.877e-3,,
479.4,1.651e-2,1.651e-2,,
479.6,4.524e-2,4.524e-2,,
479.8,1.207e-1,1.207e-1,,
480,3.137e-1,3.137e-1,,
480.2,7.941e-1,7.941e-1,5.220e-13,
480.3,1.251e+0,1.251e+0,1.037e-12,
480.5,3.043e+0,3.043e+0,4.017e-12,
480.7,7.212e+0,7.212e+0,1.639e-11,
480.9,1.664e+1,1.664e+1,6.055e-11,
481,2.504e+1,2.504e+1,1.153e-10,
481.2,5.554e+1,5.554e+1,4.096e-10,
481.4,1.200e+2,1.200e+2,1.419e-9,
481.6,2.525e+2,2.525e+2,4.789e-9,
481.8,5.176e+2,5.176e+2,1.576e-8,
481.9,7.337e+2,7.337e+2,2.830e-8,
482.1,1.445e+3,1.445e+3,8.960e-8,
482.3,2.774e+3,2.774e+3,2.765e-7,
482.5,5.184e+3,5.184e+3,8.315e-7,
482.7,9.438e+3,9.438e+3,2.438e-6,
482.8,1.261e+4,1.261e+4,4.134e-6,
483,2.207e+4,2.207e+4,1.166e-5,
483.2,3.763e+4,3.763e+4,3.208e-5,
483.4,6.249e+4,6.249e+4,8.599e-5,
483.5,7.974e+4,7.974e+4,1.395e-4,
483.7,1.274e+5,1.274e+5,3.598e-4,
483.9,1.982e+5,1.982e+5,9.051e-4,
484.1,3.004e+5,3.004e+5,2.220e-3,
484.3,4.440e+5,4.440e+5,5.306e-3,
484.4,5.345e+5,5.345e+5,8.127e-3,
484.6,7.601e+5,7.601e+5,1.870e-2,
484.8,1.054e+6,1.054e+6,4.197e-2,
485,1.426e+6,1.426e+6,9.181e-2,
485.2,1.882e+6,1.882e+6,1.958e-1,
485.3,2.143e+6,2.143e+6,2.833e-1,
485.5,2.729e+6,2.729e+6,5.819e-1,
485.7,3.397e+6,3.397e+6,1.165e+0,
485.9,4.135e+6,4.135e+6,2.276e+0,
486.1,4.930e+6,4.930e+6,4.333e+0,
486.2,5.343e+6,5.343e+6,5.924e+0,
486.4,6.186e+6,6.186e+6,1.086e+1,
486.6,7.038e+6,7.038e+6,1.943e+1,
486.8,7.879e+6,7.879e+6,3.388e+1,
486.9,8.291e+6,8.291e+6,4.432e+1,
487.1,9.090e+6,9.090e+6,7.443e+1,
487.3,9.847e+6,9.847e+6,1.219e+2,
487.5,1.056e+7,1.055e+7,1.948e+2,
487.7,1.121e+7,1.121e+7,3.035e+2,
487.8,1.151e+7,1.151e+7,3.752e+2,
488,1.205e+7,1.205e+7,5.631e+2,
488.2,1.251e+7,1.251e+7,8.242e+2,
488.4,1.287e+7,1.287e+7,1.177e+3,
488.6,1.312e+7,1.312e+7,1.638e+3,
488.7,1.319e+7,1.319e+7,1.915e+3,
488.9,1.325e+7,1.325e+7,2.568e+3,
489.1,1.319e+7,1.319e+7,3.360e+3,
489.3,1.304e+7,1.303e+7,4.286e+3,
489.4,1.293e+7,1.293e+7,4.797e+3,
489.6,1.270e+7,1.270e+7,5.895e+3,
489.8,1.248e+7,1.248e+7,7.067e+3,
490,1.233e+7,1.232e+7,8.265e+3,
490.2,1.229e+7,1.228e+7,9.428e+3,
490.3,1.233e+7,1.232e+7,9.977e+3,
490.5,1.252e+7,1.251e+7,1.097e+4,
490.7,1.288e+7,1.287e+7,1.177e+4,
490.9,1.337e+7,1.335e+7,1.234e+4,
491.1,1.394e+7,1.393e+7,1.264e+4,
491.2,1.424e+7,1.422e+7,1.268e+4,
491.4,1.480e+7,1.479e+7,1.258e+4,
491.6,1.526e+7,1.525e+7,1.226e+4,
491.8,1.554e+7,1.553e+7,1.177e+4,
491.9,1.560e+7,1.559e+7,1.149e+4,
492.1,1.553e+7,1.552e+7,1.092e+4,
492.3,1.520e+7,1.519e+7,1.042e+4,
492.5,1.465e+7,1.464e+7,1.009e+4,
492.7,1.393e+7,1.392e+7,1.002e+4,
492.8,1.353e+7,1.352e+7,1.011e+4,
493,1.271e+7,1.270e+7,1.055e+4,
493.2,1.196e+7,1.195e+7,1.137e+4,
493.4,1.138e+7,1.137e+7,1.255e+4,
493.6,1.106e+7,1.105e+7,1.405e+4,
493.7,1.102e+7,1.100e+7,1.489e+4,
493.9,1.119e+7,1.117e+7,1.669e+4,
494.1,1.171e+7,1.170e+7,1.855e+4,
494.3,1.257e+7,1.255e+7,2.032e+4,
494.4,1.310e+7,1.308e+7,2.114e+4,
494.6,1.432e+7,1.429e+7,2.256e+4,
494.8,1.565e+7,1.562e+7,2.361e+4,
495,1.697e+7,1.694e+7,2.424e+4,
495.2,1.815e+7,1.812e+7,2.443e+4,
495.3,1.864e+7,1.862e+7,2.437e+4,
495.5,1.939e+7,1.937e+7,2.399e+4,
495.7,1.974e+7,1.972e+7,2.335e+4,
495.9,1.965e+7,1.963e+7,2.258e+4,
496.1,1.911e+7,1.908e+7,2.186e+4,
496.2,1.868e+7,1.865e+7,2.156e+4,
496.4,1.753e+7,1.751e+7,2.120e+4,
496.6,1.608e+7,1.606e+7,2.128e+4,
496.8,1.442e+7,1.440e+7,2.194e+4,7.564e-22
496.9,1.355e+7,1.353e+7,2.251e+4,2.436e-21
497.1,1.179e+7,1.177e+7,2.423e+4,9.102e-21
497.3,1.009e+7,1.006e+7,2.676e+4,3.319e-20
497.5,8.533e+6,8.503e+6,3.014e+4,1.182e-19
497.7,7.180e+6,7.146e+6,3.441e+4,4.105e-19
497.8,6.594e+6,6.557e+6,3.688e+4,7.581e-19
498,5.614e+6,5.572e+6,4.248e+4,2.540e-18
498.2,4.898e+6,4.849e+6,4.891e+4,8.303e-18
498.4,4.433e+6,4.377e+6,5.610e+4,2.649e-17
498.6,4.197e+6,4.133e+6,6.388e+4,8.251e-17
498.7,4.155e+6,4.087e+6,6.794e+4,1.443e-16
498.9,4.199e+6,4.123e+6,7.623e+4,4.333e-16
499.1,4.379e+6,4.294e+6,8.450e+4,1.270e-15
499.3,4.654e+6,4.561e+6,9.242e+4,3.633e-15
499.4,4.814e+6,4.718e+6,9.614e+4,6.088e-15
499.6,5.153e+6,5.050e+6,1.029e+5,1.679e-14
499.8,5.487e+6,5.378e+6,1.084e+5,4.521e-14
500,5.782e+6,5.669e+6,1.125e+5,1.188e-13
500.2,6.010e+6,5.895e+6,1.151e+5,3.046e-13
500.3,6.093e+6,5.977e+6,1.157e+5,4.833e-13
500.5,6.184e+6,6.068e+6,1.159e+5,1.195e-12
500.7,6.171e+6,6.056e+6,1.147e+5,2.884e-12
500.9,6.052e+6,5.939e+6,1.124e+5,6.793e-12
501.1,5.832e+6,5.723e+6,1.093e+5,1.562e-11
501.2,5.688e+6,5.580e+6,1.077e+5,2.346e-11
501.4,5.341e+6,5.237e+6,1.042e+5,5.201e-11
501.6,4.932e+6,4.831e+6,1.010e+5,1.125e-10
501.8,4.479e+6,4.380e+6,9.816e+4,2.376e-10
501.9,4.242e+6,4.145e+6,9.696e+4,3.421e-10
502.1,3.760e+6,3.665e+6,9.500e+4,6.966e-10
502.3,3.281e+6,3.188e+6,9.360e+4,1.384e-9
502.5,2.820e+6,2.728e+6,9.261e+4,2.685e-9
502.7,2.388e+6,2.296e+6,9.182e+4,5.082e-9
502.8,2.185e+6,2.094e+6,9.142e+4,6.929e-9
503,1.811e+6,1.720e+6,9.047e+4,1.265e-8
503.2,1.480e+6,1.391e+6,8.910e+4,2.253e-8
503.4,1.195e+6,1.108e+6,8.717e+4,3.917e-8
503.6,9.543e+5,8.698e+5,8.458e+4,6.648e-8
503.7,8.503e+5,7.672e+5,8.303e+4,8.581e-8
503.9,6.730e+5,5.935e+5,7.948e+4,1.404e-7
504.1,5.343e+5,4.589e+5,7.544e+4,2.242e-7
504.3,4.311e+5,3.600e+5,7.111e+4,3.495e-7
504.4,3.918e+5,3.229e+5,6.890e+4,4.324e-7
504.6,3.361e+5,2.716e+5,6.456e+4,6.500e-7
504.8,3.088e+5,2.482e+5,6.051e+4,9.534e-7
505,3.075e+5,2.505e+5,5.696e+4,1.365e-6
505.2,3.304e+5,2.763e+5,5.405e+4,1.908e-6
505.3,3.503e+5,2.974e+5,5.287e+4,2.235e-6
505.5,4.058e+5,3.548e+5,5.106e+4,3.011e-6
505.7,4.806e+5,4.306e+5,4.999e+4,3.961e-6
505.9,5.719e+5,5.223e+5,4.958e+4,5.084e-6
506.1,6.765e+5,6.268e+5,4.972e+4,6.371e-6
506.2,7.326e+5,6.826e+5,4.997e+4,7.068e-6
506.4,8.494e+5,7.987e+5,5.072e+4,8.541e-6
506.6,9.684e+5,9.167e+5,5.173e+4,1.008e-5
506.8,1.084e+6,1.032e+6,5.292e+4,1.161e-5
506.9,1.140e+6,1.086e+6,5.356e+4,1.235e-5
507.1,1.241e+6,1.186e+6,5.494e+4,1.372e-5
507.3,1.328e+6,1.272e+6,5.646e+4,1.489e-5
507.5,1.396e+6,1.338e+6,5.817e+4,1.579e-5
507.7,1.442e+6,1.382e+6,6.013e+4,1.637e-5
507.8,1.457e+6,1.396e+6,6.122e+4,1.653e-5
508,1.469e+6,1.405e+6,6.368e+4,1.657e-5
508.2,1.459e+6,1.393e+6,6.648e+4,1.628e-5
508.4,1.428e+6,1.358e+6,6.961e+4,1.568e-5
508.6,1.378e+6,1.305e+6,7.295e+4,1.484e-5
508.7,1.347e+6,1.272e+6,7.466e+4,1.435e-5
508.9,1.274e+6,1.196e+6,7.800e+4,1.330e-5
509.1,1.190e+6,1.109e+6,8.106e+4,1.221e-5
509.3,1.097e+6,1.014e+6,8.356e+4,1.116e-5
509.5,1.001e+6,9.154e+5,8.524e+4,1.021e-5
509.6,9.519e+5,8.662e+5,8.570e+4,9.783e-6
509.8,8.562e+5,7.704e+5,8.574e+4,9.056e-6
510,7.661e+5,6.816e+5,8.452e+4,8.498e-6
510.2,6.864e+5,6.044e+5,8.201e+4,8.102e-6
510.3,6.519e+5,5.716e+5,8.029e+4,7.958e-6
510.5,5.966e+5,5.206e+5,7.600e+4,7.762e-6
510.7,5.638e+5,4.931e+5,7.075e+4,7.660e-6
510.9,5.586e+5,4.937e+5,6.483e+4,7.618e-6
511.1,5.855e+5,5.270e+5,5.854e+4,7.604e-6
511.2,6.124e+5,5.570e+5,5.537e+4,7.599e-6
511.4,6.951e+5,6.459e+5,4.916e+4,7.582e-6
511.6,8.180e+5,7.746e+5,4.341e+4,7.544e-6
511.8,9.818e+5,9.434e+5,3.837e+4,7.478e-6
512,1.185e+6,1.150e+6,3.428e+4,7.384e-6
512.1,1.299e+6,1.267e+6,3.264e+4,7.327e-6
512.3,1.551e+6,1.521e+6,3.024e+4,7.196e-6
512.5,1.826e+6,1.797e+6,2.905e+4,7.050e-6
512.7,2.113e+6,2.084e+6,2.907e+4,6.894e-6
512.8,2.256e+6,2.227e+6,2.951e+4,6.813e-6
513,2.536e+6,2.505e+6,3.118e+4,6.649e-6
513.2,2.795e+6,2.761e+6,3.375e+4,6.481e-6
513.4,3.022e+6,2.985e+6,3.701e+4,6.307e-6
513.6,3.207e+6,3.166e+6,4.070e+4,6.125e-6
513.7,3.282e+6,3.240e+6,4.262e+4,6.029e-6
513.9,3.399e+6,3.352e+6,4.642e+4,5.824e-6
514.1,3.471e+6,3.421e+6,4.994e+4,5.598e-6
514.3,3.506e+6,3.453e+6,5.290e+4,5.345e-6
514.5,3.515e+6,3.460e+6,5.511e+4,5.063e-6
514.6,3.513e+6,3.458e+6,5.588e+4,4.911e-6
514.8,3.507e+6,3.451e+6,5.668e+4,4.583e-6
515,3.507e+6,3.450e+6,5.649e+4,4.227e-6
515.2,3.523e+6,3.467e+6,5.534e+4,3.849e-6
515.3,3.539e+6,3.484e+6,5.445e+4,3.653e-6
515.5,3.591e+6,3.539e+6,5.211e+4,3.254e-6
515.7,3.668e+6,3.619e+6,4.921e+4,2.853e-6
515.9,3.768e+6,3.722e+6,4.596e+4,2.459e-6
516.1,3.886e+6,3.843e+6,4.258e+4,2.083e-6
516.2,3.949e+6,3.908e+6,4.091e+4,1.904e-6
516.4,4.080e+6,4.042e+6,3.771e+4,1.568e-6
516.6,4.213e+6,4.178e+6,3.482e+4,1.267e-6
516.8,4.345e+6,4.312e+6,3.237e+4,1.004e-6
517,4.473e+6,4.443e+6,3.041e+4,7.811e-7
517.1,4.537e+6,4.507e+6,2.963e+4,6.846e-7
517.3,4.663e+6,4.635e+6,2.847e+4,5.208e-7
517.5,4.790e+6,4.762e+6,2.785e+4,3.942e-7
517.7,4.918e+6,4.890e+6,2.774e+4,3.032e-7
517.8,4.982e+6,4.954e+6,2.788e+4,2.707e-7
518,5.107e+6,5.079e+6,2.850e+4,2.320e-7
518.2,5.223e+6,5.194e+6,2.960e+4,2.313e-7
518.4,5.320e+6,5.289e+6,3.115e+4,2.763e-7
518.6,5.388e+6,5.355e+6,3.318e+4,3.816e-7
518.7,5.408e+6,5.374e+6,3.438e+4,4.643e-7
518.9,5.414e+6,5.377e+6,3.716e+4,7.119e-7
519.1,5.370e+6,5.330e+6,4.048e+4,1.113e-6
519.3,5.277e+6,5.233e+6,4.437e+4,1.742e-6
519.5,5.143e+6,5.094e+6,4.886e+4,2.706e-6
519.6,5.065e+6,5.014e+6,5.134e+4,3.360e-6
519.8,4.899e+6,4.843e+6,5.677e+4,5.132e-6
520,4.743e+6,4.680e+6,6.280e+4,7.732e-6
520.2,4.624e+6,4.555e+6,6.938e+4,1.148e-5
520.3,4.588e+6,4.515e+6,7.284e+4,1.390e-5
520.5,4.583e+6,4.502e+6,8.005e+4,2.014e-5
520.7,4.685e+6,4.598e+6,8.747e+4,2.870e-5
520.9,4.915e+6,4.820e+6,9.488e+4,4.018e-5
521.1,5.280e+6,5.178e+6,1.021e+5,5.524e-5
521.2,5.512e+6,5.407e+6,1.055e+5,6.433e-5
521.4,6.071e+6,5.959e+6,1.118e+5,8.602e-5
521.6,6.732e+6,6.615e+6,1.172e+5,1.128e-4
521.8,7.464e+6,7.342e+6,1.215e+5,1.452e-4
522,8.222e+6,8.097e+6,1.245e+5,1.832e-4
522.1,8.595e+6,8.470e+6,1.255e+5,2.042e-4
522.3,9.301e+6,9.174e+6,1.267e+5,2.500e-4
522.5,9.910e+6,9.784e+6,1.266e+5,2.999e-4
522.7,1.038e+7,1.025e+7,1.256e+5,3.525e-4
522.8,1.055e+7,1.043e+7,1.248e+5,3.792e-4
523,1.075e+7,1.063e+7,1.228e+5,4.322e-4
523.2,1.076e+7,1.064e+7,1.208e+5,4.825e-4
523.4,1.058e+7,1.046e+7,1.189e+5,5.277e-4
523.6,1.024e+7,1.012e+7,1.176e+5,5.654e-4
523.7,1.002e+7,9.898e+6,1.172e+5,5.808e-4
523.9,9.496e+6,9.379e+6,1.172e+5,6.036e-4
524.1,8.924e+6,8.806e+6,1.181e+5,6.150e-4
524.3,8.354e+6,8.234e+6,1.201e+5,6.146e-4
524.5,7.839e+6,7.716e+6,1.228e+5,6.032e-4
524.6,7.617e+6,7.493e+6,1.244e+5,5.938e-4
524.8,7.269e+6,7.142e+6,1.278e+5,5.689e-4
525,7.070e+6,6.939e+6,1.310e+5,5.379e-4
525.2,7.031e+6,6.898e+6,1.337e+5,5.039e-4
525.3,7.072e+6,6.937e+6,1.348e+5,4.867e-4
525.5,7.262e+6,7.126e+6,1.358e+5,4.538e-4
525.7,7.574e+6,7.439e+6,1.354e+5,4.251e-4
525.9,7.969e+6,7.836e+6,1.333e+5,4.027e-4
526.1,8.402e+6,8.273e+6,1.293e+5,3.882e-4
526.2,8.617e+6,8.490e+6,1.266e+5,3.841e-4
526.4,9.013e+6,8.893e+6,1.201e+5,3.823e-4
526.6,9.327e+6,9.215e+6,1.123e+5,3.883e-4
526.8,9.523e+6,9.420e+6,1.034e+5,4.009e-4
527,9.574e+6,9.480e+6,9.393e+4,4.184e-4
527.1,9.540e+6,9.451e+6,8.912e+4,4.283e-4
527.3,9.352e+6,9.273e+6,7.962e+4,4.492e-4
527.5,9.010e+6,8.940e+6,7.060e+4,4.698e-4
527.7,8.530e+6,8.468e+6,6.236e+4,4.883e-4
527.8,8.246e+6,8.188e+6,5.860e+4,4.963e-4
528,7.610e+6,7.558e+6,5.193e+4,5.091e-4
528.2,6.909e+6,6.863e+6,4.640e+4,5.172e-4
528.4,6.180e+6,6.138e+6,4.200e+4,5.202e-4
528.6,5.455e+6,5.416e+6,3.865e+4,5.183e-4
528.7,5.104e+6,5.066e+6,3.732e+4,5.156e-4
528.9,4.442e+6,4.407e+6,3.526e+4,5.071e-4
529.1,3.853e+6,3.819e+6,3.385e+4,4.949e-4
529.3,3.358e+6,3.325e+6,3.293e+4,4.795e-4
529.5,2.971e+6,2.939e+6,3.234e+4,4.614e-4
529.6,2.822e+6,2.790e+6,3.213e+4,4.514e-4
529.8,2.617e+6,2.585e+6,3.182e+4,4.296e-4
530,2.539e+6,2.508e+6,3.160e+4,4.057e-4
530.2,2.589e+6,2.558e+6,3.140e+4,3.798e-4
530.4,2.762e+6,2.731e+6,3.120e+4,3.519e-4
530.5,2.892e+6,2.861e+6,3.109e+4,3.374e-4
530.7,3.231e+6,3.200e+6,3.083e+4,3.074e-4
530.9,3.658e+6,3.628e+6,3.053e+4,2.764e-4
531.1,4.152e+6,4.122e+6,3.018e+4,2.450e-4
531.2,4.416e+6,4.386e+6,2.998e+4,2.294e-4
531.4,4.956e+6,4.926e+6,2.956e+4,1.987e-4
531.6,5.486e+6,5.457e+6,2.912e+4,1.693e-4
531.8,5.975e+6,5.946e+6,2.865e+4,1.419e-4
532,6.389e+6,6.361e+6,2.820e+4,1.169e-4
532.1,6.561e+6,6.533e+6,2.798e+4,1.054e-4
532.3,6.819e+6,6.791e+6,2.757e+4,8.464e-5
532.5,6.953e+6,6.926e+6,2.721e+4,6.682e-5
532.7,6.959e+6,6.932e+6,2.692e+4,5.191e-5
532.9,6.846e+6,6.819e+6,2.668e+4,3.973e-5
533,6.750e+6,6.723e+6,2.657e+4,3.457e-5
533.2,6.496e+6,6.470e+6,2.638e+4,2.595e-5
533.4,6.190e+6,6.163e+6,2.619e+4,1.929e-5
533.6,5.870e+6,5.844e+6,2.596e+4,1.426e-5
533.7,5.720e+6,5.694e+6,2.582e+4,1.226e-5
533.9,5.465e+6,5.440e+6,2.547e+4,9.097e-6
534.1,5.308e+6,5.283e+6,2.502e+4,6.853e-6
534.3,5.288e+6,5.263e+6,2.446e+4,5.311e-6
534.5,5.435e+6,5.411e+6,2.380e+4,4.299e-6
534.6,5.578e+6,5.555e+6,2.344e+4,3.948e-6
534.8,6.011e+6,5.989e+6,2.268e+4,3.488e-6
535,6.640e+6,6.618e+6,2.189e+4,3.278e-6
535.2,7.453e+6,7.432e+6,2.113e+4,3.249e-6
535.4,8.426e+6,8.406e+6,2.043e+4,3.344e-6
535.5,8.962e+6,8.942e+6,2.013e+4,3.424e-6
535.7,1.010e+7,1.008e+7,1.961e+4,3.625e-6
535.9,1.130e+7,1.128e+7,1.925e+4,3.852e-6
536.1,1.249e+7,1.247e+7,1.909e+4,4.077e-6
536.2,1.307e+7,1.305e+7,1.908e+4,4.180e-6
536.4,1.416e+7,1.414e+7,1.925e+4,4.356e-6
