Wavelength (nm),Sum,Fe I (1.5e-01),Fe II (8.5e-01),Fe III (1.1e-04)
358.7,3.474e+8,3.474e+8,,
358.9,3.043e+8,3.043e+8,2.160e-12,
359,2.831e+8,2.831e+8,5.333e-12,
359.2,2.438e+8,2.438e+8,3.139e-11,
359.4,2.117e+8,2.117e+8,1.763e-10,
359.6,1.891e+8,1.891e+8,9.451e-10,
359.8,1.767e+8,1.767e+8,4.835e-9,
359.9,1.742e+8,1.742e+8,1.075e-8,
360.1,1.758e+8,1.758e+8,5.128e-8,
360.3,1.841e+8,1.841e+8,2.335e-7,
360.5,1.965e+8,1.965e+8,1.015e-6,
360.7,2.103e+8,2.103e+8,4.209e-6,
360.8,2.171e+8,2.171e+8,8.423e-6,
361,2.293e+8,2.293e+8,3.258e-5,
361.2,2.386e+8,2.386e+8,1.202e-4,
361.4,2.446e+8,2.446e+8,4.236e-4,
361.5,2.462e+8,2.462e+8,7.814e-4,
361.7,2.470e+8,2.470e+8,2.567e-3,
361.9,2.447e+8,2.447e+8,8.048e-3,
362.1,2.400e+8,2.400e+8,2.408e-2,
362.3,2.333e+8,2.333e+8,6.878e-2,
362.4,2.293e+8,2.293e+8,1.142e-1,
362.6,2.203e+8,2.203e+8,3.042e-1,
362.8,2.104e+8,2.104e+8,7.732e-1,
363,1.999e+8,1.999e+8,1.876e+0,
363.2,1.892e+8,1.892e+8,4.343e+0,
363.3,1.839e+8,1.839e+8,6.494e+0,
363.5,1.739e+8,1.739e+8,1.402e+1,
363.7,1.648e+8,1.648e+8,2.889e+1,
363.9,1.569e+8,1.569e+8,5.681e+1,
364,1.534e+8,1.534e+8,7.828e+1,
364.2,1.470e+8,1.470e+8,1.436e+2,
364.4,1.410e+8,1.410e+8,2.512e+2,
364.6,1.345e+8,1.345e+8,4.197e+2,
364.8,1.270e+8,1.270e+8,6.691e+2,
364.9,1.226e+8,1.226e+8,8.301e+2,
365.1,1.126e+8,1.126e+8,1.234e+3,
365.3,1.009e+8,1.009e+8,1.751e+3,
365.5,8.814e+7,8.814e+7,2.371e+3,
365.7,7.517e+7,7.517e+7,3.064e+3,
365.8,6.892e+7,6.891e+7,3.423e+3,
366,5.746e+7,5.746e+7,4.125e+3,
366.2,4.807e+7,4.806e+7,4.745e+3,
366.4,4.129e+7,4.128e+7,5.209e+3,
366.5,3.896e+7,3.895e+7,5.363e+3,
366.7,3.645e+7,3.644e+7,5.490e+3,
