Wavelength (nm),Sum(calc),Li I (4.0e-2),Li II (9.6e-1),Li III (5.9e-34)
315.534,1.380e-28,1.467e-23,1.380e-28,1.518e-108
315.539,1.334e-28,1.468e-23,1.334e-28,1.518e-108
315.544,1.230e-28,1.468e-23,1.230e-28,1.519e-108
315.549,1.082e-28,1.468e-23,1.082e-28,1.519e-108
315.554,9.068e-29,1.468e-23,9.068e-29,1.519e-108
315.56,6.889e-29,1.468e-23,6.889e-29,1.520e-108
315.565,5.197e-29,1.469e-23,5.197e-29,1.520e-108
315.57,3.737e-29,1.469e-23,3.737e-29,1.520e-108
315.575,2.560e-29,1.469e-23,2.560e-29,1.521e-108
315.58,1.671e-29,1.469e-23,1.671e-29,1.521e-108
315.585,1.039e-29,1.469e-23,1.039e-29,1.521e-108
315.59,6.157e-30,1.469e-23,6.157e-30,1.521e-108
315.596,3.080e-30,1.470e-23,3.080e-30,1.522e-108
315.601,1.639e-30,1.470e-23,1.639e-30,1.522e-108
315.606,8.303e-31,1.470e-23,8.303e-31,1.522e-108
315.611,4.005e-31,1.470e-23,4.005e-31,1.523e-108
315.616,1.839e-31,1.470e-23,1.839e-31,1.523e-108
315.621,8.040e-32,1.471e-23,8.040e-32,1.523e-108
315.627,2.791e-32,1.471e-23,2.791e-32,1.524e-108
315.632,1.094e-32,1.471e-23,1.094e-32,1.524e-108
315.637,4.084e-33,1.471e-23,4.084e-33,1.524e-108
315.642,1.450e-33,1.471e-23,1.450e-33,1.525e-108
315.647,4.901e-34,1.471e-23,4.901e-34,1.525e-108
315.652,1.576e-34,1.472e-23,1.576e-34,1.525e-108
315.658,3.782e-35,1.472e-23,3.782e-35,1.526e-108
315.663,1.090e-35,1.472e-23,1.090e-35,1.526e-108
315.668,2.988e-36,1.472e-23,2.988e-36,1.526e-108
315.673,7.795e-37,1.472e-23,7.795e-37,1.527e-108
315.678,1.934e-37,1.473e-23,1.934e-37,1.527e-108
315.683,4.566e-38,1.473e-23,4.566e-38,1.527e-108
315.689,7.559e-39,1.473e-23,7.559e-39,1.528e-108
315.694,1.599e-39,1.473e-23,1.599e-39,1.528e-108
315.699,3.216e-40,1.473e-23,3.216e-40,1.528e-108
315.704,6.152e-41,1.474e-23,6.152e-41,1.529e-108
315.709,1.120e-41,1.474e-23,1.120e-41,1.529e-108
315.714,1.938e-42,1.474e-23,1.938e-42,1.529e-108
315.719,3.191e-43,1.474e-23,3.191e-43,1.530e-108
315.725,3.428e-44,1.474e-23,3.428e-44,1.530e-108
315.73,5.055e-45,1.474e-23,5.055e-45,1.530e-108
315.735,7.090e-46,1.475e-23,7.090e-46,1.531e-108
315.74,9.457e-47,1.475e-23,9.457e-47,1.531e-108
315.745,1.200e-47,1.475e-23,1.200e-47,1.531e-108
315.75,1.448e-48,1.475e-23,1.448e-48,1.532e-108
315.756,1.071e-49,1.475e-23,1.071e-49,1.532e-108
315.761,1.157e-50,1.476e-23,1.157e-50,1.532e-108
315.766,1.189e-51,1.476e-23,1.189e-51,1.533e-108
315.771,1.162e-52,1.476e-23,1.162e-52,1.533e-108
315.776,1.080e-53,1.476e-23,1.080e-53,1.533e-108
315.781,9.528e-55,1.476e-23,9.528e-55,1.534e-108
315.787,4.854e-56,1.476e-23,4.854e-56,1.534e-108
319.363,3.767e-57,1.604e-23,3.767e-57,1.762e-108
319.368,4.638e-56,1.604e-23,4.638e-56,1.763e-108
319.373,5.439e-55,1.604e-23,5.439e-55,1.763e-108
319.378,6.287e-54,1.604e-23,6.287e-54,1.763e-108
319.383,6.730e-53,1.605e-23,6.730e-53,1.764e-108
319.389,1.082e-51,1.605e-23,1.082e-51,1.764e-108
319.394,1.038e-50,1.605e-23,1.038e-50,1.764e-108
319.399,9.492e-50,1.605e-23,9.492e-50,1.765e-108
319.404,8.267e-49,1.605e-23,8.267e-49,1.765e-108
319.409,6.861e-48,1.605e-23,6.861e-48,1.765e-108
319.414,5.426e-47,1.606e-23,5.426e-47,1.766e-108
319.42,6.089e-46,1.606e-23,6.089e-46,1.766e-108
319.425,4.332e-45,1.606e-23,4.332e-45,1.766e-108
319.43,2.937e-44,1.606e-23,2.937e-44,1.767e-108
319.435,1.899e-43,1.606e-23,1.899e-43,1.767e-108
319.44,1.170e-42,1.607e-23,1.170e-42,1.767e-108
319.445,6.874e-42,1.607e-23,6.874e-42,1.768e-108
319.451,5.405e-41,1.607e-23,5.405e-41,1.768e-108
319.456,2.861e-40,1.607e-23,2.861e-40,1.768e-108
319.461,1.444e-39,1.607e-23,1.444e-39,1.769e-108
319.466,6.957e-39,1.607e-23,6.957e-39,1.769e-108
319.471,3.197e-38,1.608e-23,3.197e-38,1.769e-108
319.476,1.402e-37,1.608e-23,1.402e-37,1.770e-108
319.481,5.870e-37,1.608e-23,5.870e-37,1.770e-108
319.487,3.078e-36,1.608e-23,3.078e-36,1.770e-108
319.492,1.164e-35,1.608e-23,1.164e-35,1.771e-108
319.497,4.203e-35,1.609e-23,4.203e-35,1.771e-108
319.502,1.450e-34,1.609e-23,1.450e-34,1.771e-108
319.507,4.778e-34,1.609e-23,4.778e-34,1.772e-108
319.512,1.505e-33,1.609e-23,1.505e-33,1.772e-108
319.518,5.617e-33,1.609e-23,5.617e-33,1.772e-108
319.523,1.602e-32,1.610e-23,1.602e-32,1.773e-108
319.528,4.367e-32,1.610e-23,4.367e-32,1.773e-108
319.533,1.138e-31,1.610e-23,1.138e-31,1.773e-108
319.538,2.838e-31,1.610e-23,2.838e-31,1.774e-108
319.543,6.767e-31,1.610e-23,6.767e-31,1.774e-108
319.549,1.810e-30,1.610e-23,1.810e-30,1.774e-108
319.554,3.913e-30,1.611e-23,3.913e-30,1.775e-108
319.559,8.091e-30,1.611e-23,8.091e-30,1.775e-108
319.564,1.600e-29,1.611e-23,1.600e-29,1.775e-108
319.569,3.026e-29,1.611e-23,3.026e-29,1.776e-108
319.574,5.474e-29,1.611e-23,5.474e-29,1.776e-108
319.58,1.051e-28,1.612e-23,1.051e-28,1.776e-108
319.585,1.722e-28,1.612e-23,1.722e-28,1.777e-108
319.59,2.699e-28,1.612e-23,2.699e-28,1.777e-108
319.595,4.042e-28,1.612e-23,4.042e-28,1.777e-108
319.6,5.788e-28,1.612e-23,5.788e-28,1.778e-108
319.605,7.919e-28,1.612e-23,7.919e-28,1.778e-108
319.611,1.086e-27,1.613e-23,1.086e-27,1.778e-108
319.616,1.345e-27,1.613e-23,1.345e-27,1.779e-108
319.621,1.590e-27,1.613e-23,1.590e-27,1.779e-108
319.626,1.796e-27,1.613e-23,1.796e-27,1.779e-108
319.631,1.938e-27,1.613e-23,1.938e-27,1.780e-108
319.636,1.996e-27,1.614e-23,1.996e-27,1.780e-108
319.641,1.963e-27,1.614e-23,1.963e-27,1.780e-108
319.647,1.810e-27,1.614e-23,1.810e-27,1.781e-108
319.652,1.608e-27,1.614e-23,1.608e-27,1.781e-108
319.657,1.363e-27,1.614e-23,1.363e-27,1.781e-108
319.662,1.103e-27,1.614e-23,1.103e-27,1.782e-108
319.667,8.520e-28,1.615e-23,8.520e-28,1.782e-108
319.672,6.280e-28,1.615e-23,6.280e-28,1.782e-108
319.678,4.093e-28,1.615e-23,4.093e-28,1.783e-108
319.683,2.721e-28,1.615e-23,2.721e-28,1.783e-108
319.688,1.726e-28,1.615e-23,1.726e-28,1.783e-108
319.693,1.045e-28,1.616e-23,1.045e-28,1.784e-108
319.698,6.031e-29,1.616e-23,6.031e-29,1.784e-108
319.703,3.322e-29,1.616e-23,3.322e-29,1.784e-108
319.709,1.526e-29,1.616e-23,1.526e-29,1.785e-108
319.714,7.573e-30,1.616e-23,7.573e-30,1.785e-108
319.719,3.585e-30,1.617e-23,3.585e-30,1.785e-108
319.724,1.619e-30,1.617e-23,1.619e-30,1.786e-108
319.729,6.973e-31,1.617e-23,6.973e-31,1.786e-108
319.734,2.864e-31,1.617e-23,2.864e-31,1.786e-108
319.74,9.245e-32,1.617e-23,9.245e-32,1.787e-108
319.745,3.420e-32,1.617e-23,3.420e-32,1.787e-108
319.75,1.206e-32,1.618e-23,1.206e-32,1.787e-108
319.755,4.057e-33,1.618e-23,4.057e-33,1.788e-108
319.76,1.301e-33,1.618e-23,1.301e-33,1.788e-108
319.765,3.977e-34,1.618e-23,3.977e-34,1.788e-108
319.77,1.159e-34,1.618e-23,1.159e-34,1.788e-108
319.776,2.480e-35,1.619e-23,2.480e-35,1.789e-108
319.781,6.588e-36,1.619e-23,6.588e-36,1.789e-108
319.786,2.002e-36,1.619e-23,2.002e-36,1.789e-108
319.791,1.935e-36,1.619e-23,1.935e-36,1.790e-108
319.796,6.145e-36,1.619e-23,6.145e-36,1.790e-108
319.801,2.259e-35,1.619e-23,2.259e-35,1.790e-108
319.807,1.027e-34,1.620e-23,1.027e-34,1.791e-108
319.812,3.437e-34,1.620e-23,3.437e-34,1.791e-108
319.817,1.096e-33,1.620e-23,1.096e-33,1.791e-108
319.822,3.331e-33,1.620e-23,3.331e-33,1.792e-108
319.827,9.641e-33,1.620e-23,9.641e-33,1.792e-108
319.832,2.658e-32,1.621e-23,2.658e-32,1.792e-108
319.838,8.417e-32,1.621e-23,8.417e-32,1.793e-108
319.843,2.085e-31,1.621e-23,2.085e-31,1.793e-108
319.848,4.922e-31,1.621e-23,4.922e-31,1.793e-108
319.853,1.107e-30,1.621e-23,1.107e-30,1.794e-108
319.858,2.371e-30,1.621e-23,2.371e-30,1.794e-108
319.863,4.840e-30,1.622e-23,4.840e-30,1.794e-108
319.869,1.069e-29,1.622e-23,1.069e-29,1.795e-108
319.874,1.962e-29,1.622e-23,1.962e-29,1.795e-108
319.879,3.431e-29,1.622e-23,3.431e-29,1.795e-108
319.884,5.718e-29,1.622e-23,5.718e-29,1.796e-108
319.889,9.081e-29,1.623e-23,9.081e-29,1.796e-108
319.894,1.375e-28,1.623e-23,1.375e-28,1.796e-108
319.9,2.122e-28,1.623e-23,2.122e-28,1.797e-108
319.905,2.890e-28,1.623e-23,2.890e-28,1.797e-108
319.91,3.753e-28,1.623e-23,3.753e-28,1.797e-108
319.915,4.646e-28,1.623e-23,4.646e-28,1.798e-108
319.92,5.483e-28,1.624e-23,5.483e-28,1.798e-108
319.925,6.170e-28,1.624e-23,6.170e-28,1.798e-108
319.93,6.621e-28,1.624e-23,6.621e-28,1.799e-108
319.936,6.769e-28,1.624e-23,6.769e-28,1.799e-108
319.941,6.545e-28,1.624e-23,6.545e-28,1.799e-108
319.946,6.036e-28,1.625e-23,6.036e-28,1.800e-108
319.951,5.310e-28,1.625e-23,5.310e-28,1.800e-108
319.956,4.457e-28,1.625e-23,4.457e-28,1.800e-108
319.961,3.569e-28,1.625e-23,3.569e-28,1.801e-108
319.967,2.570e-28,1.625e-23,2.570e-28,1.801e-108
319.972,1.856e-28,1.626e-23,1.856e-28,1.801e-108
319.977,1.280e-28,1.626e-23,1.280e-28,1.802e-108
319.982,8.420e-29,1.626e-23,8.420e-29,1.802e-108
319.987,5.288e-29,1.626e-23,5.288e-29,1.802e-108
319.992,3.170e-29,1.626e-23,3.170e-29,1.803e-108
319.998,1.613e-29,1.626e-23,1.613e-29,1.803e-108
320.003,8.728e-30,1.627e-23,8.728e-30,1.803e-108
320.008,4.509e-30,1.627e-23,4.509e-30,1.804e-108
320.013,2.223e-30,1.627e-23,2.223e-30,1.804e-108
320.018,1.047e-30,1.627e-23,1.047e-30,1.804e-108
320.023,4.703e-31,1.627e-23,4.703e-31,1.805e-108
320.029,1.694e-31,1.628e-23,1.694e-31,1.805e-108
320.034,6.870e-32,1.628e-23,6.870e-32,1.805e-108
320.039,2.660e-32,1.628e-23,2.660e-32,1.806e-108
320.044,9.827e-33,1.628e-23,9.827e-33,1.806e-108
320.049,3.465e-33,1.628e-23,3.465e-33,1.806e-108
320.054,1.166e-33,1.628e-23,1.166e-33,1.807e-108
320.059,3.744e-34,1.629e-23,3.744e-34,1.807e-108
320.065,9.003e-35,1.629e-23,9.003e-35,1.807e-108
320.07,2.607e-35,1.629e-23,2.607e-35,1.808e-108
320.075,7.200e-36,1.629e-23,7.200e-36,1.808e-108
320.08,1.897e-36,1.629e-23,1.897e-36,1.808e-108
320.085,4.766e-37,1.630e-23,4.766e-37,1.809e-108
320.09,1.142e-37,1.630e-23,1.142e-37,1.809e-108
320.096,1.932e-38,1.630e-23,1.932e-38,1.809e-108
320.101,4.169e-39,1.630e-23,4.169e-39,1.810e-108
320.106,8.578e-40,1.630e-23,8.578e-40,1.810e-108
320.111,1.683e-40,1.630e-23,1.683e-40,1.810e-108
320.116,3.147e-41,1.631e-23,3.147e-41,1.811e-108
320.121,5.610e-42,1.631e-23,5.610e-42,1.811e-108
320.127,6.648e-43,1.631e-23,6.648e-43,1.811e-108
320.132,1.066e-43,1.631e-23,1.066e-43,1.812e-108
320.137,1.629e-44,1.631e-23,1.629e-44,1.812e-108
320.142,2.373e-45,1.632e-23,2.373e-45,1.812e-108
320.147,3.294e-46,1.632e-23,3.294e-46,1.813e-108
320.152,4.356e-47,1.632e-23,4.356e-47,1.813e-108
320.158,3.606e-48,1.632e-23,3.606e-48,1.813e-108
320.163,4.288e-49,1.632e-23,4.288e-49,1.814e-108
320.168,4.857e-50,1.633e-23,4.857e-50,1.814e-108
320.173,5.242e-51,1.633e-23,5.242e-51,1.814e-108
320.178,5.389e-52,1.633e-23,5.389e-52,1.815e-108
320.183,5.278e-53,1.633e-23,5.278e-53,1.815e-108
320.188,4.925e-54,1.633e-23,4.925e-54,1.815e-108
320.194,2.613e-55,1.633e-23,2.613e-55,1.816e-108
320.199,2.196e-56,1.634e-23,2.196e-56,1.816e-108
324.725,2.113e-56,1.795e-23,2.113e-56,2.105e-108
324.73,2.466e-55,1.795e-23,2.466e-55,2.105e-108
324.735,2.745e-54,1.795e-23,2.745e-54,2.106e-108
324.74,2.914e-53,1.795e-23,2.914e-53,2.106e-108
324.745,2.950e-52,1.796e-23,2.950e-52,2.106e-108
324.75,2.849e-51,1.796e-23,2.849e-51,2.107e-108
324.756,4.067e-50,1.796e-23,4.067e-50,2.107e-108
324.761,3.539e-49,1.796e-23,3.539e-49,2.107e-108
324.766,2.937e-48,1.796e-23,2.937e-48,2.108e-108
324.771,2.325e-47,1.796e-23,2.325e-47,2.108e-108
324.776,1.755e-46,1.797e-23,1.755e-46,2.108e-108
324.781,1.264e-45,1.797e-23,1.264e-45,2.109e-108
324.786,8.679e-45,1.797e-23,8.679e-45,2.109e-108
324.792,8.231e-44,1.797e-23,8.231e-44,2.109e-108
324.797,5.094e-43,1.797e-23,5.094e-43,2.110e-108
324.802,3.006e-42,1.798e-23,3.006e-42,2.110e-108
324.807,1.692e-41,1.798e-23,1.692e-41,2.110e-108
324.812,9.086e-41,1.798e-23,9.086e-41,2.111e-108
324.817,4.652e-40,1.798e-23,4.652e-40,2.111e-108
324.823,3.103e-39,1.798e-23,3.103e-39,2.111e-108
324.828,1.432e-38,1.798e-23,1.432e-38,2.112e-108
324.833,6.300e-38,1.799e-23,6.300e-38,2.112e-108
324.838,2.644e-37,1.799e-23,2.644e-37,2.112e-108
324.843,1.059e-36,1.799e-23,1.059e-36,2.113e-108
324.848,4.042e-36,1.799e-23,4.042e-36,2.113e-108
324.854,1.895e-35,1.799e-23,1.895e-35,2.113e-108
324.859,6.520e-35,1.800e-23,6.520e-35,2.114e-108
324.864,2.139e-34,1.800e-23,2.139e-34,2.114e-108
324.869,6.696e-34,1.800e-23,6.696e-34,2.114e-108
324.874,1.999e-33,1.800e-23,1.999e-33,2.114e-108
324.879,5.690e-33,1.800e-23,5.690e-33,2.115e-108
324.885,1.876e-32,1.801e-23,1.876e-32,2.115e-108
324.89,4.812e-32,1.801e-23,4.812e-32,2.116e-108
324.895,1.177e-31,1.801e-23,1.177e-31,2.116e-108
324.9,2.748e-31,1.801e-23,2.748e-31,2.116e-108
324.905,6.116e-31,1.801e-23,6.116e-31,2.116e-108
324.91,1.298e-30,1.801e-23,1.298e-30,2.117e-108
324.916,3.009e-30,1.802e-23,3.009e-30,2.117e-108
324.921,5.757e-30,1.802e-23,5.757e-30,2.117e-108
324.926,1.050e-29,1.802e-23,1.050e-29,2.118e-108
324.931,1.827e-29,1.802e-23,1.827e-29,2.118e-108
324.936,3.033e-29,1.802e-23,3.033e-29,2.118e-108
324.941,4.800e-29,1.803e-23,4.800e-29,2.119e-108
324.946,7.246e-29,1.803e-23,7.246e-29,2.119e-108
324.952,1.116e-28,1.803e-23,1.116e-28,2.119e-108
324.957,1.518e-28,1.803e-23,1.518e-28,2.120e-108
324.962,1.969e-28,1.803e-23,1.969e-28,2.120e-108
324.967,2.437e-28,1.803e-23,2.437e-28,2.120e-108
324.972,2.876e-28,1.804e-23,2.876e-28,2.121e-108
324.977,3.238e-28,1.804e-23,3.238e-28,2.121e-108
324.983,3.506e-28,1.804e-23,3.506e-28,2.121e-108
324.988,3.556e-28,1.804e-23,3.556e-28,2.122e-108
324.993,3.440e-28,1.804e-23,3.440e-28,2.122e-108
324.998,3.174e-28,1.805e-23,3.174e-28,2.122e-108
325.003,2.793e-28,1.805e-23,2.793e-28,2.123e-108
325.008,2.344e-28,1.805e-23,2.344e-28,2.123e-108
325.014,1.785e-28,1.805e-23,1.785e-28,2.123e-108
325.019,1.350e-28,1.805e-23,1.350e-28,2.124e-108
325.024,9.737e-29,1.805e-23,9.737e-29,2.124e-108
325.029,6.699e-29,1.806e-23,6.699e-29,2.124e-108
325.034,4.395e-29,1.806e-23,4.395e-29,2.125e-108
325.039,2.751e-29,1.806e-23,2.751e-29,2.125e-108
325.045,1.473e-29,1.806e-23,1.473e-29,2.125e-108
325.05,8.304e-30,1.806e-23,8.304e-30,2.126e-108
325.055,4.466e-30,1.807e-23,4.466e-30,2.126e-108
325.06,2.291e-30,1.807e-23,2.291e-30,2.126e-108
325.065,1.121e-30,1.807e-23,1.121e-30,2.127e-108
325.07,5.231e-31,1.807e-23,5.231e-31,2.127e-108
325.075,2.328e-31,1.807e-23,2.328e-31,2.127e-108
325.081,8.279e-32,1.807e-23,8.279e-32,2.128e-108
325.086,3.320e-32,1.808e-23,3.320e-32,2.128e-108
325.091,1.270e-32,1.808e-23,1.270e-32,2.128e-108
325.096,4.633e-33,1.808e-23,4.633e-33,2.129e-108
325.101,1.612e-33,1.808e-23,1.612e-33,2.129e-108
325.106,5.350e-34,1.808e-23,5.350e-34,2.129e-108
325.112,1.338e-34,1.809e-23,1.338e-34,2.130e-108
325.117,4.000e-35,1.809e-23,4.000e-35,2.130e-108
325.122,1.141e-35,1.809e-23,1.141e-35,2.130e-108
325.127,3.103e-36,1.809e-23,3.103e-36,2.131e-108
325.132,8.051e-37,1.809e-23,8.051e-37,2.131e-108
325.137,1.992e-37,1.809e-23,1.992e-37,2.131e-108
325.143,3.503e-38,1.810e-23,3.503e-38,2.132e-108
325.148,7.810e-39,1.810e-23,7.810e-39,2.132e-108
325.153,1.661e-39,1.810e-23,1.661e-39,2.132e-108
325.158,3.369e-40,1.810e-23,3.369e-40,2.133e-108
325.163,6.517e-41,1.810e-23,6.517e-41,2.133e-108
325.168,1.202e-41,1.811e-23,1.202e-41,2.133e-108
325.174,1.486e-42,1.811e-23,1.486e-42,2.134e-108
325.179,2.471e-43,1.811e-23,2.471e-43,2.134e-108
325.184,3.918e-44,1.811e-23,3.918e-44,2.134e-108
325.189,5.926e-45,1.811e-23,5.926e-45,2.135e-108
325.194,8.548e-46,1.812e-23,8.548e-46,2.135e-108
325.199,1.176e-46,1.812e-23,1.176e-46,2.135e-108
325.204,1.543e-47,1.812e-23,1.543e-47,2.136e-108
325.21,1.267e-48,1.812e-23,1.267e-48,2.136e-108
325.215,1.498e-49,1.812e-23,1.498e-49,2.136e-108
325.22,1.689e-50,1.812e-23,1.689e-50,2.137e-108
325.225,1.817e-51,1.813e-23,1.817e-51,2.137e-108
325.23,1.864e-52,1.813e-23,1.864e-52,2.137e-108
325.235,1.824e-53,1.813e-23,1.824e-53,2.138e-108
325.241,1.053e-54,1.813e-23,1.053e-54,2.138e-108
325.246,9.282e-56,1.813e-23,9.282e-56,2.138e-108
330.365,1.176e-56,1.996e-23,1.176e-56,2.465e-108
330.37,1.275e-55,1.996e-23,1.275e-55,2.466e-108
330.375,1.320e-54,1.996e-23,1.320e-54,2.466e-108
330.38,1.305e-53,1.996e-23,1.305e-53,2.466e-108
330.386,1.922e-52,1.996e-23,1.922e-52,2.467e-108
330.391,1.719e-51,1.997e-23,1.719e-51,2.467e-108
330.396,1.469e-50,1.997e-23,1.469e-50,2.467e-108
330.401,1.199e-49,1.997e-23,1.199e-49,2.468e-108
330.406,9.345e-49,1.997e-23,9.345e-49,2.468e-108
330.411,6.960e-48,1.997e-23,6.960e-48,2.468e-108
330.417,7.292e-47,1.998e-23,7.292e-47,2.469e-108
330.422,4.911e-46,1.998e-23,4.911e-46,2.469e-108
330.427,3.160e-45,1.998e-23,3.160e-45,2.469e-108
330.432,1.942e-44,1.998e-23,1.942e-44,2.470e-108
330.437,1.140e-43,1.998e-23,1.140e-43,2.470e-108
330.442,6.396e-43,1.998e-23,6.396e-43,2.470e-108
330.448,4.768e-42,1.999e-23,4.768e-42,2.471e-108
330.453,2.419e-41,1.999e-23,2.419e-41,2.471e-108
330.458,1.172e-40,1.999e-23,1.172e-40,2.471e-108
330.463,5.424e-40,1.999e-23,5.424e-40,2.471e-108
330.468,2.398e-39,1.999e-23,2.398e-39,2.472e-108
330.473,1.013e-38,2.000e-23,1.013e-38,2.472e-108
330.479,5.374e-38,2.000e-23,5.374e-38,2.473e-108
330.484,2.053e-37,2.000e-23,2.053e-37,2.473e-108
330.489,7.490e-37,2.000e-23,7.490e-37,2.473e-108
330.494,2.611e-36,2.000e-23,2.611e-36,2.473e-108
330.499,8.694e-36,2.000e-23,8.694e-36,2.474e-108
330.504,2.765e-35,2.001e-23,2.765e-35,2.474e-108
330.509,8.404e-35,2.001e-23,8.404e-35,2.474e-108
330.515,3.003e-34,2.001e-23,3.003e-34,2.475e-108
330.52,8.251e-34,2.001e-23,8.251e-34,2.475e-108
330.525,2.166e-33,2.001e-23,2.166e-33,2.475e-108
330.53,5.431e-33,2.002e-23,5.431e-33,2.476e-108
330.535,1.301e-32,2.002e-23,1.301e-32,2.476e-108
330.54,2.978e-32,2.002e-23,2.978e-32,2.476e-108
330.546,7.570e-32,2.002e-23,7.570e-32,2.477e-108
330.551,1.567e-31,2.002e-23,1.567e-31,2.477e-108
330.556,3.097e-31,2.002e-23,3.097e-31,2.477e-108
330.561,5.848e-31,2.003e-23,5.848e-31,2.478e-108
330.566,1.055e-30,2.003e-23,1.055e-30,2.478e-108
330.571,1.818e-30,2.003e-23,1.818e-30,2.478e-108
330.577,3.289e-30,2.003e-23,3.289e-30,2.479e-108
330.582,5.126e-30,2.003e-23,5.126e-30,2.479e-108
330.587,7.632e-30,2.004e-23,7.632e-30,2.479e-108
330.592,1.085e-29,2.004e-23,1.085e-29,2.480e-108
330.597,1.475e-29,2.004e-23,1.475e-29,2.480e-108
330.602,1.914e-29,2.004e-23,1.914e-29,2.480e-108
330.608,2.463e-29,2.004e-23,2.463e-29,2.481e-108
330.613,2.891e-29,2.005e-23,2.891e-29,2.481e-108
330.618,3.241e-29,2.005e-23,3.241e-29,2.481e-108
330.623,3.472e-29,2.005e-23,3.472e-29,2.482e-108
330.628,3.552e-29,2.005e-23,3.552e-29,2.482e-108
330.633,3.472e-29,2.005e-23,3.472e-29,2.482e-108
330.639,3.180e-29,2.005e-23,3.180e-29,2.483e-108
330.644,2.810e-29,2.006e-23,2.810e-29,2.483e-108
330.649,2.373e-29,2.006e-23,2.373e-29,2.483e-108
330.654,1.914e-29,2.006e-23,1.914e-29,2.484e-108
330.659,1.475e-29,2.006e-23,1.475e-29,2.484e-108
330.664,1.085e-29,2.006e-23,1.085e-29,2.484e-108
330.669,7.632e-30,2.007e-23,7.632e-30,2.485e-108
330.675,4.708e-30,2.007e-23,4.708e-30,2.485e-108
330.68,2.994e-30,2.007e-23,2.994e-30,2.485e-108
330.685,1.818e-30,2.007e-23,1.818e-30,2.486e-108
330.69,1.055e-30,2.007e-23,1.055e-30,2.486e-108
330.695,5.848e-31,2.007e-23,5.848e-31,2.486e-108
330.7,3.097e-31,2.008e-23,3.097e-31,2.487e-108
330.706,1.359e-31,2.008e-23,1.359e-31,2.487e-108
330.711,6.509e-32,2.008e-23,6.509e-32,2.487e-108
330.716,2.978e-32,2.008e-23,2.978e-32,2.488e-108
330.721,1.301e-32,2.008e-23,1.301e-32,2.488e-108
330.726,5.431e-33,2.009e-23,5.431e-33,2.488e-108
330.731,2.166e-33,2.009e-23,2.166e-33,2.489e-108
330.737,6.765e-34,2.009e-23,6.765e-34,2.489e-108
330.742,2.440e-34,2.009e-23,2.440e-34,2.489e-108
330.747,8.404e-35,2.009e-23,8.404e-35,2.490e-108
330.752,2.765e-35,2.009e-23,2.765e-35,2.490e-108
330.757,8.694e-36,2.010e-23,8.694e-36,2.490e-108
330.762,2.611e-36,2.010e-23,2.611e-36,2.491e-108
330.768,5.803e-37,2.010e-23,5.803e-37,2.491e-108
330.773,1.576e-37,2.010e-23,1.576e-37,2.491e-108
330.778,4.088e-38,2.010e-23,4.088e-38,2.492e-108
330.783,1.013e-38,2.011e-23,1.013e-38,2.492e-108
330.788,2.398e-39,2.011e-23,2.398e-39,2.492e-108
330.793,5.424e-40,2.011e-23,5.424e-40,2.493e-108
330.798,1.172e-40,2.011e-23,1.172e-40,2.493e-108
330.804,1.754e-41,2.011e-23,1.754e-41,2.493e-108
330.809,3.427e-42,2.012e-23,3.427e-42,2.494e-108
330.814,6.396e-43,2.012e-23,6.396e-43,2.494e-108
330.819,1.140e-43,2.012e-23,1.140e-43,2.494e-108
330.824,1.942e-44,2.012e-23,1.942e-44,2.495e-108
330.829,3.160e-45,2.012e-23,3.160e-45,2.495e-108
330.835,3.366e-46,2.012e-23,3.366e-46,2.495e-108
330.84,4.952e-47,2.013e-23,4.952e-47,2.496e-108
330.845,6.960e-48,2.013e-23,6.960e-48,2.496e-108
330.85,9.345e-49,2.013e-23,9.345e-49,2.496e-108
330.855,1.199e-49,2.013e-23,1.199e-49,2.497e-108
330.86,1.469e-50,2.013e-23,1.469e-50,2.497e-108
330.866,1.113e-51,2.014e-23,1.113e-51,2.497e-108
330.871,1.233e-52,2.014e-23,1.233e-52,2.498e-108
330.876,1.305e-53,2.014e-23,1.305e-53,2.498e-108
330.881,1.320e-54,2.014e-23,1.320e-54,2.498e-108
330.886,1.275e-55,2.014e-23,1.275e-55,2.499e-108
366.886,3.296e-23,3.296e-23,1.267e-53,4.798e-108
366.891,3.234e-22,3.234e-22,1.267e-53,4.798e-108
366.896,2.514e-21,2.514e-21,1.267e-53,4.799e-108
366.901,1.883e-20,1.883e-20,1.267e-53,4.799e-108
366.907,2.009e-19,2.009e-19,1.267e-53,4.799e-108
366.912,1.388e-18,1.388e-18,1.268e-53,4.800e-108
366.917,9.238e-18,9.238e-18,1.268e-53,4.800e-108
366.922,5.927e-17,5.927e-17,1.268e-53,4.800e-108
366.927,3.665e-16,3.665e-16,1.268e-53,4.801e-108
366.932,2.184e-15,2.184e-15,1.268e-53,4.801e-108
366.937,1.255e-14,1.255e-14,1.268e-53,4.801e-108
366.943,9.740e-14,9.740e-14,1.269e-53,4.802e-108
366.948,5.159e-13,5.159e-13,1.269e-53,4.802e-108
366.953,2.634e-12,2.634e-12,1.269e-53,4.802e-108
366.958,1.296e-11,1.296e-11,1.269e-53,4.803e-108
366.963,6.149e-11,6.149e-11,1.269e-53,4.803e-108
366.968,2.811e-10,2.811e-10,1.270e-53,4.803e-108
366.974,1.659e-9,1.659e-9,1.270e-53,4.804e-108
