Wavelength (nm),Sum(calc),Li I (4.0e-2),Li II (9.6e-1),Li III (5.9e-34)
233.064,3.533e-34,,3.533e-34,1.082e-114
233.069,7.545e-35,,7.545e-35,1.083e-114
233.074,1.471e-35,,1.471e-35,1.083e-114
233.079,2.620e-36,,2.620e-36,1.083e-114
233.084,4.259e-37,,4.259e-37,1.083e-114
233.09,4.269e-38,,4.269e-38,1.084e-114
233.095,5.681e-39,,5.681e-39,1.084e-114
233.1,6.900e-40,,6.900e-40,1.084e-114
233.105,7.651e-41,,7.651e-41,1.084e-114
233.11,7.744e-42,,7.744e-42,1.084e-114
233.115,7.155e-43,,7.155e-43,1.085e-114
233.121,3.639e-44,,3.639e-44,1.085e-114
233.126,2.750e-45,,2.750e-45,1.085e-114
233.131,1.897e-46,,1.897e-46,1.085e-114
233.136,1.194e-47,,1.194e-47,1.086e-114
233.141,6.862e-49,,6.862e-49,1.086e-114
233.146,3.598e-50,,3.598e-50,1.086e-114
233.151,1.722e-51,,1.722e-51,1.086e-114
233.157,3.975e-53,,3.975e-53,1.087e-114
233.162,1.555e-54,,1.555e-54,1.087e-114
233.167,5.550e-56,,5.550e-56,1.087e-114
233.172,1.808e-57,,1.808e-57,1.087e-114
233.177,5.372e-59,,5.372e-59,1.087e-114
233.182,1.456e-60,,1.456e-60,1.088e-114
233.188,1.575e-62,,1.575e-62,1.088e-114
235.613,4.323e-63,,4.323e-63,1.194e-114
235.618,1.709e-61,,1.709e-61,1.195e-114
235.623,6.178e-60,,6.178e-60,1.195e-114
235.629,4.064e-58,,4.064e-58,1.195e-114
235.634,1.205e-56,,1.205e-56,1.195e-114
235.639,3.266e-55,,3.266e-55,1.195e-114
235.644,8.092e-54,,8.092e-54,1.196e-114
235.649,1.832e-52,,1.832e-52,1.196e-114
235.654,3.792e-51,,3.792e-51,1.196e-114
235.659,7.174e-50,,7.174e-50,1.196e-114
235.665,2.170e-48,,2.170e-48,1.197e-114
235.67,3.368e-47,,3.368e-47,1.197e-114
235.675,4.778e-46,,4.778e-46,1.197e-114
235.68,6.196e-45,,6.196e-45,1.197e-114
235.685,7.344e-44,,7.344e-44,1.197e-114
235.69,7.956e-43,,7.956e-43,1.198e-114
235.696,1.233e-41,,1.233e-41,1.198e-114
235.701,1.096e-40,,1.096e-40,1.198e-114
235.706,8.902e-40,,8.902e-40,1.198e-114
235.711,6.611e-39,,6.611e-39,1.199e-114
235.716,4.487e-38,,4.487e-38,1.199e-114
235.721,2.784e-37,,2.784e-37,1.199e-114
235.727,2.210e-36,,2.210e-36,1.199e-114
235.732,1.125e-35,,1.125e-35,1.200e-114
235.737,5.233e-35,,5.233e-35,1.200e-114
235.742,2.226e-34,,2.226e-34,1.200e-114
235.747,8.651e-34,,8.651e-34,1.200e-114
235.752,3.073e-33,,3.073e-33,1.200e-114
235.758,1.250e-32,,1.250e-32,1.201e-114
235.763,3.643e-32,,3.643e-32,1.201e-114
235.768,9.706e-32,,9.706e-32,1.201e-114
235.773,2.364e-31,,2.364e-31,1.201e-114
235.778,5.262e-31,,5.262e-31,1.202e-114
235.783,1.071e-30,,1.071e-30,1.202e-114
235.788,1.991e-30,,1.991e-30,1.202e-114
235.794,3.722e-30,,3.722e-30,1.202e-114
235.799,5.680e-30,,5.680e-30,1.202e-114
235.804,7.922e-30,,7.922e-30,1.203e-114
235.809,1.010e-29,,1.010e-29,1.203e-114
235.814,1.177e-29,,1.177e-29,1.203e-114
235.819,1.253e-29,,1.253e-29,1.203e-114
235.825,1.200e-29,,1.200e-29,1.204e-114
235.83,1.049e-29,,1.049e-29,1.204e-114
235.835,8.376e-30,,8.376e-30,1.204e-114
235.84,6.114e-30,,6.114e-30,1.204e-114
235.845,4.080e-30,,4.080e-30,1.205e-114
235.85,2.488e-30,,2.488e-30,1.205e-114
235.856,1.221e-30,,1.221e-30,1.205e-114
235.861,6.109e-31,,6.109e-31,1.205e-114
235.866,2.794e-31,,2.794e-31,1.205e-114
235.871,1.168e-31,,1.168e-31,1.206e-114
235.876,4.464e-32,,4.464e-32,1.206e-114
235.881,1.559e-32,,1.559e-32,1.206e-114
