Wavelength (nm),Sum,Al I (1.3e-01),Al II (8.7e-01),Al III (2.5e-05)
356.82,6.780e-6,,6.780e-6,
356.87,2.804e-5,,2.804e-5,
356.92,1.115e-4,,1.115e-4,
356.97,4.270e-4,,4.270e-4,
357.02,1.573e-3,,1.573e-3,
357.07,5.575e-3,,5.575e-3,
357.12,1.901e-2,,1.901e-2,
357.17,6.240e-2,,6.240e-2,
357.22,1.970e-1,,1.970e-1,
357.27,5.987e-1,,5.987e-1,
357.32,1.750e+0,,1.750e+0,
357.37,4.925e+0,,4.925e+0,
357.42,1.333e+1,,1.333e+1,
357.47,3.474e+1,,3.474e+1,
357.52,8.708e+1,,8.708e+1,
357.57,2.101e+2,,2.101e+2,
357.62,4.878e+2,,4.878e+2,
357.67,1.090e+3,,1.090e+3,
357.72,2.343e+3,,2.343e+3,
357.77,4.848e+3,,4.848e+3,
357.82,9.653e+3,,9.653e+3,
357.87,1.850e+4,,1.850e+4,
357.92,3.411e+4,,3.411e+4,
357.97,6.055e+4,,6.055e+4,
358.02,1.034e+5,,1.034e+5,1.387e-16
358.07,1.700e+5,,1.700e+5,7.088e-16
358.12,2.690e+5,,2.690e+5,3.486e-15
358.17,4.096e+5,,4.096e+5,1.650e-14
358.22,6.002e+5,,6.002e+5,7.511e-14
358.27,8.466e+5,,8.466e+5,3.290e-13
358.32,1.149e+6,,1.149e+6,1.387e-12
358.37,1.501e+6,,1.501e+6,5.626e-12
358.42,1.888e+6,,1.888e+6,2.196e-11
358.47,2.285e+6,,2.285e+6,8.246e-11
358.52,2.662e+6,,2.662e+6,2.980e-10
358.57,2.984e+6,,2.984e+6,1.036e-9
358.62,3.220e+6,,3.220e+6,3.466e-9
358.67,3.344e+6,,3.344e+6,1.116e-8
358.72,3.343e+6,,3.343e+6,3.456e-8
358.77,3.216e+6,,3.216e+6,1.030e-7
358.82,2.978e+6,,2.978e+6,2.954e-7
358.87,2.655e+6,,2.655e+6,8.153e-7
358.92,2.277e+6,,2.277e+6,2.165e-6
358.97,1.880e+6,,1.880e+6,5.531e-6
359.02,1.494e+6,,1.494e+6,1.360e-5
359.07,1.143e+6,,1.143e+6,3.216e-5
359.12,8.416e+5,,8.416e+5,7.321e-5
359.17,5.963e+5,,5.963e+5,1.603e-4
359.22,4.067e+5,,4.067e+5,3.379e-4
359.27,2.670e+5,,2.670e+5,6.851e-4
359.32,1.687e+5,,1.687e+5,1.337e-3
359.37,1.026e+5,,1.026e+5,2.510e-3
359.42,6.003e+4,,6.003e+4,4.534e-3
359.47,3.381e+4,,3.381e+4,7.881e-3
359.52,1.833e+4,,1.833e+4,1.318e-2
359.57,9.565e+3,,9.565e+3,2.122e-2
359.62,4.803e+3,,4.803e+3,3.286e-2
359.67,2.322e+3,,2.321e+3,4.896e-2
359.72,1.080e+3,,1.080e+3,7.020e-2
359.77,4.835e+2,,4.834e+2,9.686e-2
359.82,2.084e+2,,2.083e+2,1.286e-1
359.87,8.652e+1,,8.636e+1,1.643e-1
359.92,3.466e+1,,3.446e+1,2.019e-1
359.97,1.347e+1,,1.323e+1,2.388e-1
360.02,5.163e+0,,4.891e+0,2.718e-1
360.07,2.037e+0,,1.740e+0,2.976e-1
360.12,9.091e-1,,5.955e-1,3.136e-1
360.17,5.142e-1,,1.962e-1,3.180e-1
360.22,3.725e-1,,6.218e-2,3.103e-1
360.27,3.104e-1,,1.897e-2,2.914e-1
360.32,2.689e-1,,5.568e-3,2.634e-1
360.37,2.308e-1,,1.573e-3,2.292e-1
360.42,1.927e-1,,4.276e-4,1.922e-1
360.47,1.558e-1,,1.119e-4,1.557e-1
360.52,1.223e-1,,2.816e-5,1.222e-1
360.57,9.398e-2,,6.820e-6,9.397e-2
360.62,7.210e-2,,1.590e-6,7.210e-2
360.67,5.718e-2,,3.565e-7,5.718e-2
360.72,4.926e-2,,7.695e-8,4.926e-2
360.77,4.798e-2,,1.598e-8,4.798e-2
360.82,5.271e-2,,3.193e-9,5.271e-2
360.87,6.261e-2,,5.669e-10,6.261e-2
360.92,7.658e-2,,6.214e-11,7.658e-2
360.97,9.328e-2,,,9.328e-2
361.02,1.111e-1,,,1.111e-1
361.07,1.283e-1,,,1.283e-1
361.12,1.430e-1,,,1.430e-1
361.17,1.536e-1,,,1.536e-1
361.22,1.590e-1,,,1.590e-1
361.27,1.583e-1,,,1.583e-1
361.32,1.518e-1,,,1.518e-1
361.37,1.400e-1,,,1.400e-1
361.42,1.243e-1,,,1.243e-1
361.47,1.063e-1,,,1.063e-1
361.52,8.741e-2,,,8.741e-2
361.57,6.919e-2,,,6.919e-2
361.62,5.271e-2,,,5.271e-2
361.67,3.864e-2,,,3.864e-2
361.72,2.727e-2,,,2.727e-2
361.77,1.852e-2,,,1.852e-2
361.82,1.210e-2,,,1.210e-2
361.87,7.612e-3,,,7.612e-3
361.92,4.608e-3,,,4.608e-3
361.97,2.685e-3,,,2.685e-3
362.02,1.505e-3,,,1.505e-3
362.07,8.123e-4,,,8.123e-4
362.12,4.218e-4,,,4.218e-4
362.17,2.108e-4,,,2.108e-4
362.22,1.014e-4,,,1.014e-4
362.27,4.695e-5,,,4.695e-5
362.32,2.092e-5,,,2.092e-5
362.37,8.969e-6,,,8.969e-6
362.42,3.701e-6,,,3.701e-6
362.47,1.470e-6,,,1.470e-6
362.52,5.618e-7,,,5.618e-7
362.57,2.067e-7,,,2.067e-7
362.62,7.317e-8,,,7.317e-8
362.67,2.493e-8,,,2.493e-8
362.72,8.176e-9,,1.062e-12,8.175e-9
362.77,2.585e-9,,5.440e-12,2.580e-9
362.82,8.104e-10,,2.683e-11,7.835e-10
362.87,3.565e-10,,1.275e-10,2.290e-10
362.92,6.522e-10,,5.877e-10,6.443e-11
362.97,2.610e-9,,2.593e-9,1.744e-11
363.02,1.102e-8,,1.102e-8,4.545e-12
363.07,4.512e-8,,4.512e-8,1.140e-12
363.12,1.780e-7,,1.780e-7,2.751e-13
363.17,6.762e-7,,6.762e-7,6.389e-14
363.22,2.476e-6,,2.476e-6,1.428e-14
363.27,8.733e-6,,8.733e-6,3.072e-15
363.32,2.968e-5,,2.968e-5,6.361e-16
363.37,9.721e-5,,9.721e-5,1.268e-16
363.42,3.068e-4,,3.068e-4,2.431e-17
363.47,9.331e-4,,9.331e-4,
363.52,2.735e-3,,2.735e-3,
363.57,7.730e-3,,7.730e-3,
363.62,2.106e-2,,2.106e-2,
363.67,5.530e-2,,5.530e-2,
363.72,1.400e-1,,1.400e-1,
363.77,3.421e-1,,3.421e-1,
363.82,8.059e-1,,8.059e-1,
363.87,1.832e+0,,1.832e+0,
363.92,4.017e+0,,4.017e+0,
363.97,8.504e+0,,8.504e+0,
364.02,1.738e+1,,1.738e+1,
364.07,3.430e+1,,3.430e+1,
364.12,6.537e+1,,6.537e+1,
364.17,1.204e+2,,1.204e+2,
364.22,2.143e+2,,2.143e+2,
364.27,3.688e+2,,3.688e+2,
364.32,6.138e+2,,6.138e+2,
364.37,9.883e+2,,9.883e+2,
364.42,1.540e+3,,1.540e+3,
364.47,2.323e+3,,2.323e+3,
364.52,3.393e+3,,3.393e+3,
364.57,4.802e+3,,4.802e+3,
364.62,6.588e+3,,6.588e+3,
364.67,8.765e+3,,8.765e+3,
364.72,1.132e+4,,1.132e+4,
364.77,1.420e+4,,1.420e+4,
364.82,1.731e+4,,1.731e+4,
364.87,2.056e+4,,2.056e+4,
364.92,2.382e+4,,2.382e+4,
364.97,2.697e+4,,2.697e+4,
365.02,2.991e+4,,2.991e+4,
365.07,3.258e+4,,3.258e+4,
365.12,3.495e+4,,3.495e+4,
365.17,3.699e+4,,3.699e+4,
365.22,3.868e+4,,3.868e+4,
365.27,3.998e+4,,3.998e+4,
365.32,4.082e+4,,4.082e+4,
365.37,4.111e+4,,4.111e+4,
365.42,4.073e+4,,4.073e+4,
365.47,3.959e+4,,3.959e+4,
365.52,3.763e+4,,3.763e+4,
365.57,3.489e+4,,3.489e+4,
365.62,3.147e+4,,3.147e+4,
365.67,2.756e+4,,2.756e+4,
365.72,2.338e+4,,2.338e+4,
365.77,1.920e+4,,1.920e+4,
365.82,1.523e+4,,1.523e+4,
365.87,1.168e+4,,1.168e+4,
365.92,8.637e+3,,8.637e+3,
365.97,6.163e+3,,6.163e+3,
366.02,4.241e+3,,4.241e+3,
366.07,2.814e+3,,2.814e+3,
366.12,1.799e+3,,1.799e+3,
366.17,1.109e+3,,1.109e+3,
366.22,6.583e+2,,6.583e+2,
366.27,3.766e+2,,3.766e+2,
366.32,2.076e+2,,2.076e+2,
366.37,1.102e+2,,1.102e+2,
366.42,5.640e+1,,5.640e+1,
366.47,2.779e+1,,2.779e+1,
366.52,1.320e+1,,1.320e+1,
366.57,6.035e+0,,6.035e+0,
366.62,2.658e+0,,2.658e+0,
366.67,1.128e+0,,1.128e+0,
366.72,4.612e-1,,4.612e-1,
366.77,1.816e-1,,1.816e-1,
366.82,6.888e-2,,6.888e-2,
366.87,2.517e-2,,2.517e-2,
366.92,8.858e-3,,8.858e-3,
366.97,3.003e-3,,3.003e-3,
367.02,9.807e-4,,9.807e-4,
367.07,3.085e-4,,3.085e-4,
367.12,9.348e-5,,9.348e-5,
367.17,2.729e-5,,2.729e-5,
367.22,7.672e-6,,7.672e-6,
367.27,2.078e-6,,2.078e-6,
367.32,5.421e-7,,5.421e-7,
367.37,1.362e-7,,1.362e-7,
367.42,3.298e-8,,3.298e-8,
367.47,7.690e-9,,7.690e-9,
367.52,1.727e-9,,1.727e-9,
367.57,3.737e-10,,3.737e-10,
367.62,7.789e-11,,7.789e-11,
367.67,1.564e-11,,1.564e-11,
367.72,3.024e-12,,3.024e-12,
367.97,3.038e-19,,,3.038e-19
368.02,1.529e-18,,,1.529e-18
368.07,7.422e-18,,,7.422e-18
368.12,1.079e-11,,1.079e-11,3.473e-17
368.17,5.269e-11,,5.269e-11,1.567e-16
368.22,2.481e-10,,2.481e-10,6.817e-16
368.27,1.127e-9,,1.127e-9,2.859e-15
368.32,4.932e-9,,4.932e-9,1.156e-14
368.37,2.082e-8,,2.082e-8,4.508e-14
368.42,8.475e-8,,8.475e-8,1.695e-13
368.47,3.326e-7,,3.326e-7,6.144e-13
368.52,1.258e-6,,1.258e-6,2.147e-12
368.57,4.591e-6,,4.591e-6,7.235e-12
368.62,1.615e-5,,1.615e-5,2.351e-11
368.67,5.479e-5,,5.479e-5,7.364e-11
368.72,1.792e-4,,1.792e-4,2.224e-10
368.77,5.650e-4,,5.650e-4,6.478e-10
368.82,1.718e-3,,1.718e-3,1.819e-9
368.87,5.036e-3,,5.036e-3,4.924e-9
368.92,1.424e-2,,1.424e-2,1.285e-8
368.97,3.880e-2,,3.880e-2,3.235e-8
369.02,1.020e-1,,1.020e-1,7.850e-8
369.07,2.583e-1,,2.583e-1,1.837e-7
369.12,6.311e-1,,6.311e-1,4.143e-7
369.17,1.487e+0,,1.487e+0,9.012e-7
369.22,3.377e+0,,3.377e+0,1.890e-6
369.27,7.395e+0,,7.395e+0,3.821e-6
369.32,1.561e+1,,1.561e+1,7.450e-6
369.37,3.179e+1,,3.179e+1,1.400e-5
369.42,6.241e+1,,6.241e+1,2.538e-5
369.47,1.181e+2,,1.181e+2,4.435e-5
369.52,2.156e+2,,2.156e+2,7.473e-5
369.57,3.793e+2,,3.793e+2,1.214e-4
369.62,6.436e+2,,6.436e+2,1.901e-4
369.67,1.053e+3,,1.053e+3,2.871e-4
369.72,1.661e+3,,1.661e+3,4.181e-4
369.77,2.526e+3,,2.526e+3,5.870e-4
369.82,3.704e+3,,3.704e+3,7.946e-4
369.87,5.237e+3,,5.237e+3,1.037e-3
369.92,7.139e+3,,7.139e+3,1.305e-3
369.97,9.385e+3,,9.385e+3,1.583e-3
370.02,1.189e+4,,1.189e+4,1.852e-3
370.07,1.454e+4,,1.454e+4,2.089e-3
370.12,1.713e+4,,1.713e+4,2.272e-3
370.17,1.946e+4,,1.946e+4,2.383e-3
370.22,2.132e+4,,2.132e+4,2.410e-3
370.27,2.251e+4,,2.251e+4,2.350e-3
370.32,2.293e+4,,2.293e+4,2.211e-3
370.37,2.251e+4,,2.251e+4,2.008e-3
370.42,2.132e+4,,2.132e+4,1.763e-3
370.47,1.946e+4,,1.946e+4,1.501e-3
370.52,1.713e+4,,1.713e+4,1.248e-3
370.57,1.454e+4,,1.454e+4,1.027e-3
370.62,1.189e+4,,1.189e+4,8.594e-4
370.67,9.385e+3,,9.385e+3,7.615e-4
370.72,7.139e+3,,7.139e+3,7.468e-4
370.77,5.237e+3,,5.237e+3,8.253e-4
370.82,3.704e+3,,3.704e+3,1.003e-3
370.87,2.526e+3,,2.526e+3,1.282e-3
370.92,1.661e+3,,1.661e+3,1.658e-3
370.97,1.053e+3,,1.053e+3,2.117e-3
371.02,6.436e+2,,6.436e+2,2.636e-3
371.07,3.793e+2,,3.793e+2,3.181e-3
371.12,2.156e+2,,2.156e+2,3.711e-3
371.17,1.181e+2,,1.181e+2,4.179e-3
371.22,6.241e+1,,6.241e+1,4.540e-3
371.27,3.180e+1,,3.179e+1,4.759e-3
371.32,1.562e+1,,1.561e+1,4.810e-3
371.37,7.400e+0,,7.395e+0,4.690e-3
371.42,3.381e+0,,3.377e+0,4.409e-3
371.47,1.491e+0,,1.487e+0,3.998e-3
371.52,6.346e-1,,6.311e-1,3.496e-3
371.57,2.613e-1,,2.583e-1,2.948e-3
371.62,1.044e-1,,1.020e-1,2.398e-3
371.67,4.068e-2,,3.880e-2,1.880e-3
371.72,1.567e-2,,1.425e-2,1.422e-3
371.77,6.127e-3,,5.089e-3,1.037e-3
371.82,2.614e-3,,1.884e-3,7.297e-4
371.87,1.564e-3,,1.069e-3,4.950e-4
371.92,1.974e-3,,1.651e-3,3.239e-4
371.97,4.407e-3,,4.203e-3,2.043e-4
372.02,1.142e-2,,1.130e-2,1.243e-4
372.07,2.969e-2,,2.961e-2,7.296e-5
372.12,7.500e-2,,7.496e-2,4.128e-5
372.17,1.831e-1,,1.831e-1,2.253e-5
372.22,4.315e-1,,4.315e-1,1.186e-5
372.27,9.812e-1,,9.812e-1,6.018e-6
372.32,2.152e+0,,2.152e+0,2.946e-6
372.37,4.556e+0,,4.556e+0,1.391e-6
372.42,9.305e+0,,9.305e+0,6.330e-7
372.47,1.834e+1,,1.834e+1,2.779e-7
372.52,3.487e+1,,3.487e+1,1.177e-7
372.57,6.399e+1,,6.399e+1,4.804e-8
372.62,1.133e+2,,1.133e+2,1.892e-8
372.67,1.938e+2,,1.938e+2,7.183e-9
372.72,3.198e+2,,3.198e+2,2.630e-9
372.77,5.095e+2,,5.095e+2,9.290e-10
372.82,7.842e+2,,7.842e+2,3.164e-10
372.87,1.166e+3,,1.166e+3,1.039e-10
372.92,1.676e+3,,1.676e+3,3.292e-11
372.97,2.331e+3,,2.331e+3,1.006e-11
373.02,3.137e+3,,3.137e+3,2.963e-12
373.07,4.091e+3,,4.091e+3,8.417e-13
373.12,5.177e+3,,5.177e+3,2.306e-13
373.17,6.367e+3,,6.367e+3,6.093e-14
373.22,7.623e+3,,7.623e+3,1.553e-14
373.27,8.906e+3,,8.906e+3,3.816e-15
373.32,1.018e+4,,1.018e+4,9.043e-16
373.37,1.140e+4,,1.140e+4,2.067e-16
373.42,1.255e+4,,1.255e+4,4.555e-17
373.47,1.359e+4,,1.359e+4,9.683e-18
373.52,1.452e+4,,1.452e+4,1.985e-18
373.57,1.528e+4,,1.528e+4,3.924e-19
373.62,1.584e+4,,1.584e+4,
373.67,1.616e+4,,1.616e+4,
373.72,1.618e+4,,1.618e+4,
373.77,1.587e+4,,1.587e+4,
373.82,1.521e+4,,1.521e+4,
373.87,1.421e+4,,1.421e+4,
373.92,1.291e+4,,1.291e+4,
373.97,1.139e+4,,1.139e+4,
374.02,9.753e+3,,9.753e+3,
374.07,8.086e+3,,8.086e+3,
374.12,6.488e+3,,6.488e+3,
374.17,5.034e+3,,5.034e+3,
374.22,3.775e+3,,3.775e+3,
374.27,2.735e+3,,2.735e+3,
374.32,1.913e+3,,1.913e+3,
374.37,1.293e+3,,1.293e+3,
374.42,8.431e+2,,8.431e+2,
374.47,5.307e+2,,5.307e+2,
374.52,3.225e+2,,3.225e+2,
374.57,1.891e+2,,1.891e+2,
374.62,1.070e+2,,1.070e+2,
374.67,5.841e+1,,5.841e+1,
374.72,3.078e+1,,3.078e+1,
374.77,1.565e+1,,1.565e+1,
374.82,7.675e+0,,7.675e+0,
374.87,3.633e+0,,3.633e+0,
374.92,1.659e+0,,1.659e+0,
374.97,7.310e-1,,7.310e-1,
375.02,3.108e-1,,3.108e-1,
375.07,1.275e-1,,1.275e-1,
375.12,5.046e-2,,5.046e-2,
375.17,1.927e-2,,1.927e-2,
375.22,7.101e-3,,7.101e-3,
375.27,2.525e-3,,2.525e-3,
375.32,8.660e-4,,8.660e-4,
375.37,2.866e-4,,2.866e-4,
375.42,9.153e-5,,9.153e-5,
375.47,2.820e-5,,2.820e-5,
375.52,8.384e-6,,8.384e-6,
375.57,2.405e-6,,2.405e-6,
375.62,6.655e-7,,6.655e-7,
375.67,1.777e-7,,1.777e-7,
375.72,4.578e-8,,4.578e-8,
375.77,1.138e-8,,1.138e-8,
375.82,2.730e-9,,2.730e-9,
375.87,6.316e-10,,6.316e-10,
375.92,1.410e-10,,1.410e-10,
375.97,3.038e-11,,3.038e-11,
376.02,6.315e-12,,6.315e-12,
376.07,1.266e-12,,1.266e-12,
384.27,5.885e-13,,5.885e-13,
384.32,2.788e-12,,2.788e-12,
384.37,1.277e-11,,1.277e-11,
384.42,5.659e-11,,5.659e-11,
384.47,2.425e-10,,2.425e-10,
384.52,1.005e-9,,1.005e-9,
384.57,4.027e-9,,4.027e-9,
384.62,1.561e-8,,1.561e-8,
384.67,5.851e-8,,5.851e-8,
384.72,2.121e-7,,2.121e-7,
384.77,7.435e-7,,7.435e-7,
384.82,2.521e-6,,2.521e-6,
384.87,8.266e-6,,8.266e-6,
384.92,2.621e-5,,2.621e-5,
384.97,8.038e-5,,8.038e-5,
385.02,2.384e-4,,2.384e-4,
385.07,6.838e-4,,6.838e-4,
385.12,1.897e-3,,1.897e-3,
385.17,5.088e-3,,5.088e-3,
385.22,1.320e-2,,1.320e-2,
385.27,3.312e-2,,3.312e-2,
385.32,8.037e-2,,8.037e-2,
385.37,1.886e-1,,1.886e-1,
385.42,4.280e-1,,4.280e-1,
385.47,9.395e-1,,9.395e-1,
385.52,1.994e+0,,1.994e+0,
385.57,4.094e+0,,4.094e+0,
385.62,8.127e+0,,8.127e+0,
385.67,1.560e+1,,1.560e+1,
385.72,2.897e+1,,2.897e+1,
385.77,5.202e+1,,5.202e+1,
385.82,9.034e+1,,9.034e+1,
385.87,1.517e+2,,1.517e+2,
385.93,2.705e+2,,2.705e+2,
385.98,4.220e+2,,4.220e+2,
386.03,6.368e+2,,6.368e+2,
386.08,9.293e+2,,9.293e+2,
386.13,1.312e+3,,1.312e+3,
386.18,1.790e+3,,1.790e+3,
386.23,2.363e+3,,2.363e+3,
386.28,3.017e+3,,3.017e+3,
386.33,3.725e+3,,3.725e+3,
386.38,4.447e+3,,4.447e+3,
386.43,5.135e+3,,5.135e+3,
386.48,5.734e+3,,5.734e+3,
386.53,6.193e+3,,6.193e+3,
386.58,6.468e+3,,6.468e+3,
386.63,6.533e+3,,6.533e+3,
386.68,6.382e+3,,6.382e+3,
386.73,6.029e+3,,6.029e+3,
386.78,5.509e+3,,5.509e+3,
386.83,4.867e+3,,4.867e+3,
386.88,4.159e+3,,4.159e+3,
386.93,3.437e+3,,3.437e+3,
386.98,2.747e+3,,2.747e+3,
387.03,2.123e+3,,2.123e+3,
387.08,1.587e+3,,1.587e+3,
387.13,1.147e+3,,1.147e+3,
387.18,8.022e+2,,8.022e+2,
387.23,5.424e+2,,5.424e+2,
387.28,3.546e+2,,3.546e+2,
387.33,2.243e+2,,2.243e+2,
387.38,1.372e+2,,1.372e+2,
387.43,8.112e+1,,8.112e+1,
387.48,4.640e+1,,4.640e+1,
387.53,2.567e+1,,2.567e+1,
387.58,1.373e+1,,1.373e+1,
387.63,7.104e+0,,7.104e+0,
387.68,3.555e+0,,3.555e+0,
387.73,1.720e+0,,1.720e+0,
387.78,8.049e-1,,8.049e-1,
387.83,3.643e-1,,3.643e-1,
387.88,1.595e-1,,1.595e-1,
387.93,6.750e-2,,6.750e-2,
387.98,2.763e-2,,2.763e-2,
388.03,1.094e-2,,1.094e-2,
388.08,4.188e-3,,4.188e-3,
388.13,1.551e-3,,1.551e-3,
388.18,5.554e-4,,5.554e-4,
388.23,1.923e-4,,1.923e-4,
388.28,6.442e-5,,6.442e-5,
388.33,2.086e-5,,2.086e-5,
388.38,6.536e-6,,6.536e-6,
388.43,1.980e-6,,1.980e-6,
388.48,5.801e-7,,5.801e-7,
388.53,1.644e-7,,1.644e-7,
388.58,4.504e-8,,4.504e-8,
388.63,1.194e-8,,1.194e-8,
388.68,3.059e-9,,3.059e-9,
388.73,7.582e-10,,7.582e-10,
388.78,1.817e-10,,1.817e-10,
388.83,4.213e-11,,4.213e-11,
388.88,9.446e-12,,9.446e-12,
388.93,2.048e-12,,2.048e-12,
392.03,3.563e-7,3.563e-7,,
392.08,1.609e-6,1.609e-6,,
392.13,7.036e-6,7.036e-6,,
392.18,2.979e-5,2.979e-5,,
392.23,1.222e-4,1.222e-4,,
392.28,4.851e-4,4.851e-4,,
392.33,1.865e-3,1.865e-3,,
392.38,6.945e-3,6.945e-3,,
392.43,2.504e-2,2.504e-2,,
392.48,8.744e-2,8.744e-2,,
392.53,2.957e-1,2.957e-1,,
392.58,9.681e-1,9.681e-1,,
392.63,3.069e+0,3.069e+0,,
392.68,9.424e+0,9.424e+0,,
392.73,2.802e+1,2.802e+1,,
392.78,8.068e+1,8.068e+1,,
392.83,2.249e+2,2.249e+2,,
392.88,6.074e+2,6.074e+2,,
392.93,1.588e+3,1.588e+3,,
392.98,4.020e+3,4.020e+3,,
393.03,9.857e+3,9.857e+3,,
393.08,2.340e+4,2.340e+4,,
393.13,5.381e+4,5.381e+4,,
393.18,1.198e+5,1.198e+5,,
393.23,2.583e+5,2.583e+5,,
393.28,5.392e+5,5.392e+5,,
393.33,1.090e+6,1.090e+6,,
393.38,2.134e+6,2.134e+6,,
393.43,4.046e+6,4.046e+6,,
393.48,7.428e+6,7.428e+6,,
393.53,1.321e+7,1.321e+7,,
393.58,2.273e+7,2.273e+7,,
393.63,3.790e+7,3.790e+7,,
393.68,6.118e+7,6.118e+7,,
393.73,9.565e+7,9.565e+7,,
393.78,1.448e+8,1.448e+8,,
393.83,2.123e+8,2.123e+8,,
393.88,3.013e+8,3.013e+8,,
393.93,4.142e+8,4.142e+8,,
393.98,5.514e+8,5.514e+8,,
394.03,7.108e+8,7.108e+8,,
394.08,8.873e+8,8.873e+8,,
394.13,1.073e+9,1.073e+9,,
394.18,1.256e+9,1.256e+9,,
394.23,1.423e+9,1.423e+9,,
394.28,1.562e+9,1.562e+9,,
394.33,1.661e+9,1.661e+9,,
394.38,1.710e+9,1.710e+9,,
394.43,1.704e+9,1.704e+9,,
394.48,1.645e+9,1.645e+9,,
394.53,1.537e+9,1.537e+9,,
394.58,1.392e+9,1.392e+9,,
394.63,1.220e+9,1.220e+9,,
394.68,1.035e+9,1.035e+9,,
394.73,8.510e+8,8.510e+8,,
394.78,6.774e+8,6.774e+8,,
394.83,5.221e+8,5.221e+8,,
394.88,3.898e+8,3.898e+8,,
394.93,2.819e+8,2.819e+8,,
394.98,1.977e+8,1.977e+8,,
395.03,1.347e+8,1.347e+8,,
395.08,8.997e+7,8.997e+7,,
395.13,6.017e+7,6.017e+7,,
395.18,4.266e+7,4.266e+7,,
395.23,3.569e+7,3.569e+7,,
395.28,3.877e+7,3.877e+7,,
395.33,5.280e+7,5.280e+7,,
395.38,8.026e+7,8.026e+7,,
395.43,1.252e+8,1.252e+8,,
395.48,1.929e+8,1.929e+8,,
395.53,2.900e+8,2.900e+8,,
395.58,4.232e+8,4.232e+8,,
395.63,5.988e+8,5.988e+8,,1.489e-21
395.68,8.207e+8,8.207e+8,,6.597e-21
395.73,1.090e+9,1.090e+9,,2.833e-20
395.78,1.402e+9,1.402e+9,,1.179e-19
395.83,1.746e+9,1.746e+9,,4.752e-19
395.88,2.107e+9,2.107e+9,,1.856e-18
395.93,2.463e+9,2.463e+9,,7.025e-18
395.98,2.789e+9,2.789e+9,,2.576e-17
396.03,3.059e+9,3.059e+9,,9.154e-17
396.08,3.250e+9,3.250e+9,,3.152e-16
396.13,3.345e+9,3.345e+9,,1.051e-15
396.18,3.334e+9,3.334e+9,,3.399e-15
396.23,3.219e+9,3.219e+9,,1.064e-14
396.28,3.011e+9,3.011e+9,,3.230e-14
396.33,2.728e+9,2.728e+9,,9.498e-14
396.38,2.394e+9,2.394e+9,,2.706e-13
396.43,2.035e+9,2.035e+9,,7.471e-13
396.48,1.675e+9,1.675e+9,,1.998e-12
396.53,1.336e+9,1.336e+9,,5.179e-12
396.58,1.032e+9,1.032e+9,,1.301e-11
396.63,7.725e+8,7.725e+8,,3.165e-11
396.68,5.599e+8,5.599e+8,,7.462e-11
396.73,3.931e+8,3.931e+8,,1.705e-10
396.78,2.674e+8,2.674e+8,,3.773e-10
396.83,1.761e+8,1.761e+8,,8.093e-10
396.88,1.124e+8,1.124e+8,,1.682e-9
396.93,6.948e+7,6.948e+7,,3.386e-9
396.98,4.160e+7,4.160e+7,,6.607e-9
397.03,2.412e+7,2.412e+7,,1.249e-8
397.08,1.355e+7,1.355e+7,,2.288e-8
397.13,7.374e+6,7.374e+6,,4.061e-8
397.18,3.887e+6,3.887e+6,2.712e-13,6.983e-8
397.23,1.985e+6,1.985e+6,1.638e-12,1.164e-7
397.28,9.815e+5,9.815e+5,7.067e-12,1.879e-7
397.33,4.702e+5,4.702e+5,2.956e-11,2.939e-7
397.38,2.182e+5,2.182e+5,1.199e-10,4.455e-7
397.43,9.806e+4,9.806e+4,4.711e-10,6.543e-7
397.48,4.269e+4,4.269e+4,1.794e-9,9.311e-7
397.53,1.800e+4,1.800e+4,6.626e-9,1.284e-6
397.58,7.355e+3,7.355e+3,2.371e-8,1.715e-6
397.63,2.910e+3,2.910e+3,8.227e-8,2.221e-6
397.68,1.115e+3,1.115e+3,2.766e-7,2.785e-6
397.73,4.141e+2,4.141e+2,9.017e-7,3.385e-6
397.78,1.489e+2,1.489e+2,2.849e-6,3.987e-6
397.83,5.188e+1,5.188e+1,8.724e-6,4.549e-6
397.88,1.750e+1,1.750e+1,2.590e-5,5.030e-6
397.93,5.721e+0,5.721e+0,7.452e-5,5.388e-6
397.98,1.811e+0,1.811e+0,2.078e-4,5.593e-6
398.03,5.560e-1,5.554e-1,5.618e-4,5.625e-6
398.08,1.665e-1,1.650e-1,1.472e-3,5.482e-6
398.13,5.122e-2,4.747e-2,3.740e-3,5.176e-6
398.18,2.244e-2,1.323e-2,9.208e-3,4.736e-6
398.23,2.555e-2,3.572e-3,2.198e-2,4.199e-6
398.28,5.178e-2,9.341e-4,5.084e-2,3.607e-6
398.33,1.143e-1,2.366e-4,1.140e-1,3.002e-6
398.38,2.479e-1,5.805e-5,2.478e-1,2.421e-6
398.43,5.222e-1,1.380e-5,5.222e-1,1.892e-6
398.48,1.067e+0,3.176e-6,1.067e+0,1.432e-6
398.53,2.112e+0,7.083e-7,2.112e+0,1.051e-6
398.58,4.052e+0,,4.052e+0,7.468e-7
398.63,7.539e+0,,7.539e+0,5.144e-7
398.68,1.359e+1,,1.359e+1,3.433e-7
398.73,2.376e+1,,2.376e+1,2.220e-7
398.78,4.026e+1,,4.026e+1,1.391e-7
398.83,6.613e+1,,6.613e+1,8.442e-8
398.88,1.053e+2,,1.053e+2,4.966e-8
