Wavelength (nm),Sum,Cu I (2.9e-01),Cu II (7.1e-01)
247.53,9.768e+5,,9.768e+5
247.58,6.762e+5,,6.762e+5
247.63,4.313e+5,,4.313e+5
247.68,2.536e+5,,2.536e+5
247.73,1.374e+5,1.044e-7,1.374e+5
247.78,6.864e+4,1.087e-6,6.864e+4
247.83,3.178e+4,1.044e-5,3.178e+4
247.88,1.412e+4,9.248e-5,1.412e+4
247.93,7.463e+3,7.561e-4,7.463e+3
247.98,8.036e+3,5.703e-3,8.036e+3
248.03,1.623e+4,3.970e-2,1.623e+4
248.08,3.670e+4,2.549e-1,3.670e+4
248.13,7.880e+4,1.510e+0,7.880e+4
248.18,1.567e+5,8.256e+0,1.567e+5
248.23,2.875e+5,4.164e+1,2.874e+5
248.28,4.865e+5,1.938e+2,4.863e+5
248.33,7.598e+5,8.321e+2,7.590e+5
248.38,1.096e+6,3.296e+3,1.092e+6
248.43,1.462e+6,1.205e+4,1.450e+6
248.48,1.816e+6,4.063e+4,1.775e+6
248.53,2.131e+6,1.264e+5,2.004e+6
248.58,2.450e+6,3.630e+5,2.087e+6
248.63,2.966e+6,9.614e+5,2.004e+6
248.68,4.125e+6,2.350e+6,1.775e+6
248.73,6.748e+6,5.298e+6,1.450e+6
248.78,1.212e+7,1.102e+7,1.092e+6
248.83,2.192e+7,2.116e+7,7.590e+5
248.88,3.796e+7,3.747e+7,4.863e+5
248.93,6.152e+7,6.124e+7,2.874e+5
248.98,9.248e+7,9.233e+7,1.567e+5
249.03,1.285e+8,1.284e+8,7.875e+4
249.08,1.649e+8,1.648e+8,3.651e+4
249.13,1.952e+8,1.952e+8,1.561e+4
249.18,2.133e+8,2.133e+8,6.156e+3
249.23,2.150e+8,2.150e+8,2.239e+3
249.28,2.000e+8,2.000e+8,7.509e+2
249.33,1.716e+8,1.716e+8,2.323e+2
249.38,1.359e+8,1.359e+8,6.627e+1
249.43,9.926e+7,9.926e+7,1.744e+1
249.48,6.691e+7,6.691e+7,4.236e+0
249.53,4.161e+7,4.161e+7,9.738e-1
249.58,2.388e+7,2.388e+7,3.433e-1
249.63,1.264e+7,1.264e+7,7.931e-1
249.68,6.174e+6,6.174e+6,3.576e+0
249.73,2.783e+6,2.783e+6,1.557e+1
249.78,1.157e+6,1.157e+6,6.268e+1
249.83,4.441e+5,4.439e+5,2.331e+2
249.88,1.579e+5,1.571e+5,8.005e+2
249.93,5.386e+4,5.132e+4,2.539e+3
249.98,2.290e+4,1.546e+4,7.435e+3
250.03,2.441e+4,4.299e+3,2.011e+4
