Wavelength (nm),Sum,Cr I (8.9e-02),Cr II (9.1e-01)
  314.2,3.70E+07,4.92E+05,3.65E+07
  314.25,2.17E+07,9.15E+05,2.08E+07
  314.3,1.28E+07,1.62E+06,1.12E+07
  314.35,8.49E+06,2.72E+06,5.77E+06
  314.4,7.17E+06,4.35E+06,2.82E+06
  314.45,7.92E+06,6.61E+06,1.31E+06
  314.5,1.01E+07,9.55E+06,5.77E+05
  314.55,1.34E+07,1.31E+07,2.42E+05
  314.6,1.73E+07,1.72E+07,9.64E+04
  314.65,2.14E+07,2.13E+07,3.65E+04
  314.7,2.52E+07,2.52E+07,1.32E+04
  314.75,2.84E+07,2.84E+07,4.50E+03
  314.8,3.04E+07,3.04E+07,1.46E+03
  314.85,3.10E+07,3.10E+07,4.53E+02
  314.9,3.03E+07,3.03E+07,1.33E+02
  314.95,2.85E+07,2.85E+07,3.72E+01
  315,2.61E+07,2.61E+07,9.86E+00
  315.05,2.36E+07,2.36E+07,2.49E+00
  315.1,2.17E+07,2.17E+07,5.97E-01
  315.15,2.08E+07,2.08E+07,1.36E-01
  315.2,2.13E+07,2.13E+07,2.95E-02
  315.25,2.31E+07,2.31E+07,6.06E-03
  315.3,2.60E+07,2.60E+07,1.19E-03
  315.35,2.95E+07,2.95E+07,2.21E-04
  315.4,3.28E+07,3.28E+07,3.90E-05
  315.45,3.54E+07,3.54E+07,6.55E-06
  315.5,3.67E+07,3.67E+07,1.05E-06
  315.55,3.63E+07,3.63E+07,1.59E-07
  315.6,3.44E+07,3.44E+07,
  315.65,3.10E+07,3.10E+07,
  315.7,2.68E+07,2.68E+07,
  315.75,2.23E+07,2.23E+07,
  315.8,1.81E+07,1.81E+07,
  315.85,1.48E+07,1.48E+07,
  315.9,1.29E+07,1.29E+07,
  315.95,1.26E+07,1.26E+07,
  316,1.39E+07,1.39E+07,
  316.05,1.69E+07,1.69E+07,
  316.1,2.12E+07,2.12E+07,
  316.15,2.64E+07,2.64E+07,
  316.2,3.19E+07,3.19E+07,
  316.25,3.70E+07,3.70E+07,
  316.3,4.10E+07,4.10E+07,
  316.35,4.33E+07,4.33E+07,
  316.4,4.35E+07,4.35E+07,
  316.45,4.16E+07,4.16E+07,
  316.5,3.78E+07,3.78E+07,
  316.55,3.27E+07,3.27E+07,
  316.6,2.69E+07,2.69E+07,
  316.65,2.11E+07,2.11E+07,
  316.7,1.57E+07,1.57E+07,
  316.75,1.11E+07,1.11E+07,
  316.8,7.49E+06,7.49E+06,
  316.85,4.80E+06,4.80E+06,
  316.9,2.93E+06,2.93E+06,
  316.95,1.70E+06,1.70E+06,
  317,9.38E+05,9.38E+05,
  317.05,4.92E+05,4.92E+05,
  317.1,2.46E+05,2.46E+05,
  317.15,1.17E+05,1.17E+05,
  317.2,5.28E+04,5.28E+04,
  317.25,2.27E+04,2.27E+04,
  317.3,9.28E+03,9.28E+03,
  317.35,3.61E+03,3.61E+03,
  317.4,1.34E+03,1.34E+03,
  317.45,4.70E+02,4.70E+02,
  317.5,1.58E+02,1.58E+02,
  317.55,5.02E+01,5.02E+01,
  317.6,1.52E+01,1.52E+01,
  317.65,4.38E+00,4.38E+00,
  317.7,1.20E+00,1.20E+00,
  317.75,3.14E-01,3.14E-01,
  317.8,7.78E-02,7.78E-02,
  317.85,1.84E-02,1.84E-02,
  317.9,4.13E-03,4.13E-03,
  317.95,8.81E-04,8.81E-04,
  318,1.79E-04,1.79E-04,
  318.05,3.46E-05,3.46E-05,
  318.1,6.37E-06,6.37E-06,
  318.15,1.11E-06,1.11E-06,
  318.2,1.85E-07,1.85E-07,
  318.25,2.93E-08,2.93E-08,
  318.3,4.42E-09,4.42E-09,
  321.8,5.22E-09,5.22E-09,
  321.85,3.48E-08,3.48E-08,
  321.9,2.12E-07,2.12E-07,
  321.95,1.24E-06,1.24E-06,
  322,6.86E-06,6.86E-06,
  322.05,3.63E-05,3.63E-05,
  322.1,1.83E-04,1.83E-04,
  322.15,8.82E-04,8.82E-04,
  322.2,4.05E-03,4.05E-03,
  322.25,1.77E-02,1.77E-02,
  322.3,7.39E-02,7.39E-02,
  322.35,2.94E-01,2.94E-01,
  322.4,1.11E+00,1.11E+00,
  322.45,4.03E+00,4.03E+00,
  322.5,1.39E+01,1.39E+01,
  322.55,4.57E+01,4.57E+01,
  322.6,1.43E+02,1.43E+02,
  322.65,4.28E+02,4.28E+02,
  322.7,1.22E+03,1.22E+03,
  322.75,3.31E+03,3.31E+03,
  322.8,8.59E+03,8.59E+03,
  322.85,2.12E+04,2.12E+04,
  322.9,5.00E+04,5.00E+04,
  322.95,1.12E+05,1.12E+05,
  323,2.41E+05,2.41E+05,
  323.05,4.91E+05,4.91E+05,
  323.1,9.57E+05,9.57E+05,
  323.15,1.78E+06,1.78E+06,
  323.2,3.15E+06,3.15E+06,
  323.25,5.32E+06,5.32E+06,
  323.3,8.56E+06,8.56E+06,
  323.35,1.31E+07,1.31E+07,
  323.4,1.93E+07,1.93E+07,
  323.45,2.69E+07,2.69E+07,
  323.5,3.58E+07,3.58E+07,
  323.55,4.54E+07,4.54E+07,
  323.6,5.50E+07,5.50E+07,
  323.65,6.35E+07,6.35E+07,
  323.7,6.99E+07,6.99E+07,
  323.75,7.34E+07,7.34E+07,
  323.8,7.35E+07,7.35E+07,
  323.85,7.01E+07,7.01E+07,
  323.9,6.39E+07,6.39E+07,
  323.95,5.54E+07,5.54E+07,
  324,4.59E+07,4.59E+07,
  324.05,3.62E+07,3.62E+07,
  324.1,2.73E+07,2.73E+07,
  324.15,1.96E+07,1.96E+07,
  324.21,1.24E+07,1.24E+07,
  324.26,8.00E+06,8.00E+06,
  324.31,4.93E+06,4.93E+06,
  324.36,2.90E+06,2.90E+06,
  324.41,1.63E+06,1.63E+06,
  324.46,8.71E+05,8.71E+05,
  324.51,4.44E+05,4.44E+05,
  324.56,2.16E+05,2.16E+05,
  324.61,1.00E+05,1.00E+05,
  324.66,4.44E+04,4.44E+04,
  324.71,1.87E+04,1.87E+04,
  324.76,7.55E+03,7.55E+03,
  324.81,2.90E+03,2.90E+03,
  324.86,1.06E+03,1.06E+03,
  324.91,3.70E+02,3.70E+02,
  324.96,1.23E+02,1.23E+02,
  325.01,3.92E+01,3.92E+01,
  325.06,1.19E+01,1.19E+01,
  325.11,3.43E+00,3.43E+00,
  325.16,9.45E-01,9.45E-01,
  325.21,2.48E-01,2.48E-01,
  325.26,6.22E-02,6.22E-02,
  325.31,1.49E-02,1.49E-02,
  325.36,3.39E-03,3.39E-03,
  325.41,7.37E-04,7.37E-04,
  325.46,1.53E-04,1.53E-04,
  325.51,3.03E-05,3.03E-05,
  325.56,5.71E-06,5.71E-06,
  325.61,1.03E-06,1.03E-06,
  325.66,1.76E-07,1.76E-07,
  325.71,2.89E-08,2.89E-08,
  325.76,2.05E-09,2.05E-09,
  355.72,5.92E-07,5.92E-07,
  355.77,3.11E-06,3.11E-06,
  355.82,1.57E-05,1.57E-05,
  355.87,7.65E-05,7.65E-05,
  355.92,3.57E-04,3.57E-04,
  355.97,1.61E-03,1.61E-03,
  356.02,6.95E-03,6.95E-03,
  356.07,2.89E-02,2.89E-02,
  356.12,1.16E-01,1.16E-01,
  356.17,4.44E-01,4.44E-01,
  356.22,1.64E+00,1.64E+00,
  356.27,5.84E+00,5.84E+00,
  356.32,2.00E+01,2.00E+01,
  356.37,6.57E+01,6.57E+01,
  356.42,2.08E+02,2.08E+02,
  356.47,6.33E+02,6.33E+02,
  356.52,1.85E+03,1.85E+03,
  356.57,5.21E+03,5.21E+03,
  356.62,1.41E+04,1.41E+04,
  356.67,3.67E+04,3.67E+04,
  356.72,9.18E+04,9.18E+04,
  356.77,2.21E+05,2.21E+05,
  356.82,5.12E+05,5.12E+05,
  356.87,1.14E+06,1.14E+06,
  356.92,2.44E+06,2.44E+06,
  356.97,5.02E+06,5.02E+06,
  357.02,9.95E+06,9.95E+06,
  357.07,1.89E+07,1.89E+07,
  357.12,3.47E+07,3.47E+07,
  357.17,6.11E+07,6.11E+07,
  357.22,1.04E+08,1.04E+08,
  357.27,1.69E+08,1.69E+08,
  357.32,2.64E+08,2.64E+08,
  357.37,3.98E+08,3.98E+08,
  357.42,5.77E+08,5.77E+08,
  357.47,8.04E+08,8.04E+08,
  357.52,1.08E+09,1.08E+09,
  357.57,1.39E+09,1.39E+09,
  357.62,1.72E+09,1.72E+09,
  357.67,2.05E+09,2.05E+09,
  357.72,2.35E+09,2.35E+09,
  357.77,2.59E+09,2.59E+09,
  357.82,2.75E+09,2.75E+09,
  357.87,2.80E+09,2.80E+09,
  357.92,2.75E+09,2.75E+09,
  357.97,2.59E+09,2.59E+09,
  358.02,2.35E+09,2.35E+09,
  358.07,2.05E+09,2.05E+09,
  358.12,1.72E+09,1.72E+09,
  358.17,1.39E+09,1.39E+09,
  358.22,1.08E+09,1.08E+09,
  358.27,8.04E+08,8.04E+08,
  358.32,5.77E+08,5.77E+08,
  358.37,3.99E+08,3.99E+08,
  358.42,2.67E+08,2.67E+08,
  358.47,1.74E+08,1.74E+08,
  358.52,1.14E+08,1.14E+08,
  358.57,8.12E+07,8.12E+07,
  358.62,7.07E+07,7.07E+07,
  358.67,8.10E+07,8.10E+07,
  358.72,1.13E+08,1.13E+08,
  358.77,1.70E+08,1.70E+08,
  358.82,2.56E+08,2.56E+08,
  358.87,3.75E+08,3.75E+08,
  358.92,5.33E+08,5.33E+08,
  358.97,7.29E+08,7.29E+08,
  359.02,9.59E+08,9.59E+08,
  359.07,1.21E+09,1.21E+09,
  359.12,1.48E+09,1.48E+09,
  359.17,1.73E+09,1.73E+09,
  359.22,1.96E+09,1.96E+09,
  359.27,2.12E+09,2.12E+09,
  359.32,2.21E+09,2.21E+09,
  359.37,2.22E+09,2.22E+09,
  359.42,2.15E+09,2.15E+09,
  359.47,1.99E+09,1.99E+09,
  359.52,1.78E+09,1.78E+09,
  359.57,1.53E+09,1.53E+09,
  359.62,1.27E+09,1.27E+09,
  359.67,1.01E+09,1.01E+09,
  359.72,7.83E+08,7.83E+08,
  359.77,5.89E+08,5.89E+08,
  359.82,4.39E+08,4.39E+08,
  359.87,3.35E+08,3.35E+08,
  359.92,2.79E+08,2.79E+08,
  359.97,2.69E+08,2.69E+08,
  360.02,3.03E+08,3.03E+08,
  360.07,3.80E+08,3.80E+08,
  360.12,4.97E+08,4.97E+08,
  360.17,6.51E+08,6.51E+08,
  360.22,8.33E+08,8.33E+08,
  360.27,1.03E+09,1.03E+09,
  360.32,1.23E+09,1.23E+09,
  360.37,1.42E+09,1.42E+09,
  360.42,1.58E+09,1.58E+09,
  360.47,1.68E+09,1.68E+09,
  360.52,1.73E+09,1.73E+09,
  360.57,1.71E+09,1.71E+09,
  360.62,1.63E+09,1.63E+09,
  360.67,1.49E+09,1.49E+09,
  360.72,1.31E+09,1.31E+09,
  360.77,1.11E+09,1.11E+09,
  360.82,9.06E+08,9.06E+08,
  360.87,7.11E+08,7.11E+08,
  360.92,5.37E+08,5.37E+08,
  360.97,3.90E+08,3.90E+08,
  361.02,2.73E+08,2.73E+08,
  361.07,1.84E+08,1.84E+08,
  361.12,1.19E+08,1.19E+08,
  361.17,7.41E+07,7.41E+07,
  361.22,4.44E+07,4.44E+07,
  361.27,2.56E+07,2.56E+07,
  361.32,1.42E+07,1.42E+07,
  361.37,7.60E+06,7.60E+06,
  361.42,3.91E+06,3.91E+06,
  361.47,1.93E+06,1.93E+06,
  361.52,9.20E+05,9.20E+05,
  361.57,4.21E+05,4.21E+05,
  361.62,1.86E+05,1.86E+05,
  361.67,7.87E+04,7.87E+04,
  361.72,3.21E+04,3.21E+04,
  361.77,1.26E+04,1.26E+04,
  361.82,4.77E+03,4.77E+03,
  361.87,1.73E+03,1.73E+03,
  361.92,6.06E+02,6.06E+02,
  361.97,2.04E+02,2.04E+02,
  362.02,6.62E+01,6.62E+01,
  362.07,2.06E+01,2.06E+01,
  362.12,6.19E+00,6.19E+00,
  362.17,1.79E+00,1.79E+00,
  362.22,5.12E-01,5.12E-01,
  362.27,1.91E-01,1.91E-01,
  362.32,2.41E-01,2.41E-01,
  362.37,7.20E-01,7.20E-01,
  362.42,2.36E+00,2.36E+00,
  362.47,7.50E+00,7.50E+00,
  362.52,2.30E+01,2.30E+01,
  362.57,6.80E+01,6.80E+01,
  362.62,1.93E+02,1.93E+02,
  362.67,5.30E+02,5.30E+02,
  362.72,1.40E+03,1.40E+03,
  362.77,3.55E+03,3.55E+03,
  362.82,8.68E+03,8.68E+03,
  362.87,2.05E+04,2.05E+04,
  362.92,4.64E+04,4.64E+04,
  362.97,1.01E+05,1.01E+05,
  363.02,2.13E+05,2.13E+05,
  363.07,4.32E+05,4.32E+05,
  363.12,8.42E+05,8.42E+05,
  363.17,1.58E+06,1.58E+06,
  363.22,2.86E+06,2.86E+06,
  363.27,4.98E+06,4.98E+06,
  363.32,8.35E+06,8.35E+06,
  363.37,1.35E+07,1.35E+07,
  363.42,2.10E+07,2.10E+07,
  363.47,3.14E+07,3.14E+07,
  363.52,4.53E+07,4.53E+07,
  363.57,6.29E+07,6.29E+07,
  363.62,8.41E+07,8.41E+07,
  363.67,1.08E+08,1.08E+08,
  363.72,1.34E+08,1.34E+08,
  363.77,1.60E+08,1.60E+08,
  363.82,1.84E+08,1.84E+08,
  363.87,2.04E+08,2.04E+08,
  363.92,2.18E+08,2.18E+08,
  363.97,2.24E+08,2.24E+08,
  364.02,2.21E+08,2.21E+08,
  364.07,2.11E+08,2.11E+08,
  364.12,1.93E+08,1.93E+08,
  364.17,1.70E+08,1.70E+08,
  364.22,1.45E+08,1.45E+08,
  364.27,1.19E+08,1.19E+08,
  364.32,9.35E+07,9.35E+07,
  364.37,7.10E+07,7.10E+07,
  364.42,5.19E+07,5.19E+07,
  364.47,3.65E+07,3.65E+07,
  364.52,2.48E+07,2.48E+07,
  364.57,1.62E+07,1.62E+07,
  364.62,1.02E+07,1.02E+07,
  364.67,6.15E+06,6.15E+06,
  364.72,3.59E+06,3.59E+06,
  364.77,2.01E+06,2.01E+06,
  364.82,1.09E+06,1.09E+06,
  364.87,5.67E+05,5.67E+05,
  364.92,2.84E+05,2.84E+05,
  364.97,1.37E+05,1.37E+05,
  365.02,6.37E+04,6.37E+04,
  365.07,2.85E+04,2.85E+04,
  365.12,1.23E+04,1.23E+04,
  365.17,5.10E+03,5.10E+03,
  365.22,2.04E+03,2.04E+03,
  365.27,7.85E+02,7.85E+02,
  365.32,2.91E+02,2.91E+02,
  365.37,1.04E+02,1.04E+02,
  365.42,3.57E+01,3.57E+01,
  365.47,1.18E+01,1.18E+01,
  365.52,3.76E+00,3.76E+00,
  365.57,1.15E+00,1.15E+00,
  365.62,3.41E-01,3.41E-01,
  365.67,9.71E-02,9.71E-02,
  365.72,2.66E-02,2.66E-02,
  365.77,7.02E-03,7.02E-03,
  365.82,1.78E-03,1.78E-03,
  365.87,4.36E-04,4.36E-04,
  365.92,1.03E-04,1.03E-04,
  365.97,2.33E-05,2.33E-05,
  366.02,5.10E-06,5.10E-06,
  366.07,1.07E-06,1.07E-06,
  366.12,2.17E-07,2.17E-07,
  366.17,4.24E-08,4.24E-08,
  372.12,1.28E-08,1.28E-08,
  372.17,6.33E-08,6.33E-08,
  372.22,3.06E-07,3.06E-07,
  372.27,1.42E-06,1.42E-06,
  372.32,6.31E-06,6.31E-06,
  372.37,2.72E-05,2.72E-05,
  372.42,1.13E-04,1.13E-04,
  372.47,4.52E-04,4.52E-04,
  372.52,1.75E-03,1.75E-03,
  372.57,6.52E-03,6.52E-03,
  372.62,2.35E-02,2.35E-02,
  372.67,8.16E-02,8.16E-02,
  372.72,2.74E-01,2.74E-01,
  372.77,8.86E-01,8.86E-01,
  372.82,2.77E+00,2.77E+00,
  372.87,8.33E+00,8.33E+00,
  372.92,2.42E+01,2.42E+01,
  372.97,6.80E+01,6.80E+01,
  373.02,1.84E+02,1.84E+02,
  373.07,4.81E+02,4.81E+02,
  373.12,1.21E+03,1.21E+03,
  373.17,2.95E+03,2.95E+03,
  373.22,6.93E+03,6.93E+03,
  373.27,1.57E+04,1.57E+04,
  373.32,3.43E+04,3.43E+04,
  373.37,7.24E+04,7.24E+04,
  373.42,1.47E+05,1.47E+05,
  373.47,2.90E+05,2.90E+05,
  373.52,5.49E+05,5.49E+05,
  373.57,1.01E+06,1.01E+06,
  373.62,1.77E+06,1.77E+06,
  373.67,3.02E+06,3.02E+06,
  373.72,4.97E+06,4.97E+06,
  373.77,7.89E+06,7.89E+06,
  373.82,1.21E+07,1.21E+07,
  373.87,1.78E+07,1.78E+07,
  373.92,2.54E+07,2.54E+07,
  373.97,3.50E+07,3.50E+07,
  374.02,4.65E+07,4.65E+07,
  374.07,5.96E+07,5.96E+07,
  374.12,7.37E+07,7.37E+07,
  374.17,8.80E+07,8.80E+07,
  374.22,1.01E+08,1.01E+08,
  374.27,1.13E+08,1.13E+08,
  374.32,1.21E+08,1.21E+08,
  374.37,1.25E+08,1.25E+08,
  374.42,1.25E+08,1.25E+08,
  374.47,1.20E+08,1.20E+08,
  374.52,1.12E+08,1.12E+08,
  374.57,1.01E+08,1.01E+08,
  374.62,8.72E+07,8.72E+07,
  374.67,7.29E+07,7.29E+07,
  374.72,5.89E+07,5.89E+07,
  374.77,4.59E+07,4.59E+07,
  374.82,3.46E+07,3.46E+07,
  374.87,2.52E+07,2.52E+07,
  374.92,1.78E+07,1.78E+07,
  374.97,1.24E+07,1.24E+07,
  375.02,8.65E+06,8.65E+06,
  375.07,6.42E+06,6.42E+06,
  375.12,5.46E+06,5.46E+06,
  375.17,5.63E+06,5.63E+06,
  375.22,6.83E+06,6.83E+06,
  375.27,9.01E+06,9.01E+06,
  375.32,1.21E+07,1.21E+07,
  375.37,1.61E+07,1.61E+07,
  375.42,2.09E+07,2.09E+07,
  375.47,2.62E+07,2.62E+07,
  375.52,3.18E+07,3.18E+07,
  375.57,3.73E+07,3.73E+07,
  375.62,4.22E+07,4.22E+07,
  375.67,4.61E+07,4.61E+07,
  375.72,4.86E+07,4.86E+07,
  375.77,4.95E+07,4.95E+07,
  375.82,4.87E+07,4.87E+07,
  375.87,4.62E+07,4.62E+07,
  375.92,4.24E+07,4.24E+07,
  375.97,3.76E+07,3.76E+07,
  376.02,3.23E+07,3.23E+07,
  376.07,2.70E+07,2.70E+07,
  376.12,2.21E+07,2.21E+07,
  376.17,1.79E+07,1.79E+07,
  376.22,1.48E+07,1.48E+07,
  376.27,1.28E+07,1.28E+07,
  376.32,1.21E+07,1.21E+07,
  376.37,1.26E+07,1.26E+07,
  376.42,1.42E+07,1.42E+07,
  376.47,1.69E+07,1.69E+07,
  376.52,2.03E+07,2.03E+07,
  376.57,2.42E+07,2.42E+07,
  376.62,2.82E+07,2.82E+07,
  376.67,3.19E+07,3.19E+07,
  376.72,3.49E+07,3.49E+07,
  376.77,3.70E+07,3.70E+07,
  376.82,3.79E+07,3.79E+07,
  376.87,3.74E+07,3.74E+07,
  376.92,3.58E+07,3.58E+07,
  376.97,3.30E+07,3.30E+07,
  377.02,2.94E+07,2.94E+07,
  377.07,2.52E+07,2.52E+07,
  377.12,2.10E+07,2.10E+07,
  377.17,1.68E+07,1.68E+07,
  377.22,1.30E+07,1.30E+07,
  377.27,9.72E+06,9.72E+06,
  377.32,7.02E+06,7.02E+06,
  377.37,4.89E+06,4.89E+06,
  377.42,3.29E+06,3.29E+06,
  377.47,2.14E+06,2.14E+06,
  377.52,1.34E+06,1.34E+06,
  377.57,8.14E+05,8.14E+05,
  377.62,4.76E+05,4.76E+05,
  377.67,2.69E+05,2.69E+05,
  377.72,1.47E+05,1.47E+05,
  377.77,7.74E+04,7.74E+04,
  377.82,3.94E+04,3.94E+04,
  377.87,1.94E+04,1.94E+04,
  377.92,9.19E+03,9.19E+03,
  377.97,4.21E+03,4.21E+03,
  378.02,1.86E+03,1.86E+03,
  378.07,7.96E+02,7.96E+02,
  378.12,3.29E+02,3.29E+02,
  378.17,1.31E+02,1.31E+02,
  378.22,5.04E+01,5.04E+01,
  378.27,1.87E+01,1.87E+01,
  378.32,6.72E+00,6.72E+00,
  378.37,2.33E+00,2.33E+00,
  378.42,7.79E-01,7.79E-01,
  378.47,2.52E-01,2.52E-01,
  378.52,7.87E-02,7.87E-02,
  378.57,2.42E-02,2.42E-02,
  378.62,8.75E-03,8.75E-03,
  378.67,8.52E-03,8.52E-03,
  378.72,2.31E-02,2.31E-02,
  378.77,7.50E-02,7.50E-02,
  378.82,2.40E-01,2.40E-01,
  378.87,7.42E-01,7.42E-01,
  378.92,2.22E+00,2.22E+00,
  378.97,6.40E+00,6.40E+00,
  379.02,1.79E+01,1.79E+01,
  379.07,4.81E+01,4.81E+01,
  379.12,1.25E+02,1.25E+02,
  379.17,3.15E+02,3.15E+02,
  379.22,7.65E+02,7.65E+02,
  379.27,1.80E+03,1.80E+03,
  379.32,4.07E+03,4.07E+03,
  379.37,8.92E+03,8.92E+03,
  379.42,1.89E+04,1.89E+04,
  379.47,3.86E+04,3.86E+04,
  379.52,7.62E+04,7.62E+04,
  379.57,1.45E+05,1.45E+05,
  379.62,2.68E+05,2.68E+05,
  379.67,4.77E+05,4.77E+05,
  379.72,8.20E+05,8.20E+05,
  379.77,1.36E+06,1.36E+06,
  379.82,2.19E+06,2.19E+06,
  379.87,3.39E+06,3.39E+06,
  379.92,5.08E+06,5.08E+06,
  379.97,7.35E+06,7.35E+06,
  380.02,1.03E+07,1.03E+07,
  380.07,1.39E+07,1.39E+07,
  380.12,1.81E+07,1.81E+07,
  380.17,2.28E+07,2.28E+07,
  380.22,2.78E+07,2.78E+07,
  380.27,3.27E+07,3.27E+07,
  380.32,3.71E+07,3.71E+07,
  380.37,4.08E+07,4.08E+07,
  380.42,4.32E+07,4.32E+07,
  380.47,4.43E+07,4.43E+07,
  380.52,4.38E+07,4.38E+07,
  380.57,4.19E+07,4.19E+07,
  380.62,3.87E+07,3.87E+07,
  380.67,3.46E+07,3.46E+07,
  380.72,2.98E+07,2.98E+07,
  380.77,2.48E+07,2.48E+07,
  380.82,2.00E+07,2.00E+07,
  380.87,1.55E+07,1.55E+07,
  380.92,1.16E+07,1.16E+07,
  380.97,8.44E+06,8.44E+06,
  381.02,5.91E+06,5.91E+06,
  381.07,4.00E+06,4.00E+06,
  381.12,2.62E+06,2.62E+06,
  381.17,1.65E+06,1.65E+06,
  381.22,1.01E+06,1.01E+06,
  381.27,5.95E+05,5.95E+05,
  381.32,3.39E+05,3.39E+05,
  381.37,1.86E+05,1.86E+05,
  381.42,9.91E+04,9.91E+04,
  381.47,5.09E+04,5.09E+04,
  381.52,2.52E+04,2.52E+04,
  381.57,1.21E+04,1.21E+04,
  381.62,5.60E+03,5.60E+03,
  381.67,2.50E+03,2.50E+03,
  381.72,1.08E+03,1.08E+03,
  381.77,4.51E+02,4.51E+02,
  381.82,1.82E+02,1.82E+02,
  381.87,7.09E+01,7.09E+01,
  381.92,2.67E+01,2.67E+01,
  381.97,9.69E+00,9.69E+00,
  382.02,3.40E+00,3.40E+00,
  382.07,1.16E+00,1.16E+00,
  382.12,3.78E-01,3.78E-01,
  382.17,1.20E-01,1.20E-01,
  382.22,3.66E-02,3.66E-02,
  382.27,1.08E-02,1.08E-02,
  382.32,3.09E-03,3.09E-03,
  382.37,8.52E-04,8.52E-04,
  382.42,2.27E-04,2.27E-04,
  382.47,5.84E-05,5.84E-05,
  382.52,1.45E-05,1.45E-05,
  382.57,3.49E-06,3.49E-06,
  382.62,8.09E-07,8.09E-07,
  382.67,1.81E-07,1.81E-07,
  382.72,3.93E-08,3.93E-08,
  382.77,8.21E-09,8.21E-09,
  385.98,2.66E-09,2.66E-09,
  386.03,1.24E-08,1.24E-08,
  386.08,5.62E-08,5.62E-08,
  386.13,2.46E-07,2.46E-07,
  386.18,1.04E-06,1.04E-06,
  386.23,4.25E-06,4.25E-06,
  386.28,1.68E-05,1.68E-05,
  386.33,6.45E-05,6.45E-05,
  386.38,2.39E-04,2.39E-04,
  386.43,8.56E-04,8.56E-04,
  386.48,2.97E-03,2.97E-03,
  386.53,9.96E-03,9.96E-03,
  386.58,3.23E-02,3.23E-02,
  386.63,1.01E-01,1.01E-01,
  386.68,3.08E-01,3.08E-01,
  386.73,9.05E-01,9.05E-01,
  386.78,2.57E+00,2.57E+00,
  386.83,7.07E+00,7.07E+00,
  386.88,1.88E+01,1.88E+01,
  386.93,4.84E+01,4.84E+01,
  386.98,1.20E+02,1.20E+02,
  387.03,2.90E+02,2.90E+02,
  387.08,6.75E+02,6.75E+02,
  387.13,1.52E+03,1.52E+03,
  387.18,3.32E+03,3.32E+03,
  387.23,6.99E+03,6.99E+03,
  387.28,1.43E+04,1.43E+04,
  387.33,2.81E+04,2.81E+04,
  387.38,5.37E+04,5.37E+04,
  387.43,9.92E+04,9.92E+04,
  387.48,1.77E+05,1.77E+05,
  387.53,3.06E+05,3.06E+05,
  387.58,5.12E+05,5.12E+05,
  387.63,8.28E+05,8.28E+05,
  387.68,1.30E+06,1.30E+06,
  387.73,1.96E+06,1.96E+06,
  387.78,2.87E+06,2.87E+06,
  387.83,4.07E+06,4.07E+06,
  387.88,5.57E+06,5.57E+06,
  387.93,7.39E+06,7.39E+06,
  387.98,9.47E+06,9.47E+06,
  388.03,1.18E+07,1.18E+07,
  388.08,1.41E+07,1.41E+07,
  388.13,1.64E+07,1.64E+07,
  388.18,1.84E+07,1.84E+07,
  388.23,2.00E+07,2.00E+07,
  388.28,2.10E+07,2.10E+07,
  388.33,2.13E+07,2.13E+07,
  388.38,2.10E+07,2.10E+07,
  388.43,2.00E+07,2.00E+07,
  388.48,1.84E+07,1.84E+07,
  388.53,1.64E+07,1.64E+07,
  388.58,1.41E+07,1.41E+07,
  388.63,1.18E+07,1.18E+07,
  388.68,9.47E+06,9.47E+06,
  388.73,7.39E+06,7.39E+06,
  388.78,5.57E+06,5.57E+06,
  388.83,4.07E+06,4.07E+06,
  388.88,2.87E+06,2.87E+06,
  388.93,1.96E+06,1.96E+06,
  388.98,1.30E+06,1.30E+06,
  389.03,8.28E+05,8.28E+05,
  389.08,5.12E+05,5.12E+05,
  389.13,3.06E+05,3.06E+05,
  389.18,1.77E+05,1.77E+05,
  389.23,9.92E+04,9.92E+04,
  389.28,5.37E+04,5.37E+04,
  389.33,2.82E+04,2.82E+04,
  389.38,1.43E+04,1.43E+04,
  389.43,7.03E+03,7.03E+03,
  389.48,3.41E+03,3.41E+03,
  389.53,1.74E+03,1.74E+03,
  389.58,1.20E+03,1.20E+03,
  389.63,1.50E+03,1.50E+03,
  389.68,2.82E+03,2.82E+03,
  389.73,5.88E+03,5.88E+03,
  389.78,1.22E+04,1.22E+04,
  389.83,2.46E+04,2.46E+04,
  389.88,4.81E+04,4.81E+04,
  389.93,9.11E+04,9.11E+04,
  389.98,1.67E+05,1.67E+05,
  390.03,2.96E+05,2.96E+05,
  390.08,5.08E+05,5.08E+05,
  390.13,8.43E+05,8.43E+05,
  390.18,1.36E+06,1.36E+06,
  390.23,2.11E+06,2.11E+06,
  390.28,3.17E+06,3.17E+06,
  390.33,4.62E+06,4.62E+06,
  390.38,6.52E+06,6.52E+06,
  390.43,8.90E+06,8.90E+06,
  390.48,1.18E+07,1.18E+07,
  390.53,1.50E+07,1.50E+07,
  390.58,1.86E+07,1.86E+07,
  390.63,2.23E+07,2.23E+07,
  390.68,2.58E+07,2.58E+07,
  390.73,2.89E+07,2.89E+07,
  390.78,3.14E+07,3.14E+07,
  390.83,3.30E+07,3.30E+07,
  390.88,3.36E+07,3.36E+07,
  390.93,3.31E+07,3.31E+07,
  390.98,3.16E+07,3.16E+07,
  391.03,2.93E+07,2.93E+07,
  391.08,2.64E+07,2.64E+07,
