Wavelength (nm),Sum,Pb I (1.4e-01),Pb II (8.6e-01)
522.82,9.104e-5,9.104e-5,
522.87,3.350e-5,3.350e-5,
522.92,1.210e-5,1.210e-5,
522.97,4.290e-6,4.290e-6,
523.02,1.494e-6,1.494e-6,
523.07,5.104e-7,5.104e-7,
523.12,1.712e-7,1.712e-7,
523.17,5.639e-8,5.639e-8,
523.22,1.823e-8,1.823e-8,
523.27,5.786e-9,5.786e-9,
