Wavelength (nm),Sum,Cu I (2.9e-01),Cu II (7.1e-01)
207.62,3.423e+1,,3.423e+1
207.67,5.762e+1,,5.762e+1
207.72,8.640e+1,,8.640e+1
207.77,1.154e+2,,1.154e+2
207.82,1.373e+2,,1.373e+2
207.87,1.454e+2,,1.454e+2
207.92,1.373e+2,,1.373e+2
207.97,1.154e+2,,1.154e+2
208.02,8.645e+1,,8.645e+1
208.07,5.778e+1,,5.778e+1
208.12,3.465e+1,,3.465e+1
208.17,1.914e+1,,1.914e+1
208.22,1.082e+1,,1.082e+1
208.27,8.183e+0,,8.183e+0
208.32,9.885e+0,,9.885e+0
208.37,1.534e+1,,1.534e+1
208.42,2.500e+1,,2.500e+1
208.47,4.040e+1,,4.040e+1
208.52,6.387e+1,,6.387e+1
208.57,9.733e+1,,9.733e+1
208.62,1.401e+2,,1.401e+2
208.67,1.868e+2,,1.868e+2
208.72,2.275e+2,,2.275e+2
208.77,2.503e+2,,2.503e+2
208.82,2.476e+2,,2.476e+2
208.87,2.194e+2,,2.194e+2
208.92,1.741e+2,,1.741e+2
208.97,1.240e+2,,1.240e+2
209.02,8.047e+1,,8.047e+1
209.07,4.984e+1,,4.984e+1
209.12,3.335e+1,,3.335e+1
209.17,2.853e+1,,2.853e+1
209.22,3.123e+1,,3.123e+1
209.27,3.698e+1,,3.698e+1
209.32,4.192e+1,,4.192e+1
209.37,4.370e+1,,4.370e+1
209.42,4.202e+1,,4.202e+1
209.47,3.890e+1,,3.890e+1
209.52,3.795e+1,,3.795e+1
209.57,4.310e+1,,4.310e+1
209.62,5.683e+1,,5.683e+1
209.67,7.865e+1,,7.865e+1
209.72,1.044e+2,,1.044e+2
209.77,1.272e+2,,1.272e+2
209.82,1.401e+2,,1.401e+2
209.87,1.401e+2,,1.401e+2
209.92,1.323e+2,,1.323e+2
209.97,1.349e+2,,1.349e+2
210.02,1.876e+2,,1.876e+2
210.07,3.661e+2,,3.661e+2
210.12,7.976e+2,,7.976e+2
210.17,1.662e+3,,1.662e+3
210.22,3.145e+3,,3.145e+3
210.27,5.339e+3,,5.339e+3
210.32,8.104e+3,,8.104e+3
210.37,1.099e+4,,1.099e+4
210.42,1.331e+4,,1.331e+4
210.47,1.441e+4,,1.441e+4
210.52,1.393e+4,,1.393e+4
210.57,1.203e+4,,1.203e+4
210.62,9.290e+3,,9.290e+3
210.67,6.435e+3,,6.435e+3
210.72,4.069e+3,,4.069e+3
210.77,2.543e+3,,2.543e+3
210.82,2.024e+3,,2.024e+3
210.87,2.644e+3,,2.644e+3
210.92,4.593e+3,,4.593e+3
210.97,8.050e+3,,8.050e+3
211.02,1.295e+4,,1.295e+4
211.07,1.871e+4,,1.871e+4
211.12,2.420e+4,,2.420e+4
211.17,2.799e+4,,2.799e+4
211.22,2.895e+4,,2.895e+4
211.27,2.676e+4,,2.676e+4
211.32,2.212e+4,,2.212e+4
211.37,1.636e+4,,1.636e+4
211.42,1.084e+4,,1.084e+4
211.47,6.463e+3,,6.463e+3
211.52,3.518e+3,,3.518e+3
211.57,1.822e+3,,1.822e+3
211.62,9.872e+2,,9.872e+2
211.67,6.398e+2,,6.398e+2
211.72,5.168e+2,,5.168e+2
211.77,4.872e+2,,4.872e+2
211.82,5.415e+2,,5.415e+2
211.87,7.870e+2,,7.870e+2
211.92,1.457e+3,,1.457e+3
211.97,2.913e+3,,2.913e+3
212.02,5.578e+3,,5.578e+3
212.07,9.774e+3,,9.774e+3
212.12,1.547e+4,,1.547e+4
212.17,2.207e+4,,2.207e+4
212.22,2.852e+4,,2.852e+4
212.27,3.367e+4,,3.367e+4
212.32,3.690e+4,,3.690e+4
212.37,3.840e+4,,3.840e+4
212.42,3.898e+4,,3.898e+4
212.47,3.935e+4,,3.935e+4
212.52,3.952e+4,,3.952e+4
212.57,3.875e+4,,3.875e+4
212.62,3.611e+4,,3.611e+4
212.67,3.126e+4,,3.126e+4
212.72,2.474e+4,,2.474e+4
212.77,1.773e+4,,1.773e+4
212.82,1.145e+4,,1.145e+4
212.87,6.645e+3,,6.645e+3
212.92,3.476e+3,,3.476e+3
212.97,1.671e+3,,1.671e+3
213.02,8.503e+2,,8.503e+2
213.07,7.866e+2,,7.866e+2
213.12,1.626e+3,,1.626e+3
213.17,4.114e+3,,4.114e+3
213.22,9.823e+3,,9.823e+3
213.27,2.122e+4,,2.122e+4
213.32,4.121e+4,,4.121e+4
213.37,7.183e+4,,7.183e+4
213.42,1.123e+5,,1.123e+5
213.47,1.575e+5,,1.575e+5
213.52,1.981e+5,,1.981e+5
213.57,2.233e+5,,2.233e+5
213.62,2.257e+5,,2.257e+5
213.67,2.044e+5,,2.044e+5
213.72,1.659e+5,,1.659e+5
213.77,1.207e+5,,1.207e+5
213.82,7.874e+4,,7.874e+4
213.87,4.602e+4,,4.602e+4
213.92,2.410e+4,,2.410e+4
213.97,1.132e+4,,1.132e+4
214.02,4.761e+3,,4.761e+3
214.07,1.795e+3,,1.795e+3
214.12,6.071e+2,,6.071e+2
214.17,1.852e+2,,1.852e+2
