Wavelength (nm),Sum,Zn I (3.9e-01),Zn II (6.1e-01)
256.63,4.955e+4,,4.955e+4
256.68,8.951e+4,,8.951e+4
256.73,1.527e+5,,1.527e+5
256.78,2.421e+5,,2.421e+5
256.83,3.561e+5,,3.561e+5
256.88,4.857e+5,,4.857e+5
256.93,6.141e+5,,6.141e+5
256.98,7.198e+5,,7.198e+5
257.03,7.823e+5,,7.823e+5
257.08,7.882e+5,,7.882e+5
257.13,7.363e+5,,7.363e+5
257.18,6.377e+5,,6.377e+5
257.23,5.121e+5,,5.121e+5
257.28,3.812e+5,,3.812e+5
257.33,2.631e+5,,2.631e+5
257.38,1.684e+5,,1.684e+5
257.43,9.990e+4,,9.990e+4
257.48,5.495e+4,,5.495e+4
257.53,2.802e+4,,2.802e+4
257.58,1.325e+4,,1.325e+4
257.63,5.808e+3,,5.808e+3
257.68,2.360e+3,,2.360e+3
257.73,8.894e+2,,8.894e+2
257.78,3.107e+2,,3.107e+2
257.83,1.006e+2,,1.006e+2
257.88,3.022e+1,,3.022e+1
257.93,8.412e+0,,8.412e+0
257.98,2.171e+0,,2.171e+0
258.03,5.196e-1,,5.196e-1
258.08,1.153e-1,,1.153e-1
258.13,2.371e-2,,2.371e-2
258.18,4.522e-3,,4.522e-3
258.23,7.995e-4,,7.995e-4
258.28,1.311e-4,,1.311e-4
258.33,1.992e-5,,1.992e-5
258.38,2.807e-6,,2.807e-6
258.43,3.667e-7,,3.667e-7
258.48,4.441e-8,,4.441e-8
258.53,4.987e-9,,4.987e-9
258.58,5.192e-10,,5.192e-10
258.63,5.011e-11,,5.011e-11
326.26,1.317e-7,1.317e-7,
326.31,8.010e-7,8.010e-7,
326.36,4.651e-6,4.651e-6,
326.41,2.578e-5,2.578e-5,
326.46,1.364e-4,1.364e-4,
326.51,6.891e-4,6.891e-4,
326.56,3.323e-3,3.323e-3,
326.61,1.530e-2,1.530e-2,
326.66,6.723e-2,6.723e-2,
326.71,2.821e-1,2.821e-1,
326.76,1.130e+0,1.130e+0,
326.81,4.320e+0,4.320e+0,
326.86,1.577e+1,1.577e+1,
326.91,5.496e+1,5.496e+1,
326.96,1.828e+2,1.828e+2,
327.01,5.807e+2,5.807e+2,
327.06,1.761e+3,1.761e+3,
327.11,5.096e+3,5.096e+3,
327.16,1.408e+4,1.408e+4,
327.21,3.714e+4,3.714e+4,
327.26,9.353e+4,9.353e+4,
327.31,2.248e+5,2.248e+5,
327.36,5.160e+5,5.160e+5,
327.41,1.131e+6,1.131e+6,
327.46,2.365e+6,2.365e+6,
327.51,4.721e+6,4.721e+6,
327.56,9.000e+6,9.000e+6,
327.61,1.638e+7,1.638e+7,
327.66,2.845e+7,2.845e+7,
327.71,4.718e+7,4.718e+7,
327.76,7.470e+7,7.470e+7,
327.81,1.129e+8,1.129e+8,
327.86,1.629e+8,1.629e+8,
327.91,2.244e+8,2.244e+8,
327.96,2.951e+8,2.951e+8,
328.01,3.704e+8,3.704e+8,
328.06,4.439e+8,4.439e+8,
328.11,5.079e+8,5.079e+8,
328.16,5.547e+8,5.547e+8,
328.21,5.783e+8,5.783e+8,
328.26,5.757e+8,5.757e+8,
328.31,5.470e+8,5.470e+8,
328.36,4.962e+8,4.962e+8,
328.41,4.297e+8,4.297e+8,
328.46,3.553e+8,3.553e+8,
328.51,2.804e+8,2.804e+8,
328.56,2.113e+8,2.113e+8,
328.61,1.519e+8,1.519e+8,
328.66,1.043e+8,1.043e+8,
328.71,6.840e+7,6.840e+7,
328.76,4.280e+7,4.280e+7,
328.81,2.557e+7,2.557e+7,
328.86,1.458e+7,1.458e+7,
328.91,7.940e+6,7.940e+6,
328.96,4.127e+6,4.127e+6,
329.01,2.049e+6,2.049e+6,
329.06,9.728e+5,9.728e+5,
329.11,4.468e+5,4.468e+5,
329.16,2.123e+5,2.123e+5,
329.21,1.396e+5,1.396e+5,
329.26,1.890e+5,1.890e+5,
329.31,4.003e+5,4.003e+5,
329.36,9.162e+5,9.162e+5,
329.41,2.045e+6,2.045e+6,
329.46,4.376e+6,4.376e+6,
329.51,8.948e+6,8.948e+6,
329.56,1.748e+7,1.748e+7,
329.61,3.263e+7,3.263e+7,
329.66,5.817e+7,5.817e+7,
329.71,9.908e+7,9.908e+7,
329.76,1.612e+8,1.612e+8,
329.81,2.506e+8,2.506e+8,
329.86,3.721e+8,3.721e+8,
329.91,5.278e+8,5.278e+8,
329.96,7.153e+8,7.153e+8,
330.01,9.261e+8,9.261e+8,
330.06,1.145e+9,1.145e+9,
330.11,1.353e+9,1.353e+9,
330.16,1.528e+9,1.528e+9,
330.21,1.647e+9,1.647e+9,
330.26,1.697e+9,1.697e+9,
330.31,1.670e+9,1.670e+9,
330.36,1.570e+9,1.570e+9,
330.41,1.410e+9,1.410e+9,
330.46,1.210e+9,1.210e+9,
330.51,9.919e+8,9.919e+8,
330.56,7.768e+8,7.768e+8,
330.61,5.812e+8,5.812e+8,
330.66,4.154e+8,4.154e+8,
330.71,2.837e+8,2.837e+8,
330.76,1.850e+8,1.850e+8,
330.81,1.153e+8,1.153e+8,
330.86,6.866e+7,6.866e+7,
330.91,3.906e+7,3.906e+7,
330.96,2.122e+7,2.122e+7,
331.01,1.102e+7,1.102e+7,
331.06,5.465e+6,5.465e+6,
331.11,2.589e+6,2.589e+6,
331.16,1.172e+6,1.172e+6,
331.21,5.070e+5,5.070e+5,
331.26,2.095e+5,2.095e+5,
331.31,8.269e+4,8.269e+4,
331.36,3.118e+4,3.118e+4,
331.41,1.123e+4,1.123e+4,
331.46,3.867e+3,3.867e+3,
331.51,1.272e+3,1.272e+3,
331.56,3.995e+2,3.995e+2,
331.61,1.199e+2,1.199e+2,
331.66,3.439e+1,3.439e+1,
331.71,9.421e+0,9.421e+0,
331.76,2.466e+0,2.466e+0,
331.81,6.166e-1,6.166e-1,
331.86,1.473e-1,1.473e-1,
331.91,3.362e-2,3.362e-2,
331.96,7.331e-3,7.331e-3,
332.01,1.527e-3,1.527e-3,
332.06,3.040e-4,3.040e-4,
332.11,5.780e-5,5.780e-5,
332.16,1.050e-5,1.050e-5,
332.21,1.823e-6,1.823e-6,
332.26,3.022e-7,3.022e-7,
332.51,1.048e-6,1.048e-6,
332.56,6.192e-6,6.192e-6,
332.61,3.432e-5,3.432e-5,
332.66,1.820e-4,1.820e-4,
332.71,9.225e-4,9.225e-4,
332.76,4.473e-3,4.473e-3,
332.81,2.074e-2,2.074e-2,
332.86,9.199e-2,9.199e-2,
332.91,3.901e-1,3.901e-1,
332.96,1.582e+0,1.582e+0,
333.01,6.139e+0,6.139e+0,
333.06,2.278e+1,2.278e+1,
333.11,8.082e+1,8.082e+1,
333.16,2.743e+2,2.743e+2,
333.21,8.901e+2,8.901e+2,
333.26,2.763e+3,2.763e+3,
333.31,8.203e+3,8.203e+3,
333.36,2.329e+4,2.329e+4,
333.41,6.325e+4,6.325e+4,
333.46,1.643e+5,1.643e+5,
333.51,4.081e+5,4.081e+5,
333.56,9.695e+5,9.695e+5,
333.61,2.203e+6,2.203e+6,
333.66,4.788e+6,4.788e+6,
333.71,9.954e+6,9.954e+6,
333.76,1.979e+7,1.979e+7,
333.81,3.764e+7,3.764e+7,
333.86,6.846e+7,6.846e+7,
333.91,1.191e+8,1.191e+8,
333.96,1.982e+8,1.982e+8,
334.01,3.155e+8,3.155e+8,
334.06,4.804e+8,4.804e+8,
334.11,6.997e+8,6.997e+8,
334.16,9.747e+8,9.747e+8,
334.21,1.299e+9,1.299e+9,
334.26,1.656e+9,1.656e+9,
334.31,2.019e+9,2.019e+9,
334.36,2.355e+9,2.355e+9,
334.41,2.627e+9,2.627e+9,
334.46,2.804e+9,2.804e+9,
334.51,2.863e+9,2.863e+9,
334.56,2.796e+9,2.796e+9,
334.61,2.613e+9,2.613e+9,
334.66,2.336e+9,2.336e+9,
334.71,1.997e+9,1.997e+9,
334.76,1.634e+9,1.634e+9,
334.81,1.279e+9,1.279e+9,
334.86,9.578e+8,9.578e+8,
334.91,6.862e+8,6.862e+8,
334.96,4.703e+8,4.703e+8,
335.01,3.085e+8,3.085e+8,
335.06,1.935e+8,1.935e+8,
335.11,1.162e+8,1.162e+8,
335.16,6.674e+7,6.674e+7,
335.21,3.668e+7,3.668e+7,
335.26,1.929e+7,1.929e+7,
335.31,9.706e+6,9.706e+6,
335.36,4.673e+6,4.673e+6,
335.41,2.153e+6,2.153e+6,
335.46,9.492e+5,9.492e+5,
335.51,4.004e+5,4.004e+5,
335.56,1.616e+5,1.616e+5,
335.61,6.244e+4,6.244e+4,
335.66,2.308e+4,2.308e+4,
335.71,8.165e+3,8.165e+3,
335.76,2.764e+3,2.764e+3,
335.81,8.953e+2,8.953e+2,
335.86,2.775e+2,2.775e+2,
335.91,8.234e+1,8.234e+1,
335.96,2.338e+1,2.338e+1,
336.01,6.351e+0,6.351e+0,
336.06,1.651e+0,1.651e+0,
336.11,4.109e-1,4.109e-1,
336.16,9.785e-2,9.785e-2,
336.21,2.230e-2,2.230e-2,
336.26,4.864e-3,4.864e-3,
336.31,1.015e-3,1.015e-3,
336.36,2.028e-4,2.028e-4,
336.41,3.876e-5,3.876e-5,
336.46,7.090e-6,7.090e-6,
336.51,1.241e-6,1.241e-6,
336.56,1.248e-7,1.248e-7,
488.21,7.599e-11,,7.599e-11
488.26,2.555e-10,,2.555e-10
488.31,8.412e-10,,8.412e-10
488.36,2.713e-9,,2.713e-9
488.41,8.571e-9,,8.571e-9
488.46,2.652e-8,,2.652e-8
488.51,8.039e-8,,8.039e-8
488.56,2.386e-7,,2.386e-7
488.61,6.939e-7,,6.939e-7
488.66,1.976e-6,,1.976e-6
488.71,5.514e-6,,5.514e-6
488.76,1.507e-5,,1.507e-5
488.81,4.033e-5,,4.033e-5
488.86,1.057e-4,,1.057e-4
488.91,2.715e-4,,2.715e-4
488.96,6.827e-4,,6.827e-4
489.01,1.682e-3,,1.682e-3
489.06,4.059e-3,,4.059e-3
489.11,9.592e-3,,9.592e-3
489.16,2.221e-2,,2.221e-2
489.21,5.035e-2,,5.035e-2
489.26,1.118e-1,,1.118e-1
489.31,2.433e-1,,2.433e-1
489.36,5.184e-1,,5.184e-1
489.41,1.082e+0,,1.082e+0
489.46,2.212e+0,,2.212e+0
489.51,4.429e+0,,4.429e+0
489.56,8.687e+0,,8.687e+0
489.61,1.669e+1,,1.669e+1
489.66,3.140e+1,,3.140e+1
489.71,5.787e+1,,5.787e+1
489.76,1.045e+2,,1.045e+2
489.81,1.847e+2,,1.847e+2
489.86,3.200e+2,,3.200e+2
489.91,5.428e+2,,5.428e+2
489.96,9.019e+2,,9.019e+2
490.01,1.468e+3,,1.468e+3
490.06,2.340e+3,,2.340e+3
490.11,3.654e+3,,3.654e+3
490.16,5.588e+3,,5.588e+3
490.21,8.372e+3,,8.372e+3
490.26,1.228e+4,,1.228e+4
490.31,1.765e+4,,1.765e+4
490.36,2.485e+4,,2.485e+4
490.41,3.427e+4,,3.427e+4
490.46,4.628e+4,,4.628e+4
490.51,6.123e+4,,6.123e+4
490.56,7.933e+4,,7.933e+4
490.61,1.007e+5,,1.007e+5
490.66,1.252e+5,,1.252e+5
490.71,1.524e+5,,1.524e+5
490.76,1.818e+5,,1.818e+5
490.81,2.124e+5,,2.124e+5
490.86,2.430e+5,,2.430e+5
490.91,2.724e+5,,2.724e+5
490.96,2.990e+5,,2.990e+5
491.01,3.216e+5,,3.216e+5
491.06,3.389e+5,,3.389e+5
491.11,3.499e+5,,3.499e+5
491.16,3.540e+5,,3.540e+5
491.21,3.512e+5,,3.512e+5
491.26,3.418e+5,,3.418e+5
491.31,3.266e+5,,3.266e+5
491.36,3.070e+5,,3.070e+5
491.41,2.846e+5,,2.846e+5
491.46,2.612e+5,,2.612e+5
491.51,2.390e+5,,2.390e+5
491.56,2.199e+5,,2.199e+5
491.61,2.057e+5,,2.057e+5
491.66,1.983e+5,,1.983e+5
491.71,1.989e+5,,1.989e+5
491.76,2.085e+5,,2.085e+5
491.81,2.277e+5,,2.277e+5
491.86,2.564e+5,,2.564e+5
491.91,2.941e+5,,2.941e+5
491.96,3.397e+5,,3.397e+5
492.01,3.912e+5,,3.912e+5
492.06,4.466e+5,,4.466e+5
492.11,5.029e+5,,5.029e+5
492.16,5.572e+5,,5.572e+5
492.21,6.064e+5,,6.064e+5
492.26,6.476e+5,,6.476e+5
492.31,6.780e+5,,6.780e+5
492.36,6.959e+5,,6.959e+5
492.41,6.998e+5,,6.998e+5
492.46,6.896e+5,,6.896e+5
492.51,6.657e+5,,6.657e+5
492.56,6.296e+5,,6.296e+5
492.61,5.833e+5,,5.833e+5
492.66,5.294e+5,,5.294e+5
492.71,4.707e+5,,4.707e+5
492.76,4.099e+5,,4.099e+5
492.81,3.497e+5,,3.497e+5
492.86,2.923e+5,,2.923e+5
492.91,2.393e+5,,2.393e+5
492.96,1.919e+5,,1.919e+5
493.01,1.508e+5,,1.508e+5
493.06,1.160e+5,,1.160e+5
493.11,8.747e+4,,8.747e+4
493.16,6.460e+4,,6.460e+4
493.21,4.673e+4,,4.673e+4
493.26,3.312e+4,,3.312e+4
493.31,2.299e+4,,2.299e+4
493.36,1.563e+4,,1.563e+4
493.41,1.041e+4,,1.041e+4
493.46,6.796e+3,,6.796e+3
493.51,4.344e+3,,4.344e+3
493.56,2.720e+3,,2.720e+3
493.61,1.668e+3,,1.668e+3
493.66,1.003e+3,,1.003e+3
493.71,5.901e+2,,5.901e+2
493.76,3.403e+2,,3.403e+2
493.81,1.922e+2,,1.922e+2
493.86,1.063e+2,,1.063e+2
493.91,5.764e+1,,5.764e+1
493.96,3.060e+1,,3.060e+1
494.01,1.592e+1,,1.592e+1
494.06,8.109e+0,,8.109e+0
494.11,4.047e+0,,4.047e+0
494.16,1.979e+0,,1.979e+0
494.21,9.476e-1,,9.476e-1
494.26,4.446e-1,,4.446e-1
494.31,2.043e-1,,2.043e-1
494.36,9.198e-2,,9.198e-2
494.41,4.057e-2,,4.057e-2
494.46,1.752e-2,,1.752e-2
494.51,7.416e-3,,7.416e-3
494.56,3.074e-3,,3.074e-3
494.61,1.248e-3,,1.248e-3
494.66,4.966e-4,,4.966e-4
494.71,1.935e-4,,1.935e-4
494.76,7.388e-5,,7.388e-5
494.81,2.762e-5,,2.762e-5
494.86,1.012e-5,,1.012e-5
494.91,3.631e-6,,3.631e-6
494.96,1.276e-6,,1.276e-6
495.01,4.395e-7,,4.395e-7
495.06,1.482e-7,,1.482e-7
495.11,4.898e-8,,4.898e-8
495.16,1.585e-8,,1.585e-8
495.21,5.026e-9,,5.026e-9
495.26,1.561e-9,,1.561e-9
495.31,4.750e-10,,4.750e-10
495.36,1.416e-10,,1.416e-10
598.49,9.568e-12,,9.568e-12
598.54,2.586e-11,,2.586e-11
598.59,6.895e-11,,6.895e-11
598.64,1.813e-10,,1.813e-10
598.69,4.702e-10,,4.702e-10
598.74,1.203e-9,,1.203e-9
598.79,3.034e-9,,3.034e-9
598.84,7.550e-9,,7.550e-9
598.89,1.853e-8,,1.853e-8
598.94,4.485e-8,,4.485e-8
598.99,1.071e-7,,1.071e-7
599.04,2.522e-7,,2.522e-7
599.09,5.856e-7,,5.856e-7
599.14,1.341e-6,,1.341e-6
599.19,3.031e-6,,3.031e-6
599.24,6.754e-6,,6.754e-6
599.29,1.484e-5,,1.484e-5
599.34,3.218e-5,,3.218e-5
599.39,6.880e-5,,6.880e-5
599.44,1.451e-4,,1.451e-4
599.49,3.018e-4,,3.018e-4
599.54,6.190e-4,,6.190e-4
599.59,1.252e-3,,1.252e-3
599.64,2.499e-3,,2.499e-3
599.69,4.920e-3,,4.920e-3
599.74,9.550e-3,,9.550e-3
599.79,1.829e-2,,1.829e-2
599.84,3.453e-2,,3.453e-2
599.89,6.432e-2,,6.432e-2
599.94,1.182e-1,,1.182e-1
599.99,2.141e-1,,2.141e-1
600.04,3.826e-1,,3.826e-1
600.09,6.745e-1,,6.745e-1
600.14,1.173e+0,,1.173e+0
600.19,2.011e+0,,2.011e+0
600.24,3.400e+0,,3.400e+0
600.29,5.672e+0,,5.672e+0
600.34,9.332e+0,,9.332e+0
600.39,1.514e+1,,1.514e+1
600.44,2.423e+1,,2.423e+1
600.49,3.825e+1,,3.825e+1
600.54,5.956e+1,,5.956e+1
600.59,9.146e+1,,9.146e+1
600.64,1.385e+2,,1.385e+2
600.69,2.069e+2,,2.069e+2
600.74,3.049e+2,,3.049e+2
600.79,4.430e+2,,4.430e+2
600.84,6.349e+2,,6.349e+2
600.89,8.976e+2,,8.976e+2
600.94,1.251e+3,,1.251e+3
600.99,1.721e+3,,1.721e+3
601.04,2.334e+3,,2.334e+3
601.09,3.123e+3,,3.123e+3
601.14,4.120e+3,,4.120e+3
601.19,5.362e+3,,5.362e+3
601.24,6.882e+3,,6.882e+3
601.29,8.712e+3,,8.712e+3
601.34,1.088e+4,,1.088e+4
601.39,1.340e+4,,1.340e+4
601.44,1.627e+4,,1.627e+4
601.49,1.949e+4,,1.949e+4
601.54,2.304e+4,,2.304e+4
601.59,2.685e+4,,2.685e+4
601.64,3.086e+4,,3.086e+4
601.69,3.498e+4,,3.498e+4
601.74,3.912e+4,,3.912e+4
601.79,4.314e+4,,4.314e+4
601.84,4.693e+4,,4.693e+4
601.89,5.035e+4,,5.035e+4
601.94,5.328e+4,,5.328e+4
601.99,5.561e+4,,5.561e+4
602.05,5.748e+4,,5.748e+4
602.1,5.819e+4,,5.819e+4
602.15,5.811e+4,,5.811e+4
602.2,5.724e+4,,5.724e+4
602.25,5.561e+4,,5.561e+4
602.3,5.328e+4,,5.328e+4
602.35,5.035e+4,,5.035e+4
602.4,4.693e+4,,4.693e+4
602.45,4.314e+4,,4.314e+4
602.5,3.912e+4,,3.912e+4
602.55,3.498e+4,,3.498e+4
602.6,3.086e+4,,3.086e+4
602.65,2.685e+4,,2.685e+4
602.7,2.304e+4,,2.304e+4
602.75,1.949e+4,,1.949e+4
602.8,1.627e+4,,1.627e+4
602.85,1.340e+4,,1.340e+4
602.9,1.088e+4,,1.088e+4
602.95,8.712e+3,,8.712e+3
603,6.882e+3,,6.882e+3
603.05,5.362e+3,,5.362e+3
603.1,4.120e+3,,4.120e+3
603.15,3.123e+3,,3.123e+3
603.2,2.334e+3,,2.334e+3
603.25,1.721e+3,,1.721e+3
603.3,1.251e+3,,1.251e+3
603.35,8.976e+2,,8.976e+2
603.4,6.349e+2,,6.349e+2
603.45,4.430e+2,,4.430e+2
603.5,3.049e+2,,3.049e+2
603.55,2.069e+2,,2.069e+2
603.6,1.385e+2,,1.385e+2
603.65,9.146e+1,,9.146e+1
603.7,5.956e+1,,5.956e+1
603.75,3.825e+1,,3.825e+1
603.8,2.423e+1,,2.423e+1
603.85,1.514e+1,,1.514e+1
603.9,9.332e+0,,9.332e+0
603.95,5.672e+0,,5.672e+0
604,3.400e+0,,3.400e+0
604.05,2.011e+0,,2.011e+0
604.1,1.173e+0,,1.173e+0
604.15,6.745e-1,,6.745e-1
604.2,3.826e-1,,3.826e-1
604.25,2.141e-1,,2.141e-1
604.3,1.182e-1,,1.182e-1
604.35,6.432e-2,,6.432e-2
604.4,3.453e-2,,3.453e-2
604.45,1.829e-2,,1.829e-2
604.5,9.550e-3,,9.550e-3
604.55,4.920e-3,,4.920e-3
604.6,2.499e-3,,2.499e-3
604.65,1.252e-3,,1.252e-3
604.7,6.190e-4,,6.190e-4
604.75,3.018e-4,,3.018e-4
604.8,1.451e-4,,1.451e-4
604.85,6.880e-5,,6.880e-5
604.9,3.218e-5,,3.218e-5
604.95,1.484e-5,,1.484e-5
605,6.754e-6,,6.754e-6
605.05,3.031e-6,,3.031e-6
605.1,1.341e-6,,1.341e-6
605.15,5.856e-7,,5.856e-7
605.2,2.522e-7,,2.522e-7
605.25,1.071e-7,,1.071e-7
605.3,4.485e-8,,4.485e-8
605.35,1.853e-8,,1.853e-8
605.4,7.550e-9,,7.550e-9
605.45,3.034e-9,,3.034e-9
605.5,1.203e-9,,1.203e-9
605.55,4.702e-10,,4.702e-10
605.6,1.813e-10,,1.813e-10
605.65,6.895e-11,,6.895e-11
605.7,2.586e-11,,2.586e-11
605.75,9.568e-12,,9.568e-12
606.6,2.041e-11,,2.041e-11
606.65,5.401e-11,,5.401e-11
606.7,1.411e-10,,1.411e-10
606.75,3.635e-10,,3.635e-10
606.8,9.242e-10,,9.242e-10
606.85,2.318e-9,,2.318e-9
606.9,5.738e-9,,5.738e-9
606.95,1.401e-8,,1.401e-8
607,3.376e-8,,3.376e-8
607.05,8.027e-8,,8.027e-8
607.1,1.883e-7,,1.883e-7
607.15,4.358e-7,,4.358e-7
607.2,9.951e-7,,9.951e-7
607.25,2.242e-6,,2.242e-6
607.3,4.984e-6,,4.984e-6
607.35,1.093e-5,,1.093e-5
607.4,2.366e-5,,2.366e-5
607.45,5.051e-5,,5.051e-5
607.5,1.064e-4,,1.064e-4
607.55,2.212e-4,,2.212e-4
607.6,4.537e-4,,4.537e-4
607.65,9.181e-4,,9.181e-4
607.7,1.833e-3,,1.833e-3
607.75,3.611e-3,,3.611e-3
607.8,7.019e-3,,7.019e-3
607.85,1.346e-2,,1.346e-2
607.9,2.547e-2,,2.547e-2
607.95,4.755e-2,,4.755e-2
608,8.760e-2,,8.760e-2
608.05,1.592e-1,,1.592e-1
608.1,2.855e-1,,2.855e-1
608.15,5.052e-1,,5.052e-1
608.2,8.819e-1,,8.819e-1
608.25,1.519e+0,,1.519e+0
608.3,2.582e+0,,2.582e+0
608.35,4.329e+0,,4.329e+0
608.4,7.162e+0,,7.162e+0
608.45,1.169e+1,,1.169e+1
608.5,1.883e+1,,1.883e+1
608.55,2.992e+1,,2.992e+1
608.6,4.692e+1,,4.692e+1
608.65,7.259e+1,,7.259e+1
608.7,1.108e+2,,1.108e+2
608.75,1.669e+2,,1.669e+2
608.8,2.480e+2,,2.480e+2
608.85,3.636e+2,,3.636e+2
608.9,5.259e+2,,5.259e+2
608.95,7.507e+2,,7.507e+2
609,1.057e+3,,1.057e+3
609.05,1.469e+3,,1.469e+3
609.1,2.014e+3,,2.014e+3
609.15,2.724e+3,,2.724e+3
609.2,3.636e+3,,3.636e+3
609.25,4.788e+3,,4.788e+3
609.3,6.221e+3,,6.221e+3
609.35,7.974e+3,,7.974e+3
609.4,1.009e+4,,1.009e+4
609.45,1.259e+4,,1.259e+4
609.5,1.550e+4,,1.550e+4
609.55,1.883e+4,,1.883e+4
609.6,2.257e+4,,2.257e+4
609.65,2.670e+4,,2.670e+4
609.7,3.116e+4,,3.116e+4
609.75,3.587e+4,,3.587e+4
609.8,4.075e+4,,4.075e+4
609.85,4.568e+4,,4.568e+4
609.9,5.052e+4,,5.052e+4
609.95,5.513e+4,,5.513e+4
610,5.935e+4,,5.935e+4
610.05,6.305e+4,,6.305e+4
610.1,6.608e+4,,6.608e+4
610.15,6.834e+4,,6.834e+4
610.2,6.973e+4,,6.973e+4
610.25,7.020e+4,,7.020e+4
610.3,6.973e+4,,6.973e+4
610.35,6.834e+4,,6.834e+4
610.4,6.608e+4,,6.608e+4
610.45,6.305e+4,,6.305e+4
610.5,5.935e+4,,5.935e+4
610.55,5.513e+4,,5.513e+4
610.6,5.052e+4,,5.052e+4
610.65,4.568e+4,,4.568e+4
610.7,4.075e+4,,4.075e+4
610.75,3.587e+4,,3.587e+4
610.8,3.116e+4,,3.116e+4
610.85,2.670e+4,,2.670e+4
610.9,2.257e+4,,2.257e+4
610.95,1.883e+4,,1.883e+4
611,1.550e+4,,1.550e+4
611.05,1.259e+4,,1.259e+4
611.1,1.009e+4,,1.009e+4
611.15,7.974e+3,,7.974e+3
611.2,6.221e+3,,6.221e+3
611.25,4.788e+3,,4.788e+3
611.3,3.636e+3,,3.636e+3
611.35,2.724e+3,,2.724e+3
611.4,2.014e+3,,2.014e+3
611.45,1.469e+3,,1.469e+3
611.5,1.057e+3,,1.057e+3
611.55,7.507e+2,,7.507e+2
611.6,5.259e+2,,5.259e+2
611.65,3.636e+2,,3.636e+2
611.7,2.480e+2,,2.480e+2
611.75,1.669e+2,,1.669e+2
611.8,1.108e+2,,1.108e+2
611.85,7.259e+1,,7.259e+1
611.9,4.692e+1,,4.692e+1
611.95,2.992e+1,,2.992e+1
612,1.883e+1,,1.883e+1
612.05,1.169e+1,,1.169e+1
612.1,7.162e+0,,7.162e+0
612.15,4.329e+0,,4.329e+0
612.2,2.582e+0,,2.582e+0
612.25,1.519e+0,,1.519e+0
612.3,8.819e-1,,8.819e-1
612.35,5.052e-1,,5.052e-1
612.4,2.855e-1,,2.855e-1
612.45,1.592e-1,,1.592e-1
612.5,8.760e-2,,8.760e-2
612.55,4.755e-2,,4.755e-2
612.6,2.547e-2,,2.547e-2
612.65,1.346e-2,,1.346e-2
612.7,7.019e-3,,7.019e-3
612.75,3.611e-3,,3.611e-3
612.8,1.833e-3,,1.833e-3
612.85,9.181e-4,,9.181e-4
612.9,4.537e-4,,4.537e-4
612.95,2.212e-4,,2.212e-4
613,1.064e-4,,1.064e-4
613.05,5.051e-5,,5.051e-5
613.1,2.366e-5,,2.366e-5
613.15,1.093e-5,,1.093e-5
613.2,4.984e-6,,4.984e-6
613.25,2.242e-6,,2.242e-6
613.3,9.951e-7,,9.951e-7
613.35,4.358e-7,,4.358e-7
613.4,1.883e-7,,1.883e-7
613.45,8.027e-8,,8.027e-8
613.5,3.376e-8,,3.376e-8
613.55,1.401e-8,,1.401e-8
613.6,5.738e-9,,5.738e-9
613.65,2.318e-9,,2.318e-9
613.7,9.242e-10,,9.242e-10
613.75,3.635e-10,,3.635e-10
613.8,1.411e-10,,1.411e-10
613.85,5.401e-11,,5.401e-11
613.9,2.041e-11,,2.041e-11
632.4,2.571e-8,2.571e-8,
632.45,6.582e-8,6.582e-8,
632.5,1.664e-7,1.664e-7,
632.55,4.156e-7,4.156e-7,
632.6,1.025e-6,1.025e-6,
632.65,2.498e-6,2.498e-6,
632.7,6.012e-6,6.012e-6,
632.75,1.429e-5,1.429e-5,
632.8,3.356e-5,3.356e-5,
632.85,7.782e-5,7.782e-5,
632.9,1.782e-4,1.782e-4,
632.96,4.741e-4,4.741e-4,
633.01,1.057e-3,1.057e-3,
633.06,2.327e-3,2.327e-3,
633.11,5.061e-3,5.061e-3,
633.16,1.087e-2,1.087e-2,
633.21,2.307e-2,2.307e-2,
633.26,4.834e-2,4.834e-2,
633.31,1.001e-1,1.001e-1,
633.36,2.046e-1,2.046e-1,
633.41,4.131e-1,4.131e-1,
633.46,8.241e-1,8.241e-1,
633.51,1.624e+0,1.624e+0,
633.56,3.160e+0,3.160e+0,
633.61,6.073e+0,6.073e+0,
633.66,1.153e+1,1.153e+1,
633.71,2.162e+1,2.162e+1,
633.76,4.004e+1,4.004e+1,
633.81,7.326e+1,7.326e+1,
633.86,1.324e+2,1.324e+2,
633.91,2.363e+2,2.363e+2,
633.96,4.165e+2,4.165e+2,
634.01,7.252e+2,7.252e+2,
634.06,1.247e+3,1.247e+3,
634.11,2.119e+3,2.119e+3,
634.16,3.555e+3,3.555e+3,
634.21,5.892e+3,5.892e+3,
634.26,9.645e+3,9.645e+3,
634.31,1.560e+4,1.560e+4,
634.36,2.491e+4,2.491e+4,
634.41,3.929e+4,3.929e+4,
634.46,6.121e+4,6.121e+4,
634.51,9.420e+4,9.420e+4,
634.56,1.432e+5,1.432e+5,
634.61,2.150e+5,2.150e+5,
634.66,3.188e+5,3.188e+5,
634.71,4.670e+5,4.670e+5,
634.76,6.756e+5,6.756e+5,
634.81,9.654e+5,9.654e+5,
634.86,1.363e+6,1.363e+6,
634.91,1.900e+6,1.900e+6,
634.96,2.616e+6,2.616e+6,
635.01,3.558e+6,3.558e+6,
635.06,4.780e+6,4.780e+6,
