Wavelength (nm),Sum,Zn I (3.9e-01),Zn II (6.1e-01)
770.25,3.455e-2,,3.455e-2
770.3,5.693e-2,,5.693e-2
770.35,9.300e-2,,9.300e-2
770.4,1.507e-1,,1.507e-1
770.45,2.421e-1,,2.421e-1
770.5,3.857e-1,,3.857e-1
770.55,6.094e-1,,6.094e-1
770.6,9.548e-1,,9.548e-1
770.65,1.484e+0,,1.484e+0
770.7,2.286e+0,,2.286e+0
770.75,3.493e+0,,3.493e+0
770.8,5.293e+0,,5.293e+0
770.85,7.953e+0,,7.953e+0
770.9,1.185e+1,,1.185e+1
770.95,1.751e+1,,1.751e+1
771,2.566e+1,,2.566e+1
771.05,3.730e+1,,3.730e+1
771.1,5.375e+1,,5.375e+1
771.15,7.681e+1,,7.681e+1
771.2,1.089e+2,,1.089e+2
771.25,1.530e+2,,1.530e+2
771.3,2.132e+2,,2.132e+2
771.35,2.947e+2,,2.947e+2
771.4,4.039e+2,,4.039e+2
771.45,5.490e+2,,5.490e+2
771.5,7.400e+2,,7.400e+2
771.55,9.891e+2,,9.891e+2
771.6,1.311e+3,,1.311e+3
771.65,1.723e+3,,1.723e+3
771.7,2.247e+3,,2.247e+3
771.75,2.904e+3,,2.904e+3
771.8,3.723e+3,,3.723e+3
771.85,4.733e+3,,4.733e+3
771.9,5.966e+3,,5.966e+3
771.95,7.459e+3,,7.459e+3
772,9.247e+3,,9.247e+3
772.05,1.137e+4,,1.137e+4
772.1,1.386e+4,,1.386e+4
772.15,1.676e+4,,1.676e+4
772.2,2.009e+4,,2.009e+4
772.25,2.389e+4,,2.389e+4
772.3,2.817e+4,,2.817e+4
772.35,3.293e+4,,3.293e+4
772.4,3.819e+4,,3.819e+4
772.45,4.391e+4,,4.391e+4
772.5,5.007e+4,,5.007e+4
772.55,5.662e+4,,5.662e+4
772.6,6.349e+4,,6.349e+4
772.65,7.061e+4,,7.061e+4
772.7,7.787e+4,,7.787e+4
772.75,8.515e+4,,8.515e+4
772.8,9.235e+4,,9.235e+4
772.85,9.932e+4,,9.932e+4
772.9,1.059e+5,,1.059e+5
772.95,1.120e+5,,1.120e+5
773,1.175e+5,,1.175e+5
773.05,1.222e+5,,1.222e+5
773.1,1.260e+5,,1.260e+5
773.15,1.289e+5,,1.289e+5
773.2,1.308e+5,,1.308e+5
773.25,1.315e+5,,1.315e+5
773.3,1.312e+5,,1.312e+5
773.35,1.298e+5,,1.298e+5
773.4,1.273e+5,,1.273e+5
773.45,1.239e+5,,1.239e+5
773.5,1.195e+5,,1.195e+5
773.55,1.143e+5,,1.143e+5
773.6,1.084e+5,,1.084e+5
773.65,1.020e+5,,1.020e+5
773.7,9.519e+4,,9.519e+4
773.75,8.807e+4,,8.807e+4
773.8,8.082e+4,,8.082e+4
773.85,7.355e+4,,7.355e+4
773.9,6.638e+4,,6.638e+4
773.95,5.942e+4,,5.942e+4
774,5.277e+4,,5.277e+4
774.05,4.649e+4,,4.649e+4
774.1,4.064e+4,,4.064e+4
774.15,3.526e+4,,3.526e+4
774.2,3.038e+4,,3.038e+4
774.25,2.602e+4,,2.602e+4
774.3,2.217e+4,,2.217e+4
774.35,1.882e+4,,1.882e+4
774.4,1.597e+4,,1.597e+4
774.45,1.357e+4,,1.357e+4
774.5,1.161e+4,,1.161e+4
774.55,1.006e+4,,1.006e+4
774.6,8.879e+3,,8.879e+3
774.65,8.048e+3,,8.048e+3
774.7,7.532e+3,,7.532e+3
774.75,7.305e+3,,7.305e+3
774.8,7.339e+3,,7.339e+3
774.85,7.608e+3,,7.608e+3
774.9,8.088e+3,,8.088e+3
774.95,8.756e+3,,8.756e+3
775,9.588e+3,,9.588e+3
775.05,1.056e+4,,1.056e+4
775.1,1.165e+4,,1.165e+4
775.15,1.284e+4,,1.284e+4
775.2,1.409e+4,,1.409e+4
775.25,1.539e+4,,1.539e+4
775.3,1.670e+4,,1.670e+4
775.35,1.799e+4,,1.799e+4
775.4,1.925e+4,,1.925e+4
775.45,2.043e+4,,2.043e+4
775.5,2.151e+4,,2.151e+4
775.55,2.246e+4,,2.246e+4
775.6,2.327e+4,,2.327e+4
775.65,2.392e+4,,2.392e+4
775.7,2.437e+4,,2.437e+4
775.75,2.464e+4,,2.464e+4
775.8,2.470e+4,,2.470e+4
775.85,2.455e+4,,2.455e+4
775.9,2.421e+4,,2.421e+4
775.95,2.367e+4,,2.367e+4
776,2.295e+4,,2.295e+4
776.05,2.208e+4,,2.208e+4
776.1,2.105e+4,,2.105e+4
776.15,1.991e+4,,1.991e+4
776.2,1.868e+4,,1.868e+4
776.25,1.738e+4,,1.738e+4
776.3,1.603e+4,,1.603e+4
776.35,1.467e+4,,1.467e+4
776.4,1.331e+4,,1.331e+4
776.45,1.198e+4,,1.198e+4
776.5,1.069e+4,,1.069e+4
776.55,9.460e+3,,9.460e+3
776.6,8.303e+3,,8.303e+3
776.65,7.227e+3,,7.227e+3
776.7,6.239e+3,,6.239e+3
776.75,5.341e+3,,5.341e+3
776.8,4.535e+3,,4.535e+3
776.85,3.818e+3,,3.818e+3
776.9,3.189e+3,,3.189e+3
776.95,2.641e+3,,2.641e+3
777,2.169e+3,,2.169e+3
777.05,1.766e+3,,1.766e+3
777.1,1.427e+3,,1.427e+3
777.15,1.143e+3,,1.143e+3
777.2,9.080e+2,,9.080e+2
777.25,7.153e+2,,7.153e+2
777.3,5.589e+2,,5.589e+2
777.35,4.331e+2,,4.331e+2
777.4,3.328e+2,,3.328e+2
777.45,2.537e+2,,2.537e+2
777.5,1.917e+2,,1.917e+2
777.55,1.437e+2,,1.437e+2
777.6,1.068e+2,,1.068e+2
777.65,7.875e+1,,7.875e+1
777.7,5.757e+1,,5.757e+1
777.75,4.174e+1,,4.174e+1
777.8,3.002e+1,,3.002e+1
777.85,2.140e+1,,2.140e+1
777.9,1.514e+1,,1.514e+1
777.95,1.062e+1,,1.062e+1
778,7.384e+0,,7.384e+0
778.05,5.094e+0,,5.094e+0
778.1,3.485e+0,,3.485e+0
778.15,2.364e+0,,2.364e+0
778.2,1.591e+0,,1.591e+0
778.25,1.061e+0,,1.061e+0
778.3,7.023e-1,,7.023e-1
778.35,4.609e-1,,4.609e-1
778.4,3.000e-1,,3.000e-1
778.45,1.936e-1,,1.936e-1
778.5,1.239e-1,,1.239e-1
778.55,7.867e-2,,7.867e-2
778.6,4.953e-2,,4.953e-2
778.65,3.092e-2,,3.092e-2
778.7,1.915e-2,,1.915e-2
778.75,1.176e-2,,1.176e-2
778.8,7.160e-3,,7.160e-3
778.85,4.324e-3,,4.324e-3
778.9,2.590e-3,,2.590e-3
778.95,1.538e-3,,1.538e-3
779,9.062e-4,,9.062e-4
779.05,5.294e-4,,5.294e-4
779.1,3.067e-4,,3.067e-4
779.15,1.762e-4,,1.762e-4
779.2,1.004e-4,,1.004e-4
779.25,5.675e-5,,5.675e-5
779.3,3.181e-5,,3.181e-5
779.35,1.768e-5,,1.768e-5
779.4,9.744e-6,,9.744e-6
779.45,5.326e-6,,5.326e-6
779.5,2.887e-6,,2.887e-6
779.55,1.552e-6,,1.552e-6
779.6,8.277e-7,,8.277e-7
779.65,4.377e-7,,4.377e-7
779.7,2.295e-7,,2.295e-7
779.75,1.194e-7,,1.194e-7
779.8,6.156e-8,,6.156e-8
779.85,3.149e-8,,3.149e-8
779.9,1.597e-8,,1.597e-8
779.95,8.035e-9,,8.035e-9
780,4.008e-9,,4.008e-9
780.05,1.983e-9,,1.983e-9
780.1,9.731e-10,,9.731e-10
780.15,4.736e-10,,4.736e-10
780.2,2.285e-10,,2.285e-10
780.25,1.094e-10,,1.094e-10
780.3,5.191e-11,,5.191e-11
780.35,2.444e-11,,2.444e-11
780.4,1.141e-11,,1.141e-11
780.45,5.281e-12,,5.281e-12
