Wavelength (nm),Sum(calc),Cr I (1.8e-2),Cr II (1.8e-1),Fe I (7.5e-2),Fe II (4.1e-1),Fe III (5.6e-5),Ni I (6.1e-2),Ni II (1.9e-1),Ni III (6.3e-6),Cu I (4.4e-3),Cu II (1.1e-2),Mo I (4.3e-3)
307.89,8.056e+2,9.995e-17,2.798e-16,7.999e+1,2.015e+2,1.202e-25,3.696e+2,,3.093e-27,2.604e-16,8.241e-21,1.545e+2
307.92,1.011e+3,9.946e-17,2.799e-16,7.741e+1,1.565e+2,1.202e-25,5.753e+2,,3.097e-27,2.611e-16,8.229e-21,2.015e+2
307.94,1.182e+3,9.913e-17,2.800e-16,8.015e+1,1.293e+2,1.201e-25,7.408e+2,,3.099e-27,2.616e-16,8.221e-21,2.315e+2
307.97,1.465e+3,9.863e-17,2.801e-16,8.571e+1,9.364e+1,1.201e-25,1.016e+3,,3.103e-27,2.623e-16,8.209e-21,2.690e+2
307.99,1.651e+3,9.831e-17,2.802e-16,8.864e+1,7.353e+1,1.201e-25,1.203e+3,,3.105e-27,2.628e-16,8.201e-21,2.863e+2
308.02,1.891e+3,9.781e-17,2.803e-16,9.112e+1,4.895e+1,1.200e-25,1.454e+3,,3.109e-27,2.635e-16,8.189e-21,2.970e+2
308.04,2.004e+3,9.748e-17,2.804e-16,9.240e+1,3.615e+1,1.200e-25,1.582e+3,,3.111e-27,2.640e-16,8.181e-21,2.932e+2
308.07,2.077e+3,9.699e-17,2.805e-16,9.764e+1,2.180e+1,1.200e-25,1.685e+3,,3.115e-27,2.647e-16,8.169e-21,2.723e+2
308.09,2.057e+3,9.666e-17,2.806e-16,1.069e+2,1.502e+1,1.199e-25,1.685e+3,,3.117e-27,2.652e-16,8.161e-21,2.499e+2
308.12,1.936e+3,9.617e-17,2.807e-16,1.371e+2,8.113e+0,1.199e-25,1.582e+3,,3.121e-27,2.659e-16,8.149e-21,2.085e+2
308.14,1.811e+3,9.584e-17,2.808e-16,1.732e+2,5.179e+0,1.199e-25,1.454e+3,,3.123e-27,2.664e-16,8.141e-21,1.785e+2
308.17,1.599e+3,9.535e-17,2.809e-16,2.593e+2,2.489e+0,1.198e-25,1.203e+3,,3.127e-27,2.671e-16,8.129e-21,1.347e+2
308.19,1.467e+3,9.502e-17,2.810e-16,3.409e+2,1.467e+0,1.198e-25,1.016e+3,,3.129e-27,2.676e-16,8.121e-21,1.086e+2
308.22,1.318e+3,9.453e-17,2.811e-16,5.000e+2,6.242e-1,1.197e-25,7.408e+2,,3.133e-27,2.683e-16,8.109e-21,7.682e+1
308.24,1.264e+3,9.420e-17,2.812e-16,6.263e+2,3.390e-1,1.197e-25,5.753e+2,,3.135e-27,2.688e-16,8.101e-21,6.176e+1
308.26,1.247e+3,9.387e-17,2.813e-16,7.622e+2,1.781e-1,1.197e-25,4.320e+2,,3.137e-27,2.693e-16,8.093e-21,5.231e+1
308.29,1.279e+3,9.338e-17,2.814e-16,9.649e+2,6.370e-2,1.196e-25,2.638e+2,,3.141e-27,2.700e-16,8.081e-21,4.994e+1
308.31,1.324e+3,9.305e-17,2.815e-16,1.084e+3,3.079e-2,1.196e-25,1.821e+2,,3.143e-27,2.705e-16,8.073e-21,5.724e+1
308.34,1.395e+3,9.255e-17,2.816e-16,1.214e+3,9.715e-3,1.196e-25,9.799e+1,,3.147e-27,2.712e-16,8.061e-21,8.346e+1
308.36,1.429e+3,9.223e-17,2.817e-16,1.255e+3,4.318e-3,1.195e-25,6.216e+1,,3.149e-27,2.717e-16,8.053e-21,1.122e+2
308.39,1.441e+3,9.173e-17,2.818e-16,1.239e+3,1.201e-3,1.195e-25,2.948e+1,,3.153e-27,2.724e-16,8.041e-21,1.729e+2
308.41,1.419e+3,9.140e-17,2.819e-16,1.178e+3,4.908e-4,1.195e-25,1.719e+1,,3.155e-27,2.729e-16,8.032e-21,2.244e+2
308.44,1.346e+3,9.091e-17,2.820e-16,1.025e+3,1.204e-4,1.194e-25,7.184e+0,,3.159e-27,2.737e-16,8.020e-21,3.139e+2
308.46,1.277e+3,9.058e-17,2.821e-16,8.960e+2,4.520e-5,1.194e-25,3.850e+0,,3.161e-27,2.741e-16,8.012e-21,3.772e+2
308.49,1.156e+3,9.009e-17,2.822e-16,6.874e+2,9.767e-6,1.194e-25,1.418e+0,,3.165e-27,2.749e-16,8.000e-21,4.671e+2
308.51,1.070e+3,8.976e-17,2.823e-16,5.524e+2,3.372e-6,1.193e-25,6.985e-1,,3.167e-27,2.754e-16,7.992e-21,5.166e+2
308.54,9.381e+2,8.927e-17,2.824e-16,3.735e+2,6.420e-7,1.193e-25,2.267e-1,,3.171e-27,2.761e-16,7.980e-21,5.643e+2
308.56,8.501e+2,8.894e-17,2.825e-16,2.759e+2,2.037e-7,1.193e-25,1.027e-1,,3.173e-27,2.766e-16,7.972e-21,5.740e+2
308.59,7.178e+2,8.845e-17,2.826e-16,1.645e+2,3.417e-8,1.192e-25,2.936e-2,,3.177e-27,2.773e-16,7.960e-21,5.533e+2
308.61,6.297e+2,8.812e-17,2.827e-16,1.117e+2,9.966e-9,1.192e-25,1.222e-2,,3.179e-27,2.778e-16,7.952e-21,5.180e+2
308.63,5.428e+2,8.779e-17,2.827e-16,7.335e+1,2.810e-9,1.192e-25,4.917e-3,,3.181e-27,2.783e-16,7.944e-21,4.694e+2
308.66,4.186e+2,8.730e-17,2.829e-16,3.666e+1,3.948e-10,1.191e-25,1.178e-3,,3.185e-27,2.790e-16,7.932e-21,3.819e+2
308.68,3.432e+2,8.697e-17,2.829e-16,2.217e+1,1.023e-10,1.191e-25,4.358e-4,,3.187e-27,2.795e-16,7.924e-21,3.210e+2
308.71,2.467e+2,8.648e-17,2.831e-16,9.894e+0,1.267e-11,1.191e-25,9.202e-5,,3.191e-27,2.802e-16,7.912e-21,2.368e+2
308.73,1.958e+2,8.615e-17,2.831e-16,5.728e+0,3.016e-12,1.190e-25,3.128e-5,,3.193e-27,2.807e-16,7.904e-21,1.900e+2
308.76,1.411e+2,8.565e-17,2.833e-16,3.015e+0,3.291e-13,1.190e-25,5.821e-6,,3.197e-27,2.814e-16,7.892e-21,1.381e+2
308.78,1.188e+2,8.533e-17,2.833e-16,2.833e+0,7.202e-14,1.190e-25,1.819e-6,,3.199e-27,2.819e-16,7.884e-21,1.160e+2
308.81,1.040e+2,8.483e-17,2.835e-16,4.775e+0,6.922e-15,1.189e-25,2.983e-7,,3.203e-27,2.826e-16,7.872e-21,9.925e+1
308.83,1.047e+2,8.450e-17,2.835e-16,7.961e+0,1.392e-15,1.189e-25,8.568e-8,,3.205e-27,2.831e-16,7.864e-21,9.670e+1
308.86,1.181e+2,8.401e-17,2.837e-16,1.723e+1,1.179e-16,1.189e-25,1.244e-8,,3.209e-27,2.838e-16,7.852e-21,1.009e+2
308.88,1.340e+2,8.368e-17,2.837e-16,2.794e+1,2.180e-17,1.188e-25,3.499e-9,,3.211e-27,2.843e-16,7.844e-21,1.061e+2
308.91,1.676e+2,8.319e-17,2.839e-16,5.431e+1,1.627e-18,1.188e-25,2.191e-9,,3.215e-27,2.850e-16,7.832e-21,1.133e+2
308.93,1.970e+2,8.286e-17,2.839e-16,8.116e+1,1.621e-18,1.188e-25,6.729e-9,,3.217e-27,2.855e-16,7.824e-21,1.158e+2
308.96,2.535e+2,8.237e-17,2.841e-16,1.392e+2,1.611e-18,1.187e-25,4.495e-8,,3.221e-27,2.862e-16,7.812e-21,1.142e+2
308.98,3.006e+2,8.204e-17,2.841e-16,1.914e+2,1.605e-18,1.187e-25,1.544e-7,,3.223e-27,2.867e-16,7.804e-21,1.093e+2
309.01,3.863e+2,8.155e-17,2.843e-16,2.896e+2,1.596e-18,1.186e-25,9.239e-7,,3.227e-27,2.874e-16,7.792e-21,9.667e+1
309.03,4.519e+2,8.122e-17,2.844e-16,3.661e+2,1.590e-18,1.186e-25,2.921e-6,,3.229e-27,2.879e-16,7.784e-21,8.581e+1
309.05,5.215e+2,8.089e-17,2.844e-16,4.476e+2,1.583e-18,1.186e-25,8.930e-6,,3.231e-27,2.884e-16,7.776e-21,7.395e+1
309.08,6.244e+2,8.040e-17,2.846e-16,5.682e+2,1.574e-18,1.185e-25,4.485e-5,,3.235e-27,2.891e-16,7.764e-21,5.618e+1
309.1,6.843e+2,8.007e-17,2.846e-16,6.388e+2,1.568e-18,1.185e-25,1.261e-4,,3.237e-27,2.896e-16,7.756e-21,4.553e+1
309.13,7.483e+2,7.957e-17,2.848e-16,7.152e+2,1.559e-18,1.185e-25,5.590e-4,,3.241e-27,2.903e-16,7.744e-21,3.307e+1
309.15,7.675e+2,7.925e-17,2.848e-16,7.396e+2,1.553e-18,1.184e-25,1.447e-3,,3.243e-27,2.908e-16,7.736e-21,2.794e+1
309.18,7.567e+2,7.875e-17,2.850e-16,7.303e+2,1.543e-18,1.184e-25,5.656e-3,,3.247e-27,2.916e-16,7.724e-21,2.639e+1
309.2,7.249e+2,7.842e-17,2.850e-16,6.946e+2,1.537e-18,1.184e-25,1.347e-2,,3.249e-27,2.920e-16,7.716e-21,3.035e+1
309.23,6.506e+2,7.793e-17,2.852e-16,6.050e+2,1.528e-18,1.183e-25,4.647e-2,,3.253e-27,2.928e-16,7.704e-21,4.558e+1
309.25,5.923e+2,7.760e-17,2.852e-16,5.292e+2,1.522e-18,1.183e-25,1.018e-1,,3.255e-27,2.932e-16,7.696e-21,6.308e+1
309.28,5.088e+2,7.711e-17,2.854e-16,4.065e+2,1.512e-18,1.183e-25,3.099e-1,,3.259e-27,2.940e-16,7.684e-21,1.020e+2
309.3,4.644e+2,7.678e-17,2.854e-16,3.270e+2,1.506e-18,1.182e-25,6.244e-1,,3.261e-27,2.945e-16,7.676e-21,1.367e+2
309.33,4.241e+2,7.629e-17,2.856e-16,2.216e+2,1.497e-18,1.182e-25,1.678e+0,,3.265e-27,2.952e-16,7.664e-21,2.008e+2
309.35,4.163e+2,7.596e-17,2.856e-16,1.639e+2,1.491e-18,1.182e-25,3.111e+0,,3.267e-27,2.957e-16,7.656e-21,2.493e+2
309.38,4.296e+2,7.547e-17,2.858e-16,9.802e+1,1.482e-18,1.181e-25,7.378e+0,,3.271e-27,2.964e-16,7.644e-21,3.242e+2
309.4,4.498e+2,7.514e-17,2.858e-16,6.677e+1,1.475e-18,1.181e-25,1.259e+1,,3.273e-27,2.969e-16,7.635e-21,3.705e+2
309.42,4.743e+2,7.481e-17,2.859e-16,4.407e+1,1.469e-18,1.181e-25,2.077e+1,,3.275e-27,2.974e-16,7.627e-21,4.095e+2
309.45,5.109e+2,7.432e-17,2.860e-16,2.253e+1,1.460e-18,1.180e-25,4.137e+1,,3.279e-27,2.981e-16,7.615e-21,4.470e+2
309.47,5.317e+2,7.399e-17,2.861e-16,1.429e+1,1.454e-18,1.180e-25,6.285e+1,,3.281e-27,2.986e-16,7.607e-21,4.546e+2
309.5,5.566e+2,7.349e-17,2.862e-16,8.189e+0,1.445e-18,1.180e-25,1.106e+2,,3.285e-27,2.993e-16,7.595e-21,4.378e+2
309.52,5.715e+2,7.317e-17,2.863e-16,7.188e+0,1.438e-18,1.179e-25,1.549e+2,,3.287e-27,2.998e-16,7.587e-21,4.095e+2
309.55,5.988e+2,7.267e-17,2.864e-16,9.476e+0,1.429e-18,1.179e-25,2.414e+2,,3.291e-27,3.005e-16,7.575e-21,3.480e+2
309.57,6.248e+2,7.234e-17,2.865e-16,1.363e+1,1.423e-18,1.179e-25,3.118e+2,,3.293e-27,3.010e-16,7.567e-21,2.994e+2
309.6,6.814e+2,7.185e-17,2.866e-16,2.488e+1,1.414e-18,1.178e-25,4.320e+2,,3.297e-27,3.017e-16,7.555e-21,2.245e+2
309.62,7.320e+2,7.152e-17,2.867e-16,3.691e+1,1.407e-18,1.178e-25,5.173e+2,,3.299e-27,3.022e-16,7.547e-21,1.778e+2
309.65,8.258e+2,7.103e-17,2.868e-16,6.489e+1,1.398e-18,1.178e-25,6.431e+2,,3.303e-27,3.029e-16,7.535e-21,1.179e+2
309.67,8.991e+2,7.070e-17,2.869e-16,9.288e+1,1.392e-18,1.177e-25,7.200e+2,,3.305e-27,3.034e-16,7.527e-21,8.624e+1
309.7,1.026e+3,7.021e-17,2.870e-16,1.558e+2,1.383e-18,1.177e-25,8.186e+2,,3.309e-27,3.041e-16,7.515e-21,5.157e+1
309.72,1.126e+3,6.988e-17,2.871e-16,2.174e+2,1.377e-18,1.177e-25,8.725e+2,,3.311e-27,3.046e-16,7.507e-21,3.624e+1
309.75,1.318e+3,6.939e-17,2.873e-16,3.530e+2,1.367e-18,1.176e-25,9.419e+2,,3.315e-27,3.053e-16,7.495e-21,2.312e+1
309.77,1.491e+3,6.906e-17,2.873e-16,4.821e+2,1.361e-18,1.176e-25,9.885e+2,,3.317e-27,3.058e-16,7.487e-21,1.999e+1
309.79,1.718e+3,6.873e-17,2.874e-16,6.510e+2,1.355e-18,1.176e-25,1.046e+3,,3.319e-27,3.063e-16,7.479e-21,2.087e+1
309.82,2.207e+3,6.824e-17,2.875e-16,9.948e+2,1.346e-18,1.175e-25,1.182e+3,,3.323e-27,3.070e-16,7.467e-21,2.963e+1
309.84,2.668e+3,6.791e-17,2.876e-16,1.291e+3,1.340e-18,1.175e-25,1.335e+3,,3.325e-27,3.075e-16,7.459e-21,4.085e+1
309.87,3.637e+3,6.741e-17,2.877e-16,1.837e+3,1.330e-18,1.174e-25,1.733e+3,,3.329e-27,3.082e-16,7.447e-21,6.726e+1
309.89,4.519e+3,6.709e-17,2.878e-16,2.256e+3,1.324e-18,1.174e-25,2.171e+3,,3.331e-27,3.087e-16,7.439e-21,9.233e+1
309.92,6.295e+3,6.659e-17,2.879e-16,2.927e+3,1.315e-18,1.174e-25,3.225e+3,,3.335e-27,3.094e-16,7.427e-21,1.427e+2
309.94,7.839e+3,6.626e-17,2.880e-16,3.365e+3,1.309e-18,1.174e-25,4.288e+3,,3.337e-27,3.099e-16,7.419e-21,1.852e+2
309.97,1.077e+4,6.577e-17,2.881e-16,3.936e+3,1.299e-18,1.173e-25,6.577e+3,,3.341e-27,3.107e-16,7.407e-21,2.607e+2
309.99,1.316e+4,6.544e-17,2.882e-16,4.214e+3,1.293e-18,1.173e-25,8.628e+3,,3.343e-27,3.111e-16,7.399e-21,3.169e+2
310.02,1.731e+4,6.495e-17,2.883e-16,4.416e+3,1.284e-18,1.172e-25,1.249e+4,,3.347e-27,3.119e-16,7.387e-21,4.030e+2
310.04,2.035e+4,6.462e-17,2.884e-16,4.389e+3,1.278e-18,1.172e-25,1.550e+4,,3.349e-27,3.123e-16,7.379e-21,4.566e+2
310.07,2.495e+4,6.413e-17,2.885e-16,4.110e+3,1.269e-18,1.172e-25,2.032e+4,,3.353e-27,3.131e-16,7.367e-21,5.212e+2
310.09,2.779e+4,6.380e-17,2.886e-16,3.789e+3,1.262e-18,1.171e-25,2.345e+4,,3.355e-27,3.136e-16,7.359e-21,5.485e+2
310.12,3.115e+4,6.331e-17,2.887e-16,3.167e+3,1.253e-18,1.171e-25,2.742e+4,,3.359e-27,3.143e-16,7.347e-21,5.595e+2
310.14,3.250e+4,6.298e-17,2.888e-16,2.705e+3,1.247e-18,1.171e-25,2.925e+4,,3.361e-27,3.148e-16,7.339e-21,5.455e+2
310.16,3.297e+4,6.265e-17,2.889e-16,2.242e+3,1.241e-18,1.170e-25,3.021e+4,,3.364e-27,3.152e-16,7.331e-21,5.155e+2
310.19,3.189e+4,6.216e-17,2.890e-16,1.597e+3,1.232e-18,1.170e-25,2.985e+4,,3.367e-27,3.160e-16,7.319e-21,4.466e+2
310.21,3.005e+4,6.183e-17,2.891e-16,1.225e+3,1.225e-18,1.170e-25,2.843e+4,,3.369e-27,3.165e-16,7.311e-21,3.901e+2
310.24,2.595e+4,6.134e-17,2.892e-16,7.779e+2,1.216e-18,1.169e-25,2.487e+4,,3.373e-27,3.172e-16,7.299e-21,3.001e+2
310.26,2.265e+4,6.101e-17,2.893e-16,5.529e+2,1.210e-18,1.169e-25,2.185e+4,,3.375e-27,3.177e-16,7.291e-21,2.421e+2
310.29,1.742e+4,6.051e-17,2.894e-16,3.126e+2,1.201e-18,1.169e-25,1.694e+4,,3.379e-27,3.184e-16,7.279e-21,1.653e+2
310.31,1.407e+4,6.019e-17,2.895e-16,2.056e+2,1.194e-18,1.168e-25,1.374e+4,,3.381e-27,3.189e-16,7.271e-21,1.233e+2
310.34,9.665e+3,5.969e-17,2.896e-16,1.035e+2,1.185e-18,1.168e-25,9.487e+3,,3.385e-27,3.196e-16,7.259e-21,7.544e+1
310.36,7.274e+3,5.936e-17,2.897e-16,6.296e+1,1.179e-18,1.168e-25,7.158e+3,,3.387e-27,3.201e-16,7.251e-21,5.298e+1
310.39,4.563e+3,5.887e-17,2.898e-16,2.818e+1,1.170e-18,1.167e-25,4.503e+3,,3.391e-27,3.208e-16,7.238e-21,3.125e+1
310.41,3.298e+3,5.854e-17,2.899e-16,1.585e+1,1.164e-18,1.167e-25,3.259e+3,,3.393e-27,3.213e-16,7.230e-21,2.317e+1
310.44,2.063e+3,5.805e-17,2.900e-16,6.302e+0,1.154e-18,1.167e-25,2.039e+3,,3.397e-27,3.220e-16,7.218e-21,1.811e+1
310.46,1.576e+3,5.772e-17,2.901e-16,3.275e+0,1.148e-18,1.166e-25,1.554e+3,,3.399e-27,3.225e-16,7.210e-21,1.820e+1
310.49,1.175e+3,5.723e-17,2.902e-16,1.156e+0,1.139e-18,1.166e-25,1.152e+3,,3.403e-27,3.232e-16,7.198e-21,2.178e+1
310.51,1.042e+3,5.690e-17,2.903e-16,5.548e-1,1.133e-18,1.166e-25,1.016e+3,,3.405e-27,3.237e-16,7.190e-21,2.563e+1
310.53,9.652e+2,5.657e-17,2.904e-16,2.579e-1,1.127e-18,1.165e-25,9.349e+2,,3.408e-27,3.242e-16,7.182e-21,3.004e+1
310.56,8.886e+2,5.608e-17,2.905e-16,7.694e-2,1.117e-18,1.165e-25,8.519e+2,,3.411e-27,3.249e-16,7.170e-21,3.662e+1
310.58,8.369e+2,5.575e-17,2.906e-16,3.300e-2,1.111e-18,1.165e-25,7.966e+2,,3.414e-27,3.254e-16,7.162e-21,4.033e+1
310.61,7.387e+2,5.526e-17,2.907e-16,8.725e-3,1.102e-18,1.164e-25,6.948e+2,,3.417e-27,3.261e-16,7.150e-21,4.393e+1
310.63,6.586e+2,5.493e-17,2.908e-16,3.452e-3,1.096e-18,1.164e-25,6.139e+2,,3.419e-27,3.266e-16,7.142e-21,4.464e+1
310.66,5.251e+2,5.443e-17,2.909e-16,8.082e-4,1.086e-18,1.164e-25,4.821e+2,,3.423e-27,3.273e-16,7.130e-21,4.300e+1
310.68,4.347e+2,5.411e-17,2.910e-16,2.948e-4,1.080e-18,1.163e-25,3.944e+2,,3.425e-27,3.278e-16,7.122e-21,4.024e+1
310.71,3.089e+2,5.361e-17,2.911e-16,6.109e-5,1.071e-18,1.163e-25,2.746e+2,,3.429e-27,3.285e-16,7.110e-21,3.424e+1
310.73,2.366e+2,5.328e-17,2.912e-16,2.054e-5,1.065e-18,1.163e-25,2.071e+2,,3.431e-27,3.290e-16,7.102e-21,2.950e+1
310.76,1.496e+2,5.279e-17,2.913e-16,3.765e-6,1.056e-18,1.162e-25,1.274e+2,,3.435e-27,3.298e-16,7.090e-21,2.221e+1
310.78,1.061e+2,5.246e-17,2.914e-16,1.166e-6,1.049e-18,1.162e-25,8.845e+1,,3.437e-27,3.302e-16,7.082e-21,1.769e+1
310.81,6.007e+1,5.197e-17,2.915e-16,1.891e-7,1.040e-18,1.161e-25,4.807e+1,,3.441e-27,3.310e-16,7.070e-21,1.200e+1
310.83,3.988e+1,5.164e-17,1.613e-15,5.397e-8,1.034e-18,1.161e-25,3.071e+1,,3.443e-27,3.314e-16,7.062e-21,9.166e+0
310.86,2.136e+1,5.115e-17,1.974e-14,7.736e-9,1.025e-18,1.161e-25,1.474e+1,,3.447e-27,3.322e-16,7.050e-21,6.621e+0
310.88,1.490e+1,5.082e-17,1.006e-13,2.033e-9,1.018e-18,1.160e-25,8.675e+0,,3.449e-27,3.327e-16,7.042e-21,6.222e+0
310.9,1.200e+1,5.049e-17,4.963e-13,5.171e-10,1.012e-18,1.160e-25,4.948e+0,,3.452e-27,3.331e-16,7.034e-21,7.053e+0
310.93,1.325e+1,5.000e-17,5.111e-12,6.235e-11,1.003e-18,1.160e-25,2.047e+0,,3.455e-27,3.339e-16,7.022e-21,1.121e+1
310.95,1.764e+1,4.967e-17,2.322e-11,1.460e-11,9.969e-19,1.159e-25,1.170e+0,,3.458e-27,3.343e-16,7.014e-21,1.647e+1
310.98,3.009e+1,4.918e-17,2.113e-10,1.559e-12,9.876e-19,1.159e-25,7.575e-1,,3.461e-27,3.351e-16,7.002e-21,2.933e+1
311,4.290e+1,4.885e-17,8.841e-10,3.508e-13,9.814e-19,1.159e-25,9.523e-1,,3.463e-27,3.356e-16,6.994e-21,4.194e+1
311.03,6.993e+1,4.835e-17,7.113e-9,1.854e-13,9.722e-19,1.158e-25,2.113e+0,,3.467e-27,3.363e-16,6.982e-21,6.781e+1
311.05,9.356e+1,4.803e-17,2.741e-8,6.932e-13,9.660e-19,1.158e-25,3.812e+0,,3.469e-27,3.368e-16,6.974e-21,8.975e+1
311.08,1.374e+2,4.753e-17,1.949e-7,6.093e-12,9.568e-19,1.158e-25,8.900e+0,,3.473e-27,3.375e-16,6.962e-21,1.285e+2
311.1,1.718e+2,4.720e-17,6.919e-7,2.506e-11,9.506e-19,1.157e-25,1.508e+1,,3.475e-27,3.380e-16,6.954e-21,1.567e+2
311.13,2.296e+2,4.671e-17,4.349e-6,1.965e-10,9.413e-19,1.157e-25,3.129e+1,,3.479e-27,3.387e-16,6.942e-21,1.983e+2
311.15,2.714e+2,4.638e-17,1.422e-5,7.441e-10,9.351e-19,1.157e-25,4.885e+1,,3.481e-27,3.392e-16,6.934e-21,2.226e+2
311.18,3.384e+2,4.589e-17,7.900e-5,5.158e-9,9.259e-19,1.156e-25,8.958e+1,,3.485e-27,3.399e-16,6.922e-21,2.488e+2
311.2,3.860e+2,4.556e-17,2.379e-4,1.799e-8,9.197e-19,1.156e-25,1.288e+2,,3.487e-27,3.404e-16,6.914e-21,2.572e+2
311.23,4.627e+2,4.507e-17,1.168e-3,1.103e-7,9.104e-19,1.156e-25,2.086e+2,,3.491e-27,3.411e-16,6.902e-21,2.540e+2
311.25,5.180e+2,4.474e-17,3.240e-3,3.543e-7,9.043e-19,1.155e-25,2.762e+2,,3.493e-27,3.416e-16,6.894e-21,2.418e+2
311.28,6.064e+2,4.425e-17,1.407e-2,1.919e-6,8.950e-19,1.155e-25,3.954e+2,,3.497e-27,3.423e-16,6.882e-21,2.110e+2
311.3,6.669e+2,4.392e-17,3.593e-2,5.680e-6,8.888e-19,1.155e-25,4.820e+2,,3.499e-27,3.428e-16,6.874e-21,1.848e+2
311.32,7.253e+2,4.359e-17,8.879e-2,1.627e-5,8.827e-19,1.154e-25,5.685e+2,,3.502e-27,3.433e-16,6.866e-21,1.567e+2
311.35,7.997e+2,4.310e-17,3.244e-1,7.415e-5,8.734e-19,1.154e-25,6.844e+2,,3.505e-27,3.440e-16,6.854e-21,1.150e+2
311.37,8.338e+2,4.277e-17,7.384e-1,1.956e-4,8.672e-19,1.154e-25,7.433e+2,,3.508e-27,3.445e-16,6.845e-21,8.980e+1
311.4,8.514e+2,4.227e-17,2.385e+0,7.880e-4,8.580e-19,1.153e-25,7.907e+2,,3.511e-27,3.452e-16,6.833e-21,5.835e+1
311.42,8.378e+2,4.195e-17,5.000e+0,1.915e-3,8.518e-19,1.153e-25,7.907e+2,,3.513e-27,3.457e-16,6.825e-21,4.214e+1
311.45,7.822e+2,4.145e-17,1.427e+1,6.820e-3,8.425e-19,1.153e-25,7.433e+2,,3.517e-27,3.464e-16,6.813e-21,2.470e+1
311.47,7.291e+2,4.112e-17,2.757e+1,1.526e-2,8.363e-19,1.152e-25,6.844e+2,,3.519e-27,3.469e-16,6.805e-21,1.707e+1
311.5,6.485e+2,4.063e-17,6.960e+1,4.805e-2,8.271e-19,1.152e-25,5.685e+2,,3.523e-27,3.476e-16,6.793e-21,1.039e+1
311.52,6.144e+2,4.030e-17,1.239e+2,9.906e-2,8.209e-19,1.152e-25,4.820e+2,,3.525e-27,3.481e-16,6.785e-21,8.410e+0
311.55,6.387e+2,3.981e-17,2.765e+2,2.757e-1,8.116e-19,1.151e-25,3.538e+2,,3.529e-27,3.489e-16,6.773e-21,8.183e+0
311.57,7.397e+2,3.948e-17,4.535e+2,5.235e-1,8.055e-19,1.151e-25,2.762e+2,,3.531e-27,3.493e-16,6.765e-21,9.430e+0
311.6,1.090e+3,3.899e-17,8.963e+2,1.288e+0,7.962e-19,1.150e-25,1.791e+2,,3.535e-27,3.501e-16,6.753e-21,1.282e+1
311.62,1.503e+3,3.866e-17,1.356e+3,2.252e+0,7.900e-19,1.150e-25,1.288e+2,,3.537e-27,3.505e-16,6.745e-21,1.578e+1
311.65,2.474e+3,3.817e-17,2.375e+3,4.898e+0,7.808e-19,1.150e-25,7.379e+1,,3.541e-27,3.513e-16,6.733e-21,2.072e+1
311.67,3.398e+3,3.784e-17,3.318e+3,7.890e+0,7.746e-19,1.149e-25,4.885e+1,,3.543e-27,3.518e-16,6.725e-21,2.397e+1
311.69,4.563e+3,3.751e-17,4.492e+3,1.230e+1,7.684e-19,1.149e-25,3.129e+1,,3.546e-27,3.522e-16,6.717e-21,2.687e+1
311.72,6.753e+3,3.702e-17,6.685e+3,2.251e+1,7.592e-19,1.149e-25,1.508e+1,,3.549e-27,3.530e-16,6.705e-21,3.001e+1
311.74,8.470e+3,3.669e-17,8.398e+3,3.231e+1,7.530e-19,1.148e-25,8.893e+0,,3.552e-27,3.534e-16,6.697e-21,3.101e+1
311.77,1.130e+4,3.620e-17,1.122e+4,5.227e+1,7.437e-19,1.148e-25,3.787e+0,,3.555e-27,3.542e-16,6.685e-21,3.063e+1
311.79,1.326e+4,3.587e-17,1.316e+4,6.913e+1,7.376e-19,1.148e-25,2.057e+0,,3.558e-27,3.547e-16,6.677e-21,2.915e+1
311.82,1.612e+4,3.537e-17,1.600e+4,9.884e+1,7.283e-19,1.147e-25,7.737e-1,,3.561e-27,3.554e-16,6.665e-21,2.545e+1
311.84,1.788e+4,3.505e-17,1.773e+4,1.204e+2,7.221e-19,1.147e-25,3.870e-1,,3.563e-27,3.559e-16,6.657e-21,2.231e+1
311.87,2.017e+4,3.455e-17,2.001e+4,1.522e+2,7.129e-19,1.147e-25,1.286e-1,,3.567e-27,3.566e-16,6.645e-21,1.722e+1
311.89,2.145e+4,3.422e-17,2.126e+4,1.708e+2,7.067e-19,1.146e-25,5.924e-2,,3.569e-27,3.571e-16,6.637e-21,1.392e+1
311.92,2.296e+4,3.373e-17,2.276e+4,1.908e+2,6.974e-19,1.146e-25,1.740e-2,,3.573e-27,3.578e-16,6.625e-21,9.529e+0
311.94,2.368e+4,3.340e-17,2.347e+4,1.972e+2,6.912e-19,1.146e-25,7.379e-3,,3.575e-27,3.583e-16,6.617e-21,7.140e+0
311.97,2.429e+4,3.291e-17,2.409e+4,1.948e+2,6.820e-19,1.145e-25,1.915e-3,,3.579e-27,3.590e-16,6.605e-21,4.464e+0
311.99,2.433e+4,3.258e-17,2.414e+4,1.854e+2,6.758e-19,1.145e-25,7.478e-4,,3.581e-27,3.595e-16,6.597e-21,3.274e+0
312.02,2.374e+4,3.209e-17,2.358e+4,1.619e+2,6.665e-19,1.145e-25,1.715e-4,,3.585e-27,3.602e-16,6.585e-21,2.305e+0
