Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.0e-1),Fe III (1.1e-4),Ni I (1.2e-2),Ni II (3.8e-2),Ni III (1.3e-6)
363.54,8.986e+2,8.986e+2,8.351e-18,6.935e-24,1.444e-15,,6.495e-27
363.56,8.329e+2,8.329e+2,8.274e-18,6.930e-24,1.435e-15,,6.497e-27
363.59,8.089e+2,8.089e+2,8.157e-18,6.924e-24,1.420e-15,,6.499e-27
363.61,8.295e+2,8.295e+2,8.079e-18,6.919e-24,1.410e-15,,6.501e-27
363.63,8.726e+2,8.726e+2,8.002e-18,6.915e-24,1.400e-15,,6.502e-27
363.66,9.715e+2,9.715e+2,7.885e-18,6.908e-24,1.386e-15,,6.504e-27
363.68,1.057e+3,1.057e+3,7.807e-18,6.903e-24,1.376e-15,,6.506e-27
363.71,1.208e+3,1.208e+3,7.691e-18,6.897e-24,1.361e-15,,6.508e-27
363.73,1.321e+3,1.321e+3,7.613e-18,6.892e-24,1.352e-15,,6.510e-27
363.76,1.506e+3,1.506e+3,7.496e-18,6.885e-24,1.337e-15,,6.512e-27
363.78,1.635e+3,1.635e+3,7.419e-18,6.881e-24,1.327e-15,,6.514e-27
363.81,1.834e+3,1.834e+3,7.302e-18,6.874e-24,1.313e-15,,6.516e-27
363.83,1.968e+3,1.968e+3,7.224e-18,6.869e-24,1.303e-15,,6.518e-27
363.86,2.168e+3,2.168e+3,7.108e-18,6.863e-24,1.288e-15,,6.520e-27
363.88,2.298e+3,2.298e+3,7.030e-18,6.858e-24,1.278e-15,,6.522e-27
363.91,2.482e+3,2.482e+3,6.913e-18,6.851e-24,1.264e-15,,6.524e-27
363.93,2.591e+3,2.591e+3,6.836e-18,6.847e-24,1.254e-15,,6.526e-27
363.96,2.720e+3,2.720e+3,6.719e-18,6.840e-24,1.239e-15,,6.528e-27
363.98,2.773e+3,2.773e+3,6.641e-18,6.836e-24,1.230e-15,,6.530e-27
364.01,2.789e+3,2.789e+3,6.525e-18,6.829e-24,1.215e-15,,6.532e-27
364.03,2.749e+3,2.749e+3,6.447e-18,6.824e-24,1.205e-15,,6.534e-27
364.05,2.665e+3,2.665e+3,6.369e-18,6.820e-24,1.195e-15,,6.535e-27
364.08,2.459e+3,2.459e+3,6.253e-18,6.813e-24,1.181e-15,,6.538e-27
364.1,2.276e+3,2.276e+3,6.175e-18,6.808e-24,1.171e-15,,6.539e-27
364.13,1.949e+3,1.949e+3,6.058e-18,6.802e-24,1.156e-15,,6.542e-27
364.15,1.712e+3,1.712e+3,5.980e-18,6.797e-24,1.147e-15,,6.543e-27
364.18,1.354e+3,1.354e+3,5.864e-18,6.790e-24,1.132e-15,,6.546e-27
364.2,1.128e+3,1.128e+3,5.786e-18,6.786e-24,1.122e-15,,6.547e-27
364.23,8.276e+2,8.276e+2,5.669e-18,6.779e-24,1.107e-15,,6.550e-27
364.25,6.608e+2,6.608e+2,5.592e-18,6.775e-24,1.098e-15,,6.551e-27
364.28,4.691e+2,4.691e+2,5.475e-18,6.768e-24,1.083e-15,,6.554e-27
364.3,3.822e+2,3.822e+2,5.397e-18,6.763e-24,1.073e-15,,6.555e-27
364.33,3.150e+2,3.150e+2,5.281e-18,6.757e-24,1.059e-15,,6.558e-27
364.35,3.138e+2,3.138e+2,5.203e-18,6.752e-24,1.049e-15,,6.559e-27
364.38,3.836e+2,3.836e+2,5.086e-18,6.745e-24,1.034e-15,,6.562e-27
364.4,4.855e+2,4.855e+2,5.009e-18,6.741e-24,1.025e-15,,6.563e-27
364.42,6.410e+2,6.410e+2,4.931e-18,6.736e-24,1.015e-15,,6.565e-27
364.45,1.001e+3,1.001e+3,4.814e-18,6.729e-24,1.000e-15,,6.567e-27
364.47,1.349e+3,1.349e+3,4.737e-18,6.725e-24,9.903e-16,,6.569e-27
364.5,2.077e+3,2.077e+3,4.620e-18,6.718e-24,9.757e-16,,6.571e-27
364.52,2.729e+3,2.729e+3,4.542e-18,6.714e-24,9.659e-16,,6.573e-27
364.55,3.997e+3,3.997e+3,4.426e-18,6.707e-24,9.513e-16,,6.575e-27
364.57,5.050e+3,5.050e+3,4.348e-18,6.702e-24,9.415e-16,,6.577e-27
364.6,6.933e+3,6.933e+3,4.231e-18,6.696e-24,9.269e-16,,6.579e-27
364.62,8.364e+3,8.364e+3,4.154e-18,6.691e-24,9.171e-16,,6.581e-27
364.65,1.068e+4,1.068e+4,4.037e-18,6.684e-24,9.025e-16,,6.583e-27
364.67,1.224e+4,1.224e+4,3.959e-18,6.680e-24,8.927e-16,,6.585e-27
364.7,1.446e+4,1.446e+4,3.843e-18,6.673e-24,8.781e-16,,6.587e-27
364.72,1.574e+4,1.574e+4,3.765e-18,6.668e-24,8.683e-16,,6.589e-27
364.75,1.718e+4,1.718e+4,3.648e-18,6.662e-24,8.537e-16,,6.591e-27
364.77,1.775e+4,1.775e+4,3.571e-18,6.657e-24,8.439e-16,,6.593e-27
364.79,1.798e+4,1.798e+4,3.493e-18,6.653e-24,8.341e-16,,6.594e-27
364.82,1.767e+4,1.767e+4,3.376e-18,6.646e-24,8.195e-16,,6.596e-27
364.84,1.709e+4,1.709e+4,3.298e-18,6.641e-24,8.097e-16,,6.598e-27
364.87,1.576e+4,1.576e+4,3.182e-18,6.635e-24,7.951e-16,,6.600e-27
364.89,1.467e+4,1.467e+4,3.104e-18,6.630e-24,7.853e-16,,6.602e-27
364.92,1.292e+4,1.292e+4,2.988e-18,6.623e-24,7.707e-16,,6.604e-27
364.94,1.176e+4,1.176e+4,2.910e-18,6.619e-24,7.609e-16,,6.606e-27
364.97,1.014e+4,1.014e+4,2.793e-18,6.612e-24,7.463e-16,,6.608e-27
364.99,9.190e+3,9.190e+3,2.715e-18,6.607e-24,7.365e-16,,6.610e-27
365.02,7.983e+3,7.983e+3,2.599e-18,6.601e-24,7.219e-16,,6.612e-27
365.04,7.318e+3,7.318e+3,2.521e-18,6.596e-24,7.121e-16,,6.614e-27
365.07,6.488e+3,6.488e+3,2.404e-18,6.589e-24,6.975e-16,,6.616e-27
365.09,6.018e+3,6.018e+3,2.327e-18,6.585e-24,6.877e-16,,6.618e-27
365.12,5.385e+3,5.385e+3,2.210e-18,6.578e-24,6.731e-16,,6.620e-27
365.14,4.983e+3,4.983e+3,2.132e-18,6.574e-24,6.633e-16,,6.622e-27
365.16,4.583e+3,4.583e+3,2.055e-18,6.569e-24,6.535e-16,,6.623e-27
365.19,3.973e+3,3.973e+3,1.938e-18,6.562e-24,6.389e-16,,6.626e-27
365.21,3.559e+3,3.559e+3,1.860e-18,6.558e-24,6.291e-16,,6.627e-27
365.24,2.937e+3,2.937e+3,1.744e-18,6.551e-24,6.145e-16,,6.630e-27
365.26,2.535e+3,2.535e+3,1.666e-18,6.546e-24,6.047e-16,,6.631e-27
365.29,1.973e+3,1.973e+3,1.549e-18,6.540e-24,5.901e-16,,6.634e-27
365.31,1.639e+3,1.639e+3,1.472e-18,6.535e-24,5.803e-16,,6.635e-27
365.34,1.214e+3,1.214e+3,1.355e-18,6.528e-24,5.657e-16,,6.638e-27
365.36,9.860e+2,9.860e+2,1.277e-18,6.524e-24,5.559e-16,,6.639e-27
365.39,7.259e+2,7.259e+2,1.161e-18,6.517e-24,5.413e-16,,6.642e-27
365.41,6.026e+2,6.026e+2,1.083e-18,6.513e-24,5.315e-16,,6.643e-27
365.44,4.799e+2,4.799e+2,9.663e-19,6.506e-24,5.169e-16,,6.646e-27
365.46,4.302e+2,4.302e+2,8.886e-19,6.501e-24,5.071e-16,,6.647e-27
365.49,3.877e+2,3.877e+2,7.720e-19,6.495e-24,4.925e-16,,6.650e-27
365.51,3.721e+2,3.721e+2,6.942e-19,6.490e-24,4.827e-16,,6.651e-27
365.53,3.610e+2,3.610e+2,2.827e-18,6.485e-24,4.729e-16,,6.653e-27
365.56,3.455e+2,3.455e+2,2.221e-17,6.479e-24,4.583e-16,,6.655e-27
365.58,3.328e+2,3.328e+2,8.520e-17,6.474e-24,4.485e-16,,6.657e-27
365.61,3.090e+2,3.090e+2,6.123e-16,6.467e-24,4.339e-16,,6.659e-27
365.63,2.908e+2,2.908e+2,2.213e-15,6.463e-24,4.241e-16,,6.661e-27
365.66,2.638e+2,2.638e+2,1.455e-14,6.456e-24,4.095e-16,,6.663e-27
365.68,2.488e+2,2.488e+2,4.955e-14,6.452e-24,3.997e-16,,6.665e-27
365.71,2.356e+2,2.356e+2,2.979e-13,6.445e-24,3.851e-16,,6.667e-27
365.73,2.353e+2,2.353e+2,9.559e-13,6.440e-24,3.753e-16,,6.669e-27
365.76,2.496e+2,2.496e+2,5.256e-12,6.434e-24,3.607e-16,,6.671e-27
365.78,2.690e+2,2.690e+2,1.589e-11,6.429e-24,3.509e-16,,6.673e-27
365.81,3.105e+2,3.105e+2,7.993e-11,6.422e-24,3.363e-16,,6.675e-27
365.83,3.438e+2,3.438e+2,2.278e-10,6.418e-24,3.265e-16,,6.677e-27
365.86,3.960e+2,3.960e+2,1.048e-9,6.411e-24,3.119e-16,,6.679e-27
365.88,4.281e+2,4.281e+2,2.812e-9,6.406e-24,3.021e-16,,6.681e-27
365.91,4.655e+2,4.655e+2,1.183e-8,6.400e-24,2.875e-16,,6.683e-27
365.93,4.799e+2,4.799e+2,2.993e-8,6.395e-24,2.777e-16,,6.685e-27
365.95,4.840e+2,4.840e+2,7.393e-8,6.391e-24,2.679e-16,,6.686e-27
365.98,4.698e+2,4.698e+2,2.745e-7,6.384e-24,2.533e-16,,6.688e-27
366,4.474e+2,4.474e+2,6.389e-7,6.379e-24,2.435e-16,,6.690e-27
366.03,3.979e+2,3.979e+2,2.170e-6,6.373e-24,2.289e-16,,6.692e-27
366.05,3.572e+2,3.572e+2,4.758e-6,6.368e-24,2.191e-16,,6.694e-27
366.08,2.906e+2,2.906e+2,1.478e-5,6.361e-24,2.045e-16,,6.696e-27
366.1,2.458e+2,2.458e+2,3.054e-5,6.357e-24,1.947e-16,,6.698e-27
366.13,1.829e+2,1.829e+2,8.676e-5,6.350e-24,1.801e-16,,6.700e-27
366.15,1.458e+2,1.458e+2,1.689e-4,6.345e-24,1.703e-16,,6.702e-27
366.18,9.918e+1,9.918e+1,4.389e-4,6.339e-24,1.557e-16,,6.704e-27
366.2,7.450e+1,7.450e+1,8.052e-4,6.334e-24,1.459e-16,,6.706e-27
366.23,4.648e+1,4.648e+1,1.914e-3,6.327e-24,1.313e-16,,6.708e-27
366.25,3.308e+1,3.307e+1,3.308e-3,6.323e-24,5.253e-16,,6.710e-27
366.28,1.940e+1,1.939e+1,7.190e-3,6.316e-24,4.022e-15,,6.712e-27
366.3,1.373e+1,1.372e+1,1.171e-2,6.312e-24,1.517e-14,,6.714e-27
366.32,1.026e+1,1.024e+1,1.863e-2,6.307e-24,5.587e-14,,6.715e-27
366.35,8.491e+0,8.455e+0,3.573e-2,6.300e-24,3.778e-13,,6.718e-27
366.37,9.392e+0,9.338e+0,5.355e-2,6.296e-24,1.311e-12,,6.719e-27
366.4,1.397e+1,1.388e+1,9.395e-2,6.289e-24,8.112e-12,,6.722e-27
366.42,1.949e+1,1.936e+1,1.327e-1,6.284e-24,2.654e-11,,6.723e-27
366.45,3.236e+1,3.215e+1,2.129e-1,6.278e-24,1.502e-10,,6.726e-27
366.47,4.465e+1,4.437e+1,2.833e-1,6.273e-24,4.631e-10,,6.727e-27
366.5,6.983e+1,6.941e+1,4.157e-1,6.266e-24,2.398e-9,,6.730e-27
366.52,9.172e+1,9.120e+1,5.212e-1,6.262e-24,6.969e-9,,6.731e-27
366.55,1.330e+2,1.323e+2,6.997e-1,6.255e-24,3.302e-8,,6.734e-27
366.57,1.664e+2,1.656e+2,8.265e-1,6.251e-24,9.043e-8,,6.735e-27
366.6,2.253e+2,2.243e+2,1.015e+0,6.244e-24,3.920e-7,,6.738e-27
366.62,2.705e+2,2.693e+2,1.130e+0,6.239e-24,1.012e-6,,6.739e-27
366.65,3.469e+2,3.456e+2,1.268e+0,6.233e-24,4.013e-6,,6.742e-27
366.67,4.039e+2,4.025e+2,1.330e+0,6.228e-24,9.762e-6,,6.743e-27
366.69,4.661e+2,4.647e+2,1.362e+0,6.223e-24,2.319e-5,,6.745e-27
366.72,5.703e+2,5.690e+2,1.350e+0,6.217e-24,8.122e-5,,6.747e-27
366.74,6.480e+2,6.467e+2,1.303e+0,6.212e-24,1.818e-4,,6.749e-27
366.77,7.777e+2,7.765e+2,1.181e+0,6.205e-24,5.827e-4,,6.751e-27
366.79,8.724e+2,8.714e+2,1.074e+0,6.201e-24,1.229e-3,,6.753e-27
366.82,1.023e+3,1.023e+3,8.903e-1,6.194e-24,3.604e-3,,6.755e-27
366.84,1.126e+3,1.125e+3,7.627e-1,6.190e-24,7.168e-3,,6.757e-27
366.87,1.273e+3,1.272e+3,5.784e-1,6.183e-24,1.923e-2,,6.759e-27
366.89,1.358e+3,1.358e+3,4.669e-1,6.178e-24,3.604e-2,,6.761e-27
366.92,1.455e+3,1.454e+3,3.238e-1,6.172e-24,8.844e-2,,6.763e-27
366.94,1.490e+3,1.490e+3,2.463e-1,6.167e-24,1.562e-1,,6.765e-27
366.97,1.493e+3,1.492e+3,1.562e-1,6.160e-24,3.508e-1,,6.767e-27
366.99,1.458e+3,1.458e+3,1.120e-1,6.156e-24,5.840e-1,,6.769e-27
367.02,1.356e+3,1.354e+3,6.497e-2,6.149e-24,1.200e+0,,6.771e-27
367.04,1.258e+3,1.256e+3,4.387e-2,6.144e-24,1.882e+0,,6.773e-27
367.06,1.143e+3,1.140e+3,2.893e-2,6.140e-24,2.884e+0,,6.774e-27
367.09,9.524e+2,9.471e+2,1.481e-2,6.133e-24,5.232e+0,,6.777e-27
367.11,8.218e+2,8.142e+2,9.203e-3,6.129e-24,7.555e+0,,6.778e-27
367.14,6.352e+2,6.227e+2,4.310e-3,6.122e-24,1.254e+1,,6.780e-27
367.16,5.235e+2,5.065e+2,2.523e-3,6.117e-24,1.707e+1,,6.782e-27
367.19,3.824e+2,3.565e+2,1.081e-3,6.111e-24,2.592e+1,,6.784e-27
367.21,3.077e+2,2.744e+2,5.963e-4,6.106e-24,3.324e+1,,6.786e-27
367.24,2.244e+2,1.782e+2,2.336e-4,6.099e-24,4.618e+1,,6.788e-27
367.26,1.865e+2,1.306e+2,1.214e-4,6.095e-24,5.583e+1,,6.790e-27
367.29,1.516e+2,8.061e+1,4.351e-5,6.088e-24,7.097e+1,,6.792e-27
367.31,1.403e+2,5.941e+1,2.131e-5,6.083e-24,8.086e+1,,6.794e-27
367.34,1.371e+2,4.305e+1,6.984e-6,6.077e-24,9.405e+1,,6.796e-27
367.36,1.426e+2,4.161e+1,3.223e-6,6.072e-24,1.010e+2,,6.798e-27
367.39,1.615e+2,5.403e+1,9.661e-7,6.065e-24,1.075e+2,,6.800e-27
367.41,1.822e+2,7.344e+1,4.200e-7,6.061e-24,1.087e+2,,6.802e-27
367.43,2.112e+2,1.037e+2,1.783e-7,6.056e-24,1.075e+2,,6.803e-27
367.46,2.756e+2,1.746e+2,4.718e-8,6.050e-24,1.010e+2,,6.806e-27
367.48,3.368e+2,2.427e+2,1.887e-8,6.045e-24,9.405e+1,,6.807e-27
367.51,4.639e+2,3.831e+2,4.567e-9,6.038e-24,8.086e+1,,6.810e-27
367.53,5.761e+2,5.052e+2,1.722e-9,6.034e-24,7.097e+1,,6.811e-27
367.56,7.891e+2,7.333e+2,3.810e-10,6.027e-24,5.583e+1,,6.814e-27
367.58,9.602e+2,9.140e+2,1.353e-10,6.022e-24,4.618e+1,,6.815e-27
367.61,1.253e+3,1.220e+3,2.739e-11,6.016e-24,3.324e+1,,6.818e-27
367.63,1.465e+3,1.439e+3,9.167e-12,6.011e-24,2.592e+1,,6.819e-27
367.66,1.788e+3,1.771e+3,1.697e-12,6.004e-24,1.707e+1,,6.822e-27
367.68,1.996e+3,1.983e+3,5.352e-13,6.000e-24,1.254e+1,,6.823e-27
367.71,2.274e+3,2.267e+3,9.063e-14,5.993e-24,7.555e+0,,6.826e-27
367.73,2.429e+3,2.423e+3,2.693e-14,5.989e-24,5.232e+0,,6.827e-27
367.76,2.603e+3,2.600e+3,4.171e-15,5.982e-24,2.884e+0,,6.830e-27
367.78,2.681e+3,2.679e+3,1.168e-15,5.977e-24,1.882e+0,,6.831e-27
367.8,2.731e+3,2.730e+3,3.192e-16,5.973e-24,1.200e+0,,6.833e-27
367.83,2.764e+3,2.764e+3,4.363e-17,5.966e-24,5.840e-1,,6.835e-27
367.85,2.766e+3,2.766e+3,1.124e-17,5.961e-24,3.508e-1,,6.837e-27
367.88,2.753e+3,2.753e+3,1.405e-18,5.955e-24,1.562e-1,,6.839e-27
367.9,2.740e+3,2.740e+3,1.406e-18,5.950e-24,8.844e-2,,6.841e-27
367.93,2.719e+3,2.719e+3,1.407e-18,5.943e-24,3.604e-2,,6.843e-27
367.95,2.706e+3,2.706e+3,1.408e-18,5.939e-24,1.923e-2,,6.845e-27
367.98,2.687e+3,2.687e+3,1.409e-18,5.932e-24,7.168e-3,,6.847e-27
368,2.674e+3,2.674e+3,1.410e-18,5.928e-24,3.604e-3,,6.849e-27
368.03,2.656e+3,2.656e+3,1.411e-18,5.921e-24,1.229e-3,,6.851e-27
368.05,2.647e+3,2.647e+3,1.412e-18,5.916e-24,5.827e-4,,6.853e-27
368.08,2.640e+3,2.640e+3,1.413e-18,5.910e-24,1.818e-4,,6.855e-27
368.1,2.642e+3,2.642e+3,1.414e-18,5.905e-24,8.122e-5,,6.857e-27
368.13,2.658e+3,2.658e+3,1.415e-18,5.898e-24,2.319e-5,,6.859e-27
368.15,2.676e+3,2.676e+3,1.416e-18,5.894e-24,9.762e-6,,6.861e-27
368.18,2.711e+3,2.711e+3,1.417e-18,5.887e-24,2.550e-6,,6.863e-27
368.2,2.736e+3,2.736e+3,1.418e-18,5.882e-24,1.012e-6,,6.865e-27
368.22,2.759e+3,2.759e+3,1.419e-18,5.878e-24,3.920e-7,,6.866e-27
368.25,2.787e+3,2.787e+3,1.420e-18,5.871e-24,9.043e-8,,6.868e-27
368.27,2.800e+3,2.800e+3,1.421e-18,5.867e-24,3.302e-8,,6.870e-27
368.3,2.812e+3,2.812e+3,1.422e-18,5.860e-24,6.969e-9,,6.872e-27
368.32,2.819e+3,2.819e+3,1.423e-18,5.855e-24,2.398e-9,,6.874e-27
368.35,2.832e+3,2.832e+3,1.424e-18,5.849e-24,4.631e-10,,6.876e-27
368.37,2.849e+3,2.849e+3,1.425e-18,5.844e-24,1.502e-10,,6.878e-27
368.4,2.896e+3,2.896e+3,1.426e-18,5.837e-24,2.654e-11,,6.880e-27
368.42,2.948e+3,2.948e+3,1.427e-18,5.833e-24,8.112e-12,,6.882e-27
368.45,3.069e+3,3.069e+3,1.428e-18,5.826e-24,1.311e-12,,6.884e-27
368.47,3.183e+3,3.183e+3,1.429e-18,5.821e-24,3.778e-13,,6.886e-27
368.5,3.414e+3,3.414e+3,1.430e-18,5.815e-24,5.587e-14,,6.888e-27
368.52,3.609e+3,3.609e+3,1.431e-18,5.810e-24,1.517e-14,,6.890e-27
368.55,3.963e+3,3.963e+3,1.432e-18,5.803e-24,2.053e-15,,6.892e-27
368.57,4.233e+3,4.233e+3,1.433e-18,5.799e-24,5.253e-16,,6.894e-27
368.59,4.523e+3,4.523e+3,1.433e-18,5.794e-24,1.313e-16,,6.895e-27
368.62,4.971e+3,4.971e+3,1.435e-18,5.788e-24,1.314e-16,,6.898e-27
368.64,5.260e+3,5.260e+3,1.435e-18,5.783e-24,1.316e-16,,6.899e-27
368.67,5.646e+3,5.646e+3,1.437e-18,5.776e-24,1.318e-16,,6.902e-27
368.69,5.849e+3,5.849e+3,1.437e-18,5.772e-24,1.319e-16,,6.903e-27
368.72,6.047e+3,6.047e+3,1.439e-18,5.765e-24,1.321e-16,,6.906e-27
368.74,6.095e+3,6.095e+3,1.439e-18,5.760e-24,1.322e-16,,6.907e-27
368.77,6.037e+3,6.037e+3,1.441e-18,5.754e-24,1.324e-16,,6.910e-27
368.79,5.915e+3,5.915e+3,1.441e-18,5.749e-24,1.325e-16,,6.911e-27
368.82,5.626e+3,5.626e+3,1.443e-18,5.742e-24,1.327e-16,,6.914e-27
368.84,5.380e+3,5.380e+3,1.443e-18,5.738e-24,1.328e-16,,6.915e-27
368.87,4.958e+3,4.958e+3,1.445e-18,5.731e-24,1.330e-16,,6.918e-27
368.89,4.659e+3,4.659e+3,1.445e-18,5.727e-24,1.331e-16,,6.919e-27
368.92,4.206e+3,4.206e+3,1.447e-18,5.720e-24,1.333e-16,,6.922e-27
368.94,3.910e+3,3.910e+3,1.447e-18,5.715e-24,1.334e-16,,6.923e-27
368.96,3.622e+3,3.622e+3,1.448e-18,5.711e-24,1.336e-16,,6.925e-27
368.99,3.210e+3,3.210e+3,1.449e-18,5.704e-24,1.338e-16,,6.927e-27
369.01,2.948e+3,2.948e+3,1.450e-18,5.699e-24,1.339e-16,,6.929e-27
369.04,2.579e+3,2.579e+3,1.451e-18,5.693e-24,1.341e-16,,6.931e-27
369.06,2.352e+3,2.352e+3,1.452e-18,5.688e-24,1.342e-16,,6.933e-27
369.09,2.049e+3,2.049e+3,1.453e-18,5.681e-24,1.344e-16,,6.935e-27
369.11,1.881e+3,1.881e+3,1.454e-18,5.677e-24,1.345e-16,,6.937e-27
369.14,1.694e+3,1.694e+3,1.455e-18,5.670e-24,1.347e-16,,6.939e-27
369.16,1.622e+3,1.622e+3,1.456e-18,5.666e-24,1.348e-16,,6.941e-27
369.19,1.610e+3,1.610e+3,1.457e-18,5.659e-24,1.350e-16,,6.943e-27
369.21,1.668e+3,1.668e+3,1.458e-18,5.654e-24,1.351e-16,,6.945e-27
369.24,1.855e+3,1.855e+3,1.459e-18,5.648e-24,1.353e-16,,6.947e-27
369.26,2.039e+3,2.039e+3,1.460e-18,5.643e-24,1.354e-16,,6.949e-27
369.29,2.381e+3,2.381e+3,1.461e-18,5.636e-24,1.356e-16,,6.951e-27
369.31,2.635e+3,2.635e+3,1.462e-18,5.632e-24,1.357e-16,,6.953e-27
369.33,2.891e+3,2.891e+3,1.463e-18,5.627e-24,1.359e-16,,6.954e-27
369.36,3.245e+3,3.245e+3,1.464e-18,5.620e-24,1.361e-16,,6.957e-27
369.38,3.438e+3,3.438e+3,1.465e-18,5.616e-24,1.362e-16,,6.958e-27
369.41,3.633e+3,3.633e+3,1.466e-18,5.609e-24,1.364e-16,,6.960e-27
369.43,3.687e+3,3.687e+3,1.467e-18,5.605e-24,1.365e-16,,6.962e-27
369.46,3.647e+3,3.647e+3,1.468e-18,5.598e-24,1.367e-16,,6.964e-27
369.48,3.544e+3,3.544e+3,1.469e-18,5.593e-24,1.368e-16,,6.966e-27
369.51,3.294e+3,3.294e+3,1.470e-18,5.587e-24,1.370e-16,,6.968e-27
369.53,3.079e+3,3.079e+3,1.471e-18,5.582e-24,1.371e-16,,6.970e-27
369.56,2.716e+3,2.716e+3,1.472e-18,5.575e-24,1.373e-16,,6.972e-27
369.58,2.465e+3,2.465e+3,1.473e-18,5.571e-24,1.374e-16,,6.974e-27
369.61,2.100e+3,2.100e+3,1.474e-18,5.564e-24,1.376e-16,,6.976e-27
369.63,1.877e+3,1.877e+3,1.475e-18,5.559e-24,1.377e-16,,6.978e-27
369.66,1.582e+3,1.582e+3,1.476e-18,5.553e-24,1.379e-16,,6.980e-27
369.68,1.416e+3,1.416e+3,1.477e-18,5.548e-24,1.381e-16,,6.982e-27
369.7,1.273e+3,1.273e+3,1.478e-18,5.544e-24,1.382e-16,,6.983e-27
369.73,1.100e+3,1.100e+3,1.479e-18,5.537e-24,1.384e-16,,6.986e-27
369.75,1.009e+3,1.009e+3,1.480e-18,5.532e-24,1.385e-16,,6.987e-27
369.78,9.081e+2,9.081e+2,1.481e-18,5.526e-24,1.387e-16,,6.990e-27
369.8,8.658e+2,8.658e+2,1.482e-18,5.521e-24,1.388e-16,,6.991e-27
369.83,8.447e+2,8.447e+2,1.483e-18,5.514e-24,1.390e-16,,6.994e-27
369.85,8.636e+2,8.636e+2,1.484e-18,5.510e-24,1.391e-16,,6.995e-27
369.88,9.497e+2,9.497e+2,1.485e-18,5.503e-24,1.393e-16,,6.998e-27
369.9,1.049e+3,1.049e+3,1.486e-18,5.498e-24,1.394e-16,,6.999e-27
369.93,1.261e+3,1.261e+3,1.487e-18,5.492e-24,1.396e-16,,7.002e-27
369.95,1.439e+3,1.439e+3,1.488e-18,5.487e-24,1.397e-16,,7.003e-27
369.98,1.747e+3,1.747e+3,1.489e-18,5.480e-24,1.399e-16,,7.006e-27
370,1.964e+3,1.964e+3,1.490e-18,5.476e-24,1.400e-16,,7.007e-27
370.03,2.276e+3,2.276e+3,1.491e-18,5.469e-24,1.402e-16,,7.010e-27
370.05,2.458e+3,2.458e+3,1.492e-18,5.465e-24,1.404e-16,,7.011e-27
370.08,2.659e+3,2.659e+3,1.493e-18,5.458e-24,1.405e-16,,7.014e-27
370.1,2.736e+3,2.736e+3,1.494e-18,5.453e-24,1.407e-16,,7.015e-27
370.12,2.762e+3,2.762e+3,1.495e-18,5.449e-24,1.408e-16,,7.017e-27
370.15,2.711e+3,2.711e+3,1.496e-18,5.442e-24,1.410e-16,,7.019e-27
370.17,2.628e+3,2.628e+3,1.497e-18,5.437e-24,1.411e-16,,7.021e-27
370.2,2.460e+3,2.460e+3,1.498e-18,5.431e-24,1.413e-16,,7.023e-27
370.22,2.340e+3,2.340e+3,1.499e-18,5.426e-24,1.414e-16,,7.025e-27
370.25,2.189e+3,2.189e+3,1.500e-18,5.419e-24,1.416e-16,,7.027e-27
370.27,2.127e+3,2.127e+3,1.501e-18,5.415e-24,1.417e-16,,7.029e-27
370.3,2.119e+3,2.119e+3,1.502e-18,5.408e-24,1.419e-16,,7.031e-27
370.32,2.180e+3,2.180e+3,1.503e-18,5.404e-24,1.420e-16,,7.033e-27
370.35,2.372e+3,2.372e+3,1.504e-18,5.397e-24,1.422e-16,,7.035e-27
370.37,2.560e+3,2.560e+3,1.504e-18,5.392e-24,1.424e-16,,7.037e-27
370.4,2.912e+3,2.912e+3,1.506e-18,5.386e-24,1.425e-16,,7.039e-27
370.42,3.174e+3,3.174e+3,1.506e-18,5.381e-24,1.427e-16,,7.041e-27
370.45,3.574e+3,3.574e+3,1.508e-18,5.374e-24,1.428e-16,,7.043e-27
370.47,3.825e+3,3.825e+3,1.508e-18,5.370e-24,1.430e-16,,7.045e-27
370.49,4.048e+3,4.048e+3,1.509e-18,5.365e-24,1.431e-16,,7.046e-27
370.52,4.311e+3,4.311e+3,1.510e-18,5.358e-24,1.433e-16,,7.049e-27
370.54,4.434e+3,4.434e+3,1.511e-18,5.354e-24,1.434e-16,,7.050e-27
370.57,4.545e+3,4.545e+3,1.512e-18,5.347e-24,1.436e-16,,7.052e-27
370.59,4.583e+3,4.583e+3,1.513e-18,5.343e-24,1.437e-16,,7.054e-27
370.62,4.619e+3,4.619e+3,1.514e-18,5.336e-24,1.439e-16,,7.056e-27
370.64,4.654e+3,4.654e+3,1.515e-18,5.331e-24,1.440e-16,,7.058e-27
370.67,4.764e+3,4.764e+3,1.516e-18,5.325e-24,1.442e-16,,7.060e-27
370.69,4.895e+3,4.895e+3,1.517e-18,5.320e-24,1.443e-16,,7.062e-27
370.72,5.194e+3,5.194e+3,1.518e-18,5.313e-24,1.445e-16,,7.064e-27
370.74,5.460e+3,5.460e+3,1.519e-18,5.309e-24,1.447e-16,,7.066e-27
370.77,5.935e+3,5.935e+3,1.520e-18,5.302e-24,1.448e-16,,7.068e-27
370.79,6.273e+3,6.273e+3,1.521e-18,5.297e-24,1.450e-16,,7.070e-27
370.82,6.755e+3,6.755e+3,1.522e-18,5.291e-24,1.452e-16,,7.072e-27
