Wavelength (nm),Sum(calc),Fe I (1.5e-1),Fe II (8.0e-1),Fe III (1.1e-4),Ni I (1.2e-2),Ni II (3.8e-2),Ni III (1.3e-6)
201.62,6.388e+2,,6.298e+2,8.345e-5,9.008e+0,,
201.64,4.678e+2,,4.639e+2,8.418e-5,3.935e+0,,
201.67,2.696e+2,,2.686e+2,8.969e-5,9.800e-1,,
201.69,1.970e+2,,1.967e+2,9.297e-5,3.515e-1,,
201.72,1.967e+2,,1.967e+2,9.365e-5,6.513e-2,,
201.74,2.771e+2,,2.771e+2,9.119e-5,1.918e-2,,
201.77,5.265e+2,,5.265e+2,8.556e-5,2.644e-3,,
201.79,7.705e+2,,7.705e+2,8.212e-5,6.392e-4,,
201.82,1.195e+3,,1.195e+3,7.811e-5,6.554e-5,,
201.84,1.455e+3,,1.455e+3,7.512e-5,1.301e-5,,
201.87,1.696e+3,,1.696e+3,6.743e-5,9.926e-7,,
201.89,1.714e+3,,1.714e+3,5.931e-5,1.618e-7,,
201.92,1.543e+3,,1.543e+3,4.371e-5,9.182e-9,,
201.94,1.358e+3,,1.358e+3,3.276e-5,1.229e-9,,
201.96,1.181e+3,,1.181e+3,2.285e-5,1.527e-10,,
201.99,1.028e+3,,1.028e+3,1.168e-5,2.516e-11,,
202.01,1.021e+3,,1.021e+3,7.010e-6,1.604e-10,,
202.04,1.102e+3,,1.102e+3,3.587e-6,3.253e-9,,
202.06,1.155e+3,,1.155e+3,3.162e-6,2.199e-8,,
202.09,1.139e+3,,1.139e+3,4.600e-6,3.340e-7,,
202.11,1.042e+3,,1.042e+3,6.714e-6,1.858e-6,,
202.14,7.949e+2,,7.949e+2,1.148e-5,2.106e-5,,
202.16,6.033e+2,,6.033e+2,1.578e-5,9.642e-5,,
202.19,3.449e+2,,3.449e+2,2.439e-5,8.159e-4,,
202.21,2.155e+2,,2.155e+2,3.201e-5,3.073e-3,,
202.24,9.190e+1,,9.188e+1,4.652e-5,1.941e-2,,
202.26,4.726e+1,,4.720e+1,5.755e-5,6.017e-2,,
202.29,1.529e+1,,1.500e+1,7.284e-5,2.838e-1,,
202.31,7.060e+0,,6.336e+0,7.954e-5,7.242e-1,,
202.33,4.184e+0,,2.474e+0,8.177e-5,1.710e+0,,
202.36,5.890e+0,,5.211e-1,7.682e-5,5.369e+0,,
202.38,1.063e+1,,1.673e-1,7.068e-5,1.046e+1,,
202.41,2.471e+1,,2.627e-2,6.594e-5,2.469e+1,,
202.43,3.991e+1,,6.932e-3,7.172e-5,3.990e+1,,
202.46,7.185e+1,,8.113e-4,1.014e-4,7.185e+1,,
202.48,9.796e+1,,1.760e-4,1.362e-4,9.796e+1,,
202.51,1.400e+2,,1.535e-5,2.035e-4,1.400e+2,,
202.53,1.675e+2,,2.738e-6,2.493e-4,1.675e+2,,
202.56,2.051e+2,,1.781e-7,2.994e-4,2.051e+2,,
202.58,2.272e+2,,2.611e-8,3.105e-4,2.272e+2,,
202.61,2.529e+2,,1.265e-9,2.875e-4,2.529e+2,,
202.63,2.615e+2,,1.528e-10,2.500e-4,2.615e+2,,
202.66,2.541e+2,,1.562e-11,1.773e-4,2.541e+2,,
202.68,2.333e+2,,9.249e-11,1.289e-4,2.333e+2,,
202.7,2.014e+2,,7.740e-10,8.722e-5,2.014e+2,,
202.73,1.422e+2,,1.635e-8,4.263e-5,1.422e+2,,
202.75,1.031e+2,,1.134e-7,2.467e-5,1.031e+2,,
202.78,5.537e+1,,1.791e-6,1.137e-5,5.537e+1,,
202.8,3.326e+1,,1.024e-5,8.971e-6,3.326e+1,,
202.83,1.341e+1,,1.209e-4,1.183e-5,1.341e+1,,
202.85,6.646e+0,,5.695e-4,1.681e-5,6.645e+0,,
202.88,2.009e+0,,5.032e-3,2.698e-5,2.004e+0,,
202.9,8.373e-1,,1.952e-2,3.408e-5,8.177e-1,,
202.93,3.133e-1,,1.290e-1,4.220e-5,1.842e-1,,
202.95,4.742e-1,,4.123e-1,4.446e-5,6.188e-2,,
202.98,2.048e+0,,2.038e+0,4.233e-5,1.041e-2,,
203,5.370e+0,,5.367e+0,3.793e-5,2.879e-3,,
203.03,1.984e+1,,1.984e+1,2.929e-5,3.616e-4,,
203.05,4.304e+1,,4.304e+1,2.355e-5,8.228e-5,,
203.07,8.643e+1,,8.643e+1,1.849e-5,1.732e-5,,
203.1,2.127e+2,,2.127e+2,1.250e-5,1.445e-6,,
203.12,3.520e+2,,3.520e+2,9.433e-6,2.504e-7,,
203.15,6.478e+2,,6.478e+2,5.891e-6,1.560e-8,,
203.17,8.831e+2,,8.831e+2,4.165e-6,2.224e-9,,
203.2,1.216e+3,,1.216e+3,2.670e-6,1.035e-10,,
203.22,1.365e+3,,1.365e+3,2.686e-6,1.214e-11,,
203.25,1.406e+3,,1.406e+3,5.354e-6,4.217e-13,,
203.27,1.301e+3,,1.301e+3,1.018e-5,4.073e-14,,
203.3,1.002e+3,,1.002e+3,2.555e-5,1.056e-15,,
203.32,7.638e+2,,7.638e+2,4.380e-5,8.394e-17,,
203.35,4.400e+2,,4.400e+2,8.691e-5,1.625e-18,,
203.37,2.769e+2,,2.769e+2,1.265e-4,1.645e-18,,
203.4,1.219e+2,,1.219e+2,1.979e-4,1.674e-18,,
203.42,6.862e+1,,6.862e+1,2.480e-4,1.693e-18,,
203.45,4.287e+1,,4.287e+1,3.159e-4,1.722e-18,,
203.47,5.458e+1,,5.458e+1,3.512e-4,1.741e-18,,
203.49,8.885e+1,,8.885e+1,3.769e-4,1.761e-18,,
203.52,1.875e+2,,1.875e+2,3.996e-4,1.790e-18,,
203.54,2.857e+2,,2.857e+2,4.073e-4,1.809e-18,,
203.57,4.670e+2,,4.670e+2,4.141e-4,1.838e-18,,
203.59,5.886e+2,,5.886e+2,4.192e-4,1.857e-18,,
203.62,7.207e+2,,7.207e+2,4.334e-4,1.886e-18,,
203.64,7.491e+2,,7.491e+2,4.488e-4,1.905e-18,,
203.67,6.868e+2,,6.868e+2,4.779e-4,1.934e-18,,
203.69,5.886e+2,,5.886e+2,4.959e-4,1.954e-18,,
203.72,4.041e+2,,4.041e+2,5.094e-4,1.983e-18,,
203.74,2.856e+2,,2.856e+2,5.054e-4,2.002e-18,,
203.77,1.472e+2,,1.472e+2,4.815e-4,2.031e-18,,
203.79,8.694e+1,,8.694e+1,4.591e-4,2.050e-18,,
203.82,3.951e+1,,3.951e+1,4.270e-4,2.079e-18,,
203.84,3.242e+1,,3.242e+1,4.115e-4,2.099e-18,,
203.86,4.571e+1,,4.571e+1,4.024e-4,2.118e-18,,
203.89,1.208e+2,,1.208e+2,3.998e-4,2.147e-18,,
203.91,2.293e+2,,2.293e+2,4.038e-4,2.166e-18,,
203.94,5.275e+2,,5.275e+2,4.157e-4,2.195e-18,,
203.96,8.363e+2,,8.363e+2,4.265e-4,2.214e-18,,
203.99,1.446e+3,,1.446e+3,4.434e-4,2.243e-18,,
204.01,1.892e+3,,1.892e+3,4.504e-4,2.263e-18,,
204.04,2.452e+3,,2.452e+3,4.427e-4,2.292e-18,,
204.06,2.648e+3,,2.648e+3,4.190e-4,3.072e-17,,
204.09,2.573e+3,,2.573e+3,3.530e-4,1.307e-15,,
204.11,2.293e+3,,2.293e+3,2.937e-4,1.447e-14,,
204.14,1.670e+3,,1.670e+3,1.987e-4,4.624e-13,,
204.16,1.228e+3,,1.228e+3,1.416e-4,4.232e-12,,
204.19,6.705e+2,,6.705e+2,7.751e-5,1.015e-10,,
204.21,4.069e+2,,4.069e+2,5.190e-5,7.678e-10,,
204.23,2.286e+2,,2.286e+2,4.018e-5,5.379e-9,,
204.26,8.340e+1,,8.340e+1,4.847e-5,8.644e-8,,
204.28,3.868e+1,,3.868e+1,7.224e-5,5.004e-7,,
204.31,1.058e+1,,1.058e+1,1.389e-4,6.039e-6,,
204.33,4.047e+0,,4.047e+0,2.055e-4,2.888e-5,,
204.36,8.302e-1,,8.296e-1,3.353e-4,2.618e-4,,
204.38,2.635e-1,,2.620e-1,4.343e-4,1.035e-3,,
204.41,4.788e-2,,4.026e-2,5.803e-4,7.044e-3,,
204.43,3.415e-2,,1.049e-2,6.609e-4,2.300e-2,,
204.46,1.196e-1,,1.209e-3,7.329e-4,1.176e-1,,
