Intensity,Wavelength (?),Aki,Energy,Configurations,Terms,J,g
,,(108s-1),Levels (cm -1 ),,,,
5,2852.81,0.00554,0,3s,2S,1/2,2
5,2852.81,0.00554,35042.85,5p,2P¡ã,3/2,4
2,2853.01,0.00554,0,3s,2S,1/2,2
2,2853.01,0.00554,35040.38,5p,2P¡ã,1/2,2
15,3302.37,0.0281,0,3s,2S,1/2,2
15,3302.37,0.0281,30272.58,4p,2P¡ã,3/2,4
8,3302.98,0.0281,0,3s,2S,1/2,2
8,3302.98,0.0281,30266.99,4p,2P¡ã,1/2,2
1000,5889.95,0.616,0,3s,2S,1/2,2
1000,5889.95,0.616,16973.368,3p,2P¡ã,3/2,4
500,5895.924,0.614,0,3s,2S,1/2,2
500,5895.924,0.614,16956.172,3p,2P¡ã,1/2,2
60,8183.256,0.453,16956.172,3p,2P¡ã,1/2,2
60,8183.256,0.453,29172.889,3d,2D,3/2,4
10,8194.79,0.09,16973.368,3p,2P¡ã,3/2,4
10,8194.79,0.09,29172.889,3d,2D,3/2,4
110,8194.824,0.54,16973.368,3p,2P¡ã,3/2,4
110,8194.824,0.54,29172.839,3d,2D,5/2,6
5,11381.45,0.09,16956.172,3p,2P¡ã,1/2,2
5,11381.45,0.09,25739.991,4s,2S,1/2,2
12,11403.78,0.176,16973.368,3p,2P¡ã,3/2,4
12,11403.78,0.176,25739.991,4s,2S,1/2,2
5,18465.25,0.14,29172.839,3d,2D,5/2,6
5,18465.25,0.14,34586.92,4f,2F¡ã,7/2,8
